y,x,osmid,highway,geometry
33.9621842,-118.4538844,26427079,,POINT (-118.4538844 33.9621842)
34.0301383,-118.5233702,26427834,,POINT (-118.5233702 34.0301383)
34.0290057,-118.521394,26427836,,POINT (-118.521394 34.0290057)
34.0283951,-118.5205109,26427837,,POINT (-118.5205109 34.0283951)
34.0283276,-118.5203875,26427838,,POINT (-118.5203875 34.0283276)
34.0280591,-118.5195349,26427839,,POINT (-118.5195349 34.0280591)
34.0272812,-118.5188285,26427841,,POINT (-118.5188285 34.0272812)
34.0268326,-118.5187533,26427842,,POINT (-118.5187533 34.0268326)
34.0306932,-118.5244011,26427858,,POINT (-118.5244011 34.0306932)
34.0302417,-118.5236211,26427859,,POINT (-118.5236211 34.0302417)
34.0308175,-118.5252552,26427860,,POINT (-118.5252552 34.0308175)
34.0318184,-118.527469,26427862,,POINT (-118.527469 34.0318184)
34.0354877,-118.5362373,26427865,,POINT (-118.5362373 34.0354877)
34.0310643,-118.5261222,26427879,,POINT (-118.5261222 34.0310643)
33.955042,-118.4486171,123143817,,POINT (-118.4486171 33.955042)
34.0269513,-118.3769285,200322472,,POINT (-118.3769285 34.0269513)
33.9544332,-118.4492536,201998124,,POINT (-118.4492536 33.9544332)
33.9625585,-118.4532563,300465906,,POINT (-118.4532563 33.9625585)
33.9623705,-118.453494,300465917,,POINT (-118.453494 33.9623705)
33.9546367,-118.4492755,300466259,,POINT (-118.4492755 33.9546367)
33.9547846,-118.4491628,300466260,,POINT (-118.4491628 33.9547846)
33.9548247,-118.4490752,300466263,,POINT (-118.4490752 33.9548247)
33.962701,-118.4532454,316374123,,POINT (-118.4532454 33.962701)
34.1802283,-118.5183769,316730115,,POINT (-118.5183769 34.1802283)
34.1802407,-118.5155478,316730117,,POINT (-118.5155478 34.1802407)
34.1802377,-118.5155082,316730118,,POINT (-118.5155082 34.1802377)
34.1802146,-118.5153006,316730119,,POINT (-118.5153006 34.1802146)
34.1802146,-118.514457,316730121,,POINT (-118.514457 34.1802146)
34.1802436,-118.5142954,316730122,,POINT (-118.5142954 34.1802436)
34.1802472,-118.5140033,316730123,,POINT (-118.5140033 34.1802472)
34.1802472,-118.5125871,316730124,,POINT (-118.5125871 34.1802472)
34.1802536,-118.5107671,316730126,,POINT (-118.5107671 34.1802536)
34.1802409,-118.5105967,316730127,,POINT (-118.5105967 34.1802409)
34.1802402,-118.5101272,316730128,,POINT (-118.5101272 34.1802402)
34.1802543,-118.5099606,316730129,,POINT (-118.5099606 34.1802543)
34.1802569,-118.5095296,316730130,,POINT (-118.5095296 34.1802569)
34.1802722,-118.5091898,316730131,,POINT (-118.5091898 34.1802722)
34.1802897,-118.5090898,316730132,,POINT (-118.5090898 34.1802897)
34.1802923,-118.5090592,316730133,,POINT (-118.5090592 34.1802923)
34.1802981,-118.5072659,316730134,,POINT (-118.5072659 34.1802981)
34.1803014,-118.5072375,316730135,,POINT (-118.5072375 34.1803014)
34.1803388,-118.5069553,316730137,,POINT (-118.5069553 34.1803388)
34.1803392,-118.5189412,321066475,,POINT (-118.5189412 34.1803392)
34.1803307,-118.5188799,321066476,,POINT (-118.5188799 34.1803307)
34.1803104,-118.5188252,321066477,,POINT (-118.5188252 34.1803104)
33.9548057,-118.4491157,322718925,,POINT (-118.4491157 33.9548057)
34.1803307,-118.5295871,352681005,,POINT (-118.5295871 34.1803307)
34.1803369,-118.522863,367904412,,POINT (-118.522863 34.1803369)
34.0280986,-118.5198316,532021312,,POINT (-118.5198316 34.0280986)
34.0278366,-118.5193223,532037552,,POINT (-118.5193223 34.0278366)
34.0279389,-118.5194218,532037838,,POINT (-118.5194218 34.0279389)
34.0279752,-118.5194517,820000881,,POINT (-118.5194517 34.0279752)
34.0267709,-118.5187377,820875819,,POINT (-118.5187377 34.0267709)
34.0267067,-118.5186877,820875820,,POINT (-118.5186877 34.0267067)
34.0301669,-118.5234376,865899892,,POINT (-118.5234376 34.0301669)
34.0308554,-118.5248261,865900096,,POINT (-118.5248261 34.0308554)
34.0308044,-118.52515,865900251,,POINT (-118.52515 34.0308044)
34.0349332,-118.5352796,865900260,,POINT (-118.5352796 34.0349332)
34.0307995,-118.5250667,865900265,,POINT (-118.5250667 34.0307995)
34.1802659,-118.5489675,1832146142,,POINT (-118.5489675 34.1802659)
34.1802766,-118.5358586,1832146143,,POINT (-118.5358586 34.1802766)
34.1802815,-118.5496073,1832146146,,POINT (-118.5496073 34.1802815)
34.180302,-118.5404405,1832146147,,POINT (-118.5404405 34.180302)
34.1803255,-118.5369355,1832146150,,POINT (-118.5369355 34.1803255)
34.1803895,-118.5399873,1832146153,,POINT (-118.5399873 34.1803895)
34.1803239,-118.5501667,1832146154,,POINT (-118.5501667 34.1803239)
34.1803957,-118.5399356,1832146155,,POINT (-118.5399356 34.1803957)
34.1803916,-118.5385059,1832146156,,POINT (-118.5385059 34.1803916)
34.180635,-118.5519004,1832146157,,POINT (-118.5519004 34.180635)
34.1807836,-118.5524298,1832146158,,POINT (-118.5524298 34.1807836)
34.1881074,-118.5740616,1832146163,,POINT (-118.5740616 34.1881074)
34.1882788,-118.5747209,1832146164,,POINT (-118.5747209 34.1882788)
34.1883331,-118.5749668,1832146165,,POINT (-118.5749668 34.1883331)
34.188519,-118.5762324,1832146166,,POINT (-118.5762324 34.188519)
34.1885291,-118.5889012,1832146168,,POINT (-118.5889012 34.1885291)
34.1885492,-118.5915611,1832146170,,POINT (-118.5915611 34.1885492)
34.1885633,-118.5770258,1832146175,,POINT (-118.5770258 34.1885633)
34.1886167,-118.5921171,1832146177,,POINT (-118.5921171 34.1886167)
34.1887563,-118.5927774,1832146178,,POINT (-118.5927774 34.1887563)
34.1889997,-118.5935838,1832146179,,POINT (-118.5935838 34.1889997)
34.1892975,-118.594245,1832146180,,POINT (-118.594245 34.1892975)
34.1903794,-118.5958103,1832146186,,POINT (-118.5958103 34.1903794)
34.2217059,-118.5973811,2011205518,,POINT (-118.5973811 34.2217059)
34.204599,-118.5973383,2011205533,,POINT (-118.5973383 34.204599)
34.1966406,-118.5973463,2011205537,,POINT (-118.5973463 34.1966406)
34.2124412,-118.5972776,2011205541,,POINT (-118.5972776 34.2124412)
34.2068796,-118.5973719,2011205545,,POINT (-118.5973719 34.2068796)
34.2034024,-118.5973163,2011205549,,POINT (-118.5973163 34.2034024)
34.2111398,-118.5972728,2011205554,,POINT (-118.5972728 34.2111398)
34.2308605,-118.5973269,2011205556,,POINT (-118.5973269 34.2308605)
34.1975777,-118.5975918,2011205562,,POINT (-118.5975918 34.1975777)
34.220613,-118.5973844,2011205576,,POINT (-118.5973844 34.220613)
