u,v,key,osmid,highway,oneway,length,geometry,bridge,name,lanes,width,maxspeed,tunnel,access,service,area,ref
123143817,201998124,0,"[845117112, 29335393]","['service', 'footway']",False,100.829,"LINESTRING (-118.4486171 33.955042, -118.4490752 33.9548247, -118.4491157 33.9548057, -118.4491628 33.9547846, -118.4492125 33.9547449, -118.4492571 33.9546872, -118.4492755 33.9546367, -118.449287 33.9545764, -118.4492823 33.9545219, -118.4492536 33.9544332)",,,,,,,,,,
200322472,3698655525,0,"[813336680, 812984529, 494886059, 494886060]",cycleway,False,85.45700000000002,"LINESTRING (-118.3769285 34.0269513, -118.376898 34.0269466, -118.3768704 34.026939, -118.3768231 34.0269265, -118.3767662 34.0269175, -118.3767138 34.0269126, -118.3766602 34.0269102, -118.3766168 34.0269122, -118.37655 34.0269243, -118.37649 34.0269393, -118.376452 34.0269435, -118.376403 34.0269417, -118.3763644 34.0269333, -118.3762962 34.0268932, -118.376237 34.0268516, -118.3762335 34.0268429, -118.3762365 34.0268358, -118.3762581 34.0268195, -118.3762722 34.0268068, -118.3762879 34.0267929, -118.3762066 34.026749)",yes,,,,,,,,,
201998124,123143817,0,"[845117112, 29335393]","['footway', 'service']",False,100.82900000000001,"LINESTRING (-118.4492536 33.9544332, -118.4492823 33.9545219, -118.449287 33.9545764, -118.4492755 33.9546367, -118.4492571 33.9546872, -118.4492125 33.9547449, -118.4491628 33.9547846, -118.4491157 33.9548057, -118.4490752 33.9548247, -118.4486171 33.955042)",,,,,,,,,,
201998124,5566628631,0,"[701216410, 4341268, 34547188, 28773351]",cycleway,False,1404.384,"LINESTRING (-118.4492536 33.9544332, -118.4493414 33.9544893, -118.4494139 33.95454, -118.449503 33.9545833, -118.4495936 33.9546162, -118.4496371 33.9546417, -118.4496908 33.9546784, -118.4497371 33.9547196, -118.4497838 33.9547757, -118.4511274 33.9568525, -118.4512358 33.9570193, -118.4542204 33.9614439, -118.4542505 33.9615045, -118.4542707 33.9615785, -118.4542821 33.9616569, -118.454278 33.9617303, -118.4542593 33.9618021, -118.4542204 33.9618994, -118.4541781 33.9619584, -118.4541345 33.9620145, -118.4540789 33.9620668, -118.4540346 33.9620985, -118.4539562 33.9621469, -118.4538844 33.9621842, -118.4536299 33.9623057, -118.453494 33.9623705, -118.4532587 33.9624891, -118.4532563 33.9625585, -118.4532568 33.9626001, -118.4532547 33.9626235, -118.4532461 33.9626525, -118.4532454 33.962701, -118.4537713 33.9635015, -118.4537798 33.9635206, -118.4537825 33.963534, -118.4537777 33.9635576, -118.453753 33.9635762, -118.4536994 33.9636012, -118.4533507 33.9637737, -118.45289 33.9640145, -118.4526198 33.9641535, -118.4523529 33.9642925, -118.4519479 33.964505)",yes,South Bay Bike Path,,,,,,,,
201998124,3785968475,0,822309588,cycleway,False,90.815,"LINESTRING (-118.4492536 33.9544332, -118.4487119 33.9538798, -118.4486335 33.9537988)",,South Bay Bike Path,2,,,,,,,
316730115,316730144,0,"[623055044, 670863623]",cycleway,False,1303.9630000000006,"LINESTRING (-118.5183769 34.1802283, -118.5155478 34.1802407, -118.5155082 34.1802377, -118.5153323 34.1802174, -118.5153006 34.1802146, -118.514457 34.1802146, -118.5142954 34.1802436, -118.5140033 34.1802472, -118.5125871 34.1802472, -118.5107671 34.1802536, -118.5105967 34.1802409, -118.5101272 34.1802402, -118.5099606 34.1802543, -118.5095296 34.1802569, -118.5094434 34.1802651, -118.5093725 34.180268, -118.5092778 34.1802639, -118.5092125 34.1802701, -118.5091898 34.1802722, -118.5090898 34.1802897, -118.5090592 34.1802923, -118.5072659 34.1802981, -118.5072375 34.1803014, -118.5071182 34.1803165, -118.5070049 34.1803346, -118.5069553 34.1803388, -118.5055069 34.1803431, -118.5054078 34.1803355, -118.5053077 34.1802978, -118.5052354 34.1802344, -118.5052053 34.1801616, -118.5052135 34.1797467, -118.5052111 34.1796402, -118.5052096 34.1794319)",,Metro Orange Line Bikeway,,15',,,,,,
316730115,4089390316,0,"[623055045, 671008485, 671008486, 669666760, 669666761, 701493514, 635328971, 701493516]",cycleway,False,3238.441,"LINESTRING (-118.5183769 34.1802283, -118.518516 34.1802249, -118.5186755 34.1802212, -118.5188252 34.1803104, -118.5188799 34.1803307, -118.5189412 34.1803392, -118.522863 34.1803369, -118.5271031 34.1803546, -118.5271411 34.1803272, -118.5272929 34.1803221, -118.5274567 34.1803165, -118.5275112 34.1803376, -118.5295871 34.1803307, -118.5307517 34.1803233, -118.5326143 34.1803114, -118.5344223 34.180308, -118.5347716 34.1802816, -118.5358586 34.1802766, -118.5358762 34.1802874, -118.535895 34.1802991, -118.5360158 34.1803118, -118.5361684 34.1803295, -118.5361836 34.1803323, -118.5369355 34.1803255, -118.5385059 34.1803916, -118.5399356 34.1803957, -118.5399873 34.1803895, -118.5404405 34.180302, -118.5445376 34.1802883, -118.5446188 34.1802856, -118.5447571 34.1802831, -118.5449081 34.180282, -118.5449658 34.1802929, -118.5489675 34.1802659, -118.5496073 34.1802815, -118.5501667 34.1803239, -118.55059 34.1803748, -118.5510103 34.180441, -118.5515163 34.1805398, -118.5519004 34.180635, -118.5524298 34.1807836, -118.5531621 34.181026, -118.5532831 34.181078, -118.5533436 34.1810903)",,Metro Orange Line Bikeway,,15',,,,,,
316730115,4089319341,0,"[406883866, 681552467, 681552468, 700995071]","['cycleway', 'footway']",False,96.79700000000001,"LINESTRING (-118.5183769 34.1802283, -118.5183785 34.1802973, -118.5183722 34.1803179, -118.5183717 34.1804029, -118.5183697 34.1804409, -118.5183687 34.1804778, -118.5183617 34.1809064, -118.5183461 34.1809264, -118.5183221 34.1809373, -118.518237 34.1809412, -118.5182341 34.1809624, -118.5182247 34.1810152)",,,,,,,,,,
1832146170,4089390310,0,"[630102347, 630102350, 630096879, 386445296, 667517105, 630096880, 386445295, 630890096, 630890095, 668576125, 668576126]",cycleway,False,3643.818000000002,"LINESTRING (-118.5915611 34.1885492, -118.5891348 34.1885521, -118.5889012 34.1885291, -118.5886534 34.1885265, -118.5886243 34.1885031, -118.5884496 34.1885212, -118.5882968 34.1885332, -118.5882337 34.1885222, -118.5799543 34.1885497, -118.5798691 34.1885383, -118.5797036 34.1885437, -118.5795516 34.1885504, -118.5794848 34.1885663, -118.5770258 34.1885633, -118.5765226 34.1885409, -118.5762324 34.188519, -118.5758781 34.1884817, -118.575506 34.1884289, -118.5749668 34.1883331, -118.5747209 34.1882788, -118.5743698 34.188194, -118.5740616 34.1881074, -118.5736377 34.187972, -118.5711233 34.1871234, -118.5710941 34.187119, -118.5709695 34.1870613, -118.5708492 34.1870093, -118.5708282 34.1869996, -118.569886 34.1866848, -118.5697254 34.1866475, -118.5681334 34.1861059, -118.5680586 34.1860843, -118.5679556 34.1860629, -118.5678888 34.1860445, -118.5678304 34.1860191, -118.5678108 34.186009, -118.5676676 34.1859516, -118.5674882 34.185893, -118.5674682 34.1858862, -118.5623785 34.1841517, -118.5622475 34.1841078, -118.5621255 34.184069, -118.5620674 34.1840591, -118.5537233 34.1812218, -118.5536877 34.1811948)",,Metro Orange Line Bikeway,,15',,,,,,
1832146170,6848492178,0,"[669457185, 669457186, 667517105, 379320954, 386445020, 386443293, 386443294]",cycleway,False,1093.4769999999999,"LINESTRING (-118.5915611 34.1885492, -118.5918253 34.1885797, -118.5921171 34.1886167, -118.5924335 34.188674, -118.5927774 34.1887563, -118.5928404 34.1887708, -118.5930554 34.188824, -118.5933169 34.1889074, -118.5935838 34.1889997, -118.5939356 34.1891422, -118.594245 34.1892975, -118.5944912 34.1894285, -118.5948519 34.1896437, -118.595188 34.1898678, -118.5954482 34.1900752, -118.5957359 34.1903299, -118.595778 34.1903618, -118.5958103 34.1903794, -118.5958554 34.1903863, -118.5972415 34.1903829, -118.5973033 34.1904238, -118.5973034 34.1905197, -118.5973063 34.1906033, -118.5973075 34.1906242, -118.5973187 34.1908535, -118.5973114 34.1918311, -118.5973084 34.1919154, -118.5973106 34.1919898, -118.5973149 34.1920399, -118.5973162 34.1927114, -118.5973284 34.193645, -118.5973047 34.1936778, -118.5973138 34.1937744, -118.5973186 34.1938672, -118.5973123 34.1939073, -118.597309 34.1939809, -118.5973072 34.194658, -118.5973056 34.1947035, -118.5972958 34.1947446, -118.5972543 34.1948283, -118.5972402 34.1948829, -118.5972381 34.1949352)",,Metro Orange Line Bikeway,,"[""15'"", ""11'""]",,,,,,
