y,x,osmid,highway,geometry
33.955042,-118.4486171,123143817,,POINT (-118.4486171 33.955042)
34.0269513,-118.3769285,200322472,,POINT (-118.3769285 34.0269513)
33.9544332,-118.4492536,201998124,,POINT (-118.4492536 33.9544332)
34.1802283,-118.5183769,316730115,,POINT (-118.5183769 34.1802283)
34.1885492,-118.5915611,1832146170,,POINT (-118.5915611 34.1885492)
34.0262705,-118.3721068,2384920966,,POINT (-118.3721068 34.0262705)
34.2362238,-118.5360928,4036646792,,POINT (-118.5360928 34.2362238)
34.2363364,-118.5360914,4036646793,,POINT (-118.5360914 34.2363364)
34.1811948,-118.5536877,4089390310,,POINT (-118.5536877 34.1811948)
34.1810903,-118.5533436,4089390316,,POINT (-118.5533436 34.1810903)
34.1821495,-118.5087589,4295030578,,POINT (-118.5087589 34.1821495)
34.1817321,-118.5090024,4295030579,,POINT (-118.5090024 34.1817321)
34.026314,-118.3725811,4865480953,,POINT (-118.3725811 34.026314)
34.2306728,-118.5362338,5116583798,,POINT (-118.5362338 34.2306728)
33.9499406,-118.446273,5566578129,,POINT (-118.446273 33.9499406)
33.9503719,-118.4464915,5566578140,,POINT (-118.4464915 33.9503719)
33.9504234,-118.4463714,5566578157,,POINT (-118.4463714 33.9504234)
33.9503254,-118.4463634,5566578158,,POINT (-118.4463634 33.9503254)
33.9502554,-118.4464935,5566578162,,POINT (-118.4464935 33.9502554)
33.9394952,-118.4405665,5566626983,,POINT (-118.4405665 33.9394952)
33.9398222,-118.4404657,5566626992,,POINT (-118.4404657 33.9398222)
33.9397256,-118.4404688,5566627016,,POINT (-118.4404688 33.9397256)
34.2293924,-118.5362198,6022739753,,POINT (-118.5362198 34.2293924)
34.2318176,-118.536224,6022739759,,POINT (-118.536224 34.2318176)
34.2319838,-118.5359896,6023868253,,POINT (-118.5359896 34.2319838)
34.2374067,-118.5359795,6023871391,,POINT (-118.5359795 34.2374067)
34.239223,-118.5362143,6023871435,,POINT (-118.5362143 34.239223)
34.2392197,-118.5359839,6023871449,,POINT (-118.5359839 34.2392197)
34.2372296,-118.536227,6023871475,,POINT (-118.536227 34.2372296)
34.2287197,-118.5359925,6027840515,,POINT (-118.5359925 34.2287197)
34.0255729,-118.516905,6338426930,,POINT (-118.516905 34.0255729)
34.2293688,-118.5361598,6733057237,,POINT (-118.5361598 34.2293688)
34.2287086,-118.5360277,6733057239,,POINT (-118.5360277 34.2287086)
34.026196,-118.5178031,6734076143,,POINT (-118.5178031 34.026196)
34.0260724,-118.5176055,6734076159,,POINT (-118.5176055 34.0260724)
34.0185179,-118.2820248,6814916501,,POINT (-118.2820248 34.0185179)
34.0202617,-118.280916,6814916504,,POINT (-118.280916 34.0202617)
34.0210265,-118.2804294,6814916508,,POINT (-118.2804294 34.0210265)
34.021739,-118.2799581,6814916509,,POINT (-118.2799581 34.021739)
34.0219954,-118.2798153,6814916510,,POINT (-118.2798153 34.0219954)
34.0223012,-118.2796177,6814916511,,POINT (-118.2796177 34.0223012)
34.0230719,-118.2791296,6814916512,,POINT (-118.2791296 34.0230719)
34.0233711,-118.2789371,6814916513,,POINT (-118.2789371 34.0233711)
34.0234775,-118.2791466,6814916517,,POINT (-118.2791466 34.0234775)
34.0220938,-118.280027,6814916518,,POINT (-118.280027 34.0220938)
34.0218223,-118.2802022,6814916519,,POINT (-118.2802022 34.0218223)
34.0212019,-118.2805932,6814916520,,POINT (-118.2805932 34.0212019)
34.0205765,-118.2809808,6814916521,,POINT (-118.2809808 34.0205765)
34.0203582,-118.2811401,6814916522,,POINT (-118.2811401 34.0203582)
