y,x,osmid,highway,ref,geometry
34.027025,-118.429548,653688,traffic_signals,,POINT (-118.429548 34.027025)
34.0286331,-118.4254724,653689,traffic_signals,,POINT (-118.4254724 34.0286331)
34.0301176,-118.4218423,653690,,,POINT (-118.4218423 34.0301176)
34.0311455,-118.4199769,653691,,,POINT (-118.4199769 34.0311455)
34.0324443,-118.41759,653693,traffic_signals,,POINT (-118.41759 34.0324443)
34.0345019,-118.3435465,653721,,,POINT (-118.3435465 34.0345019)
34.0367777,-118.2875299,653731,motorway_junction,13A,POINT (-118.2875299 34.0367777)
34.0300723,-118.2572262,653744,motorway_junction,15A,POINT (-118.2572262 34.0300723)
34.0403015,-118.2191098,653766,,,POINT (-118.2191098 34.0403015)
34.0513318,-118.2138875,653772,motorway_junction,135C,POINT (-118.2138875 34.0513318)
34.0553626,-118.1945475,653786,,,POINT (-118.1945475 34.0553626)
33.9455914,-118.3901991,668264,,,POINT (-118.3901991 33.9455914)
33.9455589,-118.3927418,668265,,,POINT (-118.3927418 33.9455589)
33.9454867,-118.3998088,668267,traffic_signals,,POINT (-118.3998088 33.9454867)
33.9453999,-118.3974865,668268,,,POINT (-118.3974865 33.9453999)
34.1352124,-118.2296083,10537893,,,POINT (-118.2296083 34.1352124)
34.1214755,-118.2069044,10552905,traffic_signals,,POINT (-118.2069044 34.1214755)
34.1193938,-118.196712,10552907,traffic_signals,,POINT (-118.196712 34.1193938)
34.1177445,-118.1872949,10552909,,,POINT (-118.1872949 34.1177445)
34.1154773,-118.1843474,10552912,traffic_signals,,POINT (-118.1843474 34.1154773)
34.1197069,-118.2073813,10553872,,,POINT (-118.2073813 34.1197069)
34.113121,-118.2079786,10553878,,,POINT (-118.2079786 34.113121)
34.114958,-118.210115,10553881,,,POINT (-118.210115 34.114958)
34.11444,-118.211427,10555065,,,POINT (-118.211427 34.11444)
34.105026,-118.228352,10555091,stop,,POINT (-118.228352 34.105026)
34.1022333,-118.2371134,10559926,traffic_signals,,POINT (-118.2371134 34.1022333)
34.0867848,-118.2257778,10559930,traffic_signals,,POINT (-118.2257778 34.0867848)
34.3206604,-118.4959195,10683747,motorway_junction,161A,POINT (-118.4959195 34.3206604)
33.9819175,-118.2904224,13642118,,,POINT (-118.2904224 33.9819175)
33.9819241,-118.2879129,13642119,,,POINT (-118.2879129 33.9819241)
34.0788999,-118.2275617,13885935,motorway_junction,26A,POINT (-118.2275617 34.0788999)
34.0883182,-118.2260967,14695503,,,POINT (-118.2260967 34.0883182)
34.0838396,-118.2224252,14697104,traffic_signals,,POINT (-118.2224252 34.0838396)
34.0825193,-118.2209372,14697105,,,POINT (-118.2209372 34.0825193)
34.084787,-118.2211849,14697230,traffic_signals,,POINT (-118.2211849 34.084787)
34.0864254,-118.2190545,14697231,traffic_signals,,POINT (-118.2190545 34.0864254)
34.0945179,-118.2084919,14697234,traffic_signals,,POINT (-118.2084919 34.0945179)
34.1125363,-118.2436129,14697296,,,POINT (-118.2436129 34.1125363)
34.1156342,-118.246608,14697299,,,POINT (-118.246608 34.1156342)
34.1219617,-118.2252643,14749818,,,POINT (-118.2252643 34.1219617)
34.1210911,-118.2223193,14752110,stop,,POINT (-118.2223193 34.1210911)
34.109765,-118.20563,14759629,,,POINT (-118.20563 34.109765)
34.1049737,-118.2021772,14759630,traffic_signals,,POINT (-118.2021772 34.1049737)
34.1062925,-118.1995198,14759683,traffic_signals,,POINT (-118.1995198 34.1062925)
34.1073431,-118.200272,14759760,,,POINT (-118.200272 34.1073431)
34.1117275,-118.1884246,14760044,traffic_signals,,POINT (-118.1884246 34.1117275)
34.0765136,-118.2156947,14798411,traffic_signals,,POINT (-118.2156947 34.0765136)
34.0765422,-118.2118339,14798419,traffic_signals,,POINT (-118.2118339 34.0765422)
34.0660207,-118.2115616,14798642,traffic_signals,,POINT (-118.2115616 34.0660207)
