u,v,key,osmid,oneway,name,highway,length,geometry,maxspeed,lanes,width,bridge,access,est_width,tunnel,service,ref,junction
42421769,3718672429,0,463034110,True,West 80th Street,cycleway,10.058,"LINESTRING (-73.97500669999999 40.7826383, -73.9749027 40.7825938)",,,,,,,,,,
42421769,4557495130,0,"[421853633, 226015228, 420897875, 420897876, 195743158, 195743159, 420898201, 420898202, 420898204, 420898205, 420898206, 420898207]",True,Columbus Avenue,primary,1067.0019999999997,"LINESTRING (-73.97500669999999 40.7826383, -73.9755004 40.7819594, -73.97599839999999 40.7812798, -73.97639719999999 40.7807407, -73.9764438 40.7806762, -73.9767607 40.7802016, -73.9768657 40.7800588, -73.9769106 40.7799947, -73.9773404 40.7794306, -73.97738459999999 40.7793715, -73.9774214 40.7793265, -73.97767140000001 40.7789918, -73.9778014 40.778812, -73.9778546 40.7787465, -73.9778929 40.7786907, -73.9783209 40.7781168, -73.9783631 40.7780567, -73.9785677 40.7777656, -73.9788009 40.7774256, -73.9793023 40.7767416, -73.9795719 40.7763737, -73.9797585 40.7761084, -73.9802163 40.7754892, -73.98069630000001 40.7748693, -73.9811545 40.7742488)",25 mph,3,,,,,,,,
42421889,42430249,0,"[497746843, 451905565]",True,6th Avenue,secondary,239.627,"LINESTRING (-73.9991816 40.7341463, -73.9991284 40.734216, -73.99871400000001 40.734784, -73.99856870000001 40.7349892, -73.9985393 40.7350306, -73.99827399999999 40.735391, -73.997805 40.736032)",25 mph,,,,,,,,,
42427787,42427797,0,5669669,True,West 29th Street,residential,140.262,"LINESTRING (-73.98861220000001 40.7460455, -73.990067 40.746659)",25 mph,,,,,,,,,
42427787,42428223,0,788278350,True,Broadway,tertiary,84.997,"LINESTRING (-73.98861220000001 40.7460455, -73.9886959 40.7455957, -73.98873740000001 40.7453729, -73.9887531 40.7452886)",25 mph,1,,,,,,,,
42427797,42427805,0,5669669,True,West 29th Street,residential,274.003,"LINESTRING (-73.990067 40.746659, -73.99052279999999 40.7468507, -73.9907268 40.7469365, -73.99078 40.7469589, -73.9929106 40.7478553)",25 mph,,,,,,,,,
42427797,42430295,0,"[489019752, 68668519]",True,6th Avenue,secondary,236.459,"LINESTRING (-73.990067 40.746659, -73.989617 40.747277, -73.9891568 40.7478958, -73.98874000000001 40.748462, -73.98869999999999 40.7485163)",25 mph,,,,,,,,,
42427805,6211484435,0,5669669,True,West 29th Street,residential,284.324,"LINESTRING (-73.9929106 40.7478553, -73.9936948 40.7481859, -73.99499950000001 40.748736, -73.99574920000001 40.7490521, -73.99585999999999 40.7490985)",25 mph,,,,,,,,,
42427805,42439842,0,"[420598330, 420512231]",True,7th Avenue,secondary,235.173,"LINESTRING (-73.9929106 40.7478553, -73.9933132 40.7473034, -73.9933621 40.7472363, -73.9936216 40.7468804, -73.993813 40.746618, -73.9942616 40.7460045)",25 mph,,,,,,,,,
42428391,42428529,0,"[827979008, 837943498, 222299275, 837943499, 835694479]",True,Broadway,"['residential', 'secondary']",822.0450000000001,"LINESTRING (-74.0086338 40.7113899, -74.0087022 40.7113085, -74.0087614 40.7112381, -74.00905830000001 40.7108847, -74.00946020000001 40.7104064, -74.0095316 40.7103215, -74.0099714 40.709798, -74.0104527 40.7092252, -74.010521 40.7091439, -74.01056730000001 40.7090888, -74.010775 40.7088417, -74.01082220000001 40.7087855, -74.0108565 40.7087446, -74.0109604 40.708621, -74.0109934 40.7085817, -74.0111953 40.7083413, -74.0112329 40.7082967, -74.01126499999999 40.7082584, -74.0116831 40.7077608, -74.01194390000001 40.7074505, -74.0119933 40.7073916, -74.0124478 40.7068507, -74.0125152 40.7067705, -74.0125323 40.7067502, -74.01308830000001 40.7060884, -74.01317880000001 40.7059842, -74.01323910000001 40.7059148, -74.01327689999999 40.7058713, -74.0132357 40.7058374, -74.0132351 40.705802, -74.01325079999999 40.7057556, -74.0133101 40.7055908, -74.0133295 40.7054907, -74.01333289999999 40.7053712, -74.0133228 40.7051816, -74.0133173 40.705045)",25 mph,"['3', '2']",,,,,,,,
42428984,42427143,0,242514169,True,West 170th Street,residential,229.92999999999998,"LINESTRING (-73.939255 40.842436, -73.94154880000001 40.8433852, -73.94155240000001 40.8433875, -73.9416398 40.843443)",,,,,,,,,,
42428984,42433041,0,440122914,False,West 170th Street,cycleway,44.468,"LINESTRING (-73.939255 40.842436, -73.93912640000001 40.8423113, -73.9390701 40.8422869, -73.93901510000001 40.8422717, -73.9389602 40.8422717, -73.9388958 40.8422889, -73.93883289999999 40.842261)",,,,,,,,,,
42429215,1764400286,0,5670131,False,Dyckman Street,primary,481.67800000000005,"LINESTRING (-73.9272714 40.8655306, -73.92662 40.864525, -73.92608079999999 40.8636838, -73.926011 40.863575, -73.9259512 40.8634817, -73.9255644 40.8628817, -73.9254256 40.8626664, -73.925381 40.8625952, -73.9253404 40.8625206, -73.9248151 40.8617075, -73.9247646 40.8616359)",,,,,,,,,,
42429373,42429374,0,5669806,True,West 13th Street,residential,310.553,"LINESTRING (-73.994118 40.735313, -73.99734100000001 40.736668)",25 mph,1,,,,,,,,
42429373,42439070,0,195743341,True,5th Avenue,secondary,81.416,"LINESTRING (-73.994118 40.735313, -73.994585 40.734672)",25 mph,,,,,,,,,
42429374,42429375,0,5669806,True,West 13th Street,residential,273.113,"LINESTRING (-73.99734100000001 40.736668, -74.0001742 40.7378614)",25 mph,1,,,,,,,,
42429374,42430277,0,"[496979224, 196117090, 630828586, 496978510]",True,6th Avenue,secondary,1033.6080000000002,"LINESTRING (-73.99734100000001 40.736668, -73.99685359999999 40.7373421, -73.99684000000001 40.737361, -73.9968326 40.7373712, -73.9964183 40.7379336, -73.996337 40.738044, -73.995874 40.738686, -73.995446 40.739272, -73.995018 40.73986, -73.99459299999999 40.740442, -73.9942028 40.7409812, -73.9941671 40.7410305, -73.994114 40.7411034, -73.99378040000001 40.7415616, -73.9937398 40.7416174, -73.9936939 40.7416804, -73.99329160000001 40.7422328, -73.992805 40.742901, -73.9923179 40.7435682, -73.991871 40.744186, -73.99141520000001 40.7448072)",25 mph,,,,,,,,,
