y,x,osmid,highway,ref,geometry
40.7992545,-73.962886,42421737,traffic_signals,,POINT (-73.962886 40.7992545)
40.7826383,-73.9750067,42421769,traffic_signals,,POINT (-73.97500669999999 40.7826383)
40.7851818,-73.9731496,42421803,traffic_signals,,POINT (-73.9731496 40.7851818)
40.7328593,-73.9959038,42421877,traffic_signals,,POINT (-73.99590379999999 40.7328593)
40.7341463,-73.9991816,42421889,traffic_signals,,POINT (-73.9991816 40.7341463)
40.726263,-73.994403,42421927,,,POINT (-73.99440300000001 40.726263)
40.7716682,-73.9866896,42421982,traffic_signals,,POINT (-73.98668960000001 40.7716682)
40.7884325,-73.9707862,42421996,traffic_signals,,POINT (-73.97078620000001 40.7884325)
40.7091439,-74.010521,42422042,traffic_signals,,POINT (-74.010521 40.7091439)
40.843443,-73.9416398,42427143,traffic_signals,,POINT (-73.9416398 40.843443)
40.739673,-73.990945,42427369,traffic_signals,,POINT (-73.990945 40.739673)
40.7410305,-73.9941671,42427371,traffic_signals,,POINT (-73.9941671 40.7410305)
40.742228,-73.997007,42427374,traffic_signals,,POINT (-73.997007 40.742228)
40.7435682,-73.9923179,42427423,traffic_signals,,POINT (-73.9923179 40.7435682)
40.744765,-73.9951595,42427426,traffic_signals,,POINT (-73.9951595 40.744765)
40.745301,-73.986846,42427786,traffic_signals,,POINT (-73.986846 40.745301)
40.7460455,-73.9886122,42427787,traffic_signals,,POINT (-73.98861220000001 40.7460455)
40.746659,-73.990067,42427797,traffic_signals,,POINT (-73.990067 40.746659)
40.7478553,-73.9929106,42427805,traffic_signals,,POINT (-73.9929106 40.7478553)
40.7490521,-73.9957492,42427812,traffic_signals,,POINT (-73.99574920000001 40.7490521)
40.7502567,-73.998626,42427817,traffic_signals,,POINT (-73.998626 40.7502567)
40.7514485,-74.0014254,42427821,traffic_signals,,POINT (-74.0014254 40.7514485)
40.7526457,-74.0042703,42427824,traffic_signals,,POINT (-74.0042703 40.7526457)
40.863575,-73.926011,42427859,traffic_signals,,POINT (-73.926011 40.863575)
40.7812798,-73.9759984,42428061,traffic_signals,,POINT (-73.97599839999999 40.7812798)
40.7430463,-73.9891667,42428212,traffic_signals,,POINT (-73.9891667 40.7430463)
40.7452886,-73.9887531,42428223,traffic_signals,,POINT (-73.9887531 40.7452886)
40.7468077,-73.9884704,42428227,traffic_signals,,POINT (-73.9884704 40.7468077)
40.7475512,-73.9883321,42428232,traffic_signals,,POINT (-73.98833209999999 40.7475512)
40.7491988,-73.9882026,42428244,crossing,,POINT (-73.98820259999999 40.7491988)
40.7579634,-73.9855335,42428297,traffic_signals,,POINT (-73.9855335 40.7579634)
40.7594263,-73.9851384,42428303,traffic_signals,,POINT (-73.9851384 40.7594263)
40.7647568,-73.9822627,42428321,traffic_signals,,POINT (-73.98226270000001 40.7647568)
40.7058713,-74.0132769,42428365,traffic_signals,,POINT (-74.01327689999999 40.7058713)
40.7067705,-74.0125152,42428366,traffic_signals,,POINT (-74.0125152 40.7067705)
40.7074505,-74.0119439,42428368,traffic_signals,,POINT (-74.01194390000001 40.7074505)
40.7077608,-74.0116831,42428370,traffic_signals,,POINT (-74.0116831 40.7077608)
40.7082967,-74.0112329,42428371,traffic_signals,,POINT (-74.0112329 40.7082967)
40.7085817,-74.0109934,42428373,,,POINT (-74.0109934 40.7085817)
40.7087855,-74.0108222,42428374,traffic_signals,,POINT (-74.01082220000001 40.7087855)
40.709798,-74.0099714,42428376,traffic_signals,,POINT (-74.0099714 40.709798)
40.7103215,-74.0095316,42428377,,,POINT (-74.0095316 40.7103215)
40.7104064,-74.0094602,42428379,traffic_signals,,POINT (-74.00946020000001 40.7104064)
40.7108847,-74.0090583,42428385,traffic_signals,,POINT (-74.00905830000001 40.7108847)
40.7113899,-74.0086338,42428391,traffic_signals,,POINT (-74.0086338 40.7113899)
40.733214,-73.991114,42428489,traffic_signals,,POINT (-73.991114 40.733214)
40.733978,-73.990945,42428491,traffic_signals,,POINT (-73.990945 40.733978)
40.7726643,-73.9822975,42428588,,,POINT (-73.9822975 40.7726643)
40.842436,-73.939255,42428984,traffic_signals,,POINT (-73.939255 40.842436)
40.8655306,-73.9272714,42429215,traffic_signals,,POINT (-73.9272714 40.8655306)
40.735313,-73.994118,42429373,traffic_signals,,POINT (-73.994118 40.735313)
40.736668,-73.997341,42429374,traffic_signals,,POINT (-73.99734100000001 40.736668)
40.7378614,-74.0001742,42429375,traffic_signals,,POINT (-74.0001742 40.7378614)
40.7386731,-74.0021545,42429377,,,POINT (-74.0021545 40.7386731)
40.7387436,-74.0024001,42429378,traffic_signals,,POINT (-74.0024001 40.7387436)
40.803228,-73.944597,42429552,,,POINT (-73.944597 40.803228)
40.7385065,-73.9917962,42429657,traffic_signals,,POINT (-73.9917962 40.7385065)
40.73986,-73.995018,42429659,traffic_signals,,POINT (-73.995018 40.73986)
40.741056,-73.997862,42429661,traffic_signals,,POINT (-73.997862 40.741056)
40.7191047,-73.9902756,42429762,traffic_signals,,POINT (-73.9902756 40.7191047)
40.7754225,-73.9839656,42429999,traffic_signals,,POINT (-73.9839656 40.7754225)
40.734784,-73.998714,42430241,traffic_signals,,POINT (-73.99871400000001 40.734784)
40.7350306,-73.9985393,42430244,,,POINT (-73.9985393 40.7350306)
40.735391,-73.998274,42430247,traffic_signals,,POINT (-73.99827399999999 40.735391)
40.736032,-73.997805,42430249,traffic_signals,,POINT (-73.997805 40.736032)
40.737361,-73.99684,42430253,traffic_signals,,POINT (-73.99684000000001 40.737361)
40.738044,-73.996337,42430255,traffic_signals,,POINT (-73.996337 40.738044)
40.738686,-73.995874,42430257,traffic_signals,,POINT (-73.995874 40.738686)
40.739272,-73.995446,42430259,traffic_signals,,POINT (-73.995446 40.739272)
40.740442,-73.994593,42430263,traffic_signals,,POINT (-73.99459299999999 40.740442)
