u,v,key,osmid,name,highway,oneway,length,geometry,maxspeed,lanes,ref,access,bridge,tunnel,width,junction,service
42421728,42432736,0,195743153,Central Park West,secondary,False,86.25800000000001,"LINESTRING (-73.9600437 40.7980478, -73.95996239999999 40.798159, -73.9595472 40.7987264)",,,,,,,,,
42421728,42435337,0,195743153,Central Park West,secondary,False,85.34200000000001,"LINESTRING (-73.9600437 40.7980478, -73.9601116 40.7979549, -73.9604229 40.7975294, -73.9604726 40.7974615, -73.9605349 40.7973764)",,,,,,,,,
42421728,42421731,0,"[420625565, 420625573, 5668966]",West 106th Street,secondary,False,137.519,"LINESTRING (-73.9600437 40.7980478, -73.960166 40.7980991, -73.9604245 40.7982075, -73.960705 40.7983244, -73.9610904 40.798485, -73.96147430000001 40.798645)",,,,,,,,,
42421731,42437916,0,5671485,Manhattan Avenue,residential,False,84.572,"LINESTRING (-73.96147430000001 40.798645, -73.96196190000001 40.79798)",,,,,,,,,
42421731,42432737,0,195743186,Manhattan Avenue,residential,False,86.442,"LINESTRING (-73.96147430000001 40.798645, -73.96097589999999 40.7993247)",,,,,,,,,
42421731,42421728,0,"[420625565, 5668966, 420625573]",West 106th Street,secondary,False,137.519,"LINESTRING (-73.96147430000001 40.798645, -73.9610904 40.798485, -73.960705 40.7983244, -73.9604245 40.7982075, -73.960166 40.7980991, -73.9600437 40.7980478)",,,,,,,,,
42421731,42421737,0,"[195743201, 420625570, 420625566]",West 106th Street,secondary,False,136.814,"LINESTRING (-73.96147430000001 40.798645, -73.9618737 40.7988136, -73.962468 40.7990646, -73.962886 40.7992545)",,,,,,,,,
42421737,42437917,0,420625563,Columbus Avenue,primary,True,86.566,"LINESTRING (-73.962886 40.7992545, -73.9633805 40.7985719)",25 mph,,,,,,,,
42421737,42421741,0,420625567,West 106th Street,secondary,False,270.947,"LINESTRING (-73.962886 40.7992545, -73.9657046 40.8004313)",,,,,,,,,
42421737,42421731,0,"[195743201, 420625570, 420625566]",West 106th Street,secondary,False,136.814,"LINESTRING (-73.962886 40.7992545, -73.962468 40.7990646, -73.9618737 40.7988136, -73.96147430000001 40.798645)",,,,,,,,,
42421741,42432756,0,196116970,Amsterdam Avenue,primary,True,86.924,"LINESTRING (-73.9657046 40.8004313, -73.96520750000001 40.8011165)",,,,,,,,,
42421741,42421737,0,420625567,West 106th Street,secondary,False,270.947,"LINESTRING (-73.9657046 40.8004313, -73.962886 40.7992545)",,,,,,,,,
42421741,1061531654,0,"[420625569, 196117060, 420625564]",West 106th Street,secondary,False,200.54600000000002,"LINESTRING (-73.9657046 40.8004313, -73.9658084 40.8004748, -73.9661437 40.8006155, -73.9673288 40.8011124, -73.967659 40.8012509, -73.9677887 40.8013053)",,,,,,,,,
42421745,42428751,0,196116982,Broadway,primary,True,95.652,"LINESTRING (-73.96799420000001 40.8014007, -73.9680997 40.8005442)",,,,,,,,,
42421745,42421749,0,"[420625568, 68674963]",West 106th Street,secondary,False,55.596000000000004,"LINESTRING (-73.96799420000001 40.8014007, -73.9680942 40.8014435, -73.96811409999999 40.801452, -73.9684335 40.8015886, -73.96857110000001 40.8016441)",,,,,,,,,
42421745,1061531654,0,195743200,West 106th Street,secondary,False,20.291,"LINESTRING (-73.96799420000001 40.8014007, -73.9678754 40.8013455, -73.9677887 40.8013053)",,,,,,,,,
42421749,42431118,0,195743221,West End Avenue,secondary,False,86.869,"LINESTRING (-73.96857110000001 40.8016441, -73.9690678 40.8009593)",,,,,,,,,
42421749,42421751,0,46563041,West 106th Street,residential,False,142.532,"LINESTRING (-73.96857110000001 40.8016441, -73.9699992 40.8022463, -73.97005040000001 40.8022679)",,,,,,,,,
42421749,42421745,0,"[420625568, 68674963]",West 106th Street,secondary,False,55.596000000000004,"LINESTRING (-73.96857110000001 40.8016441, -73.9684335 40.8015886, -73.96811409999999 40.801452, -73.9680942 40.8014435, -73.96799420000001 40.8014007)",,,,,,,,,
42421751,42432764,0,46111610,Riverside Drive,residential,True,85.19,"LINESTRING (-73.97005040000001 40.8022679, -73.970011 40.8023158, -73.96956 40.802938)",,,,,,,,,
42421751,42421749,0,46563041,West 106th Street,residential,False,142.532,"LINESTRING (-73.97005040000001 40.8022679, -73.9699992 40.8022463, -73.96857110000001 40.8016441)",,,,,,,,,
42421769,42443347,0,195743159,Columbus Avenue,primary,True,86.178,"LINESTRING (-73.97500669999999 40.7826383, -73.9755004 40.7819594)",25 mph,,,,,,,,
42421772,42421769,0,5668968,West 80th Street,residential,True,271.702,"LINESTRING (-73.9778254 40.783828, -73.97500669999999 40.7826383)",,,,,,,,,
42421772,6929267030,0,195743132,Amsterdam Avenue,primary,True,43.714,"LINESTRING (-73.9778254 40.783828, -73.9775743 40.7841721)",,,,,,,,,
42421775,1061531525,0,5668968,West 80th Street,residential,True,17.096,"LINESTRING (-73.97958269999999 40.7845691, -73.9794053 40.7844943)",,,,,,,,,
42421775,42428653,0,404253364,Broadway,primary,True,86.208,"LINESTRING (-73.97958269999999 40.7845691, -73.9800838 40.783893)",25 mph,,,,,,,,
42421776,42421775,0,5668968,West 80th Street,residential,True,105.553,"LINESTRING (-73.9806779 40.7850311, -73.97958269999999 40.7845691)",,,,,,,,,
42421776,42431024,0,"[837696056, 837696054]",West End Avenue,secondary,False,79.65,"LINESTRING (-73.9806779 40.7850311, -73.98044419999999 40.7853534, -73.9802226 40.785659)",,3,,,,,,,
42421776,42431019,0,"[837696052, 837696055]",West End Avenue,secondary,False,86.364,"LINESTRING (-73.9806779 40.7850311, -73.98091049999999 40.7847091, -73.98117019999999 40.7843497)",,"['3', '2']",,,,,,,
42421778,42421776,0,5668968,West 80th Street,residential,True,128.513,"LINESTRING (-73.9820114 40.7855935, -73.9806779 40.7850311)",,,,,,,,,
42421778,42422592,0,"[763299975, 46111607]",Riverside Drive,secondary,False,87.758,"LINESTRING (-73.9820114 40.7855935, -73.9825506 40.7850799, -73.9826602 40.7849758)",,,,,,,,,
42421778,42441587,0,46111607,Riverside Drive,secondary,False,81.113,"LINESTRING (-73.9820114 40.7855935, -73.9816132 40.7859811, -73.9815169 40.7860943, -73.981448 40.786184)",,,,,,,,,
42421783,1764387328,0,5668973,,tertiary_link,True,20.681,"LINESTRING (-73.9313326 40.8593027, -73.9311471 40.8591806)",,,,,,,,,
42421783,1764387326,0,223486858,Broadway,primary,False,38.566,"LINESTRING (-73.9313326 40.8593027, -73.93120759999999 40.8596364)",,4,US 9,,,,,,
42421783,42427782,0,"[104984000, 5672430]",Bennett Avenue,residential,True,250.22500000000002,"LINESTRING (-73.9313326 40.8593027, -73.9314679 40.8593716, -73.93197600000001 40.8595273, -73.93201929999999 40.8595373, -73.932068 40.8595415, -73.9321017 40.8595423, -73.93213830000001 40.8595391, -73.9321685 40.8595319, -73.9321996 40.8595212, -73.93222040000001 40.8595116, -73.93225150000001 40.8594938, -73.93227760000001 40.8594721, -73.9322956 40.8594505, -73.93255619999999 40.8589242, -73.9325757 40.8588848, -73.93298299999999 40.858113)",30 mph,,,,,,,,
42421783,1764387321,0,223486858,Broadway,primary,False,42.447,"LINESTRING (-73.9313326 40.8593027, -73.9314116 40.8591374, -73.93150420000001 40.8589437)",,4,US 9,,,,,,
42421785,42443520,0,5671285,Bogardus Place,residential,False,201.182,"LINESTRING (-73.930122 40.858744, -73.9300312 40.8587779, -73.92805420000001 40.8595162, -73.927977 40.859545)",,,,,,,,,
42421785,42421786,0,164839571,Hillside Avenue,tertiary,True,239.745,"LINESTRING (-73.930122 40.858744, -73.92945109999999 40.8584861, -73.92929359999999 40.8584402, -73.9291161 40.8584148, -73.92897840000001 40.8584081, -73.92885800000001 40.8584145, -73.9286974 40.8584309, -73.9285588 40.858474, -73.9284067 40.858533, -73.9282468 40.8586131, -73.92762500000001 40.859012)",,,,,,,,,
42421786,42421791,0,164839571,Hillside Avenue,tertiary,True,127.58500000000001,"LINESTRING (-73.92762500000001 40.859012, -73.927144 40.8597008, -73.92705890000001 40.8597941, -73.9268606 40.859903, -73.92678600000001 40.859944)",,,,,,,,,
42421791,42448930,0,5671645,Sickles Street,residential,True,90.62,"LINESTRING (-73.92678600000001 40.859944, -73.92719700000001 40.8605647, -73.9273 40.860657)",,,,,,,,,
42421791,4814440062,0,164839571,Hillside Avenue,tertiary,True,215.275,"LINESTRING (-73.92678600000001 40.859944, -73.92611890000001 40.8602842, -73.9260517 40.8603172, -73.9258828 40.860403, -73.92580049999999 40.8604448, -73.9256723 40.8606202, -73.9252158 40.8612434, -73.9252316 40.8612931, -73.92526119999999 40.8613637)",,,,,,,,,
42421800,42424851,0,542215780,Central Park West,secondary,False,80.866,"LINESTRING (-73.9703136 40.7839863, -73.9702626 40.7840562, -73.9698866 40.7845721, -73.9698495 40.784623)",,,,,,,,,
42421800,42435308,0,542215780,Central Park West,secondary,False,80.471,"LINESTRING (-73.9703136 40.7839863, -73.97035409999999 40.7839308, -73.9707291 40.7834169, -73.97077539999999 40.7833527)",,,,,,,,,
42421803,42437300,0,421853639,Columbus Avenue,primary,True,80.824,"LINESTRING (-73.9731496 40.7851818, -73.9735658 40.7846096, -73.9736127 40.7845451)",,4,,,,,,,
42421803,42421800,0,542216919,West 84th Street,residential,True,273.284,"LINESTRING (-73.9731496 40.7851818, -73.9704278 40.7840345, -73.9703136 40.7839863)",,,,,,,,,
42421806,42421803,0,5668977,West 84th Street,residential,True,271.735,"LINESTRING (-73.9759753 40.7863627, -73.9731496 40.7851818)",,,,,,,,,
42421806,42442475,0,740085321,Amsterdam Avenue,primary,True,81.135,"LINESTRING (-73.9759753 40.7863627, -73.9755091 40.7870013)",,,,,,,,,
