y,x,osmid,highway,ref,geometry
40.7980478,-73.9600437,42421728,traffic_signals,,POINT (-73.9600437 40.7980478)
40.798645,-73.9614743,42421731,traffic_signals,,POINT (-73.96147430000001 40.798645)
40.7992545,-73.962886,42421737,traffic_signals,,POINT (-73.962886 40.7992545)
40.8004313,-73.9657046,42421741,traffic_signals,,POINT (-73.9657046 40.8004313)
40.8014007,-73.9679942,42421745,traffic_signals,,POINT (-73.96799420000001 40.8014007)
40.8016441,-73.9685711,42421749,traffic_signals,,POINT (-73.96857110000001 40.8016441)
40.8022679,-73.9700504,42421751,,,POINT (-73.97005040000001 40.8022679)
40.7826383,-73.9750067,42421769,traffic_signals,,POINT (-73.97500669999999 40.7826383)
40.783828,-73.9778254,42421772,traffic_signals,,POINT (-73.9778254 40.783828)
40.7845691,-73.9795827,42421775,traffic_signals,,POINT (-73.97958269999999 40.7845691)
40.7850311,-73.9806779,42421776,traffic_signals,,POINT (-73.9806779 40.7850311)
40.7855935,-73.9820114,42421778,,,POINT (-73.9820114 40.7855935)
40.8593027,-73.9313326,42421783,traffic_signals,,POINT (-73.9313326 40.8593027)
40.858744,-73.930122,42421785,,,POINT (-73.930122 40.858744)
40.859012,-73.927625,42421786,,,POINT (-73.92762500000001 40.859012)
40.859944,-73.926786,42421791,,,POINT (-73.92678600000001 40.859944)
40.7839863,-73.9703136,42421800,traffic_signals,,POINT (-73.9703136 40.7839863)
40.7851818,-73.9731496,42421803,traffic_signals,,POINT (-73.9731496 40.7851818)
40.7863627,-73.9759753,42421806,traffic_signals,,POINT (-73.9759753 40.7863627)
40.7870877,-73.9776927,42421809,traffic_signals,,POINT (-73.97769270000001 40.7870877)
40.7875673,-73.9788289,42421810,traffic_signals,,POINT (-73.9788289 40.7875673)
40.7885135,-73.9810702,42421820,traffic_signals,,POINT (-73.9810702 40.7885135)
40.725326,-73.976212,42421828,,,POINT (-73.976212 40.725326)
40.8126219,-73.9568234,42421852,,,POINT (-73.9568234 40.8126219)
40.8138307,-73.9598214,42421857,traffic_signals,,POINT (-73.9598214 40.8138307)
40.814184,-73.9606929,42421865,,,POINT (-73.9606929 40.814184)
40.7328593,-73.9959038,42421877,traffic_signals,,POINT (-73.99590379999999 40.7328593)
40.7341463,-73.9991816,42421889,traffic_signals,,POINT (-73.9991816 40.7341463)
40.704221,-74.0087998,42421941,traffic_signals,,POINT (-74.00879980000001 40.704221)
40.703813,-74.008325,42421946,,,POINT (-74.008325 40.703813)
40.7033242,-74.0077787,42421951,traffic_signals,,POINT (-74.0077787 40.7033242)
40.7041084,-74.0089696,42421960,traffic_signals,,POINT (-74.0089696 40.7041084)
40.7032082,-74.0079771,42421965,traffic_signals,,POINT (-74.00797710000001 40.7032082)
40.769279,-73.9810202,42421969,traffic_signals,,POINT (-73.9810202 40.769279)
40.7697921,-73.9822548,42421972,traffic_signals,,POINT (-73.98225480000001 40.7697921)
40.7704805,-73.9838467,42421974,traffic_signals,,POINT (-73.9838467 40.7704805)
40.7716682,-73.9866896,42421982,traffic_signals,,POINT (-73.98668960000001 40.7716682)
40.7728658,-73.9895487,42421985,traffic_signals,,POINT (-73.9895487 40.7728658)
40.7872303,-73.9679486,42421993,traffic_signals,,POINT (-73.9679486 40.7872303)
40.7884325,-73.9707862,42421996,traffic_signals,,POINT (-73.97078620000001 40.7884325)
40.7896131,-73.9736025,42422000,traffic_signals,,POINT (-73.9736025 40.7896131)
40.7902552,-73.9751319,42422006,traffic_signals,,POINT (-73.97513189999999 40.7902552)
40.7908174,-73.9764565,42422016,traffic_signals,,POINT (-73.9764565 40.7908174)
40.7917606,-73.9786893,42422018,traffic_signals,,POINT (-73.9786893 40.7917606)
40.7115654,-74.0158085,42422026,traffic_signals,,POINT (-74.01580850000001 40.7115654)
40.7110102,-74.0143968,42422028,traffic_signals,,POINT (-74.0143968 40.7110102)
40.7101452,-74.0126714,42422035,,,POINT (-74.0126714 40.7101452)
40.709687,-74.011674,42422038,traffic_signals,,POINT (-74.011674 40.709687)
40.7091439,-74.010521,42422042,traffic_signals,,POINT (-74.010521 40.7091439)
40.708614,-74.009371,42422050,,,POINT (-74.009371 40.708614)
40.7077219,-74.008269,42422053,,,POINT (-74.008269 40.7077219)
40.8016857,-73.9334643,42422086,,,POINT (-73.9334643 40.8016857)
40.8021434,-73.9337698,42422110,,,POINT (-73.93376979999999 40.8021434)
40.8021279,-73.9328482,42422168,,,POINT (-73.9328482 40.8021279)
40.8006413,-73.9310755,42422207,,,POINT (-73.93107550000001 40.8006413)
40.7482137,-74.0074126,42422258,traffic_signals,,POINT (-74.00741259999999 40.7482137)
40.7064526,-74.002383,42422270,motorway_junction,2,POINT (-74.00238299999999 40.7064526)
40.7094916,-74.001657,42422283,traffic_signals,,POINT (-74.00165699999999 40.7094916)
40.7979661,-73.9223431,42422359,,,POINT (-73.92234310000001 40.7979661)
40.7854081,-73.983689,42422366,,,POINT (-73.983689 40.7854081)
40.7877568,-73.9828491,42422399,,,POINT (-73.9828491 40.7877568)
40.7380812,-73.973672,42422509,,,POINT (-73.97367199999999 40.7380812)
40.759667,-73.9582334,42422530,,,POINT (-73.9582334 40.759667)
40.7850896,-73.9842284,42422545,,,POINT (-73.98422840000001 40.7850896)
40.7849758,-73.9826602,42422592,traffic_signals,,POINT (-73.9826602 40.7849758)
40.7456771,-73.9721195,42422899,traffic_signals,,POINT (-73.97211950000001 40.7456771)
40.7460815,-73.9749232,42423020,traffic_signals,,POINT (-73.97492320000001 40.7460815)
40.7165061,-73.9756975,42423039,,,POINT (-73.9756975 40.7165061)
40.7188498,-73.9747446,42423051,traffic_signals,,POINT (-73.97474459999999 40.7188498)
40.7836063,-73.9852813,42423070,motorway_junction,,POINT (-73.9852813 40.7836063)
40.8442431,-73.9337066,42423101,traffic_signals,,POINT (-73.93370659999999 40.8442431)
40.8461493,-73.9323138,42423116,traffic_signals,,POINT (-73.9323138 40.8461493)
40.8026802,-73.9326138,42423170,motorway_junction,,POINT (-73.9326138 40.8026802)
40.8033714,-73.9329248,42423189,,,POINT (-73.9329248 40.8033714)
40.8027007,-73.9334044,42423203,traffic_signals,,POINT (-73.9334044 40.8027007)
40.71325,-73.977586,42423295,traffic_signals,,POINT (-73.977586 40.71325)
40.7124485,-73.9777809,42423296,,,POINT (-73.9777809 40.7124485)
40.7107361,-73.9816369,42423307,,,POINT (-73.9816369 40.7107361)
40.785842,-73.9837108,42423331,motorway_junction,,POINT (-73.9837108 40.785842)
40.7237914,-74.006113,42423456,traffic_signals,,POINT (-74.006113 40.7237914)
40.724504,-74.007029,42423514,,,POINT (-74.007029 40.724504)
40.7210513,-73.9747141,42423549,motorway_junction,5,POINT (-73.9747141 40.7210513)
40.7589757,-73.964501,42423564,traffic_signals,,POINT (-73.964501 40.7589757)
40.7596362,-73.9639971,42423565,traffic_signals,,POINT (-73.9639971 40.7596362)
40.7595738,-73.960551,42423579,,,POINT (-73.960551 40.7595738)
40.766876,-73.979076,42423674,traffic_signals,,POINT (-73.97907600000001 40.766876)
40.7620792,-73.9619892,42423752,traffic_signals,,POINT (-73.9619892 40.7620792)
40.738358,-73.9737798,42423774,,,POINT (-73.9737798 40.738358)
40.7588307,-73.9987308,42423832,,,POINT (-73.9987308 40.7588307)
40.7593876,-73.9969538,42423836,,,POINT (-73.9969538 40.7593876)
40.7588687,-73.9992177,42423847,,,POINT (-73.9992177 40.7588687)
40.7577413,-73.9968472,42423885,traffic_signals,,POINT (-73.9968472 40.7577413)
40.7828637,-73.943749,42424025,traffic_signals,,POINT (-73.943749 40.7828637)
