y,x,osmid,highway,ref,geometry
45.506909,9.2113974,136778865,,,POINT (9.211397399999999 45.506909)
45.5069458,9.2114887,136778867,,,POINT (9.2114887 45.5069458)
45.5072374,9.2122692,136778869,,,POINT (9.2122692 45.5072374)
45.507511,9.2127643,136778871,,,POINT (9.2127643 45.507511)
45.507812,9.2131152,136778873,,,POINT (9.213115200000001 45.507812)
45.5081509,9.213359,136778874,,,POINT (9.213359000000001 45.5081509)
45.5085609,9.2134978,136778875,,,POINT (9.213497800000001 45.5085609)
45.469171,9.1882299,139264778,traffic_signals,,POINT (9.1882299 45.469171)
45.4688097,9.1884152,251289216,,,POINT (9.1884152 45.4688097)
45.4684907,9.1886126,251289217,,,POINT (9.188612600000001 45.4684907)
45.4683211,9.1887702,251289218,,,POINT (9.1887702 45.4683211)
45.4677964,9.1895099,251289219,,,POINT (9.189509899999999 45.4677964)
45.5170961,9.1714597,254602514,traffic_signals,,POINT (9.1714597 45.5170961)
45.5169228,9.1684286,254602515,,,POINT (9.1684286 45.5169228)
45.5170018,9.1700813,254603136,,,POINT (9.1700813 45.5170018)
45.5169481,9.1689759,254609070,,,POINT (9.1689759 45.5169481)
45.4965853,9.1465302,255506956,,,POINT (9.146530200000001 45.4965853)
45.4960733,9.1470281,255507765,,,POINT (9.1470281 45.4960733)
45.4951923,9.1477866,255507980,,,POINT (9.1477866 45.4951923)
45.4936291,9.1491781,255508199,traffic_signals,,POINT (9.1491781 45.4936291)
45.4948309,9.1481028,256031729,,,POINT (9.1481028 45.4948309)
45.5022576,9.1400423,256031889,,,POINT (9.140042299999999 45.5022576)
45.4996866,9.1429944,256032840,traffic_signals,,POINT (9.142994399999999 45.4996866)
45.4981969,9.1446929,256033469,,,POINT (9.144692900000001 45.4981969)
45.4989828,9.1437969,256034420,,,POINT (9.1437969 45.4989828)
45.4984768,9.1443737,256034422,,,POINT (9.144373699999999 45.4984768)
45.5011993,9.1412697,256038169,traffic_signals,,POINT (9.1412697 45.5011993)
45.5024628,9.1398076,256039109,,,POINT (9.139807599999999 45.5024628)
