u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,bridge,access,tunnel,width,est_width,junction,service
251289218,4305610035,0,23227377,True,1,Via Andegari,residential,30,5.412,"LINESTRING (9.1887702 45.4683211, 9.1888358 45.468337)",,,,,,,
251289218,4305610035,1,"[293717175, 431354570, 273287559]",True,2,Via Giuseppe Verdi,"['cycleway', 'residential']",,271.849,"LINESTRING (9.1887702 45.4683211, 9.188852199999999 45.4682612, 9.189509899999999 45.4677964, 9.1898988 45.4675267, 9.1899906 45.4674558, 9.189997699999999 45.4674473, 9.1899987 45.4674628, 9.189943700000001 45.4675494, 9.189539099999999 45.4678092, 9.1892038 45.4680585, 9.188942300000001 45.4682588, 9.188905800000001 45.4682802, 9.1888358 45.468337)",,,,,,,
254602514,254602515,0,"[264900317, 47985621, 264900318]",True,,"['Piazza Santa Giustina', 'Viale Affori']",residential,30,236.98600000000002,"LINESTRING (9.1714597 45.5170961, 9.171374999999999 45.5170903, 9.1700813 45.5170018, 9.169455599999999 45.5169694, 9.1689759 45.5169481, 9.168514999999999 45.5169296, 9.1684286 45.5169228)",,,,,,,
255508199,256031889,0,"[260431552, 23594378, 276231928, 274289393, 276233236, 276233237, 274289398, 274289400, 276231929, 276231930, 274289407]",False,,Via Varesina,tertiary,,1196.8640000000003,"LINESTRING (9.1491781 45.4936291, 9.1490749 45.4937072, 9.148500800000001 45.4943882, 9.1481028 45.4948309, 9.148058900000001 45.4948811, 9.147976099999999 45.4949757, 9.1477866 45.4951923, 9.1477296 45.4952568, 9.1476278 45.4953767, 9.147066300000001 45.4960289, 9.1470281 45.4960733, 9.1465794 45.496535, 9.146530200000001 45.4965853, 9.146490399999999 45.4966245, 9.144692900000001 45.4981969, 9.144448799999999 45.4984109, 9.144373699999999 45.4984768, 9.1437969 45.4989828, 9.1437282 45.499043, 9.1430688 45.4996214, 9.142994399999999 45.4996866, 9.142905300000001 45.4997648, 9.142837200000001 45.4998245, 9.1425999 45.5000327, 9.1417801 45.5007517, 9.1413101 45.5011638, 9.1412697 45.5011993, 9.1412567 45.5012107, 9.141244 45.5012219, 9.1411712 45.5012857, 9.1406619 45.5017324, 9.1405501 45.5018305, 9.140042299999999 45.5022576)",,,,,,,
256031889,255508199,0,"[260431552, 23594378, 274289400, 274289393, 276233236, 276233237, 274289398, 276231928, 276231929, 276231930, 274289407]",False,,Via Varesina,tertiary,,1196.8639999999998,"LINESTRING (9.140042299999999 45.5022576, 9.1405501 45.5018305, 9.1406619 45.5017324, 9.1411712 45.5012857, 9.141244 45.5012219, 9.1412567 45.5012107, 9.1412697 45.5011993, 9.1413101 45.5011638, 9.1417801 45.5007517, 9.1425999 45.5000327, 9.142837200000001 45.4998245, 9.142905300000001 45.4997648, 9.142994399999999 45.4996866, 9.1430688 45.4996214, 9.1437282 45.499043, 9.1437969 45.4989828, 9.144373699999999 45.4984768, 9.144448799999999 45.4984109, 9.144692900000001 45.4981969, 9.146490399999999 45.4966245, 9.146530200000001 45.4965853, 9.1465794 45.496535, 9.1470281 45.4960733, 9.147066300000001 45.4960289, 9.1476278 45.4953767, 9.1477296 45.4952568, 9.1477866 45.4951923, 9.147976099999999 45.4949757, 9.148058900000001 45.4948811, 9.1481028 45.4948309, 9.148500800000001 45.4943882, 9.1490749 45.4937072, 9.1491781 45.4936291)",,,,,,,
256031889,6324304063,0,"[276233841, 277011151]",False,,Via Varesina,tertiary,,84.227,"LINESTRING (9.140042299999999 45.5022576, 9.139807599999999 45.5024628, 9.1393728 45.5028522)",,,,,,,
256031889,256031888,0,266426957,False,2,Via Antonio Raimondi,residential,,157.328,"LINESTRING (9.140042299999999 45.5022576, 9.1401124 45.502299, 9.1416138 45.5031457)",,,,,,,
273129377,251289218,0,273287558,True,,Via Giuseppe Verdi,residential,,43.017,"LINESTRING (9.188514100000001 45.4686617, 9.188612600000001 45.4684907, 9.1887702 45.4683211)",,,,,,,
273129377,1584842191,0,"[23227347, 111655182, 273287551]",True,1,"['Via Arrigo Boito', 'Via del Lauro']",residential,30,263.243,"LINESTRING (9.188514100000001 45.4686617, 9.1884131 45.4686334, 9.1882456 45.4685814, 9.187859700000001 45.4684241, 9.187564800000001 45.468297, 9.187526699999999 45.4682727, 9.18751 45.4682549, 9.1874451 45.4682741, 9.187382100000001 45.4682927, 9.186600200000001 45.4685486, 9.186548500000001 45.4685626, 9.186471600000001 45.4685653, 9.1864145 45.468566, 9.186178099999999 45.4685548, 9.185873600000001 45.4685551, 9.185556699999999 45.4686103, 9.185508799999999 45.4686243, 9.185439499999999 45.4686491, 9.185420499999999 45.4686547)",,,,,,,
705722212,6324304063,0,277011151,False,,Via Varesina,tertiary,,4.177,"LINESTRING (9.1393398 45.5028818, 9.1393728 45.5028522)",,,,,,,
