u,v,key,osmid,bridge,lanes,name,highway,maxspeed,oneway,length,geometry,access,tunnel,width
136778865,136778867,0,144395352,yes,2,Via Ernesto Breda,unclassified,30,False,8.208,"LINESTRING (9.211397399999999 45.506909, 9.2114887 45.5069458)",,,
136778865,1278935742,0,144395352,yes,2,Via Ernesto Breda,unclassified,30,False,7.837,"LINESTRING (9.211397399999999 45.506909, 9.2113193 45.5068646)",,,
136778867,136778869,0,144395352,yes,2,Via Ernesto Breda,unclassified,30,False,68.926,"LINESTRING (9.2114887 45.5069458, 9.2122692 45.5072374)",,,
136778867,136778865,0,144395352,yes,2,Via Ernesto Breda,unclassified,30,False,8.208,"LINESTRING (9.2114887 45.5069458, 9.211397399999999 45.506909)",,,
136778869,2562180276,0,144395352,yes,2,Via Ernesto Breda,unclassified,30,False,27.639,"LINESTRING (9.2122692 45.5072374, 9.212559000000001 45.5073807)",,,
136778869,136778867,0,144395352,yes,2,Via Ernesto Breda,unclassified,30,False,68.926,"LINESTRING (9.2122692 45.5072374, 9.2114887 45.5069458)",,,
136778871,1279206641,0,144395352,yes,2,Via Ernesto Breda,unclassified,30,False,21.419,"LINESTRING (9.2127643 45.507511, 9.2129467 45.5076551)",,,
136778871,2562180276,0,144395352,yes,2,Via Ernesto Breda,unclassified,30,False,21.584,"LINESTRING (9.2127643 45.507511, 9.212559000000001 45.5073807)",,,
136778873,1279206549,0,14440057,,2,Via Ernesto Breda,unclassified,50,False,19.095,"LINESTRING (9.213115200000001 45.507812, 9.213243500000001 45.5079583)",,,
136778873,3774409800,0,14440057,,2,Via Ernesto Breda,unclassified,50,False,9.116,"LINESTRING (9.213115200000001 45.507812, 9.2130458 45.507746)",,,
136778874,1279206613,0,14440057,,2,Via Ernesto Breda,unclassified,50,False,23.087,"LINESTRING (9.213359000000001 45.5081509, 9.2134365 45.5083513)",,,
136778874,1279206549,0,14440057,,2,Via Ernesto Breda,unclassified,50,False,23.231,"LINESTRING (9.213359000000001 45.5081509, 9.213243500000001 45.5079583)",,,
136778875,3774409801,0,14440057,,2,Via Ernesto Breda,unclassified,50,False,11.344,"LINESTRING (9.213497800000001 45.5085609, 9.2135151 45.5086622)",,,
136778875,1279206613,0,14440057,,2,Via Ernesto Breda,unclassified,50,False,23.791,"LINESTRING (9.213497800000001 45.5085609, 9.2134365 45.5083513)",,,
139264778,1855655546,0,23227334,,,Via Giuseppe Verdi,residential,,True,1.857,"LINESTRING (9.1882299 45.469171, 9.188238 45.4691553)",,,
251289216,273129377,0,23227334,,,Via Giuseppe Verdi,residential,,True,18.174,"LINESTRING (9.1884152 45.4688097, 9.188514100000001 45.4686617)",,,
251289217,251289218,0,273287558,,,Via Giuseppe Verdi,residential,,True,22.51,"LINESTRING (9.188612600000001 45.4684907, 9.1887702 45.4683211)",,,
251289218,1449050684,0,273287559,,2,Via Giuseppe Verdi,residential,,True,9.233,"LINESTRING (9.1887702 45.4683211, 9.188852199999999 45.4682612)",,,
251289219,3526193675,0,293717175,,2,Via Giuseppe Verdi,residential,,True,42.651,"LINESTRING (9.189509899999999 45.4677964, 9.1898988 45.4675267)",,,
254602514,2572066689,0,47985621,,,Viale Affori,residential,30,True,6.631,"LINESTRING (9.1714597 45.5170961, 9.171374999999999 45.5170903)",,,
254603136,1773714652,0,264900318,,,Piazza Santa Giustina,residential,30,True,48.884,"LINESTRING (9.1700813 45.5170018, 9.169455599999999 45.5169694)",,,
254609070,1345740833,0,264900317,,,Viale Affori,residential,30,True,35.97,"LINESTRING (9.1689759 45.5169481, 9.168514999999999 45.5169296)",,,
255506956,1538079295,0,260431552,,,Via Varesina,tertiary,,False,5.35,"LINESTRING (9.146530200000001 45.4965853, 9.146490399999999 45.4966245)",,,
255506956,1538079285,0,274289400,,,Via Varesina,tertiary,,False,6.781,"LINESTRING (9.146530200000001 45.4965853, 9.1465794 45.496535)",,,
255507765,1538079285,0,274289400,,,Via Varesina,tertiary,,False,62.119,"LINESTRING (9.1470281 45.4960733, 9.1465794 45.496535)",,,
255507765,1500373148,0,274289407,,,Via Varesina,tertiary,,False,5.765,"LINESTRING (9.1470281 45.4960733, 9.147066300000001 45.4960289)",,,
255507980,2659364693,0,274289398,,,Via Varesina,tertiary,,False,28.253,"LINESTRING (9.1477866 45.4951923, 9.147976099999999 45.4949757)",,,
