u,v,key,osmid,oneway,name,highway,length,geometry,lanes,maxspeed,bridge,access,tunnel,width
139264778,1855655546,0,23227334,True,Via Giuseppe Verdi,residential,1.857,"LINESTRING (9.1882299 45.469171, 9.188238 45.4691553)",,,,,,
251289216,273129377,0,23227334,True,Via Giuseppe Verdi,residential,18.174,"LINESTRING (9.1884152 45.4688097, 9.188514100000001 45.4686617)",,,,,,
251289217,251289218,0,273287558,True,Via Giuseppe Verdi,residential,22.51,"LINESTRING (9.188612600000001 45.4684907, 9.1887702 45.4683211)",,,,,,
251289218,1449050684,0,273287559,True,Via Giuseppe Verdi,residential,9.233,"LINESTRING (9.1887702 45.4683211, 9.188852199999999 45.4682612)",2,,,,,
251289219,3526193675,0,293717175,True,Via Giuseppe Verdi,residential,42.651,"LINESTRING (9.189509899999999 45.4677964, 9.1898988 45.4675267)",2,,,,,
254602514,254602515,0,"[264900317, 47985621, 264900318]",True,"['Piazza Santa Giustina', 'Viale Affori']",residential,236.98600000000002,"LINESTRING (9.1714597 45.5170961, 9.171374999999999 45.5170903, 9.1700813 45.5170018, 9.169455599999999 45.5169694, 9.1689759 45.5169481, 9.168514999999999 45.5169296, 9.1684286 45.5169228)",,30,,,,
255508199,256031889,0,"[260431552, 23594378, 276231928, 274289393, 276233236, 276233237, 274289398, 274289400, 276231929, 276231930, 274289407]",False,Via Varesina,tertiary,1196.8640000000003,"LINESTRING (9.1491781 45.4936291, 9.1490749 45.4937072, 9.148500800000001 45.4943882, 9.1481028 45.4948309, 9.148058900000001 45.4948811, 9.147976099999999 45.4949757, 9.1477866 45.4951923, 9.1477296 45.4952568, 9.1476278 45.4953767, 9.147066300000001 45.4960289, 9.1470281 45.4960733, 9.1465794 45.496535, 9.146530200000001 45.4965853, 9.146490399999999 45.4966245, 9.144692900000001 45.4981969, 9.144448799999999 45.4984109, 9.144373699999999 45.4984768, 9.1437969 45.4989828, 9.1437282 45.499043, 9.1430688 45.4996214, 9.142994399999999 45.4996866, 9.142905300000001 45.4997648, 9.142837200000001 45.4998245, 9.1425999 45.5000327, 9.1417801 45.5007517, 9.1413101 45.5011638, 9.1412697 45.5011993, 9.1412567 45.5012107, 9.141244 45.5012219, 9.1411712 45.5012857, 9.1406619 45.5017324, 9.1405501 45.5018305, 9.140042299999999 45.5022576)",,,,,,
256031889,255508199,0,"[260431552, 23594378, 274289400, 274289393, 276233236, 276233237, 274289398, 276231928, 276231929, 276231930, 274289407]",False,Via Varesina,tertiary,1196.8639999999998,"LINESTRING (9.140042299999999 45.5022576, 9.1405501 45.5018305, 9.1406619 45.5017324, 9.1411712 45.5012857, 9.141244 45.5012219, 9.1412567 45.5012107, 9.1412697 45.5011993, 9.1413101 45.5011638, 9.1417801 45.5007517, 9.1425999 45.5000327, 9.142837200000001 45.4998245, 9.142905300000001 45.4997648, 9.142994399999999 45.4996866, 9.1430688 45.4996214, 9.1437282 45.499043, 9.1437969 45.4989828, 9.144373699999999 45.4984768, 9.144448799999999 45.4984109, 9.144692900000001 45.4981969, 9.146490399999999 45.4966245, 9.146530200000001 45.4965853, 9.1465794 45.496535, 9.1470281 45.4960733, 9.147066300000001 45.4960289, 9.1476278 45.4953767, 9.1477296 45.4952568, 9.1477866 45.4951923, 9.147976099999999 45.4949757, 9.148058900000001 45.4948811, 9.1481028 45.4948309, 9.148500800000001 45.4943882, 9.1490749 45.4937072, 9.1491781 45.4936291)",,,,,,
256031889,6324304063,0,"[276233841, 277011151]",False,Via Varesina,tertiary,84.227,"LINESTRING (9.140042299999999 45.5022576, 9.139807599999999 45.5024628, 9.1393728 45.5028522)",,,,,,
256031889,256031888,0,266426957,False,Via Antonio Raimondi,residential,157.328,"LINESTRING (9.140042299999999 45.5022576, 9.1401124 45.502299, 9.1416138 45.5031457)",2,,,,,
273129377,251289217,0,273287558,True,Via Giuseppe Verdi,residential,20.507,"LINESTRING (9.188514100000001 45.4686617, 9.188612600000001 45.4684907)",,,,,,
280073724,1579436493,0,"[144395352, 14440057, 374036851]",False,Via Ernesto Breda,unclassified,328.052,"LINESTRING (9.2135734 45.5090039, 9.2135151 45.5086622, 9.213497800000001 45.5085609, 9.2134365 45.5083513, 9.213359000000001 45.5081509, 9.213243500000001 45.5079583, 9.213115200000001 45.507812, 9.2130458 45.507746, 9.2129467 45.5076551, 9.2127643 45.507511, 9.212559000000001 45.5073807, 9.2122692 45.5072374, 9.2114887 45.5069458, 9.211397399999999 45.506909, 9.2113193 45.5068646, 9.2112181 45.5067858)",2,"['50', '30']",yes,,,
705722212,6324304063,0,277011151,False,Via Varesina,tertiary,4.177,"LINESTRING (9.1393398 45.5028818, 9.1393728 45.5028522)",,,,,,
1449050684,251289219,0,273287559,True,Via Giuseppe Verdi,residential,72.813,"LINESTRING (9.188852199999999 45.4682612, 9.189509899999999 45.4677964)",2,,,,,
1449050692,251289216,0,23227334,True,Via Giuseppe Verdi,residential,35.905,"LINESTRING (9.188260400000001 45.4691138, 9.1884152 45.4688097)",,,,,,
1579436493,280073724,0,"[144395352, 14440057, 374036851]",False,Via Ernesto Breda,unclassified,328.052,"LINESTRING (9.2112181 45.5067858, 9.2113193 45.5068646, 9.211397399999999 45.506909, 9.2114887 45.5069458, 9.2122692 45.5072374, 9.212559000000001 45.5073807, 9.2127643 45.507511, 9.2129467 45.5076551, 9.2130458 45.507746, 9.213115200000001 45.507812, 9.213243500000001 45.5079583, 9.213359000000001 45.5081509, 9.2134365 45.5083513, 9.213497800000001 45.5085609, 9.2135151 45.5086622, 9.2135734 45.5090039)",2,"['50', '30']",yes,,,
1584818312,1584826214,0,293717175,True,Via Giuseppe Verdi,residential,1.095,"LINESTRING (9.1899906 45.4674558, 9.189997699999999 45.4674473)",2,,,,,
1584826214,4305610315,0,431354570,True,,cycleway,1.725,"LINESTRING (9.189997699999999 45.4674473, 9.1899987 45.4674628)",,,,,,
1855655546,1449050692,0,23227334,True,Via Giuseppe Verdi,residential,4.934,"LINESTRING (9.188238 45.4691553, 9.188260400000001 45.4691138)",,,,,,
3526193675,1584818312,0,293717175,True,Via Giuseppe Verdi,residential,10.649,"LINESTRING (9.1898988 45.4675267, 9.1899906 45.4674558)",2,,,,,
3815277089,4187901869,0,111696614,False,Via San Dionigi,tertiary,5.076,"LINESTRING (9.2263822 45.4299391, 9.226353899999999 45.4299802)",2,,,,,
3815277094,4187901869,0,111696614,False,Via San Dionigi,tertiary,239.336,"LINESTRING (9.2243128 45.4315588, 9.225979300000001 45.4304465, 9.2260326 45.4304088, 9.2260768 45.4303673, 9.226122200000001 45.4303162, 9.226353899999999 45.4299802)",2,,,,,
4187901869,3815277089,0,111696614,False,Via San Dionigi,tertiary,5.076,"LINESTRING (9.226353899999999 45.4299802, 9.2263822 45.4299391)",2,,,,,
4187901869,3815277094,0,111696614,False,Via San Dionigi,tertiary,239.336,"LINESTRING (9.226353899999999 45.4299802, 9.226122200000001 45.4303162, 9.2260768 45.4303673, 9.2260326 45.4304088, 9.225979300000001 45.4304465, 9.2243128 45.4315588)",2,,,,,
4187901869,2725064188,0,402260617,False,,cycleway,254.328,"LINESTRING (9.226353899999999 45.4299802, 9.226405099999999 45.4300002, 9.2261524 45.4303561, 9.226006 45.430475, 9.224363 45.4315677, 9.224270300000001 45.4316473)",,,,,,
4187901869,4046742283,0,"[402260617, 402260209]",False,,cycleway,1353.056,"LINESTRING (9.226353899999999 45.4299802, 9.2262868 45.4299541, 9.2263482 45.4298521, 9.226405099999999 45.4297099, 9.226362399999999 45.4296819, 9.2263176 45.4296177, 9.2263664 45.4295559, 9.226471699999999 45.4294869, 9.226772199999999 45.429325, 9.2269252 45.4292189, 9.227409099999999 45.4287463, 9.228056199999999 45.428077, 9.2285243 45.4274892, 9.2296443 45.4266744, 9.230981099999999 45.4254896, 9.231318 45.425191, 9.2333725 45.4235683, 9.234359599999999 45.4227249, 9.234890699999999 45.4223522, 9.2353305 45.4220886, 9.2362103 45.4215954, 9.237401200000001 45.4209101)",,,,,,
6324304063,705722212,0,277011151,False,Via Varesina,tertiary,4.177,"LINESTRING (9.1393728 45.5028522, 9.1393398 45.5028818)",,,,,,
6324304063,256031889,0,"[276233841, 277011151]",False,Via Varesina,tertiary,84.227,"LINESTRING (9.1393728 45.5028522, 9.139807599999999 45.5024628, 9.140042299999999 45.5022576)",,,,,,
6324304063,3646646634,0,675314994,False,,cycleway,1281.8289999999995,"LINESTRING (9.1393728 45.5028522, 9.1393562 45.5028185, 9.139778 45.5024475, 9.1411587 45.5012403, 9.1412125 45.5012035, 9.1412245 45.5011915, 9.141238 45.5011792, 9.1413732 45.5010533, 9.1417407 45.500728, 9.1424837 45.5000926, 9.142970800000001 45.4996699, 9.143766400000001 45.4989677, 9.144342200000001 45.4984492, 9.144404099999999 45.4983874, 9.1460054 45.4969774, 9.1464721 45.4965638, 9.146920100000001 45.4961182, 9.146977100000001 45.496061, 9.1471775 45.4958493, 9.147738199999999 45.4951785, 9.148073399999999 45.4948058, 9.148483799999999 45.4943358, 9.148912899999999 45.4938281, 9.1490068 45.4937003, 9.1491185 45.49361)",,,,,,
21226136,2517370906,0,"[270668139, 362231885, 270668141, 8311379, 273266772]",True,Bastioni di Porta Venezia,secondary,311.149,"LINESTRING (9.2043555 45.4745374, 9.2042658 45.4745842, 9.204098200000001 45.4746581, 9.2034582 45.4749498, 9.2029839 45.4751574, 9.202788699999999 45.4752476, 9.2017554 45.4757221, 9.2010086 45.4760608)",,,,,,
153558266,2915911492,0,"[32278154, 288045507]",False,Via Principe Eugenio,residential,67.715,"LINESTRING (9.1676824 45.4919445, 9.1682647 45.4923038, 9.1682945 45.4923323, 9.168309600000001 45.4923602)",,,,,,
153558269,2915911492,0,"[267292075, 288045507]",False,Via Principe Eugenio,residential,243.64000000000001,"LINESTRING (9.166199799999999 45.4939436, 9.166736500000001 45.4936272, 9.1670991 45.4933573, 9.167367 45.493156, 9.167648700000001 45.4929434, 9.1682907 45.4924591, 9.1683112 45.492424, 9.1683159 45.4923925, 9.168309600000001 45.4923602)",,,,,,
295560572,2799099888,0,"[26971424, 25765153]",False,Via Domokos,residential,323.27000000000004,"LINESTRING (9.1219184 45.4678455, 9.1218409 45.4677742, 9.1218001 45.4677225, 9.1217793 45.4676825, 9.121762 45.4676309, 9.1217595 45.4675865, 9.1217665 45.4675416, 9.1217893 45.4675049, 9.121827 45.4674747, 9.1218691 45.4674485, 9.1219178 45.4674243, 9.121991599999999 45.4674089, 9.122064099999999 45.4674062, 9.122143700000001 45.4674135, 9.122228399999999 45.467426, 9.122302899999999 45.4674413, 9.1223837 45.467463, 9.122478600000001 45.4674959, 9.122560999999999 45.4675319, 9.123273899999999 45.4679024, 9.123335900000001 45.4679297, 9.1234024 45.4679479, 9.123506000000001 45.4679666, 9.1235389 45.4679729, 9.124040900000001 45.4680698, 9.125064699999999 45.4682673)",,,,,,
310062493,2711555983,0,"[28230273, 265503741, 265503734]",True,"['Via Vincenzo Amidani', 'Via Antegnati']",unclassified,324.371,"LINESTRING (9.199972900000001 45.4248599, 9.1999742 45.4247527, 9.1999599 45.4246507, 9.2003673 45.4237071, 9.200388999999999 45.4235742, 9.2003868 45.4234921, 9.200358100000001 45.4233933, 9.2002983 45.4232915, 9.200212000000001 45.4231952, 9.1996135 45.4227044, 9.199560200000001 45.422671, 9.199480700000001 45.4226381, 9.199423599999999 45.4226365, 9.1993723 45.422651, 9.199219599999999 45.4227225, 9.1989921 45.4228622)",,,,,,
1408209811,2725186516,0,233508508,True,Cavalcavia Eugenio Bussa,unclassified,34.587,"LINESTRING (9.1851748 45.4841328, 9.1854738 45.4843626)",,50,yes,yes,,
1408209811,7859210713,0,402263138,False,Cavalcavia Eugenio Bussa,cycleway,2.14,"LINESTRING (9.1851748 45.4841328, 9.1851714 45.4841519)",,,yes,,,
2517370896,2517370906,0,244418971,False,,cycleway,12.576,"LINESTRING (9.2009189 45.4759668, 9.2010086 45.4760608)",,,,,,
2517370896,2517370912,0,244418971,False,,cycleway,7.36,"LINESTRING (9.2009189 45.4759668, 9.2008668 45.4759116)",,,,,,
2517370896,21306385,0,"[270668137, 129032132, 270668143]",True,Bastioni di Porta Venezia,secondary,316.71500000000003,"LINESTRING (9.2009189 45.4759668, 9.201030100000001 45.4759135, 9.2016644 45.4756243, 9.2029116 45.475068, 9.2041986 45.4744999, 9.204329299999999 45.4744218)",,,,,,
2517370906,2517372266,0,244418971,False,,cycleway,5.579,"LINESTRING (9.2010086 45.4760608, 9.201048399999999 45.4761025)",,,,,,
2517370906,2517370896,0,244418971,False,,cycleway,12.576,"LINESTRING (9.2010086 45.4760608, 9.2009189 45.4759668)",,,,,,
2517370906,2517370907,0,"[129032121, 270668141]",True,"['Bastioni di Porta Venezia', 'Viale Città di Fiume']",secondary,10.671,"LINESTRING (9.2010086 45.4760608, 9.2009542 45.4760856, 9.2008946 45.4761139)",,,,,,
2517370907,2517372263,0,244418974,False,,cycleway,5.6,"LINESTRING (9.2008946 45.4761139, 9.2009338 45.4761561)",,,,,,
2517370907,2517370914,0,244418974,False,,cycleway,12.663,"LINESTRING (9.2008946 45.4761139, 9.200805900000001 45.4760185)",,,,,,
2517370907,21226667,0,"[270652200, 129032121, 270652196, 270652198]",True,Viale Città di Fiume,secondary,256.307,"LINESTRING (9.2008946 45.4761139, 9.200658000000001 45.4762259, 9.1999823 45.476536, 9.1992148 45.4768848, 9.1988249 45.4770628, 9.198610199999999 45.4771752, 9.1984242 45.4772805, 9.1982014 45.477429)",,,,,,
2517370914,2517370907,0,244418974,False,,cycleway,12.663,"LINESTRING (9.200805900000001 45.4760185, 9.2008946 45.4761139)",,,,,,
2517370914,2517370902,0,244418974,False,,cycleway,7.269,"LINESTRING (9.200805900000001 45.4760185, 9.200754 45.4759642)",,,,,,
2517370914,2517370896,0,"[274103139, 129032132]",True,"['Bastioni di Porta Venezia', 'Viale Città di Fiume']",secondary,10.521,"LINESTRING (9.200805900000001 45.4760185, 9.200866400000001 45.4759912, 9.2009189 45.4759668)",,,,,,
2705632312,2711555983,0,264913894,False,Via Antegnati,unclassified,469.48400000000004,"LINESTRING (9.196841300000001 45.4267683, 9.1980015 45.4240587, 9.1980193 45.4240172, 9.1981868 45.4237396, 9.198362599999999 45.4234811, 9.1985221 45.4232937, 9.198744 45.4230783, 9.198814 45.4230173, 9.1989921 45.4228622)",,,,,,
2711555983,2705632312,0,264913894,False,Via Antegnati,unclassified,469.48400000000004,"LINESTRING (9.1989921 45.4228622, 9.198814 45.4230173, 9.198744 45.4230783, 9.1985221 45.4232937, 9.198362599999999 45.4234811, 9.1981868 45.4237396, 9.1980193 45.4240172, 9.1980015 45.4240587, 9.196841300000001 45.4267683)",,,,,,
2756686980,2517384611,0,244421227,True,,cycleway,8.994,"LINESTRING (9.1989011 45.4769246, 9.1989289 45.4768461)",,,,,,
2756686980,2517370914,0,"[274103139, 270655061, 270655062]",True,Viale Città di Fiume,secondary,179.503,"LINESTRING (9.1989011 45.4769246, 9.199152 45.4768004, 9.1998804 45.4764395, 9.2006558 45.476086, 9.200805900000001 45.4760185)",,,,,,
2778465384,2542791127,0,"[173087882, 23301292]",True,Piazza Otto Novembre,unclassified,63.992999999999995,"LINESTRING (9.211048399999999 45.4743697, 9.2109696 45.4743696, 9.2109019 45.4743721, 9.2108425 45.4743884, 9.2106204 45.4744831, 9.2105801 45.474504, 9.2105473 45.4745414, 9.2105394 45.4745602, 9.210528800000001 45.4745862, 9.2105035 45.4746121, 9.2104476 45.4746318, 9.210388 45.4746478)",,,,,,
2799099888,295560572,0,"[26971424, 25765153]",False,Via Domokos,residential,323.27000000000004,"LINESTRING (9.125064699999999 45.4682673, 9.124040900000001 45.4680698, 9.1235389 45.4679729, 9.123506000000001 45.4679666, 9.1234024 45.4679479, 9.123335900000001 45.4679297, 9.123273899999999 45.4679024, 9.122560999999999 45.4675319, 9.122478600000001 45.4674959, 9.1223837 45.467463, 9.122302899999999 45.4674413, 9.122228399999999 45.467426, 9.122143700000001 45.4674135, 9.122064099999999 45.4674062, 9.121991599999999 45.4674089, 9.1219178 45.4674243, 9.1218691 45.4674485, 9.121827 45.4674747, 9.1217893 45.4675049, 9.1217665 45.4675416, 9.1217595 45.4675865, 9.121762 45.4676309, 9.1217793 45.4676825, 9.1218001 45.4677225, 9.1218409 45.4677742, 9.1219184 45.4678455)",,,,,,
2915911492,153558269,0,"[288045507, 267292075]",False,Via Principe Eugenio,residential,243.64,"LINESTRING (9.168309600000001 45.4923602, 9.1683159 45.4923925, 9.1683112 45.492424, 9.1682907 45.4924591, 9.167648700000001 45.4929434, 9.167367 45.493156, 9.1670991 45.4933573, 9.166736500000001 45.4936272, 9.166199799999999 45.4939436)",,,,,,
2915911492,153558266,0,"[32278154, 288045507]",False,Via Principe Eugenio,residential,67.715,"LINESTRING (9.168309600000001 45.4923602, 9.1682945 45.4923323, 9.1682647 45.4923038, 9.1676824 45.4919445)",,,,,,
2915911492,2731117416,0,288043033,False,,cycleway,583.536,"LINESTRING (9.168309600000001 45.4923602, 9.1676023 45.4929074, 9.167312900000001 45.49312, 9.167044199999999 45.4933216, 9.166714799999999 45.4935686, 9.1663546 45.4937915, 9.166089899999999 45.493925, 9.1660214 45.4939456, 9.1659826 45.4939503, 9.1659142 45.4939503, 9.1658624 45.4939382, 9.1657774 45.4939062, 9.165740599999999 45.49392, 9.1656002 45.49403, 9.1655666 45.4940543, 9.16554 45.494081, 9.1655338 45.4941077, 9.1655351 45.4941324, 9.1655237 45.4941581, 9.165506000000001 45.4941762, 9.1654669 45.4941977, 9.1650092 45.4943989, 9.164446399999999 45.4946401, 9.163937499999999 45.4948895, 9.1625607 45.49551)",,,,,,
3080707867,31013212,0,"[327966619, 275503412]",True,Viale Regina Giovanna,tertiary,56.554,"LINESTRING (9.2104968 45.474879, 9.210930299999999 45.4746781, 9.2111059 45.474603)",,,,,,
21555411,3642807391,0,27638652,False,,cycleway,13.878,"LINESTRING (9.1796153 45.4725433, 9.1794379 45.4725533)",,,,yes,,
31027306,3730739329,0,"[4826604, 286054687]",False,Via Francesco Cherubini,cycleway,221.843,"LINESTRING (9.1592334 45.466362, 9.159296700000001 45.4665579, 9.159304799999999 45.466578, 9.1593108 45.4665978, 9.1593122 45.4666013, 9.1593705 45.4667429, 9.1596213 45.4672893, 9.159646800000001 45.4673449, 9.1596423 45.4673724, 9.159626400000001 45.4673933, 9.1596092 45.467415, 9.159612900000001 45.4674242, 9.1596432 45.4675063, 9.159657299999999 45.4675215, 9.159706099999999 45.4675535, 9.1600793 45.4677987, 9.1603344 45.4679663, 9.160419600000001 45.4679803, 9.160498 45.4680219)",,,,,,
31027306,31027309,0,4826605,True,Via Domenico Cimarosa,cycleway,117.27,"LINESTRING (9.1592334 45.466362, 9.159058 45.4664435, 9.158682499999999 45.4655755)",,,,,,
31027309,31027306,0,4826605,True,Via Domenico Cimarosa,cycleway,116.986,"LINESTRING (9.158682499999999 45.4655755, 9.1589353 45.465521, 9.1592334 45.466362)",,,,,,
31027309,31027344,0,"[170299626, 4826610]",False,,cycleway,436.168,"LINESTRING (9.158682499999999 45.4655755, 9.158584299999999 45.4653463, 9.158559 45.4652668, 9.158566199999999 45.465219, 9.158575000000001 45.4651961, 9.158650099999999 45.465126, 9.1586683 45.4651029, 9.158674299999999 45.4650787, 9.158665600000001 45.4650423, 9.1586386 45.4649647, 9.158634599999999 45.4649514, 9.1586249 45.4649355, 9.158605400000001 45.4649242, 9.1584947 45.4648826, 9.1584749 45.4648708, 9.1584611 45.464859, 9.158452199999999 45.4648459, 9.1583161 45.464422, 9.158314900000001 45.4644085, 9.1583191 45.4643955, 9.158334699999999 45.4643748, 9.1583539 45.4643605, 9.1584919 45.4643089, 9.158658900000001 45.4642559, 9.158765499999999 45.4642221, 9.158810900000001 45.4641988, 9.158837699999999 45.4641698, 9.1588511 45.4641448, 9.1588551 45.464124, 9.1589262 45.4631438, 9.1589434 45.4630498, 9.1593956 45.4621309, 9.1594228 45.4620727, 9.159445699999999 45.4620429)",,,,,,
31027343,31027344,0,256587278,True,,cycleway,970.6429999999999,"LINESTRING (9.159194100000001 45.4619623, 9.1603745 45.4606597, 9.1603917 45.4606408, 9.160411099999999 45.4606266, 9.1608245 45.4603191, 9.1612493 45.460072, 9.161614699999999 45.4598798, 9.162784 45.4593492, 9.163057500000001 45.4592567, 9.163558999999999 45.4590795, 9.1635829 45.4591058, 9.1637389 45.4592854, 9.1637574 45.4593105, 9.1628636 45.4596302, 9.162216900000001 45.459865, 9.1619274 45.4600192, 9.161448999999999 45.4602754, 9.1607257 45.4607559, 9.1607053 45.46077, 9.160693 45.460783, 9.1601429 45.4613181, 9.159445699999999 45.4620429)",,,,,,
31027344,31027343,0,256587278,True,,cycleway,21.572,"LINESTRING (9.159445699999999 45.4620429, 9.159194100000001 45.4619623)",,,,,,
