y,x,osmid,highway,geometry
45.469171,9.1882299,139264778,traffic_signals,POINT (9.1882299 45.469171)
45.4688097,9.1884152,251289216,,POINT (9.1884152 45.4688097)
45.4684907,9.1886126,251289217,,POINT (9.188612600000001 45.4684907)
45.4683211,9.1887702,251289218,,POINT (9.1887702 45.4683211)
45.4677964,9.1895099,251289219,,POINT (9.189509899999999 45.4677964)
45.5170961,9.1714597,254602514,traffic_signals,POINT (9.1714597 45.5170961)
45.5169228,9.1684286,254602515,,POINT (9.1684286 45.5169228)
45.4936291,9.1491781,255508199,traffic_signals,POINT (9.1491781 45.4936291)
45.5022576,9.1400423,256031889,,POINT (9.140042299999999 45.5022576)
45.4686617,9.1885141,273129377,,POINT (9.188514100000001 45.4686617)
45.5090039,9.2135734,280073724,,POINT (9.2135734 45.5090039)
45.5028818,9.1393398,705722212,,POINT (9.1393398 45.5028818)
45.4682612,9.1888522,1449050684,crossing,POINT (9.188852199999999 45.4682612)
45.4691138,9.1882604,1449050692,crossing,POINT (9.188260400000001 45.4691138)
45.5067858,9.2112181,1579436493,,POINT (9.2112181 45.5067858)
45.4674558,9.1899906,1584818312,,POINT (9.1899906 45.4674558)
45.4674473,9.1899977,1584826214,,POINT (9.189997699999999 45.4674473)
45.4691553,9.188238,1855655546,,POINT (9.188238 45.4691553)
45.4675267,9.1898988,3526193675,crossing,POINT (9.1898988 45.4675267)
45.4299391,9.2263822,3815277089,,POINT (9.2263822 45.4299391)
45.4315588,9.2243128,3815277094,,POINT (9.2243128 45.4315588)
45.4299802,9.2263539,4187901869,,POINT (9.226353899999999 45.4299802)
45.5028522,9.1393728,6324304063,,POINT (9.1393728 45.5028522)
45.4745374,9.2043555,21226136,traffic_signals,POINT (9.2043555 45.4745374)
45.477429,9.1982014,21226667,,POINT (9.1982014 45.477429)
45.4744218,9.2043293,21306385,traffic_signals,POINT (9.204329299999999 45.4744218)
45.474603,9.2111059,31013212,traffic_signals,POINT (9.2111059 45.474603)
45.4919445,9.1676824,153558266,,POINT (9.1676824 45.4919445)
45.4939436,9.1661998,153558269,,POINT (9.166199799999999 45.4939436)
45.4678455,9.1219184,295560572,crossing,POINT (9.1219184 45.4678455)
45.4248599,9.1999729,310062493,,POINT (9.199972900000001 45.4248599)
45.4841328,9.1851748,1408209811,crossing,POINT (9.1851748 45.4841328)
45.4759668,9.2009189,2517370896,,POINT (9.2009189 45.4759668)
45.4760608,9.2010086,2517370906,,POINT (9.2010086 45.4760608)
