u,v,key,osmid,oneway,lanes,highway,maxspeed,length,geometry,name,access,bridge,est_width,junction,service,width,tunnel
14461396,409857706,0,44157449,True,1,motorway_link,20,54.491,"LINESTRING (9.0669913 45.4889359, 9.066925899999999 45.4894238)",,,,,,,,
21225882,4690876501,0,4497607,True,1,tertiary,30,12.496,"LINESTRING (9.160963499999999 45.4806385, 9.161079300000001 45.4807162)",Via Domodossola,,,,,,,
21225938,2608470453,0,277217682,False,,tertiary,30,4.591,"LINESTRING (9.1639558 45.4607197, 9.1639988 45.4606915)",Viale Coni Zugna,,,,,,,
21225955,4891272627,0,271407564,False,,tertiary,30,5.705,"LINESTRING (9.1550145 45.4474738, 9.1550843 45.4474891)",Via Lodovico il Moro,,,,,,,
21225991,561070739,0,582631176,True,,service,10,13.651,"LINESTRING (9.150620399999999 45.4592372, 9.1504476 45.4592567)",,permissive,,,,,,
21226040,1942874523,0,183873029,True,1,residential,30,7.177,"LINESTRING (9.1874681 45.4570009, 9.1873761 45.4570023)",Via Crocefisso,,,,,,,
21226072,2659271357,0,4018805,True,,residential,30,12.214,"LINESTRING (9.173960299999999 45.4812253, 9.1738711 45.4813156)",Via Luca Signorelli,yes,,,,,,
21226072,21226162,0,275209601,True,,service,30,67.059,"LINESTRING (9.173960299999999 45.4812253, 9.1731047 45.4811635)",Via Paolo Sarpi,no,,,,,,
21226074,1280222981,0,4683870,True,,residential,30,9.885,"LINESTRING (9.146630399999999 45.4549628, 9.146512 45.4549311)",Via Mario Donati,,,,,,,
21226091,3915089555,0,57871140,True,,residential,30,4.628,"LINESTRING (9.1718841 45.4823616, 9.1718393 45.4823343)",Via Giovanni Battista Bertini,,,,,,,
21226308,2958408756,0,4518726,True,,service,30,4.159,"LINESTRING (9.1430717 45.4600734, 9.143112 45.4600979)",Viale Caterina da Forlì,,,,,,,
21226317,21310576,0,4073539,True,,unclassified,30,69.896,"LINESTRING (9.142415400000001 45.4647218, 9.1416889 45.4643537)",Piazzale Veronica Gambara,,,,,,,
21226393,968034271,0,286054688,False,,residential,30,90.091,"LINESTRING (9.1580005 45.4688987, 9.158670600000001 45.4695587)",Via Piero Capponi,,,,,,,
21226414,1542144397,0,4522473,True,,service,10,14.815,"LINESTRING (9.1509678 45.459017, 9.150909499999999 45.4591438)",,permissive,,,,,,
21226526,2719437326,0,266381574,True,,residential,30,12.815,"LINESTRING (9.1438141 45.4541616, 9.1436595 45.4541226)",Via Mario Donati,,,,,,,
21226559,281590543,0,168877729,False,,unclassified,30,7.253,"LINESTRING (9.1616374 45.4700975, 9.1616851 45.4701535)",Via Giorgio Pallavicino,,,,,,,
21226571,1280222924,0,265974815,True,,residential,30,5.795,"LINESTRING (9.1457953 45.4547259, 9.145726399999999 45.4547064)",Via Mario Donati,,,,,,,
21226575,281590543,0,168877729,False,,unclassified,30,102.837,"LINESTRING (9.1623796 45.4709397, 9.1616851 45.4701535)",Via Giorgio Pallavicino,,,,,,,
21226577,4486780810,0,32931966,True,,unclassified,30,5.604,"LINESTRING (9.1556809 45.4503167, 9.1557411 45.4503442)",Via Tortona,,,,,,,
21226602,2713743844,0,210196584,True,,secondary,30,89.325,"LINESTRING (9.1440307 45.448691, 9.1446735 45.4480262)",Cavalcavia Don Lorenzo Milani,,,,,,,
21226639,1282701384,0,273650344,True,1,residential,30,7.696,"LINESTRING (9.157997699999999 45.4587107, 9.1580376 45.4586474)",Via Moisè Loria,,,,,,,
21226970,5262336608,0,544370557,True,,primary,30,116.151,"LINESTRING (9.147562600000001 45.4534476, 9.148909400000001 45.4538932)",Via Lorenteggio,,,,,,,
21226974,3915092667,0,275213776,True,,residential,30,54.156,"LINESTRING (9.1724757 45.4827095, 9.171943499999999 45.4823965)",Via Giovanni Battista Bertini,yes,,,,,,
21227252,2719437324,0,4683869,True,,residential,30,180.364,"LINESTRING (9.141878 45.4529748, 9.144015 45.4535943)",Via Francesco Carlini,,,,,,,
21257022,1282696866,0,4017858,True,,residential,30,7.103,"LINESTRING (9.158406400000001 45.4547849, 9.158492300000001 45.4548061)",Via Osvaldo Gnocchi Viani,,,,,,,
21257022,3469674656,0,273649393,True,,residential,30,17.252,"LINESTRING (9.158406400000001 45.4547849, 9.1583135 45.4549257)",Via Enrico Stendhal,,,,,,,
21257032,4404099480,0,442748460,True,,residential,30,17.929,"LINESTRING (9.1624804 45.4583548, 9.162710199999999 45.4583509)",Via Vincenzo Foppa,permissive,,,,,,
21298308,1281209363,0,273649395,True,,residential,30,15.538,"LINESTRING (9.1635933 45.4540583, 9.1634113 45.4540015)",Via Savona,,,,,,,
21298337,2696090742,0,263925493,True,1,residential,30,7.887,"LINESTRING (9.169275300000001 45.4558553, 9.169301000000001 45.4559239)",Via Pietro Orseolo,,,,,,,
21298339,1281204217,0,168553884,True,,residential,30,4.825,"LINESTRING (9.166755999999999 45.4550047, 9.166697900000001 45.4549898)",Via Savona,,,,,,,
21298348,5228070164,0,4013220,True,,residential,30,14.071,"LINESTRING (9.1661532 45.4560432, 9.166222599999999 45.4559264)",Via Montevideo,,,,,,,
21298363,3466071257,0,183451617,False,,tertiary,30,8.658,"LINESTRING (9.1581829 45.4481729, 9.158289399999999 45.4481948)",Ripa di Porta Ticinese,,,,,,,
21298376,4885927935,0,273645598,True,,residential,30,6.819,"LINESTRING (9.1597054 45.4527972, 9.159625699999999 45.452772)",Via Savona,,,,,,,
21298381,21298385,0,25608842,True,,residential,15,22.411,"LINESTRING (9.154597900000001 45.4478192, 9.1548707 45.4478824)",Via San Cristoforo,,,,,,,
21298382,348408208,0,25608842,True,,residential,15,6.783,"LINESTRING (9.154557799999999 45.4476965, 9.154556700000001 45.4477575)",Via San Cristoforo,,,,,,,
21298384,21298382,0,25608842,True,,residential,15,8.452,"LINESTRING (9.1545559 45.4476205, 9.154557799999999 45.4476965)",Via San Cristoforo,,,,,,,
21298384,2983196633,0,29227675,False,,residential,30,12.475,"LINESTRING (9.1545559 45.4476205, 9.1547152 45.4476303)",Alzaia Naviglio Grande,,,,,,,
21298384,429220599,0,36906711,False,,residential,30,9.516,"LINESTRING (9.1545559 45.4476205, 9.1544501 45.4475779)",Alzaia Naviglio Grande,,,,,,,
21298385,1277321354,0,25608842,True,,residential,15,4.244,"LINESTRING (9.1548707 45.4478824, 9.154912299999999 45.447907)",Via San Cristoforo,,,,,,,
21298388,429221702,0,29227675,False,,residential,30,84.754,"LINESTRING (9.1569714 45.4481534, 9.1559413 45.4479111)",Alzaia Naviglio Grande,,,,,,,
21298388,681722028,0,146524620,False,,residential,30,30.243,"LINESTRING (9.1569714 45.4481534, 9.1573425 45.4482321)",Alzaia Naviglio Grande,,,,,,,
21389404,3561448609,0,273448175,False,,residential,30,238.401,"LINESTRING (9.162049400000001 45.4492088, 9.1591191 45.4486)",Alzaia Naviglio Grande,,,,,,,
21389407,1277309653,0,647423468,False,,residential,30,20.325,"LINESTRING (9.1463488 45.4458802, 9.1465987 45.4459319)",Alzaia Naviglio Grande,,,,,,,
21389410,2713743802,0,43376581,True,,residential,30,37.138,"LINESTRING (9.1456222 45.445722, 9.1460782 45.4458179)",Alzaia Naviglio Grande,,,,,,,
21389410,21389411,0,43376588,False,,residential,30,124.661,"LINESTRING (9.1456222 45.445722, 9.144091700000001 45.4453997)",Alzaia Naviglio Grande,,,,,,,
21389411,21389410,0,43376588,False,,residential,30,124.661,"LINESTRING (9.144091700000001 45.4453997, 9.1456222 45.445722)",Alzaia Naviglio Grande,,,,,,,
21389412,330119543,0,181325036,False,,service,15,72.335,"LINESTRING (9.1371763 45.4439529, 9.1363422 45.4436688)",Alzaia Naviglio Grande,,,,,,,
21389412,1179304404,0,181325036,False,,service,15,100.097,"LINESTRING (9.1371763 45.4439529, 9.138418100000001 45.4441793)",Alzaia Naviglio Grande,,,,,,,
21389413,1179304348,0,181325036,False,,service,15,14.048,"LINESTRING (9.1277451 45.4407001, 9.127602899999999 45.4406226)",Alzaia Naviglio Grande,,,,,,,
21389413,1179304320,0,181325036,False,,service,15,26.016,"LINESTRING (9.1277451 45.4407001, 9.1280374 45.4408127)",Alzaia Naviglio Grande,,,,,,,
21389414,21389415,0,181325036,False,,service,15,119.929,"LINESTRING (9.1271322 45.4402541, 9.1260978 45.4394563)",Alzaia Naviglio Grande,,,,,,,
21389414,1179304437,0,181325036,False,,service,15,36.8,"LINESTRING (9.1271322 45.4402541, 9.127445 45.4405018)",Alzaia Naviglio Grande,,,,,,,
21389415,1179304465,0,181325036,False,,service,15,31.793,"LINESTRING (9.1260978 45.4394563, 9.125802200000001 45.4392595)",Alzaia Naviglio Grande,,,,,,,
21389415,21389414,0,181325036,False,,service,15,119.929,"LINESTRING (9.1260978 45.4394563, 9.1271322 45.4402541)",Alzaia Naviglio Grande,,,,,,,
21389417,2569437567,0,181325036,False,,service,15,76.714,"LINESTRING (9.1254717 45.4390774, 9.124604100000001 45.4387528)",Alzaia Naviglio Grande,,,,,,,
21389417,1179304465,0,181325036,False,,service,15,32.786,"LINESTRING (9.1254717 45.4390774, 9.125802200000001 45.4392595)",Alzaia Naviglio Grande,,,,,,,
21458594,2818540869,0,4017875,False,,tertiary,30,9.515,"LINESTRING (9.163973199999999 45.4493632, 9.1640899 45.4493881)",Ripa di Porta Ticinese,,,,,,,
21458594,3466099118,0,142655185,False,,tertiary,30,8.476,"LINESTRING (9.163973199999999 45.4493632, 9.163869 45.4493416)",Ripa di Porta Ticinese,,,,,,,
21555347,1904676446,0,273455653,False,,residential,30,11.993,"LINESTRING (9.181362699999999 45.4667933, 9.181280599999999 45.4667021)",Via San Giovanni sul Muro,,,,,,,
21555349,304776028,0,273455653,False,,residential,30,53.25,"LINESTRING (9.181009299999999 45.4663939, 9.1806356 45.4659931)",Via San Giovanni sul Muro,,,,,,,
21555349,4495119671,0,273455653,False,,residential,30,11.851,"LINESTRING (9.181009299999999 45.4663939, 9.181089099999999 45.4664846)",Via San Giovanni sul Muro,,,,,,,
21555386,3448337482,0,86575270,True,,unclassified,30,17.329,"LINESTRING (9.1754122 45.4640816, 9.175260700000001 45.4639676)",Piazza Sant'Ambrogio,no,,,,,,
21555752,1584878411,0,284970401,False,,residential,30,8.472,"LINESTRING (9.1780598 45.4653822, 9.1780884 45.4654557)",Via Nirone,,,,,,,
21663226,5802043872,0,30689486,True,,pedestrian,30,7.907,"LINESTRING (9.171379 45.4509437, 9.1714758 45.4509648)",Ripa di Porta Ticinese,no,,,,,,
21663226,5802043875,0,33456211,False,,residential,30,8.494,"LINESTRING (9.171379 45.4509437, 9.1712746 45.450922)",Ripa di Porta Ticinese,no,,,,,,
21663230,2820206925,0,596179892,True,,residential,30,3.323,"LINESTRING (9.1732923 45.4493686, 9.173334199999999 45.4493632)",Via Magolfa,,,,,,,
21663234,21663235,0,277516092,True,,residential,30,11.776,"LINESTRING (9.1753193 45.450035, 9.175390999999999 45.4501282)",Via Magolfa,,,,,,,
21663235,2820218926,0,123046290,False,,pedestrian,30,12.24,"LINESTRING (9.175390999999999 45.4501282, 9.175504099999999 45.4502045)",Via Magolfa,no,,,,,,
21663238,1489473346,0,123046290,False,,pedestrian,30,3.502,"LINESTRING (9.1777636 45.4514158, 9.1777205 45.451407)",Via Magolfa,no,,,,,,
21663238,1502799212,0,168553831,False,,pedestrian,30,72.231,"LINESTRING (9.1777636 45.4514158, 9.1779171 45.4520564)",Alzaia Naviglio Pavese,no,,,,,,
21663247,2951316968,0,4857487,True,,residential,30,4.815,"LINESTRING (9.203663799999999 45.4623474, 9.2036637 45.4623907)",Via Manlio e Gioacchino Savaré,,,,,,,
24576286,1529845131,0,193984442,True,,residential,30,13.936,"LINESTRING (9.1738404 45.4583813, 9.173702499999999 45.458461)",Via Ariberto,,,,,,,
25543503,3496143183,0,166467846,True,,motorway_link,30,10.212,"LINESTRING (9.2469608 45.4240131, 9.2468339 45.4239907)",,,yes,,,,,
25543531,3496143188,0,166467846,True,,motorway_link,30,9.996,"LINESTRING (9.247280099999999 45.4241485, 9.247179900000001 45.4240925)",,,yes,,,,,
25543562,3496143189,0,166467846,True,,motorway_link,30,9.026,"LINESTRING (9.246200399999999 45.4240745, 9.246105699999999 45.4241211)",,,yes,,,,,
25543601,3496143184,0,166467846,True,,motorway_link,30,10.215,"LINESTRING (9.2465419 45.4239874, 9.2464139 45.4240066)",,,yes,,,,,
25543636,3496146010,0,31743814,True,,motorway_link,30,13.395,"LINESTRING (9.247437 45.4249627, 9.2475139 45.424855)",,,,,,,,
25543666,3496146015,0,31743814,True,,motorway_link,30,13.592,"LINESTRING (9.2472618 45.4251313, 9.2473733 45.4250374)",,,,,,,,
25543684,3496145998,0,166467846,True,,motorway_link,30,8.323,"LINESTRING (9.247574 45.4245406, 9.2475562 45.4244668)",,,yes,,,,,
25543688,2542741192,0,264210425,True,,residential,30,10.954,"LINESTRING (9.223978499999999 45.4734121, 9.2239767 45.4735106)",Largo Rio de Janeiro,,,,,,,
25543709,3496146001,0,166467846,True,,motorway_link,30,9.963,"LINESTRING (9.2475749 45.4247036, 9.2475834 45.4246142)",,,yes,,,,,
25543849,1485031711,0,7980225,True,,residential,30,9.697,"LINESTRING (9.223562100000001 45.4708879, 9.2235611 45.4708007)",Viale Romagna,,,,,,,
25543877,2795969017,0,166467846,True,,motorway_link,30,24.545,"LINESTRING (9.2457783 45.4244776, 9.245726299999999 45.4246953)",,,yes,,,,,
25543903,3496145996,0,166467846,True,,motorway_link,30,8.691,"LINESTRING (9.2458717 45.4243111, 9.245821599999999 45.4243809)",,,yes,,,,,
27551149,2895208103,0,269578376,False,,tertiary,30,35.051,"LINESTRING (9.2471984 45.5100757, 9.247094499999999 45.5103824)",Via Adriano,,,,,,,
27551149,4622682275,0,363168284,False,,tertiary,30,15.372,"LINESTRING (9.2471984 45.5100757, 9.2472469 45.5099417)",Via Adriano,,,,,,,
27560352,6164568044,0,4524707,True,,residential,30,6.926,"LINESTRING (9.1587765 45.4705996, 9.158712100000001 45.4705567)",Via Privata Duccio di Boninsegna,private,,,,,,
27560352,27560361,0,168877748,False,,residential,30,52.453,"LINESTRING (9.1587765 45.4705996, 9.1592334 45.4702534)",Via Tranquillo Cremona,,,,,,,
27560355,5248977813,0,4524707,True,,residential,30,15.381,"LINESTRING (9.1580979 45.4701509, 9.1579528 45.4700572)",Via Privata Duccio di Boninsegna,private,,,,,,
27560358,3378142254,0,4524706,False,,residential,30,38.492,"LINESTRING (9.1587651 45.4696665, 9.159060200000001 45.469944)",Via Piero Capponi,,,,,,,
27560358,968034271,0,286054688,False,,residential,30,14.071,"LINESTRING (9.1587651 45.4696665, 9.158670600000001 45.4695587)",Via Piero Capponi,,,,,,,
27560361,3378142255,0,4524706,False,,residential,30,3.823,"LINESTRING (9.1592334 45.4702534, 9.159254600000001 45.4702224)",Via Piero Capponi,,,,,,,
27560361,27560352,0,168877748,False,,residential,30,52.453,"LINESTRING (9.1592334 45.4702534, 9.1587765 45.4705996)",Via Tranquillo Cremona,,,,,,,
27584083,4690876712,0,307140193,True,1,tertiary,30,10.074,"LINESTRING (9.163100099999999 45.4822796, 9.1630085 45.4822157)",Via Domodossola,,,,,,,
27653918,1497842545,0,273712494,True,1,residential,30,17.943,"LINESTRING (9.1830374 45.4642521, 9.182840000000001 45.464335)",Via Santa Maria Fulcorina,,,,,,,
27653925,3396939178,0,7980550,True,1,residential,30,6.652,"LINESTRING (9.1845736 45.4641678, 9.1846008 45.4641111)",Via Moneta,,,,,,,
27653931,3478807963,0,161068026,True,1,residential,30,2.516,"LINESTRING (9.180666799999999 45.464113, 9.180699000000001 45.4641116)",Via Gorani,,,,,,,
27653931,3478807967,0,273717305,True,1,residential,20,4.932,"LINESTRING (9.180666799999999 45.464113, 9.1807163 45.4640854)",Via Morigi,,,,,,,
27653932,7019514945,0,4520071,True,1,unclassified,30,2.654,"LINESTRING (9.1809613 45.4627734, 9.1809745 45.4627514)",Via Morigi,,,,,,,
27653932,1799846185,0,273717308,True,1,residential,20,22.11,"LINESTRING (9.1809613 45.4627734, 9.180686400000001 45.4627248)",Via Sant'Orsola,,,,,,,
27653934,1774874847,0,168553855,True,1,residential,30,9.844,"LINESTRING (9.179731500000001 45.4625527, 9.1797726 45.462469)",Via Cappuccio,,,,,,,
27653937,4060097458,0,165990910,True,1,residential,30,8.659,"LINESTRING (9.180143899999999 45.4606877, 9.1800377 45.4607104)",Via del Torchio,,,,,,,
27653943,1835566291,0,165990904,True,1,residential,30,51.849,"LINESTRING (9.1808289 45.4610657, 9.1807477 45.4615285)",Via Medici,,,,,,,
27653945,4899160681,0,274984848,True,,residential,30,3.981,"LINESTRING (9.1834132 45.4611147, 9.1833814 45.4610867)",Via Nerino,,,,,,,
27653946,5033959414,0,4520049,True,,residential,20,5.527,"LINESTRING (9.1825548 45.4613895, 9.1826177 45.4613666)",Via Bagnera,,,4,,,,
27653947,6544457172,0,4520049,True,,residential,20,3.732,"LINESTRING (9.182404999999999 45.4617013, 9.182415799999999 45.4616686)",Via Bagnera,,,4,,,,
27653947,5033959523,0,274984853,True,,residential,20,34.377,"LINESTRING (9.182404999999999 45.4617013, 9.182841 45.4617467)",Via Santa Marta,,,,,,,
27653948,586451211,0,274984853,True,,residential,20,12.361,"LINESTRING (9.1829856 45.4617791, 9.1831055 45.4618518)",Via Santa Marta,,,,,,,
27653955,4895838578,0,4520062,True,1,residential,30,5.284,"LINESTRING (9.182546500000001 45.4631567, 9.182486900000001 45.4631341)",Via Sant'Orsola,,,,,,,
27654223,3478839802,0,161068026,True,1,residential,30,5.775,"LINESTRING (9.1810495 45.4642499, 9.181082200000001 45.4642965)",Via Gorani,,,,,,,
27654225,5033959458,0,273717302,True,1,residential,30,15.868,"LINESTRING (9.1819235 45.4645875, 9.181925700000001 45.4644448)",Via Borromei,,,,,,,
27654229,5033959515,0,161068026,True,1,residential,30,22.111,"LINESTRING (9.1812349 45.4645507, 9.1815166 45.4645732)",Via Gorani,,,,,,,
27654245,3877991676,0,4868904,True,,residential,30,2.888,"LINESTRING (9.1953142 45.4681651, 9.195335800000001 45.468144)",Via Monte Napoleone,,,,,,,
27738480,573380749,0,4520045,True,1,residential,30,7.295,"LINESTRING (9.181881199999999 45.4648458, 9.181881799999999 45.4647802)",Via Borromei,,,,,,,
27738482,574437857,0,273717305,True,1,residential,20,9.337,"LINESTRING (9.180927499999999 45.4635852, 9.180949 45.4635026)",Via Morigi,,,,,,,
27738484,304777146,0,273717305,True,1,residential,20,12.259,"LINESTRING (9.180949099999999 45.463389, 9.180927499999999 45.4632798)",Via Morigi,,,,,,,
27738487,5033959528,0,168553883,True,,residential,20,5.415,"LINESTRING (9.182071000000001 45.4616648, 9.182139599999999 45.4616723)",Via Santa Marta,,,,,,,
27738503,5033959551,0,4520071,True,1,unclassified,30,8.506,"LINESTRING (9.1811139 45.4625316, 9.1811545 45.4624606)",Via Morigi,,,,,,,
27738505,5033959552,0,274985326,True,,unclassified,20,5.019,"LINESTRING (9.1814888 45.4622128, 9.1815233 45.4621747)",Piazza Mentana,,,,,,,
28848538,4729401782,0,4868911,True,,residential,30,3.219,"LINESTRING (9.1994267 45.4652336, 9.199412199999999 45.4652065)",Via Cerva,,,,,,,
28848538,303370465,0,4868912,True,,residential,30,33.494,"LINESTRING (9.1994267 45.4652336, 9.1994317 45.4655348)",Via Cerva,,,,,,,
28848540,4729401781,0,4868913,True,,residential,30,31.298,"LINESTRING (9.1998426 45.465137, 9.199461299999999 45.4652248)",Via Anselmo Ronchetti,,,,,,,
28848547,4353252196,0,4868911,True,,residential,30,41.446,"LINESTRING (9.1987963 45.464268, 9.198487800000001 45.4639645)",Via Cerva,,,,,,,
29089548,1492499656,0,26014058,True,,unclassified,30,5.137,"LINESTRING (9.2323804 45.4734039, 9.2323801 45.4733577)",Via Alessandro Visconti D'Aragona,,,,,,,
29137373,1766478204,0,4604973,True,1,living_street,10,5.851,"LINESTRING (9.1697577 45.4610108, 9.1697098 45.4609703)",Piazza Venino,,,,,,,
29137381,1766478192,0,165066407,True,1,living_street,10,4.735,"LINESTRING (9.1693642 45.4606768, 9.1693712 45.4606345)",Via Numa Pompilio,,,,,,,
29137383,1766478161,0,165066406,True,1,residential,10,6.179,"LINESTRING (9.1694814 45.4597433, 9.169489199999999 45.459688)",Via Numa Pompilio,,,,,,,
29137383,1766478171,0,165066409,True,1,residential,10,10.679,"LINESTRING (9.1694814 45.4597433, 9.169617499999999 45.4597538)",Via Tullo Ostilio,,,,,,,
29137386,2696090781,0,4604975,True,,residential,10,14.124,"LINESTRING (9.1689577 45.4596409, 9.168926300000001 45.459766)",Via Pietro Azario,no,,,,,,
29137386,738953327,0,4604979,True,1,residential,10,18.12,"LINESTRING (9.1689577 45.4596409, 9.1691536 45.4597285)",Via Tullo Ostilio,,,,,,,
29137388,3469717432,0,277217683,False,,tertiary,30,9.219,"LINESTRING (9.165804899999999 45.4594934, 9.1657188 45.4595502)",Viale Coni Zugna,,,,,,,
29137388,3469717441,0,277218688,False,,tertiary,30,10.66,"LINESTRING (9.165804899999999 45.4594934, 9.1659028 45.4594265)",Viale Coni Zugna,,,,,,,
29137411,1531519734,0,186120829,True,,residential,30,3.768,"LINESTRING (9.173249200000001 45.4643027, 9.1732937 45.4642895)",Via Giacomo Mellerio,,,,,,,
29137451,1127835665,0,173174615,True,,pedestrian,30,148.112,"LINESTRING (9.176849600000001 45.4475685, 9.1771546 45.4488832)",Alzaia Naviglio Pavese,no,,,,,,
29137458,3610671637,0,54054561,False,,residential,30,6.415,"LINESTRING (9.175212200000001 45.4489025, 9.175216799999999 45.4489601)",Via Mario Pichi,,,,,,,
29137458,1494695335,0,277516087,True,,residential,30,5.445,"LINESTRING (9.175212200000001 45.4489025, 9.1751424 45.4489029)",Via Emilio Gola,,,,,,,
29749451,303023659,0,289349818,True,,residential,30,4.304,"LINESTRING (9.192371899999999 45.4552793, 9.1924171 45.4552571)",Piazza Cardinale Andrea Ferrari,,,,roundabout,,,
