y,x,osmid,ref,highway,geometry
45.4889359,9.0669913,14461396,3a,motorway_junction,POINT (9.0669913 45.4889359)
45.4806385,9.1609635,21225882,,traffic_signals,POINT (9.160963499999999 45.4806385)
45.4607197,9.1639558,21225938,,,POINT (9.1639558 45.4607197)
45.4474738,9.1550145,21225955,,,POINT (9.1550145 45.4474738)
45.4592372,9.1506204,21225991,,,POINT (9.150620399999999 45.4592372)
45.4570009,9.1874681,21226040,,,POINT (9.1874681 45.4570009)
45.4512898,9.1550705,21226044,,traffic_signals,POINT (9.155070500000001 45.4512898)
45.4812253,9.1739603,21226072,,,POINT (9.173960299999999 45.4812253)
45.4549628,9.1466304,21226074,,,POINT (9.146630399999999 45.4549628)
45.4572026,9.1844274,21226083,,,POINT (9.184427400000001 45.4572026)
45.460455,9.1566992,21226090,,,POINT (9.1566992 45.460455)
45.4823616,9.1718841,21226091,,,POINT (9.1718841 45.4823616)
45.4811635,9.1731047,21226162,,,POINT (9.1731047 45.4811635)
45.450494,9.1564589,21226170,,,POINT (9.156458900000001 45.450494)
45.4600734,9.1430717,21226308,,,POINT (9.1430717 45.4600734)
45.4647218,9.1424154,21226317,,crossing,POINT (9.142415400000001 45.4647218)
45.4688987,9.1580005,21226393,,,POINT (9.1580005 45.4688987)
45.459017,9.1509678,21226414,,,POINT (9.1509678 45.459017)
45.4541616,9.1438141,21226526,,,POINT (9.1438141 45.4541616)
45.4700975,9.1616374,21226559,,,POINT (9.1616374 45.4700975)
45.4547259,9.1457953,21226571,,,POINT (9.1457953 45.4547259)
45.4709397,9.1623796,21226575,,,POINT (9.1623796 45.4709397)
45.4503167,9.1556809,21226577,,traffic_signals,POINT (9.1556809 45.4503167)
45.448691,9.1440307,21226602,,,POINT (9.1440307 45.448691)
45.4587107,9.1579977,21226639,,,POINT (9.157997699999999 45.4587107)
45.4535028,9.1415716,21226719,,,POINT (9.141571600000001 45.4535028)
45.4534476,9.1475626,21226970,,,POINT (9.147562600000001 45.4534476)
45.4827095,9.1724757,21226974,,,POINT (9.1724757 45.4827095)
45.4529748,9.141878,21227252,,,POINT (9.141878 45.4529748)
45.4554773,9.1579493,21257013,,mini_roundabout,POINT (9.1579493 45.4554773)
45.45535,9.1601958,21257021,,,POINT (9.1601958 45.45535)
45.4547849,9.1584064,21257022,,,POINT (9.158406400000001 45.4547849)
45.4572205,9.1589742,21257023,,,POINT (9.158974199999999 45.4572205)
45.4583548,9.1624804,21257032,,,POINT (9.1624804 45.4583548)
45.4540583,9.1635933,21298308,,traffic_signals,POINT (9.1635933 45.4540583)
45.4558553,9.1692753,21298337,,,POINT (9.169275300000001 45.4558553)
45.4550047,9.166756,21298339,,,POINT (9.166755999999999 45.4550047)
45.4560432,9.1661532,21298348,,,POINT (9.1661532 45.4560432)
45.4481729,9.1581829,21298363,,,POINT (9.1581829 45.4481729)
45.4523644,9.1698981,21298372,,,POINT (9.169898099999999 45.4523644)
45.4527972,9.1597054,21298376,,traffic_signals,POINT (9.1597054 45.4527972)
45.4480232,9.1549616,21298380,,,POINT (9.1549616 45.4480232)
45.4478192,9.1545979,21298381,,,POINT (9.154597900000001 45.4478192)
45.4476965,9.1545578,21298382,,,POINT (9.154557799999999 45.4476965)
