y,x,osmid,highway,ref,geometry
45.3913796,9.2010797,10371254,,,POINT (9.201079699999999 45.3913796)
45.4875632,9.0766246,10371529,,,POINT (9.076624600000001 45.4875632)
45.4798037,9.1020554,10371530,,,POINT (9.102055399999999 45.4798037)
45.4995162,9.1306562,13595397,traffic_signals,,POINT (9.130656200000001 45.4995162)
45.4827505,9.1637733,13598756,traffic_signals,,POINT (9.163773300000001 45.4827505)
45.487319,9.1573763,13598788,,,POINT (9.157376299999999 45.487319)
45.4848097,9.1561658,13919619,,,POINT (9.1561658 45.4848097)
45.4877734,9.1576875,13919627,,,POINT (9.1576875 45.4877734)
45.4904868,9.1603135,13919638,,,POINT (9.160313500000001 45.4904868)
45.4861303,9.1537521,13919640,traffic_signals,,POINT (9.1537521 45.4861303)
45.4905731,9.1657369,13919646,traffic_signals,,POINT (9.165736900000001 45.4905731)
45.4873403,9.1607872,13919649,,,POINT (9.1607872 45.4873403)
45.4838292,9.1561006,13919653,,,POINT (9.1561006 45.4838292)
45.4809085,9.1562951,13919654,,,POINT (9.156295099999999 45.4809085)
45.4807874,9.1607865,13919747,traffic_signals,,POINT (9.1607865 45.4807874)
45.4861429,9.1589576,13919748,traffic_signals,,POINT (9.158957600000001 45.4861429)
45.4845276,9.161433,13919749,traffic_signals,,POINT (9.161433000000001 45.4845276)
45.3900786,9.1857753,14460866,,,POINT (9.1857753 45.3900786)
45.5011698,9.0664656,14461110,motorway_junction,2,POINT (9.066465600000001 45.5011698)
45.4915125,9.0663853,14461113,motorway_junction,3,POINT (9.0663853 45.4915125)
45.4889457,9.0667124,14461116,,,POINT (9.0667124 45.4889457)
45.4889359,9.0669913,14461396,motorway_junction,3a,POINT (9.0669913 45.4889359)
45.5206761,9.1304888,14568814,,,POINT (9.1304888 45.5206761)
45.5205875,9.1306102,14568886,,,POINT (9.1306102 45.5205875)
45.4545564,9.1409602,21225800,,,POINT (9.1409602 45.4545564)
45.4588664,9.138458,21225801,,,POINT (9.138458 45.4588664)
45.4606321,9.1909082,21225803,traffic_signals,,POINT (9.190908200000001 45.4606321)
45.4586008,9.136627,21225808,,,POINT (9.136627000000001 45.4586008)
45.4643943,9.1526748,21225811,,,POINT (9.1526748 45.4643943)
