y,x,osmid,highway,ref,geometry
55.7288692,37.828698,447986547,,,POINT (37.828698 55.7288692)
55.7291368,37.8288048,447986550,,,POINT (37.8288048 55.7291368)
55.7149884,37.8037458,736582348,,,POINT (37.8037458 55.7149884)
55.7269159,37.8283287,1207821582,,,POINT (37.8283287 55.7269159)
55.7296837,37.8289049,2347280994,,,POINT (37.8289049 55.7296837)
55.7282803,37.8285356,2373361121,,,POINT (37.8285356 55.7282803)
55.7285362,37.8285778,2997791560,,,POINT (37.8285778 55.7285362)
55.7292755,37.8288523,2997791569,,,POINT (37.8288523 55.7292755)
55.7112549,37.8183444,6284793924,,,POINT (37.8183444 55.7112549)
55.7112685,37.8181848,6284793925,,,POINT (37.8181848 55.7112685)
55.7114123,37.8176828,6284793926,,,POINT (37.8176828 55.7114123)
55.7112575,37.8184132,6284793928,,,POINT (37.8184132 55.7112575)
55.7112525,37.8182781,6284793929,,,POINT (37.8182781 55.7112525)
55.7112789,37.8181238,6284793930,,,POINT (37.8181238 55.7112789)
55.7113333,37.8179374,6284793931,,,POINT (37.8179374 55.7113333)
55.7114565,37.8175405,6284793932,,,POINT (37.8175405 55.7114565)
55.7116385,37.8169966,6284793933,,,POINT (37.8169966 55.7116385)
55.7118002,37.8163932,6284793934,,,POINT (37.8163932 55.7118002)
55.7119472,37.815905,6284793935,,,POINT (37.815905 55.7119472)
55.7123211,37.8142372,6284793939,,,POINT (37.8142372 55.7123211)
55.712348,37.814181,6284793940,,,POINT (37.814181 55.712348)
55.7124893,37.8137411,6284793941,,,POINT (37.8137411 55.7124893)
55.7125799,37.813438,6284793942,,,POINT (37.813438 55.7125799)
55.7127068,37.8129928,6284793943,,,POINT (37.8129928 55.7127068)
55.7128066,37.8126441,6284793944,,,POINT (37.8126441 55.7128066)
55.7129327,37.8122511,6284793945,,,POINT (37.8122511 55.7129327)
55.7130332,37.8119481,6284793946,,,POINT (37.8119481 55.7130332)
55.7131435,37.81159,6284793947,,,POINT (37.81159 55.7131435)
55.7132132,37.811278,6284793948,,,POINT (37.811278 55.7132132)
55.7132939,37.8109771,6284793949,,,POINT (37.8109771 55.7132939)
55.7133218,37.8107062,6284793950,,,POINT (37.8107062 55.7133218)
55.7133694,37.8104353,6284793951,,,POINT (37.8104353 55.7133694)
55.7134422,37.8101366,6284793952,,,POINT (37.8101366 55.7134422)
55.7135084,37.8098667,6284793953,,,POINT (37.8098667 55.7135084)
55.7135749,37.8096467,6284793954,,,POINT (37.8096467 55.7135749)
55.713624,37.809408,6284793955,,,POINT (37.809408 55.713624)
55.7136708,37.8092216,6284793956,,,POINT (37.8092216 55.7136708)
55.7137517,37.8089333,6284793957,,,POINT (37.8089333 55.7137517)
55.7137592,37.8088112,6284793958,,,POINT (37.8088112 55.7137592)
55.7137419,37.8086838,6284793959,,,POINT (37.8086838 55.7137419)
55.7137509,37.8085604,6284793960,,,POINT (37.8085604 55.7137509)
55.7137978,37.8084826,6284793961,,,POINT (37.8084826 55.7137978)
55.7138748,37.808374,6284793962,,,POINT (37.808374 55.7138748)
55.713939,37.8082211,6284793963,,,POINT (37.8082211 55.713939)
55.7140645,37.807792,6284793964,,,POINT (37.807792 55.7140645)
55.7142208,37.807159,6284793965,,,POINT (37.807159 55.7142208)
55.7143697,37.806534,6284793966,,,POINT (37.806534 55.7143697)
55.7147177,37.8049378,6284793967,,,POINT (37.8049378 55.7147177)
55.7148335,37.8044414,6284793968,,,POINT (37.8044414 55.7148335)
55.7146499,37.8054397,6284793969,,,POINT (37.8054397 55.7146499)
55.7147285,37.8048576,6284793970,,,POINT (37.8048576 55.7147285)
55.7149899,37.803821,6284793971,,,POINT (37.803821 55.7149899)
55.7280652,37.828503,6492130116,,,POINT (37.828503 55.7280652)
55.8471074,37.5134724,36163016,,,POINT (37.5134724 55.8471074)
55.788849,37.8058241,68912009,,,POINT (37.8058241 55.788849)
55.6378034,37.545394,100014354,,,POINT (37.545394 55.6378034)
55.6379327,37.5450127,100014355,,,POINT (37.5450127 55.6379327)
55.6361591,37.4904403,100023578,,,POINT (37.4904403 55.6361591)
55.6372409,37.5468331,154625693,,,POINT (37.5468331 55.6372409)
55.760286,37.7544404,181290957,,,POINT (37.7544404 55.760286)
55.7889176,37.8104979,221574908,,,POINT (37.8104979 55.7889176)
55.7552181,37.4157633,253770236,,,POINT (37.4157633 55.7552181)
55.7551419,37.415494,253770237,,,POINT (37.415494 55.7551419)
55.7550693,37.4147855,253770238,,,POINT (37.4147855 55.7550693)
55.7550769,37.4145879,253770239,,,POINT (37.4145879 55.7550769)
55.7551487,37.414053,253770240,,,POINT (37.414053 55.7551487)
55.7551528,37.4138656,253770241,,,POINT (37.4138656 55.7551528)
55.7550617,37.4136193,253770242,,,POINT (37.4136193 55.7550617)
55.7549413,37.413496,253770243,,,POINT (37.413496 55.7549413)
