u,v,key,osmid,highway,oneway,length,geometry,name,bridge,width,area,lanes,tunnel,service
447986547,447986550,0,38088060,footway,False,30.498,"LINESTRING (37.828698 55.7288692, 37.8288048 55.7291368)",,,,,,,
447986547,2997791560,0,228654888,footway,False,37.785,"LINESTRING (37.828698 55.7288692, 37.8285778 55.7285362)",,,,,,,
447986550,2997791569,0,38088060,footway,False,15.707,"LINESTRING (37.8288048 55.7291368, 37.8288523 55.7292755)",,,,,,,
447986550,447986547,0,38088060,footway,False,30.498,"LINESTRING (37.8288048 55.7291368, 37.828698 55.7288692)",,,,,,,
736582348,6284793971,0,671131545,cycleway,False,4.713,"LINESTRING (37.8037458 55.7149884, 37.803821 55.7149899)",,,,,,,
1207821582,6492130116,0,228654888,footway,False,128.262,"LINESTRING (37.8283287 55.7269159, 37.828503 55.7280652)",,,,,,,
2347280994,2997791569,0,38088060,footway,False,45.509,"LINESTRING (37.8289049 55.7296837, 37.8288523 55.7292755)",,,,,,,
2373361121,6492130116,0,228654888,footway,False,24.005,"LINESTRING (37.8285356 55.7282803, 37.828503 55.7280652)",,,,,,,
2373361121,2997791560,0,228654888,footway,False,28.577,"LINESTRING (37.8285356 55.7282803, 37.8285778 55.7285362)",,,,,,,
2997791560,2373361121,0,228654888,footway,False,28.577,"LINESTRING (37.8285778 55.7285362, 37.8285356 55.7282803)",,,,,,,
2997791560,447986547,0,228654888,footway,False,37.785,"LINESTRING (37.8285778 55.7285362, 37.828698 55.7288692)",,,,,,,
2997791569,2347280994,0,38088060,footway,False,45.509,"LINESTRING (37.8288523 55.7292755, 37.8289049 55.7296837)",,,,,,,
2997791569,447986550,0,38088060,footway,False,15.707,"LINESTRING (37.8288523 55.7292755, 37.8288048 55.7291368)",,,,,,,
6284793924,6284793928,0,671131544,cycleway,False,4.32,"LINESTRING (37.8183444 55.7112549, 37.8184132 55.7112575)",,,,,,,
6284793924,6284793929,0,671131544,cycleway,False,4.162,"LINESTRING (37.8183444 55.7112549, 37.8182781 55.7112525)",,,,,,,
6284793925,6284793929,0,671131544,cycleway,False,6.109,"LINESTRING (37.8181848 55.7112685, 37.8182781 55.7112525)",,,,,,,
6284793925,6284793930,0,671131544,cycleway,False,3.992,"LINESTRING (37.8181848 55.7112685, 37.8181238 55.7112789)",,,,,,,
6284793926,6284793931,0,671131544,cycleway,False,18.208,"LINESTRING (37.8176828 55.7114123, 37.8179374 55.7113333)",,,,,,,
6284793926,6284793932,0,671131544,cycleway,False,10.179,"LINESTRING (37.8176828 55.7114123, 37.8175405 55.7114565)",,,,,,,
6284793928,6284793924,0,671131544,cycleway,False,4.32,"LINESTRING (37.8184132 55.7112575, 37.8183444 55.7112549)",,,,,,,
6284793929,6284793924,0,671131544,cycleway,False,4.162,"LINESTRING (37.8182781 55.7112525, 37.8183444 55.7112549)",,,,,,,
6284793929,6284793925,0,671131544,cycleway,False,6.109,"LINESTRING (37.8182781 55.7112525, 37.8181848 55.7112685)",,,,,,,
6284793930,6284793925,0,671131544,cycleway,False,3.992,"LINESTRING (37.8181238 55.7112789, 37.8181848 55.7112685)",,,,,,,
6284793930,6284793931,0,671131544,cycleway,False,13.151,"LINESTRING (37.8181238 55.7112789, 37.8179374 55.7113333)",,,,,,,
6284793931,6284793930,0,671131544,cycleway,False,13.151,"LINESTRING (37.8179374 55.7113333, 37.8181238 55.7112789)",,,,,,,
6284793931,6284793926,0,671131544,cycleway,False,18.208,"LINESTRING (37.8179374 55.7113333, 37.8176828 55.7114123)",,,,,,,
6284793932,6284793926,0,671131544,cycleway,False,10.179,"LINESTRING (37.8175405 55.7114565, 37.8176828 55.7114123)",,,,,,,
6284793932,6284793933,0,671131544,cycleway,False,39.629,"LINESTRING (37.8175405 55.7114565, 37.8169966 55.7116385)",,,,,,,
6284793933,6284793932,0,671131544,cycleway,False,39.629,"LINESTRING (37.8169966 55.7116385, 37.8175405 55.7114565)",,,,,,,
6284793933,6284793934,0,671131544,cycleway,False,41.857,"LINESTRING (37.8169966 55.7116385, 37.8163932 55.7118002)",,,,,,,
6284793934,6284793933,0,671131544,cycleway,False,41.857,"LINESTRING (37.8163932 55.7118002, 37.8169966 55.7116385)",,,,,,,
6284793934,6284793935,0,671131544,cycleway,False,34.676,"LINESTRING (37.8163932 55.7118002, 37.815905 55.7119472)",,,,,,,
6284793935,6284793934,0,671131544,cycleway,False,34.676,"LINESTRING (37.815905 55.7119472, 37.8163932 55.7118002)",,,,,,,
6284793935,6284793936,0,671131543,cycleway,False,48.603,"LINESTRING (37.815905 55.7119472, 37.8152043 55.7121349)",,,,,,,
6284793939,6284793940,0,671131545,cycleway,False,4.62,"LINESTRING (37.8142372 55.7123211, 37.814181 55.712348)",,,,,,,
6284793939,6284793927,0,671131543,cycleway,False,8.649,"LINESTRING (37.8142372 55.7123211, 37.8143714 55.7123028)",,,,,,,
6284793940,6284793939,0,671131545,cycleway,False,4.62,"LINESTRING (37.814181 55.712348, 37.8142372 55.7123211)",,,,,,,
6284793940,6284793941,0,671131545,cycleway,False,31.721,"LINESTRING (37.814181 55.712348, 37.8137411 55.7124893)",,,,,,,
6284793941,6284793940,0,671131545,cycleway,False,31.721,"LINESTRING (37.8137411 55.7124893, 37.814181 55.712348)",,,,,,,
6284793941,6284793942,0,671131545,cycleway,False,21.494,"LINESTRING (37.8137411 55.7124893, 37.813438 55.7125799)",,,,,,,
6284793942,6284793941,0,671131545,cycleway,False,21.494,"LINESTRING (37.813438 55.7125799, 37.8137411 55.7124893)",,,,,,,
6284793942,6284793943,0,671131545,cycleway,False,31.254,"LINESTRING (37.813438 55.7125799, 37.8129928 55.7127068)",,,,,,,
6284793943,6284793942,0,671131545,cycleway,False,31.254,"LINESTRING (37.8129928 55.7127068, 37.813438 55.7125799)",,,,,,,
6284793943,6284793944,0,671131545,cycleway,False,24.5,"LINESTRING (37.8129928 55.7127068, 37.8126441 55.7128066)",,,,,,,
6284793944,6284793943,0,671131545,cycleway,False,24.5,"LINESTRING (37.8126441 55.7128066, 37.8129928 55.7127068)",,,,,,,
6284793944,6284793945,0,671131545,cycleway,False,28.331,"LINESTRING (37.8126441 55.7128066, 37.8122511 55.7129327)",,,,,,,
6284793945,6284793944,0,671131545,cycleway,False,28.331,"LINESTRING (37.8122511 55.7129327, 37.8126441 55.7128066)",,,,,,,
6284793945,6284793946,0,671131545,cycleway,False,22.026,"LINESTRING (37.8122511 55.7129327, 37.8119481 55.7130332)",,,,,,,
6284793946,6284793945,0,671131545,cycleway,False,22.026,"LINESTRING (37.8119481 55.7130332, 37.8122511 55.7129327)",,,,,,,
6284793946,6284793947,0,671131545,cycleway,False,25.566,"LINESTRING (37.8119481 55.7130332, 37.81159 55.7131435)",,,,,,,
6284793947,6284793946,0,671131545,cycleway,False,25.566,"LINESTRING (37.81159 55.7131435, 37.8119481 55.7130332)",,,,,,,
6284793947,6284793948,0,671131545,cycleway,False,21.024,"LINESTRING (37.81159 55.7131435, 37.811278 55.7132132)",,,,,,,
6284793948,6284793947,0,671131545,cycleway,False,21.024,"LINESTRING (37.811278 55.7132132, 37.81159 55.7131435)",,,,,,,
6284793948,6284793949,0,671131545,cycleway,False,20.875,"LINESTRING (37.811278 55.7132132, 37.8109771 55.7132939)",,,,,,,
6284793949,6284793948,0,671131545,cycleway,False,20.875,"LINESTRING (37.8109771 55.7132939, 37.811278 55.7132132)",,,,,,,
6284793949,6284793950,0,671131545,cycleway,False,17.25,"LINESTRING (37.8109771 55.7132939, 37.8107062 55.7133218)",,,,,,,
6284793950,6284793949,0,671131545,cycleway,False,17.25,"LINESTRING (37.8107062 55.7133218, 37.8109771 55.7132939)",,,,,,,
6284793950,6284793951,0,671131545,cycleway,False,17.775,"LINESTRING (37.8107062 55.7133218, 37.8104353 55.7133694)",,,,,,,
6284793951,6284793950,0,671131545,cycleway,False,17.775,"LINESTRING (37.8104353 55.7133694, 37.8107062 55.7133218)",,,,,,,
6284793951,6284793952,0,671131545,cycleway,False,20.387,"LINESTRING (37.8104353 55.7133694, 37.8101366 55.7134422)",,,,,,,
6284793952,6284793951,0,671131545,cycleway,False,20.387,"LINESTRING (37.8101366 55.7134422, 37.8104353 55.7133694)",,,,,,,
6284793952,6284793953,0,671131545,cycleway,False,18.439,"LINESTRING (37.8101366 55.7134422, 37.8098667 55.7135084)",,,,,,,
6284793953,6284793952,0,671131545,cycleway,False,18.439,"LINESTRING (37.8098667 55.7135084, 37.8101366 55.7134422)",,,,,,,
6284793953,6284793954,0,671131545,cycleway,False,15.639,"LINESTRING (37.8098667 55.7135084, 37.8096467 55.7135749)",,,,,,,
6284793954,6284793953,0,671131545,cycleway,False,15.639,"LINESTRING (37.8096467 55.7135749, 37.8098667 55.7135084)",,,,,,,
6284793954,6284793955,0,671131545,cycleway,False,15.918,"LINESTRING (37.8096467 55.7135749, 37.809408 55.713624)",,,,,,,
6284793955,6284793954,0,671131545,cycleway,False,15.918,"LINESTRING (37.809408 55.713624, 37.8096467 55.7135749)",,,,,,,
6284793955,6284793956,0,671131545,cycleway,False,12.783,"LINESTRING (37.809408 55.713624, 37.8092216 55.7136708)",,,,,,,
6284793956,6284793955,0,671131545,cycleway,False,12.783,"LINESTRING (37.8092216 55.7136708, 37.809408 55.713624)",,,,,,,
6284793956,6284793957,0,671131545,cycleway,False,20.175,"LINESTRING (37.8092216 55.7136708, 37.8089333 55.7137517)",,,,,,,
6284793957,6284793956,0,671131545,cycleway,False,20.175,"LINESTRING (37.8089333 55.7137517, 37.8092216 55.7136708)",,,,,,,
6284793957,6284793958,0,671131545,cycleway,False,7.694,"LINESTRING (37.8089333 55.7137517, 37.8088112 55.7137592)",,,,,,,
6284793958,6284793957,0,671131545,cycleway,False,7.694,"LINESTRING (37.8088112 55.7137592, 37.8089333 55.7137517)",,,,,,,
6284793958,6284793959,0,671131545,cycleway,False,8.209,"LINESTRING (37.8088112 55.7137592, 37.8086838 55.7137419)",,,,,,,
6284793959,6284793958,0,671131545,cycleway,False,8.209,"LINESTRING (37.8086838 55.7137419, 37.8088112 55.7137592)",,,,,,,
6284793959,6284793960,0,671131545,cycleway,False,7.794,"LINESTRING (37.8086838 55.7137419, 37.8085604 55.7137509)",,,,,,,
6284793960,6284793959,0,671131545,cycleway,False,7.794,"LINESTRING (37.8085604 55.7137509, 37.8086838 55.7137419)",,,,,,,
6284793960,6284793961,0,671131545,cycleway,False,7.138,"LINESTRING (37.8085604 55.7137509, 37.8084826 55.7137978)",,,,,,,
6284793961,6284793960,0,671131545,cycleway,False,7.138,"LINESTRING (37.8084826 55.7137978, 37.8085604 55.7137509)",,,,,,,
6284793961,6284793962,0,671131545,cycleway,False,10.935,"LINESTRING (37.8084826 55.7137978, 37.808374 55.7138748)",,,,,,,
6284793962,6284793961,0,671131545,cycleway,False,10.935,"LINESTRING (37.808374 55.7138748, 37.8084826 55.7137978)",,,,,,,
6284793962,6284793963,0,671131545,cycleway,False,11.945,"LINESTRING (37.808374 55.7138748, 37.8082211 55.713939)",,,,,,,
