y,x,osmid,highway,ref,geometry
55.7149884,37.8037458,736582348,,,POINT (37.8037458 55.7149884)
55.7269159,37.8283287,1207821582,,,POINT (37.8283287 55.7269159)
55.7296837,37.8289049,2347280994,,,POINT (37.8289049 55.7296837)
55.7112575,37.8184132,6284793928,,,POINT (37.8184132 55.7112575)
55.8471074,37.5134724,36163016,,,POINT (37.5134724 55.8471074)
55.788849,37.8058241,68912009,,,POINT (37.8058241 55.788849)
55.6361591,37.4904403,100023578,,,POINT (37.4904403 55.6361591)
55.760286,37.7544404,181290957,,,POINT (37.7544404 55.760286)
55.7889176,37.8104979,221574908,,,POINT (37.8104979 55.7889176)
55.7681873,37.4273779,253770484,,,POINT (37.4273779 55.7681873)
55.7674776,37.4275938,253770670,,,POINT (37.4275938 55.7674776)
55.7572737,37.4301623,253771011,,,POINT (37.4301623 55.7572737)
55.766316,37.429272,253771358,,,POINT (37.429272 55.766316)
55.780141,37.7482987,257604516,,,POINT (37.7482987 55.780141)
55.636799,37.4894221,261575346,,,POINT (37.4894221 55.636799)
55.7702985,37.753523,271865346,,,POINT (37.753523 55.7702985)
55.7710877,37.7545417,276436772,,,POINT (37.7545417 55.7710877)
55.7731879,37.754475,276437132,,,POINT (37.754475 55.7731879)
55.7734986,37.7541801,276437133,,,POINT (37.7541801 55.7734986)
55.7745649,37.7489242,276437139,,,POINT (37.7489242 55.7745649)
55.7703492,37.7562259,276437813,,,POINT (37.7562259 55.7703492)
55.7758488,37.7573072,276438258,,,POINT (37.7573072 55.7758488)
55.7243549,37.5936016,287861366,,,POINT (37.5936016 55.7243549)
55.8643782,37.6283785,292108029,,,POINT (37.6283785 55.8643782)
55.6858536,37.5055602,303470119,,,POINT (37.5055602 55.6858536)
55.6807877,37.499263,303470179,,,POINT (37.499263 55.6807877)
55.7756344,37.7532769,317259028,,,POINT (37.7532769 55.7756344)
55.7766592,37.7531651,317259030,,,POINT (37.7531651 55.7766592)
55.6427192,37.7245453,324568364,,,POINT (37.7245453 55.6427192)
55.776798,37.7590246,336036246,,,POINT (37.7590246 55.776798)
55.6380966,37.5448498,338422324,,,POINT (37.5448498 55.6380966)
55.8404199,37.6365859,346105686,,,POINT (37.6365859 55.8404199)
55.6550525,37.4797485,417300776,,,POINT (37.4797485 55.6550525)
55.8761997,37.4673408,422104825,,,POINT (37.4673408 55.8761997)
55.7717852,37.7548591,430436288,,,POINT (37.7548591 55.7717852)
55.7732396,37.7567228,430436313,,,POINT (37.7567228 55.7732396)
55.7758731,37.759073,430436330,,,POINT (37.759073 55.7758731)
55.7757138,37.7603003,430436332,,,POINT (37.7603003 55.7757138)
55.7763589,37.7621132,430436376,,,POINT (37.7621132 55.7763589)
55.8184778,37.4736296,434401126,,,POINT (37.4736296 55.8184778)
55.8229423,37.4646766,434429902,crossing,,POINT (37.4646766 55.8229423)
55.7417493,37.4751265,458495721,,,POINT (37.4751265 55.7417493)
55.7197919,37.4364159,495700983,,,POINT (37.4364159 55.7197919)
55.7197258,37.4365179,496846130,,,POINT (37.4365179 55.7197258)
55.5986704,37.7081386,510624915,,,POINT (37.7081386 55.5986704)
55.7629873,37.6414116,550112873,crossing,,POINT (37.6414116 55.7629873)
55.8523037,37.6297344,560239200,,,POINT (37.6297344 55.8523037)
55.7258158,37.5335313,571050949,crossing,,POINT (37.5335313 55.7258158)
