u,v,key,osmid,oneway,highway,maxspeed,length,geometry,lanes,name,access,service,width,tunnel,junction,area,bridge
31446484,480019113,0,39963196,True,service,5,38.691,"LINESTRING (37.842801 55.7659603, 37.8424419 55.765677)",,,,,,,,,
31446816,1160967084,0,384885383,True,primary_link,30,9.508,"LINESTRING (37.3863074 55.714714, 37.3864516 55.7147407)",1,,,,,,,,
31446817,1160965129,0,384885383,True,primary_link,30,6.963,"LINESTRING (37.3865806 55.714753, 37.3866911 55.7147462)",1,,,,,,,,
31446818,960844754,0,384885383,True,primary_link,30,25.481,"LINESTRING (37.3868172 55.7147262, 37.3871774 55.7146197)",1,,,,,,,,
31446820,960844716,0,384885383,True,primary_link,30,8.473,"LINESTRING (37.3873521 55.7145077, 37.3873984 55.7144361)",1,,,,,,,,
31446822,1160966725,0,384885383,True,primary_link,30,9.41,"LINESTRING (37.387404 55.7143565, 37.3873738 55.7142736)",1,,,,,,,,
31446823,3707619564,0,384885383,True,primary_link,30,9.808,"LINESTRING (37.3872843 55.7141968, 37.3871712 55.7141358)",1,,,,,,,,
31448206,1160967168,0,308871169,True,trunk_link,30,11.492,"LINESTRING (37.3872923 55.7125225, 37.3871282 55.7125687)",2,,,,,,,,
31448207,31448206,0,308871169,True,trunk_link,30,11.236,"LINESTRING (37.3874687 55.7125042, 37.3872923 55.7125225)",2,,,,,,,,
31448208,1160965761,0,308871169,True,trunk_link,30,9.822,"LINESTRING (37.3877716 55.7125598, 37.387631 55.7125207)",2,,,,,,,,
31448210,960844711,0,308871169,True,trunk_link,30,35.181,"LINESTRING (37.3882637 55.7129189, 37.3879486 55.712657)",2,,,,,,,,
31448213,960844727,0,308871169,True,trunk_link,30,11.261,"LINESTRING (37.3881113 55.7133926, 37.3882442 55.7133244)",2,,,,,,,,
31448214,3835537311,0,308871169,True,trunk_link,30,16.961,"LINESTRING (37.3874934 55.7134643, 37.3877631 55.7134779)",2,,,,,,,,
31449294,304674535,0,27745844,False,service,20,31.109,"LINESTRING (37.3930379 55.7138192, 37.3935009 55.713718)",,,,,,,,,
35969660,2026099515,0,192050408,False,tertiary,20,8.394,"LINESTRING (37.4867224 55.8503473, 37.4868563 55.8503543)",,Флотская улица,,,,,,,
36157589,663236497,0,48410629,False,service,20,11.429,"LINESTRING (37.4888753 55.8482018, 37.4886923 55.848205)",,,,,,,,,
43082169,5653959023,0,821510234,False,service,5,16.72,"LINESTRING (37.5452586 55.8264905, 37.5450826 55.8266038)",,,,,,,,,
43219132,3721745989,0,368328560,False,residential,20,17.163,"LINESTRING (37.5675504 55.823426, 37.5678109 55.8234751)",2,улица Немчинова,,,,,,,
