y,x,osmid,highway,ref,geometry
55.7659603,37.842801,31446484,,,POINT (37.842801 55.7659603)
55.714714,37.3863074,31446816,,,POINT (37.3863074 55.714714)
55.714753,37.3865806,31446817,,,POINT (37.3865806 55.714753)
55.7147262,37.3868172,31446818,,,POINT (37.3868172 55.7147262)
55.7145077,37.3873521,31446820,,,POINT (37.3873521 55.7145077)
55.7143565,37.387404,31446822,,,POINT (37.387404 55.7143565)
55.7141968,37.3872843,31446823,,,POINT (37.3872843 55.7141968)
55.7125225,37.3872923,31448206,,,POINT (37.3872923 55.7125225)
55.7125042,37.3874687,31448207,,,POINT (37.3874687 55.7125042)
55.7125598,37.3877716,31448208,,,POINT (37.3877716 55.7125598)
55.7129189,37.3882637,31448210,,,POINT (37.3882637 55.7129189)
55.7133926,37.3881113,31448213,,,POINT (37.3881113 55.7133926)
55.7134643,37.3874934,31448214,,,POINT (37.3874934 55.7134643)
55.7138192,37.3930379,31449294,,,POINT (37.3930379 55.7138192)
55.8503473,37.4867224,35969660,,,POINT (37.4867224 55.8503473)
55.8482018,37.4888753,36157589,,,POINT (37.4888753 55.8482018)
55.8264905,37.5452586,43082169,,,POINT (37.5452586 55.8264905)
55.823426,37.5675504,43219132,,,POINT (37.5675504 55.823426)
55.7981383,37.5820945,44467040,,,POINT (37.5820945 55.7981383)
55.8152033,37.5649967,50451881,crossing,,POINT (37.5649967 55.8152033)
55.8109538,37.540375,51495332,,,POINT (37.540375 55.8109538)
55.7926087,37.5625393,53940946,,,POINT (37.5625393 55.7926087)
55.7663733,37.6095231,60272192,traffic_signals,,POINT (37.6095231 55.7663733)
55.763951,37.6121178,60272298,,,POINT (37.6121178 55.763951)
55.7605823,37.6152868,60276117,crossing,,POINT (37.6152868 55.7605823)
55.5695795,37.5764692,60276311,,,POINT (37.5764692 55.5695795)
55.6937578,37.6072073,60474213,,,POINT (37.6072073 55.6937578)
55.7058243,37.6478019,60691489,,,POINT (37.6478019 55.7058243)
55.892305,37.6815028,72507018,,,POINT (37.6815028 55.892305)
55.8916808,37.6813379,72507028,,,POINT (37.6813379 55.8916808)
55.7126162,37.3858405,80223502,,,POINT (37.3858405 55.7126162)
55.7124441,37.3856193,80223503,,,POINT (37.3856193 55.7124441)
55.712339,37.3852288,80223504,,,POINT (37.3852288 55.712339)
55.7123341,37.3849398,80223506,,,POINT (37.3849398 55.7123341)
55.7124451,37.3845109,80223507,,,POINT (37.3845109 55.7124451)
55.7128414,37.384311,80223510,,,POINT (37.384311 55.7128414)
55.7130303,37.3846523,80223512,,,POINT (37.3846523 55.7130303)
55.7143108,37.3849566,80225359,,,POINT (37.3849566 55.7143108)
55.7144211,37.3845852,80225360,,,POINT (37.3845852 55.7144211)
55.7144098,37.3842723,80225361,,,POINT (37.3842723 55.7144098)
55.7143175,37.3839733,80225362,,,POINT (37.3839733 55.7143175)
55.7141573,37.3837828,80225363,,,POINT (37.3837828 55.7141573)
55.7139558,37.3837753,80225364,,,POINT (37.3837753 55.7139558)
55.7138553,37.383858,80225366,,,POINT (37.383858 55.7138553)
55.7137476,37.3840679,80225368,,,POINT (37.3840679 55.7137476)
55.7125737,37.384331,80226940,,,POINT (37.384331 55.7125737)
55.5693376,37.5852909,82486272,,,POINT (37.5852909 55.5693376)
55.5793523,37.572667,82775440,traffic_signals,,POINT (37.572667 55.5793523)
55.6515834,37.480154,84360020,,,POINT (37.480154 55.6515834)
55.6083125,37.5405563,85740717,,,POINT (37.5405563 55.6083125)
55.768324,37.6133412,96482977,traffic_signals,,POINT (37.6133412 55.768324)
55.7680038,37.6136013,96485170,traffic_signals,,POINT (37.6136013 55.7680038)
55.7157176,37.3969368,96919511,,,POINT (37.3969368 55.7157176)
55.7163324,37.408557,96945678,,,POINT (37.408557 55.7163324)
55.8307157,37.6915289,97026125,,,POINT (37.6915289 55.8307157)
55.7607166,37.6236419,102743915,,,POINT (37.6236419 55.7607166)
55.7617275,37.6268695,102781550,traffic_signals,,POINT (37.6268695 55.7617275)
55.7609556,37.6205284,102783086,,,POINT (37.6205284 55.7609556)
55.7702557,37.636547,104157608,,,POINT (37.636547 55.7702557)
55.7680442,37.6377138,104163224,,,POINT (37.6377138 55.7680442)
55.7041612,37.5392878,112564575,,,POINT (37.5392878 55.7041612)
55.7022949,37.535905,112565910,,,POINT (37.535905 55.7022949)
55.6880955,37.8284269,148296718,motorway_junction,,POINT (37.8284269 55.6880955)
