u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,junction,width,bridge,access,service,tunnel,ref,est_width,area
360977,36480710,0,5210768,True,Rue de Gergovie,residential,30,34.69,"LINESTRING (2.319263 48.8305326, 2.319258 48.8306332, 2.3192318 48.8306545, 2.3190528 48.8307957)",,,,,,,,,,
361109,7679407161,0,542064424,True,Rue de la Chaussée d'Antin,secondary,30,136.97,"LINESTRING (2.3327119 48.8742988, 2.3327354 48.8742469, 2.3331807 48.8732282, 2.3332301 48.8731151)",,,,,,,,,,
361109,94219782,0,25469031,True,Rue de Provence,residential,30,189.72799999999998,"LINESTRING (2.3327119 48.8742988, 2.3327955 48.8743089, 2.3338672 48.8742811, 2.3342561 48.8742713, 2.3344515 48.8742646, 2.3352208 48.8742443, 2.3353021 48.8742376)",,,,,,,,,,
368014,5679638266,0,166031130,False,Boulevard Diderot,secondary,50,25.923000000000002,"LINESTRING (2.3867729 48.8473461, 2.3869392 48.8473659, 2.3870199 48.8473756, 2.3871218 48.8473865)",,,,,,,,,,
368014,367912778,0,32695452,False,Rue de Reuilly,tertiary,30,258.16299999999995,"LINESTRING (2.3867729 48.8473461, 2.3866885 48.8474529, 2.3859374 48.8484164, 2.3858015 48.8485918, 2.3853637 48.8491704, 2.3851651 48.8494126)",,,,,,,,,,
368014,411317259,0,34717498,False,Rue de Reuilly,tertiary,30,55.42399999999999,"LINESTRING (2.3867729 48.8473461, 2.3868616 48.8472358, 2.3869818 48.8470967, 2.3871423 48.846911)",,,,,,,,,,
368014,1775183390,0,596105328,False,Boulevard Diderot,secondary,30,19.503999999999998,"LINESTRING (2.3867729 48.8473461, 2.386619 48.8473277, 2.3865103 48.8473161)",,,,,,,,,,
368061,257712586,0,752044044,False,Avenue de Saint-Mandé,tertiary,,211.649,"LINESTRING (2.3982497 48.8453024, 2.3980812 48.8453185, 2.3979853 48.8453261, 2.3959605 48.8454971, 2.3957226 48.8455185, 2.3955149 48.8455372, 2.3953815 48.8455474)",,,,,,,,,,
368061,15378859,0,"[752044043, 123487806]",False,Avenue de Saint-Mandé,tertiary,,273.6,"LINESTRING (2.3982497 48.8453024, 2.3987593 48.8452621, 2.3991248 48.8452316, 2.4000455 48.8451533, 2.4010082 48.8450715, 2.4016648 48.8450157, 2.4018113 48.8450017, 2.4019578 48.8449876)",,,,,,,,,,
368061,368003,0,4039782,False,Avenue du Bel Air,residential,30,266.723,"LINESTRING (2.3982497 48.8453024, 2.3982405 48.8454068, 2.3981733 48.8455043, 2.3980849 48.8456221, 2.397436 48.8464927, 2.3968657 48.8472738, 2.396774 48.8473949, 2.3967168 48.8474701)",,,,,,,,,,
390027,2199846273,0,19725534,True,Rue de Montreuil,unclassified,30,147.231,"LINESTRING (2.3964579 48.8509679, 2.3961621 48.8509177, 2.3956255 48.8508269, 2.3952843 48.8507776, 2.3951794 48.8507624, 2.3946342 48.8506878, 2.3944978 48.85067)",,,,,,,,,,
390027,559067126,0,526161789,False,Rue de Montreuil,residential,30,130.916,"LINESTRING (2.3964579 48.8509679, 2.3965417 48.8509833, 2.3966218 48.8509978, 2.398116 48.8512657, 2.398184 48.8512779)",,,,,,,,,,
390030,6282793831,0,173315999,True,Rue de Montreuil,unclassified,30,9.909,"LINESTRING (2.3925211 48.8504119, 2.3923876 48.8503969)",,,,,,,,,,
470136,5526475311,0,68907088,False,Rue Gay-Lussac,tertiary,30,35.968,"LINESTRING (2.3420496 48.8443318, 2.3421235 48.8441766, 2.3421964 48.8440231)",,,,,,,,,,
470136,24984323,0,197591095,False,Rue Gay-Lussac,tertiary,30,192.383,"LINESTRING (2.3420496 48.8443318, 2.3419313 48.8445648, 2.3412803 48.8458457, 2.3412166 48.8459728)",,,,,,,,,,
704782,159658785,0,55497688,False,Avenue Daumesnil,secondary,30,49.37,"LINESTRING (2.4034875 48.8366973, 2.4036139 48.8366508, 2.4040676 48.8364708)",,,,,,,,,,
704782,15378825,0,55497688,False,Avenue Daumesnil,secondary,30,108.872,"LINESTRING (2.4034875 48.8366973, 2.4033334 48.8367515, 2.4032357 48.8367859, 2.4027063 48.8369722, 2.4021719 48.8371542)",,,,,,,,,,
704782,14950238,0,23899216,False,Avenue du Général Michel Bizot,tertiary,30,67.90599999999999,"LINESTRING (2.4034875 48.8366973, 2.4034026 48.8365797, 2.403361 48.8365388, 2.403001 48.8362812, 2.4029174 48.8362214)",,,,,,,,,,
8809435,8809434,0,4039883,True,Rue de Gravelle,residential,30,156.63899999999998,"LINESTRING (2.3970758 48.8356232, 2.3971326 48.8356689, 2.3975537 48.8360081, 2.3983793 48.8366754, 2.3984282 48.836715)",,,,,,,,,,
8809435,8809436,0,23785224,True,Rue de Wattignies,residential,30,190.373,"LINESTRING (2.3970758 48.8356232, 2.3962651 48.8358287, 2.3959361 48.8359121, 2.394783 48.8362045, 2.3946479 48.8362374)",1,,,,,,,,,
15378825,1775836985,0,130880771,True,Rue de Picpus,residential,30,23.286,"LINESTRING (2.4021719 48.8371542, 2.402247 48.8373577)",,,,,,,,,,
15378825,704782,0,55497688,False,Avenue Daumesnil,secondary,30,108.87199999999999,"LINESTRING (2.4021719 48.8371542, 2.4027063 48.8369722, 2.4032357 48.8367859, 2.4033334 48.8367515, 2.4034875 48.8366973)",,,,,,,,,,
15378825,268221926,0,438204230,False,Avenue Daumesnil,secondary,30,213.875,"LINESTRING (2.4021719 48.8371542, 2.4019499 48.8372381, 2.4018053 48.8372928, 2.4008065 48.8376702, 2.3996271 48.8380996)",,,,,,,,,,
15378825,15378833,0,4039938,True,Rue de Fécamp,residential,30,172.571,"LINESTRING (2.4021719 48.8371542, 2.4021293 48.837037, 2.4017448 48.8368502, 2.4009916 48.83649, 2.4009234 48.8364578, 2.4004359 48.8362271, 2.4003697 48.8361958)",,,,,,,,,,
15378847,8809435,0,631850954,True,Rue de Wattignies,residential,30,55.56,"LINESTRING (2.3977785 48.8354342, 2.3976803 48.8354606, 2.397219 48.8355847, 2.3970758 48.8356232)",1,,,,,,,,,
17809179,621240917,0,48965339,True,Quai de Jemmapes,cycleway,,199.721,"LINESTRING (2.3658688 48.8773655, 2.3659699 48.8774381, 2.3662247 48.8777472, 2.3671901 48.8788666, 2.3671858 48.8789257)",,,,,,,,,,
19722936,361116,0,"[68247749, 4039373]",True,Place de Clichy,"['primary', 'primary_link']",50,44.368,"LINESTRING (2.3275098 48.8833741, 2.3276253 48.8834129, 2.3276856 48.8834361, 2.3276442 48.8835492, 2.3276239 48.883605, 2.3275607 48.8836894)",,circular,,,,,,,,
21292407,21292409,0,56640608,False,Boulevard Arago,secondary,50,248.533,"LINESTRING (2.3449903 48.8349543, 2.3448562 48.8349484, 2.3447516 48.8349438, 2.34323 48.8348766, 2.3425377 48.8348494, 2.3422735 48.8348374, 2.3418348 48.8348224, 2.3417235 48.8348186, 2.3416015 48.8348131)",,,,,,,,,,
21292407,17975528,0,4039387,False,Rue de la Glacière,tertiary,30,148.635,"LINESTRING (2.3449903 48.8349543, 2.3450116 48.835068, 2.3450609 48.8353143, 2.3451416 48.8357619, 2.345243 48.8362806)",,,,,,,,,,
21292407,100292741,0,32529472,False,Rue de la Glacière,tertiary,30,89.261,"LINESTRING (2.3449903 48.8349543, 2.3449702 48.8348465, 2.3448871 48.8344003, 2.3448612 48.8342608, 2.3448449 48.8341573)",,,,,,,,,,
21292409,21292407,0,56640608,False,Boulevard Arago,secondary,50,248.533,"LINESTRING (2.3416015 48.8348131, 2.3417235 48.8348186, 2.3418348 48.8348224, 2.3422735 48.8348374, 2.3425377 48.8348494, 2.34323 48.8348766, 2.3447516 48.8349438, 2.3448562 48.8349484, 2.3449903 48.8349543)",,,,,,,,,,
21292409,5295211210,0,"[299741417, 477385895]",False,Boulevard Arago,secondary,50,300.48,"LINESTRING (2.3416015 48.8348131, 2.3414467 48.8348079, 2.3413683 48.8348035, 2.3382128 48.8346635, 2.3380557 48.834657, 2.3375053 48.834633)",,,,,,,,,,
21292409,249910847,0,11288541,False,Rue de la Santé,residential,30,190.491,"LINESTRING (2.3416015 48.8348131, 2.341584 48.8346959, 2.3415773 48.8346507, 2.3413043 48.8332443, 2.3412772 48.8331134)",,,,,,,,,,
21292409,36467166,0,23047039,False,Rue de la Santé,residential,30,63.128,"LINESTRING (2.3416015 48.8348131, 2.3416167 48.8349166, 2.3416768 48.8353261, 2.3416844 48.8353782)",,,,,,,,,,
21292412,21649685,0,548078039,False,Boulevard Arago,secondary,50,79.961,"LINESTRING (2.3511666 48.8365716, 2.3510098 48.836522, 2.3508611 48.8364743, 2.3504703 48.8363489, 2.3501813 48.836261)",,,,,,,,,,
21292412,411736431,0,"[548078037, 548078038]",True,"['Boulevard Arago', 'Boulevard Saint-Marcel']",cycleway,,90.10499999999999,"LINESTRING (2.3511666 48.8365716, 2.3512713 48.8364688, 2.3516502 48.8365843, 2.3519319 48.8366702, 2.3520813 48.8367189, 2.3521639 48.8368)",,,,,,,,,,
21346796,2386532733,0,695578271,False,Quai Branly,primary,50,18.008,"LINESTRING (2.2888812 48.854607, 2.2890223 48.8547397)",,,,,,,,,,
21649682,245924632,0,299741410,False,Boulevard Arago,secondary,50,80.57300000000001,"LINESTRING (2.3485644 48.8357339, 2.3488668 48.8358334, 2.3489349 48.8358553, 2.3494683 48.8360271, 2.3495518 48.8360543)",,,,,,,,,,
21649682,21659624,0,172857788,True,Rue Pascal,residential,30,30.060000000000002,"LINESTRING (2.3485644 48.8357339, 2.3485665 48.8358644, 2.3485507 48.8359096, 2.3484885 48.8359936)",,,,,,,,,,
21649685,21292412,0,548078039,False,Boulevard Arago,secondary,50,79.961,"LINESTRING (2.3501813 48.836261, 2.3504703 48.8363489, 2.3508611 48.8364743, 2.3510098 48.836522, 2.3511666 48.8365716)",,,,,,,,,,
21658441,21658443,0,744515450,False,Rue Bobillot,tertiary,30,39.588,"LINESTRING (2.3514725 48.8268898, 2.3515873 48.8270029, 2.351773 48.8271858)",,,,,,,,,,
21658441,246263427,0,85735933,False,Rue Bobillot,tertiary,30,29.337000000000003,"LINESTRING (2.3514725 48.8268898, 2.3513607 48.8267804, 2.3512488 48.8266709)",,,,,,,,,,
21658441,21658186,0,4081720,False,Rue du Moulinet,residential,30,135.09199999999998,"LINESTRING (2.3514725 48.8268898, 2.3515857 48.8268666, 2.3522305 48.8267347, 2.353277 48.8268031)",,,,,,,,,,
