u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,lanes,junction,width,bridge,access,tunnel,ref,service,area
368014,5679638266,0,166031130,Boulevard Diderot,secondary,50,False,25.923000000000002,"LINESTRING (2.3867729 48.8473461, 2.3869392 48.8473659, 2.3870199 48.8473756, 2.3871218 48.8473865)",,,,,,,,,
390027,5939279484,0,"[50551782, 19725534]",Rue de Montreuil,unclassified,30,True,285.655,"LINESTRING (2.3964579 48.8509679, 2.3961621 48.8509177, 2.3956255 48.8508269, 2.3952843 48.8507776, 2.3951794 48.8507624, 2.3946342 48.8506878, 2.3944978 48.85067, 2.3943095 48.8506446, 2.3929316 48.8504647, 2.3927083 48.8504318, 2.3926443 48.8504211)",,,,,,,,,
15378847,8809435,0,631850954,Rue de Wattignies,residential,30,True,55.56,"LINESTRING (2.3977785 48.8354342, 2.3976803 48.8354606, 2.397219 48.8355847, 2.3970758 48.8356232)",1,,,,,,,,
19722936,361116,0,"[68247749, 4039373]",Place de Clichy,"['primary', 'primary_link']",50,True,44.368,"LINESTRING (2.3275098 48.8833741, 2.3276253 48.8834129, 2.3276856 48.8834361, 2.3276442 48.8835492, 2.3276239 48.883605, 2.3275607 48.8836894)",,circular,,,,,,,
21292407,5295211210,0,"[56640608, 299741417, 477385895]",Boulevard Arago,secondary,50,False,549.013,"LINESTRING (2.3449903 48.8349543, 2.3448562 48.8349484, 2.3447516 48.8349438, 2.34323 48.8348766, 2.3425377 48.8348494, 2.3422735 48.8348374, 2.3418348 48.8348224, 2.3417235 48.8348186, 2.3416015 48.8348131, 2.3414467 48.8348079, 2.3413683 48.8348035, 2.3382128 48.8346635, 2.3380557 48.834657, 2.3375053 48.834633)",,,,,,,,,
21292412,21649685,0,548078039,Boulevard Arago,secondary,50,False,79.961,"LINESTRING (2.3511666 48.8365716, 2.3510098 48.836522, 2.3508611 48.8364743, 2.3504703 48.8363489, 2.3501813 48.836261)",,,,,,,,,
21292412,411736431,0,"[548078037, 548078038]","['Boulevard Arago', 'Boulevard Saint-Marcel']",cycleway,,True,90.10499999999999,"LINESTRING (2.3511666 48.8365716, 2.3512713 48.8364688, 2.3516502 48.8365843, 2.3519319 48.8366702, 2.3520813 48.8367189, 2.3521639 48.8368)",,,,,,,,,
21346796,2386532733,0,695578271,Quai Branly,primary,50,False,18.008,"LINESTRING (2.2888812 48.854607, 2.2890223 48.8547397)",,,,,,,,,
21649682,245924632,0,299741410,Boulevard Arago,secondary,50,False,80.57300000000001,"LINESTRING (2.3485644 48.8357339, 2.3488668 48.8358334, 2.3489349 48.8358553, 2.3494683 48.8360271, 2.3495518 48.8360543)",,,,,,,,,
21649685,21292412,0,548078039,Boulevard Arago,secondary,50,False,79.961,"LINESTRING (2.3501813 48.836261, 2.3504703 48.8363489, 2.3508611 48.8364743, 2.3510098 48.836522, 2.3511666 48.8365716)",,,,,,,,,
