y,x,osmid,highway,ref,geometry
48.8305326,2.319263,360977,traffic_signals,,POINT (2.319263 48.8305326)
48.8729517,2.3333015,361106,,,POINT (2.3333015 48.8729517)
48.8742988,2.3327119,361109,,,POINT (2.3327119 48.8742988)
48.8836894,2.3275607,361116,traffic_signals,,POINT (2.3275607 48.8836894)
48.8631344,2.2686662,367889,traffic_signals,,POINT (2.2686662 48.8631344)
48.8473461,2.3867729,368014,traffic_signals,,POINT (2.3867729 48.8473461)
48.8453024,2.3982497,368061,,,POINT (2.3982497 48.8453024)
48.8691428,2.3101251,368254,,,POINT (2.3101251 48.8691428)
48.8542721,2.3054471,368272,traffic_signals,,POINT (2.3054471 48.8542721)
48.8509679,2.3964579,390027,,,POINT (2.3964579 48.8509679)
48.8504119,2.3925211,390030,,,POINT (2.3925211 48.8504119)
48.8443318,2.3420496,470136,traffic_signals,,POINT (2.3420496 48.8443318)
48.8366973,2.4034875,704782,traffic_signals,,POINT (2.4034875 48.8366973)
48.8356232,2.3970758,8809435,,,POINT (2.3970758 48.8356232)
48.8371542,2.4021719,15378825,traffic_signals,,POINT (2.4021719 48.8371542)
48.8354342,2.3977785,15378847,,,POINT (2.3977785 48.8354342)
48.8773655,2.3658688,17809179,traffic_signals,,POINT (2.3658688 48.8773655)
48.8833741,2.3275098,19722936,traffic_signals,,POINT (2.3275098 48.8833741)
48.8349543,2.3449903,21292407,traffic_signals,,POINT (2.3449903 48.8349543)
48.8348131,2.3416015,21292409,traffic_signals,,POINT (2.3416015 48.8348131)
48.8365716,2.3511666,21292412,traffic_signals,,POINT (2.3511666 48.8365716)
48.854607,2.2888812,21346796,traffic_signals,,POINT (2.2888812 48.854607)
48.8357339,2.3485644,21649682,traffic_signals,,POINT (2.3485644 48.8357339)
48.8268898,2.3514725,21658441,,,POINT (2.3514725 48.8268898)
48.8274854,2.3520793,21658442,,,POINT (2.3520793 48.8274854)
48.8271858,2.351773,21658443,,,POINT (2.351773 48.8271858)
48.8280926,2.3526934,21658445,traffic_signals,,POINT (2.3526934 48.8280926)
48.8303532,2.3545654,21658878,,,POINT (2.3545654 48.8303532)
48.8924526,2.3305179,24911715,,,POINT (2.3305179 48.8924526)
48.8918534,2.3335208,24911716,traffic_signals,,POINT (2.3335208 48.8918534)
48.8302089,2.332901,24912995,,,POINT (2.332901 48.8302089)
48.8302394,2.3337937,24912996,traffic_signals,,POINT (2.3337937 48.8302394)
48.8261281,2.3307382,24913010,,,POINT (2.3307382 48.8261281)
48.824851,2.3288646,24913014,,,POINT (2.3288646 48.824851)
48.8259438,2.3316904,24913023,,,POINT (2.3316904 48.8259438)
48.8503942,2.3919177,25001240,,,POINT (2.3919177 48.8503942)
48.8504738,2.3905772,25001430,traffic_signals,,POINT (2.3905772 48.8504738)
48.8507624,2.3951794,25001562,,,POINT (2.3951794 48.8507624)
48.8403343,2.3925103,25002615,,,POINT (2.3925103 48.8403343)
48.8400216,2.3917669,25002663,,,POINT (2.3917669 48.8400216)
48.8504684,2.3844442,25008881,traffic_signals,,POINT (2.3844442 48.8504684)
48.8504472,2.3865523,25008900,,,POINT (2.3865523 48.8504472)
48.8637913,2.3362593,25273423,,,POINT (2.3362593 48.8637913)
48.8571857,2.3472935,25554694,,,POINT (2.3472935 48.8571857)
48.8268677,2.3321003,25574314,,,POINT (2.3321003 48.8268677)
48.8269371,2.3319192,25574315,,,POINT (2.3319192 48.8269371)
48.8670159,2.3063219,25625650,traffic_signals,,POINT (2.3063219 48.8670159)
48.8672312,2.3059804,25625651,,,POINT (2.3059804 48.8672312)
48.8680204,2.3047143,25625653,,,POINT (2.3047143 48.8680204)
48.869021,2.303111,25625927,,,POINT (2.303111 48.869021)
48.8692431,2.3027694,25625929,traffic_signals,,POINT (2.3027694 48.8692431)
48.8686556,2.3037039,25625930,traffic_signals,,POINT (2.3037039 48.8686556)
48.8696008,2.302209,25625939,,,POINT (2.302209 48.8696008)
48.8700562,2.3009879,25625959,,,POINT (2.3009879 48.8700562)
48.8700884,2.3014258,25625960,,,POINT (2.3014258 48.8700884)
48.8696731,2.3101026,25934313,traffic_signals,,POINT (2.3101026 48.8696731)
48.8554507,2.3619471,26401644,,,POINT (2.3619471 48.8554507)
48.8550871,2.3616693,26401696,traffic_signals,,POINT (2.3616693 48.8550871)
48.884205,2.3842799,26551730,,,POINT (2.3842799 48.884205)
48.8616454,2.2290868,27180828,,,POINT (2.2290868 48.8616454)
48.8614147,2.2300683,27180835,,,POINT (2.2300683 48.8614147)
48.8812167,2.3155495,27234851,,,POINT (2.3155495 48.8812167)
48.8811877,2.3153333,27234859,,,POINT (2.3153333 48.8811877)
48.886413,2.318484,27323501,,,POINT (2.318484 48.886413)
48.8874983,2.3255897,27323728,,,POINT (2.3255897 48.8874983)
48.8705292,2.3100895,32560725,traffic_signals,,POINT (2.3100895 48.8705292)
48.8730914,2.3100236,32560746,traffic_signals,,POINT (2.3100236 48.8730914)
48.872596,2.3100745,32561279,traffic_signals,,POINT (2.3100745 48.872596)
48.871388,2.3100809,32561341,traffic_signals,,POINT (2.3100809 48.871388)
48.8631099,2.286485,34816181,,,POINT (2.286485 48.8631099)
48.8629418,2.2864427,34816182,,,POINT (2.2864427 48.8629418)
48.8629558,2.2691588,34816424,,,POINT (2.2691588 48.8629558)
48.8630533,2.2698223,34816425,,,POINT (2.2698223 48.8630533)
48.8642144,2.2749366,34816432,traffic_signals,,POINT (2.2749366 48.8642144)
48.8639585,2.2773634,34816433,,,POINT (2.2773634 48.8639585)
48.86349,2.2815517,34816434,traffic_signals,,POINT (2.2815517 48.86349)
48.8641183,2.2775566,34816999,,,POINT (2.2775566 48.8641183)
48.8643867,2.2750589,34817257,traffic_signals,,POINT (2.2750589 48.8643867)
48.8632483,2.285314,34817757,,,POINT (2.285314 48.8632483)
48.8636537,2.2816971,34817771,traffic_signals,,POINT (2.2816971 48.8636537)
48.8638122,2.2787143,34817839,,,POINT (2.2787143 48.8638122)
48.8631118,2.2691375,34818040,,,POINT (2.2691375 48.8631118)
48.8637062,2.2796146,34818167,,,POINT (2.2796146 48.8637062)
48.867293,2.3759095,35514153,,,POINT (2.3759095 48.867293)
48.8904353,2.3484592,54781286,traffic_signals,,POINT (2.3484592 48.8904353)
48.8904998,2.3495949,57336018,traffic_signals,,POINT (2.3495949 48.8904998)
48.8263443,2.3130444,63164022,,,POINT (2.3130444 48.8263443)
48.8285906,2.3163735,64621533,,,POINT (2.3163735 48.8285906)
48.8279964,2.3154935,64621852,,,POINT (2.3154935 48.8279964)
48.8268672,2.3138134,64622173,,,POINT (2.3138134 48.8268672)
48.8262834,2.3318364,82409093,,,POINT (2.3318364 48.8262834)
48.8287536,2.3166149,88195532,,,POINT (2.3166149 48.8287536)
48.8280875,2.3156286,88195901,traffic_signals,,POINT (2.3156286 48.8280875)
48.8776836,2.3653881,94110200,traffic_signals,,POINT (2.3653881 48.8776836)
48.8801233,2.3903015,94121562,,,POINT (2.3903015 48.8801233)
48.872856,2.3544476,94143078,,,POINT (2.3544476 48.872856)
48.872273,2.3559135,94143079,,,POINT (2.3559135 48.872273)
48.8666653,2.373501,94151144,traffic_signals,,POINT (2.373501 48.8666653)
48.8733866,2.3526565,94161165,,,POINT (2.3526565 48.8733866)
48.8738168,2.3505169,94161169,traffic_signals,,POINT (2.3505169 48.8738168)
48.8752609,2.3322934,94173692,traffic_signals,,POINT (2.3322934 48.8752609)
48.875227,2.3594308,94199676,,,POINT (2.3594308 48.875227)
48.8875318,2.3352648,94225415,,,POINT (2.3352648 48.8875318)
48.8848962,2.3593476,94247453,traffic_signals,,POINT (2.3593476 48.8848962)
48.8847815,2.3593445,94249286,traffic_signals,,POINT (2.3593445 48.8847815)
48.8717748,2.3571452,123256917,,,POINT (2.3571452 48.8717748)
48.8543083,2.3959136,123497818,traffic_signals,,POINT (2.3959136 48.8543083)
48.8543665,2.3961334,123498921,traffic_signals,,POINT (2.3961334 48.8543665)
48.8278033,2.3152029,128065399,,,POINT (2.3152029 48.8278033)
48.9009526,2.3269328,145934030,,,POINT (2.3269328 48.9009526)
48.8662925,2.3720815,151359040,,,POINT (2.3720815 48.8662925)
48.8296807,2.3179875,152976640,,,POINT (2.3179875 48.8296807)
48.8275428,2.3148219,158587492,,,POINT (2.3148219 48.8275428)
48.8364708,2.4040676,159658785,,,POINT (2.4040676 48.8364708)
48.8320689,2.3353577,166334756,,,POINT (2.3353577 48.8320689)
48.8747071,2.3608203,169314963,,,POINT (2.3608203 48.8747071)
48.874598,2.332582,169322499,,,POINT (2.332582 48.874598)
48.8728282,2.3100572,169326630,,,POINT (2.3100572 48.8728282)
48.8785424,2.4001032,203323460,,,POINT (2.4001032 48.8785424)
48.8504647,2.3929316,206155604,,,POINT (2.3929316 48.8504647)
48.8374113,2.2582683,208906482,,,POINT (2.2582683 48.8374113)
48.8371065,2.2601266,208918724,,,POINT (2.2601266 48.8371065)
48.8998439,2.3702734,209147808,,,POINT (2.3702734 48.8998439)
48.8987811,2.3643457,209148461,,,POINT (2.3643457 48.8987811)
48.8994036,2.365844,209148691,,,POINT (2.365844 48.8994036)
48.8974487,2.3242343,209157796,traffic_signals,,POINT (2.3242343 48.8974487)
48.8868119,2.3811884,235086801,,,POINT (2.3811884 48.8868119)
48.8875649,2.3803109,243352045,,,POINT (2.3803109 48.8875649)
48.8871593,2.380783,243352113,,,POINT (2.380783 48.8871593)
48.8866618,2.3813656,243352440,,,POINT (2.3813656 48.8866618)
48.8358721,2.4057058,245277325,,,POINT (2.4057058 48.8358721)
48.8327385,2.3469587,245401812,,,POINT (2.3469587 48.8327385)
48.8360543,2.3495518,245924632,,,POINT (2.3495518 48.8360543)
48.8356578,2.3483187,246144547,traffic_signals,,POINT (2.3483187 48.8356578)
48.8768057,2.4119691,248578575,,,POINT (2.4119691 48.8768057)
48.8317078,2.3408724,249581621,traffic_signals,,POINT (2.3408724 48.8317078)
48.8292285,2.3173183,249581622,traffic_signals,,POINT (2.3173183 48.8292285)
48.8317885,2.3351811,249662614,,,POINT (2.3351811 48.8317885)
48.8667802,2.3739412,256586412,,,POINT (2.3739412 48.8667802)
48.8669352,2.3745361,256586525,,,POINT (2.3745361 48.8669352)
48.8676518,2.3772862,256588304,,,POINT (2.3772862 48.8676518)
48.8190768,2.3610162,257686887,,,POINT (2.3610162 48.8190768)
48.8455474,2.3953815,257712586,traffic_signals,,POINT (2.3953815 48.8455474)
48.8644027,2.2746389,257938597,traffic_signals,,POINT (2.2746389 48.8644027)
48.8642212,2.2747553,257938598,,,POINT (2.2747553 48.8642212)
48.8639065,2.279454,257940602,,,POINT (2.279454 48.8639065)
48.881931,2.3929134,258046145,,,POINT (2.3929134 48.881931)
48.88791,2.3799292,258075599,,,POINT (2.3799292 48.88791)
48.8371916,2.2595867,260618120,,,POINT (2.2595867 48.8371916)
48.8992285,2.3401472,267379368,,,POINT (2.3401472 48.8992285)
48.8993276,2.3441363,268233209,traffic_signals,,POINT (2.3441363 48.8993276)
48.899243,2.3407877,268233760,,,POINT (2.3407877 48.899243)
48.8992748,2.3423571,268233890,,,POINT (2.3423571 48.8992748)
48.8991175,2.3347679,268234027,,,POINT (2.3347679 48.8991175)
48.8988423,2.3343289,268234154,,,POINT (2.3343289 48.8988423)
48.881133,2.314926,277520265,,,POINT (2.314926 48.881133)
48.8350428,2.3463442,287541859,traffic_signals,,POINT (2.3463442 48.8350428)
48.8783723,2.4107353,327203983,traffic_signals,,POINT (2.4107353 48.8783723)
48.8192738,2.3533099,343694131,,,POINT (2.3533099 48.8192738)
48.8504555,2.3856305,367906705,,,POINT (2.3856305 48.8504555)
48.876253,2.3318586,369326446,traffic_signals,,POINT (2.3318586 48.876253)
48.8858802,2.382271,621294942,,,POINT (2.382271 48.8858802)
48.885967,2.3821616,621297501,,,POINT (2.3821616 48.885967)
48.8904966,2.3494848,655293831,,,POINT (2.3494848 48.8904966)
48.8309376,2.3550611,659902154,crossing,,POINT (2.3550611 48.8309376)
48.8787298,2.4013542,660512243,crossing,,POINT (2.4013542 48.8787298)
48.8577244,2.3477767,676890545,traffic_signals,,POINT (2.3477767 48.8577244)
48.8190202,2.3609858,683061165,crossing,,POINT (2.3609858 48.8190202)
48.8652202,2.355672,778289757,,,POINT (2.355672 48.8652202)
48.8834361,2.3276856,821879336,,,POINT (2.3276856 48.8834361)
48.8810292,2.3140432,822185532,,,POINT (2.3140432 48.8810292)
48.880954,2.3141361,822185560,,,POINT (2.3141361 48.880954)
48.8287283,2.3165776,930283192,,,POINT (2.3165776 48.8287283)
48.8631065,2.2688595,957634031,crossing,,POINT (2.2688595 48.8631065)
48.8753307,2.4074526,1089076202,,,POINT (2.4074526 48.8753307)
48.8402933,2.3924126,1284603813,,,POINT (2.3924126 48.8402933)
48.8991474,2.336103,1343567542,crossing,,POINT (2.336103 48.8991474)
48.8983602,2.333868,1343567770,,,POINT (2.333868 48.8983602)
48.8991499,2.3362804,1343567797,,,POINT (2.3362804 48.8991499)
48.8358964,2.4056372,1440476485,,,POINT (2.4056372 48.8358964)
48.8907123,2.3455711,1673951991,,,POINT (2.3455711 48.8907123)
48.8742768,2.3626226,1757697264,,,POINT (2.3626226 48.8742768)
48.879251,2.3629019,1757697274,traffic_signals,,POINT (2.3629019 48.879251)
48.8849907,2.383273,1762544614,,,POINT (2.383273 48.8849907)
48.8750392,2.4057299,1997626401,,,POINT (2.4057299 48.8750392)
48.8992819,2.365564,2152029471,,,POINT (2.365564 48.8992819)
48.85067,2.3944978,2199846273,,,POINT (2.3944978 48.85067)
48.8864458,2.3181261,2208333169,,,POINT (2.3181261 48.8864458)
48.8991552,2.336441,2270376040,crossing,,POINT (2.336441 48.8991552)
48.8973139,2.3243465,2294658839,,,POINT (2.3243465 48.8973139)
48.8983807,2.3641591,2354781583,,,POINT (2.3641591 48.8983807)
48.8984617,2.3680732,2354781624,,,POINT (2.3680732 48.8984617)
48.8984414,2.3667118,2354781630,,,POINT (2.3667118 48.8984414)
48.8653665,2.3556904,2402569198,,,POINT (2.3556904 48.8653665)
48.8983358,2.3612881,2537082845,,,POINT (2.3612881 48.8983358)
48.832639,2.3470066,2597463114,,,POINT (2.3470066 48.832639)
48.8845286,2.359327,2864793308,traffic_signals,,POINT (2.359327 48.8845286)
48.8777215,2.2983559,3219846388,traffic_signals,,POINT (2.2983559 48.8777215)
48.8809359,2.313992,3249325295,,,POINT (2.313992 48.8809359)
48.8355722,2.3480346,3375721567,traffic_signals,,POINT (2.3480346 48.8355722)
48.8310705,2.3551739,4250154475,,,POINT (2.3551739 48.8310705)
48.8357334,2.4060649,4359343926,,,POINT (2.4060649 48.8357334)
48.831872,2.3402605,4532171346,,,POINT (2.3402605 48.831872)
48.8978085,2.3334381,4864709128,,,POINT (2.3334381 48.8978085)
48.9011048,2.3894769,5239603982,,,POINT (2.3894769 48.9011048)
48.8777835,2.2980862,5475922892,,,POINT (2.2980862 48.8777835)
48.8473865,2.3871218,5679638266,,,POINT (2.3871218 48.8473865)
48.9009021,2.3908108,5836630808,crossing,,POINT (2.3908108 48.9009021)
48.8504211,2.3926443,5939279484,,,POINT (2.3926443 48.8504211)
48.8845702,2.3593299,6222542084,,,POINT (2.3593299 48.8845702)
48.8503969,2.3923876,6282793831,,,POINT (2.3923876 48.8503969)
48.8584753,2.3481964,6282960235,,,POINT (2.3481964 48.8584753)
48.8991711,2.3370758,6360644991,,,POINT (2.3370758 48.8991711)
48.8461186,2.2768641,6431722527,,,POINT (2.2768641 48.8461186)
48.8692268,2.3101202,6620531018,,,POINT (2.3101202 48.8692268)
48.8723031,2.3558254,6620540068,,,POINT (2.3558254 48.8723031)
48.8180598,2.3533641,6770710995,,,POINT (2.3533641 48.8180598)
48.8653197,2.355689,6904813615,,,POINT (2.355689 48.8653197)
48.8182188,2.3604805,7218812044,,,POINT (2.3604805 48.8182188)
48.8270444,2.3140797,7656888795,,,POINT (2.3140797 48.8270444)
48.8731151,2.3332301,7679407161,,,POINT (2.3332301 48.8731151)
48.826185,2.3572626,360932,traffic_signals,,POINT (2.3572626 48.826185)
48.8624438,2.2637168,367887,,,POINT (2.2637168 48.8624438)
48.8661921,2.3696433,367967,traffic_signals,,POINT (2.3696433 48.8661921)
48.8442874,2.4101755,368058,,,POINT (2.4101755 48.8442874)
48.8446689,2.4057273,368059,traffic_signals,,POINT (2.4057273 48.8446689)
48.8370497,2.3900187,368083,traffic_signals,,POINT (2.3900187 48.8370497)
48.8640673,2.3201227,368243,,,POINT (2.3201227 48.8640673)
48.8778095,2.2979629,368335,traffic_signals,,POINT (2.2979629 48.8778095)
48.8489668,2.3920084,390033,traffic_signals,,POINT (2.3920084 48.8489668)
48.8388965,2.3974499,390202,,,POINT (2.3974499 48.8388965)
48.8364877,2.3876847,390252,,,POINT (2.3876847 48.8364877)
48.8751368,2.2960232,661218,traffic_signals,,POINT (2.2960232 48.8751368)
48.838981,2.3892265,14950171,traffic_signals,,POINT (2.3892265 48.838981)
48.8384332,2.3987163,15378826,,,POINT (2.3987163 48.8384332)
48.8381744,2.3994244,15378827,,,POINT (2.3994244 48.8381744)
48.8449876,2.4019578,15378859,traffic_signals,,POINT (2.4019578 48.8449876)
48.866331,2.3688858,17809163,,,POINT (2.3688858 48.866331)
48.8443802,2.4413075,17975396,,,POINT (2.4413075 48.8443802)
48.8267603,2.3570888,21657548,,,POINT (2.3570888 48.8267603)
48.8274318,2.3568841,21658061,,,POINT (2.3568841 48.8274318)
48.8744338,2.2929668,21660038,,,POINT (2.2929668 48.8744338)
48.8753276,2.2961635,21660281,,,POINT (2.2961635 48.8753276)
48.895556,2.3282949,24912021,,,POINT (2.3282949 48.895556)
48.8488169,2.3929976,25001256,,,POINT (2.3929976 48.8488169)
48.8492566,2.3900946,25001426,,,POINT (2.3900946 48.8492566)
48.8496757,2.3873276,25008903,,,POINT (2.3873276 48.8496757)
48.8493371,2.389563,25009134,,,POINT (2.389563 48.8493371)
48.8646123,2.3780241,25034650,,,POINT (2.3780241 48.8646123)
48.8640234,2.3811196,25034653,,,POINT (2.3811196 48.8640234)
48.8631627,2.3856002,25034654,,,POINT (2.3856002 48.8631627)
48.8656671,2.3724149,25034664,,,POINT (2.3724149 48.8656671)
48.8537868,2.2262612,27181011,,,POINT (2.2262612 48.8537868)
48.8815087,2.2817888,27286645,,,POINT (2.2817888 48.8815087)
48.8768877,2.2852611,27286668,crossing,,POINT (2.2852611 48.8768877)
48.8762643,2.2872219,27286670,traffic_signals,,POINT (2.2872219 48.8762643)
48.875698,2.288992,27286674,,,POINT (2.288992 48.875698)
48.8750111,2.2911575,27286709,,,POINT (2.2911575 48.8750111)
48.8762886,2.2968537,27286711,,,POINT (2.2968537 48.8762886)
48.8758928,2.2965695,27286712,,,POINT (2.2965695 48.8758928)
48.8754383,2.2962423,27286715,,,POINT (2.2962423 48.8754383)
48.8867623,2.3259194,27323738,,,POINT (2.3259194 48.8867623)
48.8866036,2.3259864,27323739,,,POINT (2.3259864 48.8866036)
48.8862973,2.3261273,27323741,,,POINT (2.3261273 48.8862973)
48.8858204,2.3263574,27323744,,,POINT (2.3263574 48.8858204)
48.8641906,2.3802358,34777850,,,POINT (2.3802358 48.8641906)
48.8251193,2.3575888,52025142,traffic_signals,,POINT (2.3575888 48.8251193)
48.8956182,2.3463293,54794649,traffic_signals,,POINT (2.3463293 48.8956182)
48.8960248,2.3459939,56508342,traffic_signals,,POINT (2.3459939 48.8960248)
48.8975513,2.3446898,60766874,,,POINT (2.3446898 48.8975513)
48.86647,2.3681656,94144498,,,POINT (2.3681656 48.86647)
48.8638195,2.3821977,94150523,,,POINT (2.3821977 48.8638195)
48.8628767,2.3872726,123479648,traffic_signals,,POINT (2.3872726 48.8628767)
48.8277899,2.2923245,125385335,,,POINT (2.2923245 48.8277899)
48.8930061,2.3274236,130057658,traffic_signals,,POINT (2.3274236 48.8930061)
48.8304836,2.2922936,141600013,,,POINT (2.2922936 48.8304836)
48.824282,2.318635,141606902,,,POINT (2.318635 48.824282)
48.8632782,2.3850021,148945385,,,POINT (2.3850021 48.8632782)
48.8660903,2.3701799,151357427,,,POINT (2.3701799 48.8660903)
48.8659897,2.3707264,151357502,,,POINT (2.3707264 48.8659897)
48.8658314,2.3715619,151358862,,,POINT (2.3715619 48.8658314)
48.8485177,2.3024568,174026196,,,POINT (2.3024568 48.8485177)
48.8949577,2.3280915,178880787,,,POINT (2.3280915 48.8949577)
48.8958701,2.3284025,178882047,,,POINT (2.3284025 48.8958701)
48.8390347,2.3898273,225937067,,,POINT (2.3898273 48.8390347)
48.8390572,2.390092,225943178,,,POINT (2.390092 48.8390572)
48.8446412,2.4060289,244420732,,,POINT (2.4060289 48.8446412)
48.8244351,2.3578057,251517810,,,POINT (2.3578057 48.8244351)
48.8257932,2.3573914,252659093,,,POINT (2.3573914 48.8257932)
48.8666302,2.3673384,256587669,,,POINT (2.3673384 48.8666302)
48.8635922,2.3833755,260550361,,,POINT (2.3833755 48.8635922)
48.8436098,2.4472694,267568726,,,POINT (2.4472694 48.8436098)
48.8889355,2.290574,268127165,,,POINT (2.290574 48.8889355)
48.8875714,2.2877878,268140568,,,POINT (2.2877878 48.8875714)
48.8382798,2.3991378,268221897,,,POINT (2.3991378 48.8382798)
48.8380996,2.3996271,268221926,,,POINT (2.3996271 48.8380996)
48.8994664,2.3441317,268233245,traffic_signals,,POINT (2.3441317 48.8994664)
48.8975375,2.3289366,268238167,,,POINT (2.3289366 48.8975375)
48.8849379,2.3267607,272678970,,,POINT (2.3267607 48.8849379)
48.8845438,2.3269445,272682936,,,POINT (2.3269445 48.8845438)
48.8895911,2.326283,273692324,,,POINT (2.326283 48.8895911)
48.8904136,2.3265619,273692604,,,POINT (2.3265619 48.8904136)
48.8880233,2.3257574,273692759,,,POINT (2.3257574 48.8880233)
48.8907006,2.3266548,273694952,,,POINT (2.3266548 48.8907006)
48.8934006,2.3275691,273698839,,,POINT (2.3275691 48.8934006)
48.8916115,2.3269665,273699629,,,POINT (2.3269665 48.8916115)
48.8913296,2.326868,273700081,traffic_signals,,POINT (2.326868 48.8913296)
48.8771474,2.2844348,299014749,,,POINT (2.2844348 48.8771474)
48.8748275,2.2917343,299017904,,,POINT (2.2917343 48.8748275)
48.8752303,2.2904686,299018405,,,POINT (2.2904686 48.8752303)
48.9003505,2.34413,320153318,,,POINT (2.34413 48.9003505)
48.888495,2.2896777,353192571,,,POINT (2.2896777 48.888495)
48.8872542,2.2871374,353192575,,,POINT (2.2871374 48.8872542)
48.8610808,2.2286332,356299716,,,POINT (2.2286332 48.8610808)
