y,x,osmid,highway,geometry
48.8635232,2.4107318,125730,,POINT (2.4107318 48.8635232)
48.8518516,2.401373,125742,,POINT (2.401373 48.8518516)
48.8542608,2.414664,125747,,POINT (2.414664 48.8542608)
48.8295112,2.4012582,125760,,POINT (2.4012582 48.8295112)
48.8263456,2.3614982,360930,,POINT (2.3614982 48.8263456)
48.826185,2.3572626,360932,traffic_signals,POINT (2.3572626 48.826185)
48.8260749,2.3552177,360933,,POINT (2.3552177 48.8260749)
48.8258123,2.3503781,360935,traffic_signals,POINT (2.3503781 48.8258123)
48.8257548,2.3465866,360937,traffic_signals,POINT (2.3465866 48.8257548)
48.8305326,2.319263,360977,traffic_signals,POINT (2.319263 48.8305326)
48.8318162,2.3141451,360978,traffic_signals,POINT (2.3141451 48.8318162)
48.8335638,2.3092306,360980,,POINT (2.3092306 48.8335638)
48.8421683,2.2855643,360986,traffic_signals,POINT (2.2855643 48.8421683)
48.8479618,2.2622425,360995,,POINT (2.2622425 48.8479618)
48.8584182,2.258932,361002,,POINT (2.258932 48.8584182)
48.845782,2.3675155,361029,,POINT (2.3675155 48.845782)
48.8508902,2.3672854,361032,traffic_signals,POINT (2.3672854 48.8508902)
48.848785,2.3679961,361036,traffic_signals,POINT (2.3679961 48.848785)
48.8385973,2.3507157,361041,,POINT (2.3507157 48.8385973)
48.8380281,2.351,361042,,POINT (2.351 48.8380281)
48.8332121,2.3543465,361043,,POINT (2.3543465 48.8332121)
48.8365766,2.3592953,361045,traffic_signals,POINT (2.3592953 48.8365766)
48.84166,2.3519793,361047,traffic_signals,POINT (2.3519793 48.84166)
48.8396902,2.3512679,361048,traffic_signals,POINT (2.3512679 48.8396902)
48.8466037,2.3516349,361050,traffic_signals,POINT (2.3516349 48.8466037)
48.8301525,2.3592931,361055,,POINT (2.3592931 48.8301525)
48.8266453,2.363724,361058,,POINT (2.363724 48.8266453)
48.8471299,2.3512394,361059,,POINT (2.3512394 48.8471299)
48.8480778,2.3505051,361060,traffic_signals,POINT (2.3505051 48.8480778)
48.8523487,2.3482382,361062,traffic_signals,POINT (2.3482382 48.8523487)
48.8612187,2.353509,361074,traffic_signals,POINT (2.353509 48.8612187)
48.8627236,2.3543162,361075,traffic_signals,POINT (2.3543162 48.8627236)
48.8685611,2.3630587,361084,,POINT (2.3630587 48.8685611)
48.8672969,2.3568082,361092,,POINT (2.3568082 48.8672969)
48.8677102,2.3548458,361093,traffic_signals,POINT (2.3548458 48.8677102)
48.8706755,2.3478915,361098,traffic_signals,POINT (2.3478915 48.8706755)
48.871724,2.3416094,361099,,POINT (2.3416094 48.871724)
48.8785307,2.3540413,361102,,POINT (2.3540413 48.8785307)
48.8805026,2.3523217,361103,,POINT (2.3523217 48.8805026)
48.8719981,2.3400532,361104,traffic_signals,POINT (2.3400532 48.8719981)
48.8722422,2.3382998,361105,traffic_signals,POINT (2.3382998 48.8722422)
48.8729517,2.3333015,361106,,POINT (2.3333015 48.8729517)
48.8742709,2.3313143,361108,traffic_signals,POINT (2.3313143 48.8742709)
48.8742988,2.3327119,361109,,POINT (2.3327119 48.8742988)
48.8761423,2.3311152,361110,traffic_signals,POINT (2.3311152 48.8761423)
48.8793511,2.3293652,361111,,POINT (2.3293652 48.8793511)
48.8884009,2.3479972,361114,traffic_signals,POINT (2.3479972 48.8884009)
48.8847082,2.329479,361117,,POINT (2.329479 48.8847082)
48.8875068,2.3333512,361118,traffic_signals,POINT (2.3333512 48.8875068)
48.8855694,2.3292149,361119,,POINT (2.3292149 48.8855694)
48.8857811,2.3288341,361120,,POINT (2.3288341 48.8857811)
48.8872661,2.3286387,361123,,POINT (2.3286387 48.8872661)
48.8883067,2.3274876,361124,,POINT (2.3274876 48.8883067)
48.8900456,2.3292793,361125,,POINT (2.3292793 48.8900456)
48.8870858,2.3392575,361134,,POINT (2.3392575 48.8870858)
48.8869872,2.3399176,361135,,POINT (2.3399176 48.8869872)
48.8865415,2.341406,361136,crossing,POINT (2.341406 48.8865415)
48.8261632,2.3599615,361704,traffic_signals,POINT (2.3599615 48.8261632)
48.8284735,2.358117,361705,traffic_signals,POINT (2.358117 48.8284735)
48.8303757,2.3527614,361726,traffic_signals,POINT (2.3527614 48.8303757)
48.8306421,2.3526433,361729,traffic_signals,POINT (2.3526433 48.8306421)
48.8311993,2.3543524,361730,traffic_signals,POINT (2.3543524 48.8311993)
48.8317002,2.3543662,361731,,POINT (2.3543662 48.8317002)
48.8319405,2.3534547,361732,,POINT (2.3534547 48.8319405)
48.8322202,2.3550299,361733,traffic_signals,POINT (2.3550299 48.8322202)
48.8313954,2.3581678,361735,,POINT (2.3581678 48.8313954)
48.832001,2.3599644,361736,,POINT (2.3599644 48.832001)
48.8313526,2.3568606,361738,traffic_signals,POINT (2.3568606 48.8313526)
48.8318002,2.3567175,361739,crossing,POINT (2.3567175 48.8318002)
48.8322428,2.3560813,361740,traffic_signals,POINT (2.3560813 48.8322428)
48.8320387,2.3589341,361742,traffic_signals,POINT (2.3589341 48.8320387)
48.8321857,2.3584105,361744,,POINT (2.3584105 48.8321857)
48.8320005,2.358415,361745,,POINT (2.358415 48.8320005)
48.8320895,2.3586191,361746,,POINT (2.3586191 48.8320895)
48.8328074,2.3564892,361747,traffic_signals,POINT (2.3564892 48.8328074)
48.8325125,2.3588028,361748,,POINT (2.3588028 48.8325125)
48.8331875,2.3593046,361749,,POINT (2.3593046 48.8331875)
48.833208,2.3555425,361753,,POINT (2.3555425 48.833208)
48.8317901,2.3634307,361769,,POINT (2.3634307 48.8317901)
48.8321761,2.3585528,361795,,POINT (2.3585528 48.8321761)
48.8270179,2.3664849,366594,traffic_signals,POINT (2.3664849 48.8270179)
48.8276787,2.3713592,366595,traffic_signals,POINT (2.3713592 48.8276787)
48.8273743,2.3691247,366596,,POINT (2.3691247 48.8273743)
48.8537953,2.3333421,367504,traffic_signals,POINT (2.3333421 48.8537953)
48.8529535,2.3427988,367508,,POINT (2.3427988 48.8529535)
48.8412731,2.3248713,367547,,POINT (2.3248713 48.8412731)
48.8333972,2.332712,367618,,POINT (2.332712 48.8333972)
48.8801036,2.2879169,367905,,POINT (2.2879169 48.8801036)
48.885359,2.297261,367908,,POINT (2.297261 48.885359)
48.8881726,2.3105625,367914,,POINT (2.3105625 48.8881726)
48.8873505,2.3141215,367915,traffic_signals,POINT (2.3141215 48.8873505)
48.8778593,2.3269497,367928,traffic_signals,POINT (2.3269497 48.8778593)
48.8838764,2.3327896,367929,traffic_signals,POINT (2.3327896 48.8838764)
48.875888,2.3398698,367934,traffic_signals,POINT (2.3398698 48.875888)
48.8794269,2.3676102,367943,,POINT (2.3676102 48.8794269)
48.8740589,2.3635398,367947,,POINT (2.3635398 48.8740589)
48.8661921,2.3696433,367967,traffic_signals,POINT (2.3696433 48.8661921)
48.8512901,2.3761292,367986,traffic_signals,POINT (2.3761292 48.8512901)
48.8480061,2.3714593,367988,traffic_signals,POINT (2.3714593 48.8480061)
48.8486286,2.3725375,367989,traffic_signals,POINT (2.3725375 48.8486286)
48.8484349,2.3760584,367991,traffic_signals,POINT (2.3760584 48.8484349)
48.8468478,2.3694048,367994,traffic_signals,POINT (2.3694048 48.8468478)
48.8444983,2.3722312,367995,traffic_signals,POINT (2.3722312 48.8444983)
48.8442794,2.3815641,367998,traffic_signals,POINT (2.3815641 48.8442794)
48.8505503,2.3793973,367999,,POINT (2.3793973 48.8505503)
48.8500762,2.3847292,368000,traffic_signals,POINT (2.3847292 48.8500762)
48.8419094,2.367868,368001,traffic_signals,POINT (2.367868 48.8419094)
48.8474701,2.3967168,368003,,POINT (2.3967168 48.8474701)
48.8491238,2.397058,368006,,POINT (2.397058 48.8491238)
48.8494264,2.3962019,368007,,POINT (2.3962019 48.8494264)
48.8493599,2.3953051,368008,traffic_signals,POINT (2.3953051 48.8493599)
48.8486112,2.3943563,368010,traffic_signals,POINT (2.3943563 48.8486112)
48.847716,2.3946869,368011,,POINT (2.3946869 48.847716)
48.8473365,2.39573,368012,traffic_signals,POINT (2.39573 48.8473365)
48.8473461,2.3867729,368014,traffic_signals,POINT (2.3867729 48.8473461)
48.8462764,2.3878147,368015,,POINT (2.3878147 48.8462764)
48.8649684,2.3955541,368041,,POINT (2.3955541 48.8649684)
48.8644132,2.4015893,368044,,POINT (2.4015893 48.8644132)
48.8644023,2.4085287,368047,traffic_signals,POINT (2.4085287 48.8644023)
48.8406596,2.4090095,368057,,POINT (2.4090095 48.8406596)
48.8442874,2.4101755,368058,,POINT (2.4101755 48.8442874)
48.8453024,2.3982497,368061,,POINT (2.3982497 48.8453024)
48.8411027,2.3989094,368064,,POINT (2.3989094 48.8411027)
48.8397185,2.3961013,368065,,POINT (2.3961013 48.8397185)
48.8353603,2.406596,368068,,POINT (2.406596 48.8353603)
48.8348528,2.4080632,368074,,POINT (2.4080632 48.8348528)
48.8333363,2.4057115,368075,,POINT (2.4057115 48.8333363)
48.8340006,2.4108114,368077,,POINT (2.4108114 48.8340006)
48.8424248,2.3854014,368079,traffic_signals,POINT (2.3854014 48.8424248)
48.8372975,2.3912093,368082,traffic_signals,POINT (2.3912093 48.8372975)
48.8370497,2.3900187,368083,traffic_signals,POINT (2.3900187 48.8370497)
48.8398568,2.3795882,368086,crossing,POINT (2.3795882 48.8398568)
48.8363674,2.3713522,368094,traffic_signals,POINT (2.3713522 48.8363674)
48.8367538,2.3743687,368096,,POINT (2.3743687 48.8367538)
48.8511131,2.351303,368126,traffic_signals,POINT (2.351303 48.8511131)
48.8573196,2.3492488,368133,,POINT (2.3492488 48.8573196)
48.8562773,2.3565987,368137,traffic_signals,POINT (2.3565987 48.8562773)
48.8546735,2.362765,368138,traffic_signals,POINT (2.362765 48.8546735)
48.8535418,2.3665458,368139,,POINT (2.3665458 48.8535418)
48.8523738,2.3604658,368140,traffic_signals,POINT (2.3604658 48.8523738)
48.8529093,2.3589713,368141,,POINT (2.3589713 48.8529093)
48.8533327,2.3578164,368142,traffic_signals,POINT (2.3578164 48.8533327)
48.8543789,2.3549397,368143,traffic_signals,POINT (2.3549397 48.8543789)
48.849976,2.354875,368145,traffic_signals,POINT (2.354875 48.849976)
48.8494029,2.3567895,368146,traffic_signals,POINT (2.3567895 48.8494029)
48.8600609,2.3434071,368179,,POINT (2.3434071 48.8600609)
48.8587581,2.3474471,368180,,POINT (2.3474471 48.8587581)
48.8542721,2.3054471,368272,traffic_signals,POINT (2.3054471 48.8542721)
48.858808,2.3034962,368273,traffic_signals,POINT (2.3034962 48.858808)
48.8589324,2.2968652,368286,,POINT (2.2968652 48.8589324)
48.8705205,2.3052845,368341,traffic_signals,POINT (2.3052845 48.8705205)
48.8244736,2.3678476,382015,,POINT (2.3678476 48.8244736)
48.8229124,2.3687123,382016,traffic_signals,POINT (2.3687123 48.8229124)
48.8215316,2.3694427,382017,,POINT (2.3694427 48.8215316)
48.8226444,2.3670455,382019,,POINT (2.3670455 48.8226444)
48.8284812,2.3729284,382026,,POINT (2.3729284 48.8284812)
48.8306416,2.3767523,382027,,POINT (2.3767523 48.8306416)
48.8327329,2.3747816,382029,,POINT (2.3747816 48.8327329)
48.8329679,2.3787507,382039,,POINT (2.3787507 48.8329679)
48.8344579,2.3731375,382045,traffic_signals,POINT (2.3731375 48.8344579)
48.8355419,2.3721269,382046,,POINT (2.3721269 48.8355419)
48.8362129,2.3714895,382049,traffic_signals,POINT (2.3714895 48.8362129)
48.833824,2.3650971,382050,traffic_signals,POINT (2.3650971 48.833824)
48.8321657,2.367637,382051,,POINT (2.367637 48.8321657)
48.8339797,2.3647847,382052,,POINT (2.3647847 48.8339797)
48.8434138,2.370735,382053,traffic_signals,POINT (2.370735 48.8434138)
48.8511117,2.3600614,382059,,POINT (2.3600614 48.8511117)
48.8514387,2.3597297,382060,,POINT (2.3597297 48.8514387)
48.8519155,2.358611,382061,,POINT (2.358611 48.8519155)
48.8524438,2.357066,382062,,POINT (2.357066 48.8524438)
48.8530123,2.3552992,382063,,POINT (2.3552992 48.8530123)
48.8534211,2.3539936,382064,,POINT (2.3539936 48.8534211)
48.8534178,2.3531698,382066,,POINT (2.3531698 48.8534178)
48.8528801,2.3533008,382067,,POINT (2.3533008 48.8528801)
48.8521676,2.353681,382068,,POINT (2.353681 48.8521676)
48.8516311,2.3541599,382069,,POINT (2.3541599 48.8516311)
48.8513444,2.3552545,382070,,POINT (2.3552545 48.8513444)
48.8511377,2.3559179,382071,,POINT (2.3559179 48.8511377)
48.8505947,2.3575168,382072,,POINT (2.3575168 48.8505947)
48.8502611,2.3585159,382073,,POINT (2.3585159 48.8502611)
48.850081,2.3590296,382074,,POINT (2.3590296 48.850081)
48.8529217,2.3535281,382076,,POINT (2.3535281 48.8529217)
48.8518338,2.3565473,382077,,POINT (2.3565473 48.8518338)
48.8524483,2.354842,382078,,POINT (2.354842 48.8524483)
48.8520843,2.3558532,382079,,POINT (2.3558532 48.8520843)
48.851283,2.3580839,382080,,POINT (2.3580839 48.851283)
48.8509397,2.3590385,382081,,POINT (2.3590385 48.8509397)
48.8526936,2.3541528,382082,,POINT (2.3541528 48.8526936)
48.8509679,2.3964579,390027,,POINT (2.3964579 48.8509679)
48.8504119,2.3925211,390030,,POINT (2.3925211 48.8504119)
48.8489668,2.3920084,390033,traffic_signals,POINT (2.3920084 48.8489668)
48.8480382,2.3928506,390034,traffic_signals,POINT (2.3928506 48.8480382)
48.8471465,2.3936715,390035,,POINT (2.3936715 48.8471465)
48.8489439,2.3955684,390041,,POINT (2.3955684 48.8489439)
48.8485175,2.3950215,390043,,POINT (2.3950215 48.8485175)
48.8482871,2.3950103,390044,,POINT (2.3950103 48.8482871)
48.8482123,2.3943442,390056,traffic_signals,POINT (2.3943442 48.8482123)
48.8489264,2.3985446,390153,,POINT (2.3985446 48.8489264)
48.8472878,2.3989257,390158,,POINT (2.3989257 48.8472878)
48.8388965,2.3974499,390202,,POINT (2.3974499 48.8388965)
48.8455716,2.395096,390213,,POINT (2.395096 48.8455716)
48.8427115,2.3974913,390214,traffic_signals,POINT (2.3974913 48.8427115)
48.8462793,2.3774063,390306,traffic_signals,POINT (2.3774063 48.8462793)
48.847004,2.3837717,390313,traffic_signals,POINT (2.3837717 48.847004)
48.846772,2.3817132,390316,traffic_signals,POINT (2.3817132 48.846772)
48.8644209,2.3515281,398708,traffic_signals,POINT (2.3515281 48.8644209)
48.864829,2.3533193,398709,traffic_signals,POINT (2.3533193 48.864829)
48.8638647,2.3490334,398745,traffic_signals,POINT (2.3490334 48.8638647)
