u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,lanes,junction,ref,bridge,width,service,tunnel,access
125730,268675130,0,315818975,Rue Henri Duvernois,residential,30,False,8.707,"LINESTRING (2.4107318 48.8635232, 2.4108343 48.8634834)",,,,,,,,
125730,21112878,0,31093720,Rue Louis Lumière,residential,30,False,142.34199999999998,"LINESTRING (2.4107318 48.8635232, 2.4104643 48.8642513, 2.4102059 48.8646226, 2.4101809 48.8646556, 2.4101227 48.8647324)",2,,,,,,,
125730,244455548,0,85735969,Rue Louis Lumière,residential,30,False,105.92499999999998,"LINESTRING (2.4107318 48.8635232, 2.4107698 48.8633722, 2.4108907 48.8627129, 2.4109154 48.8625784)",2,,,,,,,
125730,1089076182,0,"[266463585, 611974677]",Rue Louis Ganne,residential,30,False,128.65300000000002,"LINESTRING (2.4107318 48.8635232, 2.410615 48.8635125, 2.4097551 48.8634335, 2.4091018 48.8633753, 2.4090486 48.8633706, 2.4089895 48.8633653)",2,,,,,,,
125742,60912980,0,4039102,Rue de Buzenval,residential,30,True,130.717,"LINESTRING (2.401373 48.8518516, 2.4013364 48.8519318, 2.4008185 48.8528906, 2.400788 48.8529621)",,,,,,,,
125742,206155932,0,54830382,Rue d'Avron,tertiary,30,False,62.47,"LINESTRING (2.401373 48.8518516, 2.4012839 48.8518359, 2.4005483 48.8517062)",,,,,,,,
125742,244455433,0,54830382,Rue d'Avron,tertiary,30,False,201.18099999999998,"LINESTRING (2.401373 48.8518516, 2.4015067 48.8518756, 2.4025405 48.8520607, 2.4038933 48.852303, 2.4040265 48.8523258)",,,,,,,,
125743,244455500,0,515928027,Place de la Porte de Montreuil,primary,50,True,38.763999999999996,"LINESTRING (2.4134092 48.8545629, 2.4132577 48.8544952, 2.4131393 48.8544119, 2.4130481 48.8543149)",6,circular,,,,,,
125745,25245021,0,10231214,,trunk_link,70,True,268.796,"LINESTRING (2.4143516 48.8545241, 2.4143476 48.8546345, 2.4143445 48.8546955, 2.4142717 48.8555266, 2.4142148 48.8561182, 2.4142171 48.8564353, 2.4142207 48.8569388)",,,,,,,,
125745,125743,0,515928027,Place de la Porte de Montreuil,primary,50,True,73.15599999999999,"LINESTRING (2.4143516 48.8545241, 2.4143088 48.854546, 2.4141676 48.8545946, 2.4140153 48.8546255, 2.4138571 48.8546377, 2.4136981 48.8546309, 2.4135436 48.8546052, 2.4134092 48.8545629)",6,circular,,,,,,
125747,125745,0,515928027,Place de la Porte de Montreuil,primary,50,True,37.538,"LINESTRING (2.414664 48.8542608, 2.4146075 48.854332, 2.4145302 48.8544114, 2.4144473 48.8544686, 2.4143516 48.8545241)",6,circular,,,,,,
125748,84791125,0,10231210,Place de la Porte de Montreuil,primary,50,True,47.022,"LINESTRING (2.414572 48.8537522, 2.4146415 48.8538394, 2.4146869 48.853932, 2.4147081 48.8540282, 2.4147057 48.8541581)",6,circular,,,,,,
125760,360761838,0,673226631,Avenue de la Porte de Charenton,primary,30,False,25.501,"LINESTRING (2.4012582 48.8295112, 2.4010172 48.8296768)",4,,,,,,,
125760,5356987012,0,32137109,Avenue de Gravelle,tertiary,,True,39.884,"LINESTRING (2.4012582 48.8295112, 2.4014361 48.8295953, 2.4017411 48.8296708)",2,,,,,,,
125760,249742337,0,"[30795837, 673226239]","['Rue de Paris', 'Avenue de la Porte de Charenton']",primary,30,False,23.52,"LINESTRING (2.4012582 48.8295112, 2.4013727 48.8294355, 2.4014164 48.829414, 2.4014891 48.8293646)",4,,D 6,,,,,
360930,480690113,0,84416296,Rue de Tolbiac,secondary,30,False,153.166,"LINESTRING (2.3614982 48.8263456, 2.3618586 48.8263893, 2.363321 48.826592, 2.363387 48.8266012, 2.3635479 48.8266218)",,,,,,,,
360930,361704,0,84416296,Rue de Tolbiac,secondary,30,False,114.347,"LINESTRING (2.3614982 48.8263456, 2.3607406 48.8262432, 2.360655 48.8262331, 2.3602855 48.8261925, 2.3599615 48.8261632)",,,,,,,,
360932,253316556,0,3599327,Rue de Tolbiac,secondary,50,False,100.436,"LINESTRING (2.3572626 48.826185, 2.3574813 48.8261824, 2.3575622 48.8261812, 2.3586342 48.8261637)",,,,,,,,
360932,360933,0,157910468,Rue de Tolbiac,secondary,30,False,150.20800000000003,"LINESTRING (2.3572626 48.826185, 2.3570656 48.8261793, 2.3566572 48.8261564, 2.3560257 48.8261206, 2.3553091 48.8260801, 2.3552177 48.8260749)",,,,,,,,
360932,252659093,0,309765258,Avenue d'Italie,primary,50,False,44.575,"LINESTRING (2.3572626 48.826185, 2.3573063 48.8260521, 2.3573227 48.8260023, 2.3573914 48.8257932)",5,,,,,,,
360932,21657548,0,"[298746802, 309765259]",Avenue d'Italie,primary,50,False,65.22800000000001,"LINESTRING (2.3572626 48.826185, 2.3572351 48.8262901, 2.357218 48.8263451, 2.3571437 48.8265843, 2.3571405 48.8265943, 2.3570888 48.8267603)",4,,,,,,,
360933,1806474795,0,56067657,Rue Damesme,residential,30,True,134.936,"LINESTRING (2.3552177 48.8260749, 2.3552279 48.8259949, 2.3552792 48.8255911, 2.3553318 48.8251327, 2.3553567 48.8249394, 2.3553653 48.8248653)",,,,,,,,
360933,100289178,0,56138076,Rue de Tolbiac,secondary,50,False,114.92999999999999,"LINESTRING (2.3552177 48.8260749, 2.3551352 48.8260703, 2.3544139 48.8260298, 2.3540677 48.8260119, 2.3537647 48.8259974, 2.353653 48.8259905)",3,,,,,,,
360933,360932,0,157910468,Rue de Tolbiac,secondary,30,False,150.208,"LINESTRING (2.3552177 48.8260749, 2.3553091 48.8260801, 2.3560257 48.8261206, 2.3566572 48.8261564, 2.3570656 48.8261793, 2.3572626 48.826185)",,,,,,,,
360935,246999158,0,11288141,Rue Bobillot,tertiary,30,False,183.10399999999998,"LINESTRING (2.3503781 48.8258123, 2.3502745 48.8257105, 2.3502121 48.8256489, 2.3500121 48.8254516, 2.349656 48.8251001, 2.3489897 48.8244426)",,,,,,,,
360935,251514416,0,11288240,Rue Charles Fourier,residential,30,True,72.586,"LINESTRING (2.3503781 48.8258123, 2.3505279 48.825706, 2.3507841 48.8255325, 2.3510655 48.8253419)",,,,,,,,
360935,246263427,0,85735933,Rue Bobillot,tertiary,30,False,114.794,"LINESTRING (2.3503781 48.8258123, 2.3504827 48.8259158, 2.350632 48.826063, 2.3512488 48.8266709)",,,,,,,,
360935,1829061660,0,"[662481808, 662481807, 748705046, 748705047]",Rue de Tolbiac,secondary,50,False,151.74999999999997,"LINESTRING (2.3503781 48.8258123, 2.3502032 48.8257996, 2.3501282 48.8257958, 2.3498525 48.8257817, 2.3496626 48.8257715, 2.3485499 48.8257118, 2.3484219 48.8257047, 2.3483122 48.8257013)",,,,,,,,
360935,246998815,0,"[748705048, 56138076]",Rue de Tolbiac,secondary,50,False,173.78799999999998,"LINESTRING (2.3503781 48.8258123, 2.3506101 48.8258227, 2.350706 48.825828, 2.3509991 48.8258442, 2.352744 48.8259409)",3,,,,,,,
360937,360938,0,23952334,Rue de Tolbiac,secondary,50,False,103.074,"LINESTRING (2.3465866 48.8257548, 2.3464518 48.8257739, 2.3463773 48.8257845, 2.3460161 48.8258356, 2.3456789 48.8258833, 2.3454404 48.825917, 2.3453473 48.8259302, 2.3452098 48.8259489)",,,,,,,,
360937,921170521,0,172636184,Rue Barrault,residential,30,True,76.73500000000001,"LINESTRING (2.3465866 48.8257548, 2.346602 48.8256609, 2.3466335 48.82521, 2.346653 48.8250663)",,,,,,,,
360937,49889917,0,662481807,Rue de Tolbiac,secondary,50,False,47.143,"LINESTRING (2.3465866 48.8257548, 2.3467256 48.8257308, 2.3467905 48.8257206, 2.347046 48.8256804, 2.3471195 48.8256688, 2.3472127 48.8256558)",,,,,,,,
360938,246999320,0,11288473,Rue Vergniaud,residential,50,False,34.308,"LINESTRING (2.3452098 48.8259489, 2.3451846 48.825863, 2.3451676 48.8258162, 2.3451066 48.825648)",,,,,,,,
360938,360937,0,23952334,Rue de Tolbiac,secondary,50,False,103.074,"LINESTRING (2.3452098 48.8259489, 2.3453473 48.8259302, 2.3454404 48.825917, 2.3456789 48.8258833, 2.3460161 48.8258356, 2.3463773 48.8257845, 2.3464518 48.8257739, 2.3465866 48.8257548)",,,,,,,,
360938,49889201,0,"[513831328, 171930668]",Rue Vergniaud,residential,"['50', '30']",False,218.55499999999998,"LINESTRING (2.3452098 48.8259489, 2.3452353 48.8260402, 2.3455182 48.8273589, 2.3455698 48.8276031, 2.3456168 48.8278122, 2.3456404 48.8278937)",,,,,,,,
360938,100292096,0,685720068,Rue de Tolbiac,secondary,50,False,87.081,"LINESTRING (2.3452098 48.8259489, 2.3451009 48.8259644, 2.3450421 48.8259728, 2.3442258 48.8260889, 2.3441533 48.8260992, 2.3440471 48.8261143)",,,,,,,,
360946,36598216,0,221126365,Rue des Plantes,residential,50,True,88.60300000000001,"LINESTRING (2.3226525 48.8292991, 2.3226014 48.8292314, 2.3222397 48.8287737, 2.3221316 48.8286671, 2.3220611 48.8286055)",,,,,,,,
360946,36481290,0,824923521,Rue d'Alésia,secondary,50,True,123.91900000000001,"LINESTRING (2.3226525 48.8292991, 2.3225684 48.8293293, 2.3220386 48.8295185, 2.3211682 48.829835)",,,,,,,,
360977,125385881,0,5210719,Rue Didot,residential,50,True,98.847,"LINESTRING (2.319263 48.8305326, 2.3194201 48.8306886, 2.3194374 48.8307149, 2.3194456 48.8307312, 2.3197956 48.8312798, 2.3198314 48.831336)",,,,,,,,
360977,36480710,0,5210768,Rue de Gergovie,residential,30,True,34.69,"LINESTRING (2.319263 48.8305326, 2.319258 48.8306332, 2.3192318 48.8306545, 2.3190528 48.8307957)",,,,,,,,
360977,100812067,0,824628374,Rue d'Alésia,secondary,50,True,27.070999999999998,"LINESTRING (2.319263 48.8305326, 2.3191172 48.8305697, 2.3190603 48.8305866, 2.3189225 48.8306274)",,,,,,,,
360978,36476892,0,5210428,Rue Raymond Losserand,tertiary,30,True,144.417,"LINESTRING (2.3141451 48.8318162, 2.3142473 48.8318704, 2.3150022 48.8322741, 2.3150933 48.8323228, 2.3155783 48.8325855, 2.3156725 48.8326383)",,,,,,,,
360978,36476946,0,58491748,Rue d'Alésia,secondary,50,True,46.524,"LINESTRING (2.3141451 48.8318162, 2.3140378 48.8318439, 2.3139691 48.8318619, 2.3138137 48.8318998, 2.3136139 48.831948, 2.3135538 48.8319688)",,,,,,,,
360980,5700619789,0,4039145,Rue de Vouillé,secondary,50,False,18.070999999999998,"LINESTRING (2.3092306 48.8335638, 2.3091717 48.8335812, 2.3090578 48.8336142, 2.3090052 48.8336301)",,,,,,,,
360980,1762423633,0,5210455,Rue de Vouillé,secondary,50,False,46.157000000000004,"LINESTRING (2.3092306 48.8335638, 2.3093054 48.8335427, 2.3098061 48.8333941)",,,,,,,,
360980,322690568,0,36451817,Rue Castagnary,residential,30,True,22.752000000000002,"LINESTRING (2.3092306 48.8335638, 2.3092875 48.8336534, 2.3093011 48.833674, 2.3093305 48.8337568)",1,,,,,,,
360982,112014705,0,83210409,Rue de Vaugirard,secondary,50,True,26.914,"LINESTRING (2.2964564 48.8372281, 2.296691 48.8373551, 2.2967396 48.8373825)",,,,,,,,
360982,110517369,0,662409825,Rue de la Convention,secondary,50,False,164.29199999999997,"LINESTRING (2.2964564 48.8372281, 2.2963872 48.8372535, 2.2962738 48.8372952, 2.296218 48.8373236, 2.2961293 48.8373687, 2.2957923 48.8375198, 2.2947778 48.8379795, 2.2946016 48.838059)",,,,,,,,
360982,112014706,0,662409825,Rue de la Convention,secondary,50,False,58.231,"LINESTRING (2.2964564 48.8372281, 2.2965962 48.8371796, 2.2967413 48.8371391, 2.2971741 48.8370025)",,,,,,,,
360983,116118819,0,59725223,Rue de la Convention,secondary,50,False,142.11899999999997,"LINESTRING (2.2919595 48.8392633, 2.2917477 48.8393552, 2.2917177 48.8393689, 2.2916828 48.8393847, 2.2915071 48.8394647, 2.2904817 48.8399352, 2.2903618 48.8399897)",,,,,,,,
360983,116125151,0,59725235,Rue de la Convention,secondary,50,False,31.641000000000005,"LINESTRING (2.2919595 48.8392633, 2.2920134 48.8392394, 2.2920976 48.8392021, 2.2921248 48.8391897, 2.2921543 48.8391763, 2.2923164 48.8391027)",,,,,,,,
360983,142361613,0,571701532,Rue Lecourbe,secondary,50,True,39.981,"LINESTRING (2.2919595 48.8392633, 2.2918016 48.839225, 2.2914493 48.8391348)",,,,,,,,
360986,116147133,0,59718913,Rue de Lourmel,residential,30,True,142.805,"LINESTRING (2.2855643 48.8421683, 2.2855151 48.8421155, 2.2846583 48.8411958, 2.2845444 48.8410734)",,,,,,,,
360986,116131632,0,59727176,Rue de la Convention,secondary,50,False,64.64399999999999,"LINESTRING (2.2855643 48.8421683, 2.2856308 48.842138, 2.2861622 48.841896, 2.2862907 48.8418375)",,,,,,,,
360986,140145854,0,662409826,Rue de la Convention,secondary,30,False,183.27,"LINESTRING (2.2855643 48.8421683, 2.2854873 48.8422034, 2.2854291 48.8422299, 2.2851524 48.8423559, 2.285061 48.8423975, 2.2849002 48.8424708, 2.2840453 48.8428601, 2.2835796 48.843076, 2.2835065 48.8431076)",,,,,,,,
360988,89163134,0,"[823426442, 86424728, 10427193, 733184763, 244669308, 733068095]",Pont Mirabeau,secondary,50,False,218.344,"LINESTRING (2.2769366 48.8460845, 2.2768641 48.8461186, 2.2768391 48.8461304, 2.27663 48.8462178, 2.2754668 48.8467046, 2.2746009 48.8470669, 2.2745283 48.8470976, 2.274423 48.8471424)","['3', '2']",,,yes,,,,
360988,666986356,0,13871173,Quai André Citroën,primary,50,True,93.763,"LINESTRING (2.2769366 48.8460845, 2.2767863 48.8459532, 2.2767479 48.8459194, 2.2766009 48.8457909, 2.2762895 48.8454515, 2.276237 48.8453801)",3,,,,,,,
360988,141558085,0,235746980,Rond-Point du Pont Mirabeau,secondary,50,False,33.878,"LINESTRING (2.2769366 48.8460845, 2.2770849 48.8460173, 2.2772009 48.8459647, 2.2773179 48.8459117)",6,,,,,,,
360990,166450259,0,5097306,Rue Mirabeau,tertiary,50,True,138.183,"LINESTRING (2.2737147 48.8474292, 2.2732451 48.8472813, 2.2732148 48.8472711, 2.2720693 48.8469154, 2.2720086 48.8468965)",2,,,,,,,
360990,89163134,0,13871245,Rue de l'Amiral Cloué,secondary,50,False,60.87,"LINESTRING (2.2737147 48.8474292, 2.2739186 48.8473534, 2.2739599 48.8473361, 2.274133 48.8472638, 2.2742826 48.8472011, 2.2743144 48.8471878, 2.274423 48.8471424)",,,,,,,,
360990,34819161,0,27631897,Rue de Rémusat,tertiary,50,True,91.695,"LINESTRING (2.2737147 48.8474292, 2.2732648 48.8475347, 2.2732223 48.8475428, 2.2729011 48.8476073, 2.2727126 48.8476466, 2.2725241 48.8476858)",2,,,,,,,
360990,29414561,0,"[451594920, 584386819, 584386820, 454665064]",Avenue de Versailles,primary,50,False,174.103,"LINESTRING (2.2737147 48.8474292, 2.2738732 48.8475801, 2.2738964 48.8476028, 2.2740055 48.8477062, 2.2740239 48.8477251, 2.2741917 48.847883, 2.2745119 48.8481918, 2.2749598 48.8486335, 2.2749924 48.8486668, 2.2750512 48.8487245)",,,,,,,,
360990,244455597,0,"[584386818, 34849338]",Avenue de Versailles,primary,50,False,169.65800000000002,"LINESTRING (2.2737147 48.8474292, 2.2735417 48.8472336, 2.2735097 48.8472025, 2.2733049 48.8470039, 2.2732365 48.8469359, 2.2724937 48.846198, 2.272448 48.8461517)",,,,,,,,
360991,34818713,0,720196717,Avenue Théophile Gautier,tertiary,50,False,34.364,"LINESTRING (2.2699037 48.8482358, 2.2701802 48.8484856)",2,,,,,,,
360991,14798307,0,4039125,Rue Leconte de Lisle,residential,50,True,111.51700000000001,"LINESTRING (2.2699037 48.8482358, 2.2697906 48.8482645, 2.2689646 48.8484504, 2.2686371 48.848519, 2.2684597 48.8485561)",1,,,,,,,
360991,166452976,0,61972265,Avenue Théophile Gautier,tertiary,50,False,97.25099999999999,"LINESTRING (2.2699037 48.8482358, 2.2698337 48.8481746, 2.2694494 48.8478226, 2.2693556 48.8477404, 2.2692464 48.8476398, 2.2691208 48.8475291)",,,,,,,,
360995,224364902,0,5097354,Rue Erlanger,residential,30,True,326.20399999999995,"LINESTRING (2.2622425 48.8479618, 2.2622126 48.8479094, 2.2619771 48.8475515, 2.2613898 48.8466662, 2.2611541 48.846311, 2.2610108 48.8460948, 2.2605477 48.8453958, 2.2605199 48.8453514, 2.2604653 48.8452715)",,,,,,,,
360995,989286407,0,24642293,Rue d'Auteuil,tertiary,50,True,66.866,"LINESTRING (2.2622425 48.8479618, 2.2623126 48.8479672, 2.2629896 48.84802, 2.2631505 48.8480291)",1,,,,,,,
360996,34818779,0,24030739,Place de la Porte d'Auteuil,primary_link,50,True,28.552000000000003,"LINESTRING (2.2597619 48.8479228, 2.2597164 48.8480364, 2.2596654 48.8480822, 2.2595582 48.848125)",,,,,,,,
360996,5569293867,0,582286359,Rue d'Auteuil,tertiary,50,True,29.693,"LINESTRING (2.2597619 48.8479228, 2.2600372 48.8479267, 2.2600902 48.8479274, 2.2601676 48.8479285)",3,,,,,,,
360997,264542426,0,14117429,Boulevard Murat,primary,50,True,50.737,"LINESTRING (2.2585518 48.8479122, 2.2585389 48.8478041, 2.2584977 48.8474573)",4,,,,,,,
