y,x,osmid,highway,ref,geometry
33.5709128,-112.0129761,41689990,,,POINT (-112.0129761 33.5709128)
33.5676212,-112.012962,41786602,,,POINT (-112.012962 33.5676212)
33.5684086,-112.0129559,41786604,,,POINT (-112.0129559 33.5684086)
33.5687732,-112.012964,41786607,,,POINT (-112.012964 33.5687732)
33.569332,-112.012967,41786611,,,POINT (-112.012967 33.569332)
33.5701559,-112.0129694,41786619,,,POINT (-112.0129694 33.5701559)
33.6043938,-111.9907637,41857909,turning_circle,,POINT (-111.9907637 33.6043938)
33.6070433,-111.9875612,766008075,,,POINT (-111.9875612 33.6070433)
33.6069131,-111.9878533,766008076,,,POINT (-111.9878533 33.6069131)
33.6064579,-111.9882399,766008077,,,POINT (-111.9882399 33.6064579)
33.6059487,-111.9882854,766008078,,,POINT (-111.9882854 33.6059487)
33.6050288,-111.988312,766008081,,,POINT (-111.988312 33.6050288)
33.6047468,-111.9884731,766008083,,,POINT (-111.9884731 33.6047468)
33.6045086,-111.9887838,766008086,,,POINT (-111.9887838 33.6045086)
33.6044798,-111.98885,766008089,,,POINT (-111.98885 33.6044798)
33.6043931,-111.9892417,1865195317,,,POINT (-111.9892417 33.6043931)
33.6043947,-111.9891706,1865195318,,,POINT (-111.9891706 33.6043947)
33.6043955,-111.9893582,1865195319,,,POINT (-111.9893582 33.6043955)
33.6043971,-111.989498,1865195320,,,POINT (-111.989498 33.6043971)
33.6043971,-111.9896316,1865195321,,,POINT (-111.9896316 33.6043971)
33.604403,-111.9891266,1865195322,,,POINT (-111.9891266 33.604403)
33.6044468,-111.9906106,1865195323,,,POINT (-111.9906106 33.6044468)
33.6044204,-111.9890403,1865195324,,,POINT (-111.9890403 33.6044204)
33.6044473,-111.9889437,1865195325,,,POINT (-111.9889437 33.6044473)
33.6045874,-111.9886472,1865195326,,,POINT (-111.9886472 33.6045874)
33.6048885,-111.9883773,1865195327,,,POINT (-111.9883773 33.6048885)
33.6054948,-111.9882819,1865195328,,,POINT (-111.9882819 33.6054948)
33.6063045,-111.9882781,1865195330,,,POINT (-111.9882781 33.6063045)
