u,v,key,osmid,oneway,lanes,name,highway,length,geometry,access,bridge,width,maxspeed,tunnel,service,junction
41689990,41786602,0,14916508,False,2,North 32nd Street,tertiary,366.05199999999996,"LINESTRING (-112.0129761 33.5709128, -112.0129694 33.5701559, -112.012967 33.569332, -112.012964 33.5687732, -112.0129559 33.5684086, -112.0129623 33.5680521, -112.0129556 33.567689, -112.012962 33.5676212)",,,,,,,
41786602,41689990,0,14916508,False,2,North 32nd Street,tertiary,366.05199999999996,"LINESTRING (-112.012962 33.5676212, -112.0129556 33.567689, -112.0129623 33.5680521, -112.0129559 33.5684086, -112.012964 33.5687732, -112.012967 33.569332, -112.0129694 33.5701559, -112.0129761 33.5709128)",,,,,,,
41857909,6281533576,0,61326282,False,,,footway,610.646,"LINESTRING (-111.9907637 33.6043938, -111.9906635 33.6044888, -111.99061 33.6044917, -111.9906106 33.6044468, -111.9905995 33.6044303, -111.990581 33.604409, -111.9896316 33.6043971, -111.989498 33.6043971, -111.9893582 33.6043955, -111.9892417 33.6043931, -111.9891706 33.6043947, -111.9891266 33.604403, -111.9890924 33.6044078, -111.9890835 33.6044091, -111.9890403 33.6044204, -111.9889437 33.6044473, -111.98885 33.6044798, -111.9887838 33.6045086, -111.9887201 33.604543, -111.9886472 33.6045874, -111.9885663 33.6046524, -111.98851 33.6047046, -111.9884731 33.6047468, -111.9884378 33.6047895, -111.9884003 33.6048494, -111.9883773 33.6048885, -111.9883492 33.6049426, -111.988312 33.6050288, -111.9882853 33.6050298, -111.9882841 33.6051998, -111.988282 33.6054748, -111.9882819 33.6054948, -111.988282 33.6055068, -111.9882828 33.6056088, -111.9882843 33.6058021, -111.988285 33.6058944, -111.9882854 33.6059487, -111.9882843 33.6059886, -111.9882777 33.6062233, -111.9882781 33.6063045, -111.9882686 33.6063658, -111.9882473 33.6064284, -111.9882399 33.6064579, -111.988202 33.6065367, -111.9881739 33.6065949, -111.9881675 33.6066041, -111.9880867 33.6067196, -111.9880327 33.606766, -111.9879842 33.6068077, -111.9879692 33.6068206, -111.9878533 33.6069131, -111.9877286 33.6069768, -111.9875612 33.6070433, -111.9874669 33.6070681, -111.9872128 33.6070889, -111.987178 33.6071113, -111.9871563 33.6071126, -111.9867943 33.6071031, -111.9867203 33.6071003, -111.986679 33.6070956)",,,,,,,
6281533576,41857909,0,61326282,False,,,footway,610.6460000000001,"LINESTRING (-111.986679 33.6070956, -111.9867203 33.6071003, -111.9867943 33.6071031, -111.9871563 33.6071126, -111.987178 33.6071113, -111.9872128 33.6070889, -111.9874669 33.6070681, -111.9875612 33.6070433, -111.9877286 33.6069768, -111.9878533 33.6069131, -111.9879692 33.6068206, -111.9879842 33.6068077, -111.9880327 33.606766, -111.9880867 33.6067196, -111.9881675 33.6066041, -111.9881739 33.6065949, -111.988202 33.6065367, -111.9882399 33.6064579, -111.9882473 33.6064284, -111.9882686 33.6063658, -111.9882781 33.6063045, -111.9882777 33.6062233, -111.9882843 33.6059886, -111.9882854 33.6059487, -111.988285 33.6058944, -111.9882843 33.6058021, -111.9882828 33.6056088, -111.988282 33.6055068, -111.9882819 33.6054948, -111.988282 33.6054748, -111.9882841 33.6051998, -111.9882853 33.6050298, -111.988312 33.6050288, -111.9883492 33.6049426, -111.9883773 33.6048885, -111.9884003 33.6048494, -111.9884378 33.6047895, -111.9884731 33.6047468, -111.98851 33.6047046, -111.9885663 33.6046524, -111.9886472 33.6045874, -111.9887201 33.604543, -111.9887838 33.6045086, -111.98885 33.6044798, -111.9889437 33.6044473, -111.9890403 33.6044204, -111.9890835 33.6044091, -111.9890924 33.6044078, -111.9891266 33.604403, -111.9891706 33.6043947, -111.9892417 33.6043931, -111.9893582 33.6043955, -111.989498 33.6043971, -111.9896316 33.6043971, -111.990581 33.604409, -111.9905995 33.6044303, -111.9906106 33.6044468, -111.99061 33.6044917, -111.9906635 33.6044888, -111.9907637 33.6043938)",,,,,,,
41485674,1552991486,0,287818704,False,,,cycleway,125.827,"LINESTRING (-111.9500234 33.4595618, -111.9500019 33.4597241, -111.9499604 33.4598333, -111.9498625 33.4601316, -111.9498082 33.4603784, -111.9497838 33.4605453, -111.9497319 33.460663)",,,,,,,
41507125,1601751449,0,146981624,False,,,cycleway,7.714,"LINESTRING (-112.00577 33.630352, -112.005687 33.6303459)",,,,,,,
41517925,1359710698,0,121462339,False,,,cycleway,39.059,"LINESTRING (-112.1248709 33.5712163, -112.1248518 33.5710699, -112.1248514 33.5710234, -112.1248513 33.5710156, -112.1248502 33.5708659)",,,,,,,
41548911,1601751438,0,"[146981649, 491819246]",False,,,cycleway,28.195,"LINESTRING (-112.0071352 33.6277149, -112.0070938 33.6278146, -112.0070106 33.6278156, -112.0069214 33.6277893)",,,,,,,
41587176,391699559,0,568568126,False,,,cycleway,74.836,"LINESTRING (-112.0564363 33.5457251, -112.0570345 33.5459625, -112.0571312 33.5460525)",no,,,,,,
41596829,5969159827,0,121195630,False,,,cycleway,177.017,"LINESTRING (-112.1555177 33.5845445, -112.1554879 33.5844641, -112.15542 33.5844277, -112.1545638 33.5840772, -112.1545062 33.584044, -112.1544726 33.5840101, -112.1544404 33.5839788, -112.1544002 33.5839543, -112.1541293 33.5838492, -112.1540307 33.5838437, -112.1539738 33.5838518, -112.1538778 33.5838366)",,,,,,,
41600998,1376419252,0,123419749,False,,,cycleway,32.196999999999996,"LINESTRING (-112.0766247 33.6321139, -112.0765543 33.6321219, -112.0765101 33.6321107, -112.0764712 33.6320727, -112.076443 33.6320303, -112.0764161 33.6319998, -112.0763961 33.6319912, -112.0763518 33.631989)",,,,,,,
41601019,1376419302,0,123421005,False,,,cycleway,236.24699999999999,"LINESTRING (-112.0784576 33.6280753, -112.0785049 33.6281204, -112.0785498 33.6281578, -112.0786793 33.6282271, -112.078806 33.6282633, -112.0788891 33.6282779, -112.0789716 33.6282831, -112.0790568 33.6282773, -112.0791708 33.6282527, -112.0792493 33.6282242, -112.0793719 33.6281623, -112.0795034 33.6280863, -112.0797877 33.6279289, -112.0798413 33.6278943, -112.0799701 33.6278395, -112.0802665 33.6277122, -112.0806976 33.6275347)",,,,,,,
41601159,1932337351,0,"[30122317, 290288878]",False,,,cycleway,51.181999999999995,"LINESTRING (-112.0781594 33.5029515, -112.0781674 33.5031039, -112.0781654 33.5033653, -112.0781441 33.5034081)",,,,,,,
41601225,5781898094,0,"[290288880, 30122315]",False,,,cycleway,34.733,"LINESTRING (-112.0781454 33.5039071, -112.0781092 33.503872, -112.0780836 33.5038149, -112.0780748 33.5036639, -112.0780657 33.5036105)",,,,,,,
41618784,962858605,0,82698998,False,,,cycleway,841.5439999999999,"LINESTRING (-112.0307804 33.631704, -112.0309874 33.6317413, -112.0313135 33.6318081, -112.0316613 33.6318659, -112.0318957 33.6319294, -112.0320628 33.6319748, -112.0323243 33.6320094, -112.0326232 33.6320747, -112.0330858 33.6322001, -112.0335236 33.6322918, -112.0338083 33.6322963, -112.0341639 33.6323609, -112.0344744 33.6324011, -112.0347212 33.632408, -112.0351507 33.6323983, -112.035581 33.6324309, -112.0360668 33.6323965, -112.0364472 33.6324111, -112.0368351 33.6324196, -112.0373561 33.6324332, -112.037838 33.6324233, -112.0383556 33.6324529, -112.0386697 33.6324881, -112.0389821 33.6325349, -112.0391686 33.6325871, -112.0393059 33.6326344, -112.0393606 33.6326219, -112.0394685 33.6326279, -112.0395627 33.6326349, -112.0396035 33.6326857, -112.0396867 33.6327159)",,,,,,,
41661317,755579380,0,146981639,False,,,cycleway,19.451999999999998,"LINESTRING (-112.0100831 33.6174944, -112.0099625 33.6174326, -112.0098973 33.6174152)",,,,,,,
