y,x,osmid,highway,geometry
33.5709128,-112.0129761,41689990,,POINT (-112.0129761 33.5709128)
33.5676212,-112.012962,41786602,,POINT (-112.012962 33.5676212)
33.6043938,-111.9907637,41857909,turning_circle,POINT (-111.9907637 33.6043938)
33.6070956,-111.986679,6281533576,,POINT (-111.986679 33.6070956)
33.4595618,-111.9500234,41485674,,POINT (-111.9500234 33.4595618)
33.630352,-112.00577,41507125,turning_circle,POINT (-112.00577 33.630352)
33.5712163,-112.1248709,41517925,turning_circle,POINT (-112.1248709 33.5712163)
33.6277149,-112.0071352,41548911,turning_circle,POINT (-112.0071352 33.6277149)
33.5457251,-112.0564363,41587176,,POINT (-112.0564363 33.5457251)
33.5845445,-112.1555177,41596829,,POINT (-112.1555177 33.5845445)
33.6321139,-112.0766247,41600998,,POINT (-112.0766247 33.6321139)
33.6280753,-112.0784576,41601019,turning_circle,POINT (-112.0784576 33.6280753)
33.5029515,-112.0781594,41601159,turning_circle,POINT (-112.0781594 33.5029515)
33.5039071,-112.0781454,41601225,,POINT (-112.0781454 33.5039071)
33.631704,-112.0307804,41618784,crossing,POINT (-112.0307804 33.631704)
33.6174944,-112.0100831,41661317,turning_circle,POINT (-112.0100831 33.6174944)
33.4606854,-112.0870235,41669464,,POINT (-112.0870235 33.4606854)
33.5634357,-112.060824,41671519,,POINT (-112.060824 33.5634357)
33.6298996,-112.004612,41691592,,POINT (-112.004612 33.6298996)
33.5727467,-112.0195381,41697623,,POINT (-112.0195381 33.5727467)
33.5784005,-112.1081664,41702339,,POINT (-112.1081664 33.5784005)
33.6312004,-112.0053389,41731655,turning_circle,POINT (-112.0053389 33.6312004)
33.5915842,-111.9778929,41758858,,POINT (-111.9778929 33.5915842)
33.6219717,-112.0092905,41765502,,POINT (-112.0092905 33.6219717)
33.5809128,-111.9648709,41767627,,POINT (-111.9648709 33.5809128)
33.5574377,-112.0607674,41770724,,POINT (-112.0607674 33.5574377)
33.5570626,-112.0396027,41786324,,POINT (-112.0396027 33.5570626)
33.5712645,-112.1298918,41792316,,POINT (-112.1298918 33.5712645)
