u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,service,access,junction,bridge,tunnel
41195177,1191056568,0,5606851,False,West Cody Drive,residential,20 mph,32.033,"LINESTRING (-112.0765874 33.399863, -112.0769084 33.3997573)",,,,,,
41195177,41195187,0,5606851,False,West Cody Drive,residential,20 mph,42.073,"LINESTRING (-112.0765874 33.399863, -112.0761513 33.399966)",,,,,,
41195187,41195177,0,5606851,False,West Cody Drive,residential,20 mph,42.073,"LINESTRING (-112.0761513 33.399966, -112.0765874 33.399863)",,,,,,
41195187,41195192,0,5606851,False,West Cody Drive,residential,20 mph,25.937,"LINESTRING (-112.0761513 33.399966, -112.0758836 33.4000328)",,,,,,
41195192,41195187,0,5606851,False,West Cody Drive,residential,20 mph,25.937,"LINESTRING (-112.0758836 33.4000328, -112.0761513 33.399966)",,,,,,
41195192,41195203,0,5606851,False,West Cody Drive,residential,20 mph,68.925,"LINESTRING (-112.0758836 33.4000328, -112.0751572 33.4001611)",,,,,,
41195203,41195192,0,5606851,False,West Cody Drive,residential,20 mph,68.925,"LINESTRING (-112.0751572 33.4001611, -112.0758836 33.4000328)",,,,,,
41195203,5772835941,0,5606851,False,West Cody Drive,residential,20 mph,52.272,"LINESTRING (-112.0751572 33.4001611, -112.0746033 33.4002457)",,,,,,
41307100,4111227199,0,416583883,True,,motorway_link,20 mph,27.461,"LINESTRING (-112.1377748 33.7979811, -112.1377682 33.7977342)",2,,,,,
41307101,1187620214,0,532902339,True,,motorway_link,20 mph,19.159,"LINESTRING (-112.1377744 33.798253, -112.1377741 33.7980807)",2,,,,,
41307115,1968402318,0,5570541,True,,motorway_link,20 mph,33.792,"LINESTRING (-112.1371851 33.8055609, -112.1371852 33.805257)",1,,,,,
41336215,7770862245,0,5573733,False,,service,15 mph,17.558,"LINESTRING (-112.0776637 33.6410002, -112.0776643 33.6411581)",2,parking_aisle,private,,,
41336215,41336258,0,832343507,False,,service,15 mph,38.927,"LINESTRING (-112.0776637 33.6410002, -112.0780842 33.6410001)",2,parking_aisle,private,,,
41336215,2683008809,0,832343507,False,,service,15 mph,18.748,"LINESTRING (-112.0776637 33.6410002, -112.0774612 33.6409979)",2,parking_aisle,private,,,
41336219,41336224,0,5573733,False,,service,15 mph,40.353,"LINESTRING (-112.0776677 33.6420186, -112.0776691 33.6423815)",2,parking_aisle,private,,,
41336219,2683008813,0,5573733,False,,service,15 mph,38.04,"LINESTRING (-112.0776677 33.6420186, -112.0776663 33.6416765)",2,parking_aisle,private,,,
41336219,41490584,0,5586857,False,,service,15 mph,37.669,"LINESTRING (-112.0776677 33.6420186, -112.0780746 33.6420158)",2,parking_aisle,private,,,
41336224,2683008817,0,5573733,False,,service,15 mph,15.99,"LINESTRING (-112.0776691 33.6423815, -112.0776697 33.6425253)",2,parking_aisle,private,,,
41336224,41336219,0,5573733,False,,service,15 mph,40.353,"LINESTRING (-112.0776691 33.6423815, -112.0776677 33.6420186)",2,parking_aisle,private,,,
41336224,7770862258,0,5573734,False,,service,15 mph,54.285,"LINESTRING (-112.0776691 33.6423815, -112.0770827 33.6423783)",2,parking_aisle,private,,,
41336227,2683008817,0,5573733,False,,service,15 mph,35.471,"LINESTRING (-112.0776709 33.6428443, -112.0776697 33.6425253)",2,parking_aisle,private,,,
41336238,7770862258,0,5573734,False,,service,15 mph,57.942,"LINESTRING (-112.0764568 33.6423749, -112.0770827 33.6423783)",2,parking_aisle,private,,,
