y,x,osmid,highway,geometry
45.5193213,-122.6738416,40391352,traffic_signals,POINT (-122.6738416 45.5193213)
45.5195505,-122.6737182,40408688,traffic_signals,POINT (-122.6737182 45.5195505)
45.5252758,-122.6724708,40450452,traffic_signals,POINT (-122.6724708 45.5252758)
45.5245579,-122.6724338,40508545,,POINT (-122.6724338 45.5245579)
45.5231958,-122.6723802,40516268,traffic_signals,POINT (-122.6723802 45.5231958)
45.5065906,-122.6721054,40544954,,POINT (-122.6721054 45.5065906)
45.5238518,-122.6724035,40558982,,POINT (-122.6724035 45.5238518)
45.5294774,-122.5619416,40579130,,POINT (-122.5619416 45.5294774)
45.5199908,-122.6734771,40616237,traffic_signals,POINT (-122.6734771 45.5199908)
45.5225376,-122.6722603,40628220,,POINT (-122.6722603 45.5225376)
45.521991,-122.6723926,40728855,,POINT (-122.6723926 45.521991)
45.5627485,-122.6060893,40738351,,POINT (-122.6060893 45.5627485)
45.5227692,-122.6723559,40774925,,POINT (-122.6723559 45.5227692)
45.5227116,-122.6723428,40774927,,POINT (-122.6723428 45.5227116)
45.5225727,-122.6722805,40774929,crossing,POINT (-122.6722805 45.5225727)
45.5224966,-122.6722381,40774931,crossing,POINT (-122.6722381 45.5224966)
45.5223897,-122.6722048,40774933,,POINT (-122.6722048 45.5223897)
45.5222941,-122.6722267,40774935,,POINT (-122.6722267 45.5222941)
45.5294812,-122.5611126,477009550,,POINT (-122.5611126 45.5294812)
45.5294841,-122.5592437,477009579,,POINT (-122.5592437 45.5294841)
45.5294829,-122.5600348,477009592,,POINT (-122.5600348 45.5294829)
45.5230007,-122.6723754,1325763871,crossing,POINT (-122.6723754 45.5230007)
45.5232877,-122.6723821,1325763877,crossing,POINT (-122.6723821 45.5232877)
45.5228619,-122.6723673,1334933368,,POINT (-122.6723673 45.5228619)
45.5230956,-122.6723768,1334933390,traffic_signals,POINT (-122.6723768 45.5230956)
45.5223444,-122.6722084,1365779175,,POINT (-122.6722084 45.5223444)
45.5205905,-122.6731556,1378053723,crossing,POINT (-122.6731556 45.5205905)
45.5193854,-122.6738082,1378067879,crossing,POINT (-122.6738082 45.5193854)
45.5213802,-122.6727255,1386994429,crossing,POINT (-122.6727255 45.5213802)
45.5199267,-122.6735122,1387974106,crossing,POINT (-122.6735122 45.5199267)
45.5200516,-122.6734434,1387974109,crossing,POINT (-122.6734434 45.5200516)
45.5252043,-122.6724634,1387974119,crossing,POINT (-122.6724634 45.5252043)
45.5294885,-122.561828,1392798821,,POINT (-122.561828 45.5294885)
45.5627482,-122.6068864,1431497312,crossing,POINT (-122.6068864 45.5627482)
45.5062181,-122.6713053,1490960125,,POINT (-122.6713053 45.5062181)
45.5062907,-122.6713716,1733579922,,POINT (-122.6713716 45.5062907)
45.5064283,-122.6715381,1733579924,,POINT (-122.6715381 45.5064283)
45.5065363,-122.671833,1733579926,,POINT (-122.671833 45.5065363)
45.5224406,-122.6722179,2005707665,,POINT (-122.6722179 45.5224406)
45.5226541,-122.6723198,2005707670,,POINT (-122.6723198 45.5226541)
45.5217912,-122.6725015,2542426590,,POINT (-122.6725015 45.5217912)
45.5202919,-122.673315,2544503517,,POINT (-122.673315 45.5202919)
45.5242849,-122.6724189,2563646738,,POINT (-122.6724189 45.5242849)
45.5244213,-122.6724241,2563646740,,POINT (-122.6724241 45.5244213)
45.5195898,-122.6736967,3860425584,,POINT (-122.6736967 45.5195898)
45.5627483,-122.60649,4921981858,traffic_signals,POINT (-122.60649 45.5627483)
45.5213227,-122.6727566,5077562549,traffic_signals,POINT (-122.6727566 45.5213227)
45.5212612,-122.6727899,5077562550,crossing,POINT (-122.6727899 45.5212612)
45.5207906,-122.6730468,5077562551,,POINT (-122.6730468 45.5207906)
45.5207212,-122.6730847,5077562552,crossing,POINT (-122.6730847 45.5207212)
45.5206569,-122.6731198,5077562553,traffic_signals,POINT (-122.6731198 45.5206569)
45.529486,-122.5585091,5597388282,,POINT (-122.5585091 45.529486)
45.50635,-122.6714453,6975353538,,POINT (-122.6714453 45.50635)
45.5065014,-122.6716973,6975353539,,POINT (-122.6716973 45.5065014)
45.5064711,-122.6716127,6975353572,,POINT (-122.6716127 45.5064711)
45.5062044,-122.671293,6975359585,,POINT (-122.671293 45.5062044)
45.5294873,-122.5618403,7574156624,crossing,POINT (-122.5618403 45.5294873)
45.5559373,-122.6004772,40400024,,POINT (-122.6004772 45.5559373)
45.5372102,-122.6747656,40404588,,POINT (-122.6747656 45.5372102)
45.5571921,-122.5994033,40407205,,POINT (-122.5994033 45.5571921)
