y,x,osmid,highway,geometry
45.5252758,-122.6724708,40450452,traffic_signals,POINT (-122.6724708 45.5252758)
45.5231958,-122.6723802,40516268,traffic_signals,POINT (-122.6723802 45.5231958)
45.5065906,-122.6721054,40544954,,POINT (-122.6721054 45.5065906)
45.5238518,-122.6724035,40558982,,POINT (-122.6724035 45.5238518)
45.5199908,-122.6734771,40616237,traffic_signals,POINT (-122.6734771 45.5199908)
45.5225376,-122.6722603,40628220,,POINT (-122.6722603 45.5225376)
45.5627485,-122.6060893,40738351,,POINT (-122.6060893 45.5627485)
45.5230956,-122.6723768,1334933390,traffic_signals,POINT (-122.6723768 45.5230956)
45.5627482,-122.6068864,1431497312,crossing,POINT (-122.6068864 45.5627482)
45.5213227,-122.6727566,5077562549,traffic_signals,POINT (-122.6727566 45.5213227)
45.5206569,-122.6731198,5077562553,traffic_signals,POINT (-122.6731198 45.5206569)
45.5062044,-122.671293,6975359585,,POINT (-122.671293 45.5062044)
45.5093494,-122.6850269,40420939,traffic_signals,POINT (-122.6850269 45.5093494)
45.5446585,-122.668049,40437948,,POINT (-122.668049 45.5446585)
45.5735133,-122.7033767,40446734,,POINT (-122.7033767 45.5735133)
45.5113458,-122.6839456,40455552,traffic_signals,POINT (-122.6839456 45.5113458)
45.5307943,-122.6657825,40467589,traffic_signals,POINT (-122.6657825 45.5307943)
45.5042625,-122.5538385,40473403,,POINT (-122.5538385 45.5042625)
45.5341823,-122.6926919,40474179,,POINT (-122.6926919 45.5341823)
45.5140122,-122.6825013,40503125,traffic_signals,POINT (-122.6825013 45.5140122)
45.5312906,-122.662513,40542408,,POINT (-122.662513 45.5312906)
45.5315035,-122.6596445,40542422,,POINT (-122.6596445 45.5315035)
45.5315005,-122.6586087,40542425,traffic_signals,POINT (-122.6586087 45.5315005)
45.5314934,-122.6565967,40542428,traffic_signals,POINT (-122.6565967 45.5314934)
45.5314705,-122.6494832,40542436,traffic_signals,POINT (-122.6494832 45.5314705)
45.5106789,-122.6843068,40567411,traffic_signals,POINT (-122.6843068 45.5106789)
45.5554659,-122.6008915,40576170,traffic_signals,POINT (-122.6008915 45.5554659)
45.5328315,-122.6797764,40621325,traffic_signals,POINT (-122.6797764 45.5328315)
45.5120233,-122.6835786,40629135,traffic_signals,POINT (-122.6835786 45.5120233)
45.512679,-122.6832235,40629140,traffic_signals,POINT (-122.6832235 45.512679)
45.5042447,-122.5530909,40637562,,POINT (-122.5530909 45.5042447)
45.5363271,-122.6857272,40642569,traffic_signals,POINT (-122.6857272 45.5363271)
45.5590997,-122.5977924,40723261,,POINT (-122.5977924 45.5590997)
45.5321558,-122.6371023,40728505,,POINT (-122.6371023 45.5321558)
45.5231351,-122.6715973,155699810,,POINT (-122.6715973 45.5231351)
45.5366433,-122.686291,1306369409,crossing,POINT (-122.686291 45.5366433)
45.5732321,-122.7029181,1395238927,,POINT (-122.7029181 45.5732321)
45.5731849,-122.7028411,1395241889,crossing,POINT (-122.7028411 45.5731849)
45.5362901,-122.6927318,2002108326,,POINT (-122.6927318 45.5362901)
45.5349532,-122.6833671,3654843812,,POINT (-122.6833671 45.5349532)
45.5314972,-122.6575946,3822060338,,POINT (-122.6575946 45.5314972)
45.5229578,-122.6626966,4343795198,,POINT (-122.6626966 45.5229578)
45.5315043,-122.6598886,5715719164,,POINT (-122.6598886 45.5315043)
45.5314985,-122.6580432,5715719182,,POINT (-122.6580432 45.5314985)
45.4584969,-122.646891,37475517,,POINT (-122.646891 45.4584969)
45.5552252,-122.6923626,40389742,traffic_signals,POINT (-122.6923626 45.5552252)
45.5552577,-122.6921289,40389744,crossing,POINT (-122.6921289 45.5552577)
45.5337986,-122.6203078,40390396,traffic_signals,POINT (-122.6203078 45.5337986)
45.482902,-122.631018,40397541,,POINT (-122.631018 45.482902)
45.5948091,-122.6826961,40410931,,POINT (-122.6826961 45.5948091)
45.4800469,-122.5705452,40425258,,POINT (-122.5705452 45.4800469)
45.5162013,-122.6665238,40425785,,POINT (-122.6665238 45.5162013)
45.51582,-122.6658467,40425790,,POINT (-122.6658467 45.51582)
45.4694542,-122.7384154,40427722,,POINT (-122.7384154 45.4694542)
45.5145641,-122.566537,40440283,,POINT (-122.566537 45.5145641)
45.5107533,-122.5664212,40440339,crossing,POINT (-122.5664212 45.5107533)
45.4943499,-122.5600647,40446220,,POINT (-122.5600647 45.4943499)
45.5736091,-122.7028175,40446729,,POINT (-122.7028175 45.5736091)
45.5729063,-122.5455206,40447727,,POINT (-122.5455206 45.5729063)
45.5699354,-122.6840092,40450377,,POINT (-122.6840092 45.5699354)
45.569936,-122.6842893,40450379,,POINT (-122.6842893 45.569936)
45.4823708,-122.5879772,40453374,,POINT (-122.5879772 45.4823708)
45.581994,-122.636087,40456049,,POINT (-122.636087 45.581994)
45.5322604,-122.6050272,40462246,,POINT (-122.6050272 45.5322604)
45.4788612,-122.6340134,40465799,,POINT (-122.6340134 45.4788612)
45.4879041,-122.5673632,40466110,,POINT (-122.5673632 45.4879041)
45.5684166,-122.6759613,40466472,,POINT (-122.6759613 45.5684166)
45.5467654,-122.6281071,40488069,,POINT (-122.6281071 45.5467654)
45.4674011,-122.5672188,40491090,turning_circle,POINT (-122.5672188 45.4674011)
45.4954117,-122.5235494,40491429,,POINT (-122.5235494 45.4954117)
45.4944456,-122.5672536,40491552,,POINT (-122.5672536 45.4944456)
45.4796928,-122.5705862,40497301,turning_circle,POINT (-122.5705862 45.4796928)
45.5209558,-122.6566673,40502615,stop,POINT (-122.6566673 45.5209558)
45.5717761,-122.6566793,40509816,,POINT (-122.6566793 45.5717761)
45.5153424,-122.5663048,40512091,,POINT (-122.5663048 45.5153424)
45.4937835,-122.56727,40512129,,POINT (-122.56727 45.4937835)
45.4923739,-122.5669108,40512139,,POINT (-122.5669108 45.4923739)
45.5033802,-122.654519,40514489,traffic_signals,POINT (-122.654519 45.5033802)
45.5564062,-122.661617,40515705,,POINT (-122.661617 45.5564062)
45.4890395,-122.5723165,40521841,,POINT (-122.5723165 45.4890395)
45.5115167,-122.6528362,40524677,,POINT (-122.6528362 45.5115167)
45.5115463,-122.5665153,40524778,,POINT (-122.5665153 45.5115463)
45.6171963,-122.7694741,40524863,,POINT (-122.7694741 45.6171963)
45.5300414,-122.6844197,40527889,traffic_signals,POINT (-122.6844197 45.5300414)
45.532261,-122.6076138,40537240,,POINT (-122.6076138 45.532261)
45.5308013,-122.6824198,40538106,stop,POINT (-122.6824198 45.5308013)
45.5191372,-122.5750202,40548054,,POINT (-122.5750202 45.5191372)
45.58343,-122.6847373,40549060,traffic_signals,POINT (-122.6847373 45.58343)
45.4823633,-122.5866827,40557877,,POINT (-122.5866827 45.4823633)
45.4803037,-122.5867165,40557886,,POINT (-122.5867165 45.4803037)
45.5213079,-122.700736,40558293,priority_junction,POINT (-122.700736 45.5213079)
45.5567332,-122.6306791,40561075,,POINT (-122.6306791 45.5567332)
45.5518555,-122.6483107,40571722,,POINT (-122.6483107 45.5518555)
45.5531043,-122.6482876,40571724,,POINT (-122.6482876 45.5531043)
45.5286604,-122.6657552,40580482,traffic_signals,POINT (-122.6657552 45.5286604)
45.5507696,-122.6472605,40588517,,POINT (-122.6472605 45.5507696)
45.521257,-122.7032303,40594434,,POINT (-122.7032303 45.521257)
45.495717,-122.6777524,40596199,crossing,POINT (-122.6777524 45.495717)
45.5298997,-122.6776005,40604301,traffic_signals,POINT (-122.6776005 45.5298997)
45.4803062,-122.5891781,40613858,,POINT (-122.5891781 45.4803062)
45.5076425,-122.5863605,40616380,,POINT (-122.5863605 45.5076425)
45.5627484,-122.6074755,40617647,,POINT (-122.6074755 45.5627484)
45.5221707,-122.645466,40622259,,POINT (-122.645466 45.5221707)
45.5215842,-122.7040874,40629222,,POINT (-122.7040874 45.5215842)
45.5089109,-122.6758653,40641480,turning_circle,POINT (-122.6758653 45.5089109)
45.5702907,-122.5475325,40644124,turning_circle,POINT (-122.5475325 45.5702907)
45.5089274,-122.5665583,40646394,,POINT (-122.5665583 45.5089274)
45.5832462,-122.7686457,40654118,traffic_signals,POINT (-122.7686457 45.5832462)
45.5122132,-122.5664855,40664386,,POINT (-122.5664855 45.5122132)
45.4853206,-122.6495952,40666799,,POINT (-122.6495952 45.4853206)
45.4738721,-122.5664332,40679053,,POINT (-122.5664332 45.4738721)
45.5237105,-122.6627397,40682992,,POINT (-122.6627397 45.5237105)
45.5720623,-122.5572246,40690914,,POINT (-122.5572246 45.5720623)
