y,x,osmid,highway,geometry
34.0114185,-6.8426424,412111885,,POINT (-6.8426424 34.0114185)
34.0251416,-6.8217007,1392032574,,POINT (-6.8217007 34.0251416)
34.0248276,-6.8204042,1884784811,,POINT (-6.8204042 34.0248276)
34.025059,-6.8198974,2285348846,,POINT (-6.8198974 34.025059)
34.0250857,-6.8205787,2285348850,,POINT (-6.8205787 34.0250857)
34.025657,-6.8194977,2285348851,,POINT (-6.8194977 34.025657)
34.0252644,-6.8201951,2285348852,,POINT (-6.8201951 34.0252644)
34.0262794,-6.8193893,2285348855,,POINT (-6.8193893 34.0262794)
34.0253813,-6.8196506,2285348856,,POINT (-6.8196506 34.0253813)
34.024812,-6.820356,2285348859,,POINT (-6.820356 34.024812)
34.0251501,-6.8198035,2285348860,,POINT (-6.8198035 34.0251501)
34.0249232,-6.8200878,2285348861,,POINT (-6.8200878 34.0249232)
34.0253522,-6.8200959,2285348862,,POINT (-6.8200959 34.0253522)
34.0265837,-6.8193636,2285348863,,POINT (-6.8193636 34.0265837)
34.0260236,-6.8197539,2285348864,,POINT (-6.8197539 34.0260236)
34.0255196,-6.8199624,2285348866,,POINT (-6.8199624 34.0255196)
34.025948,-6.8194173,2285348867,,POINT (-6.8194173 34.025948)
34.0257079,-6.8198545,2285348874,,POINT (-6.8198545 34.0257079)
34.0251016,-6.8214624,2285348878,,POINT (-6.8214624 34.0251016)
34.0250629,-6.8212251,2285348879,,POINT (-6.8212251 34.0250629)
34.025041,-6.8208093,2285348880,,POINT (-6.8208093 34.025041)
34.0251277,-6.8204391,2285348881,,POINT (-6.8204391 34.0251277)
34.0261925,-6.8197338,2285348883,,POINT (-6.8197338 34.0261925)
34.0250434,-6.8210038,2285348887,,POINT (-6.8210038 34.0250434)
34.012703,-6.8386392,4501113087,,POINT (-6.8386392 34.012703)
34.0126755,-6.8387657,4501113088,,POINT (-6.8387657 34.0126755)
34.0126297,-6.8388946,4501113289,,POINT (-6.8388946 34.0126297)
34.0121851,-6.8405853,4501113290,,POINT (-6.8405853 34.0121851)
34.0121173,-6.8408289,4501113291,,POINT (-6.8408289 34.0121173)
34.0118882,-6.8416865,4501113292,,POINT (-6.8416865 34.0118882)
34.0118254,-6.8419629,4501113293,,POINT (-6.8419629 34.0118254)
34.0117202,-6.8424337,4501113294,,POINT (-6.8424337 34.0117202)
34.0116049,-6.8428922,4501113295,,POINT (-6.8428922 34.0116049)
34.0114301,-6.8435533,4501113296,,POINT (-6.8435533 34.0114301)
34.0113351,-6.843934,4501113297,,POINT (-6.843934 34.0113351)
34.0111943,-6.8444314,4501113298,,POINT (-6.8444314 34.0111943)
34.0109092,-6.8454855,4501113299,,POINT (-6.8454855 34.0109092)
34.0107565,-6.8460464,4501113300,,POINT (-6.8460464 34.0107565)
34.0105733,-6.8467239,4501113301,,POINT (-6.8467239 34.0105733)
34.0102424,-6.8479582,4501113302,,POINT (-6.8479582 34.0102424)
34.009811,-6.8496792,4501113303,,POINT (-6.8496792 34.009811)
34.0096384,-6.850353,4501113304,,POINT (-6.850353 34.0096384)
34.0094568,-6.8511206,4501113305,,POINT (-6.8511206 34.0094568)
34.0092918,-6.8510138,4501113308,,POINT (-6.8510138 34.0092918)
34.0096498,-6.849584,4501113309,,POINT (-6.849584 34.0096498)
34.0097792,-6.8490962,4501113310,,POINT (-6.8490962 34.0097792)
34.0101236,-6.847647,4501113311,,POINT (-6.847647 34.0101236)
34.0104409,-6.8463882,4501113312,,POINT (-6.8463882 34.0104409)
34.0107972,-6.8450291,4501113313,,POINT (-6.8450291 34.0107972)
34.0111909,-6.843496,4501113314,,POINT (-6.843496 34.0111909)
34.0113266,-6.8429761,4501113315,,POINT (-6.8429761 34.0113266)
34.0115098,-6.8422003,4501113316,,POINT (-6.8422003 34.0115098)
34.0117067,-6.8413938,4501113317,,POINT (-6.8413938 34.0117067)
34.0119544,-6.8404257,4501113318,,POINT (-6.8404257 34.0119544)
34.0123209,-6.8390031,4501113319,,POINT (-6.8390031 34.0123209)
34.01237,-6.8387944,4501113320,,POINT (-6.8387944 34.01237)
34.0121454,-6.8406901,6034751504,,POINT (-6.8406901 34.0121454)
34.0107392,-6.8452589,6034751514,,POINT (-6.8452589 34.0107392)
34.0116759,-6.8426101,6034751515,,POINT (-6.8426101 34.0116759)
34.0118387,-6.8418311,6034751516,,POINT (-6.8418311 34.0118387)
34.0118587,-6.8408011,6034751564,,POINT (-6.8408011 34.0118587)
34.0108895,-6.8455731,6034751768,,POINT (-6.8455731 34.0108895)
34.0115991,-6.8418297,6034751769,,POINT (-6.8418297 34.0115991)
34.0105959,-6.8466376,6034751802,,POINT (-6.8466376 34.0105959)
34.0102992,-6.8477465,6034751803,,POINT (-6.8477465 34.0102992)
34.0105552,-6.8459524,6034751807,,POINT (-6.8459524 34.0105552)
34.0112467,-6.844226,6034751808,,POINT (-6.844226 34.0112467)
34.0100732,-6.8478946,6034751931,,POINT (-6.8478946 34.0100732)
34.010943,-6.8444615,6034751932,,POINT (-6.8444615 34.010943)
34.0254366,-6.8200256,6956221415,,POINT (-6.8200256 34.0254366)
34.0256101,-6.8199094,6956221423,,POINT (-6.8199094 34.0256101)
34.0258657,-6.8197954,6956221424,,POINT (-6.8197954 34.0258657)
34.0251955,-6.8203037,6956221425,,POINT (-6.8203037 34.0251955)
34.0267532,-6.8356526,486077563,,POINT (-6.8356526 34.0267532)
34.0259308,-6.8349204,516664623,,POINT (-6.8349204 34.0259308)
34.0256471,-6.8346576,516664625,,POINT (-6.8346576 34.0256471)
34.0257487,-6.8352039,516664627,,POINT (-6.8352039 34.0257487)
34.0261681,-6.8351421,516664638,,POINT (-6.8351421 34.0261681)
34.0264259,-6.8353939,896412276,,POINT (-6.8353939 34.0264259)
34.0266467,-6.8355755,896412279,,POINT (-6.8355755 34.0266467)
34.0270266,-6.8350302,2610951213,,POINT (-6.8350302 34.0270266)
34.0260382,-6.8350129,3027349853,,POINT (-6.8350129 34.0260382)
34.0268769,-6.8353793,6655488731,,POINT (-6.8353793 34.0268769)
34.0019657,-6.8544981,21070189,,POINT (-6.8544981 34.0019657)
34.0019637,-6.8554094,21070193,,POINT (-6.8554094 34.0019637)
33.957516,-6.8850785,405933226,,POINT (-6.8850785 33.957516)
34.0133528,-6.8385782,410910139,,POINT (-6.8385782 34.0133528)
34.0274805,-6.8352449,486077520,,POINT (-6.8352449 34.0274805)
34.0280699,-6.8341943,486077522,,POINT (-6.8341943 34.0280699)
34.0266957,-6.8348847,486077546,,POINT (-6.8348847 34.0266957)
34.0257142,-6.8342054,486077570,,POINT (-6.8342054 34.0257142)
34.0268325,-6.8327956,486077574,,POINT (-6.8327956 34.0268325)
34.0285905,-6.8347447,516664660,,POINT (-6.8347447 34.0285905)
34.0260585,-6.8345214,896412494,,POINT (-6.8345214 34.0260585)
34.0262481,-6.8346581,896413590,,POINT (-6.8346581 34.0262481)
34.0264904,-6.8347651,896416284,,POINT (-6.8347651 34.0264904)
34.0283812,-6.8345776,896416651,,POINT (-6.8345776 34.0283812)
34.0267733,-6.8277314,896417752,,POINT (-6.8277314 34.0267733)
34.0258778,-6.8303337,896417755,,POINT (-6.8303337 34.0258778)
34.0256191,-6.8309441,896420293,,POINT (-6.8309441 34.0256191)
34.0259223,-6.8302071,896421759,,POINT (-6.8302071 34.0259223)
34.0258434,-6.8306786,896422133,,POINT (-6.8306786 34.0258434)
34.0256654,-6.8308833,896422214,,POINT (-6.8308833 34.0256654)
34.025976,-6.8300542,896422711,,POINT (-6.8300542 34.025976)
34.0260267,-6.8299199,896422884,,POINT (-6.8299199 34.0260267)
34.0260652,-6.8298113,896423004,,POINT (-6.8298113 34.0260652)
34.0261524,-6.8295604,896423248,,POINT (-6.8295604 34.0261524)
34.026256,-6.8292749,896423384,,POINT (-6.8292749 34.026256)
34.0263564,-6.8289843,896423529,,POINT (-6.8289843 34.0263564)
34.0264468,-6.8287145,896423611,,POINT (-6.8287145 34.0264468)
34.0265375,-6.8284327,896423822,,POINT (-6.8284327 34.0265375)
34.0265072,-6.828525,896423891,,POINT (-6.828525 34.0265072)
34.0266023,-6.8282468,896423992,,POINT (-6.8282468 34.0266023)
34.0266218,-6.8281879,896424072,,POINT (-6.8281879 34.0266218)
34.0148565,-6.8384458,1686040423,,POINT (-6.8384458 34.0148565)
34.0138369,-6.8385447,1686040425,,POINT (-6.8385447 34.0138369)
34.0150152,-6.8385527,1686040428,,POINT (-6.8385527 34.0150152)
34.0136301,-6.8385903,1686040451,,POINT (-6.8385903 34.0136301)
34.029337,-6.8352227,1772520942,,POINT (-6.8352227 34.029337)
34.0019298,-6.8553568,2008210253,,POINT (-6.8553568 34.0019298)
34.0023577,-6.8549764,2008210258,,POINT (-6.8549764 34.0023577)
33.9811232,-6.8640284,2189092203,,POINT (-6.8640284 33.9811232)
33.9814835,-6.8642221,2189092296,,POINT (-6.8642221 33.9814835)
33.9806339,-6.8644562,2189092297,,POINT (-6.8644562 33.9806339)
33.9804471,-6.8645795,2189092321,,POINT (-6.8645795 33.9804471)
