u,v,key,osmid,highway,oneway,length,geometry,bridge,name
412111885,4501113316,0,453370653,cycleway,False,41.995,"LINESTRING (-6.8426424 34.0114185, -6.8422003 34.0115098)",,
412111885,4501113315,0,453370653,cycleway,False,32.411,"LINESTRING (-6.8426424 34.0114185, -6.8429761 34.0113266)",,
1392032574,2285348878,0,743137820,cycleway,False,22.407,"LINESTRING (-6.8217007 34.0251416, -6.8214624 34.0251016)",,
1884784811,2285348859,0,219374745,cycleway,False,4.769,"LINESTRING (-6.8204042 34.0248276, -6.820356 34.024812)",,
2285348846,2285348860,0,219374745,cycleway,False,13.323,"LINESTRING (-6.8198974 34.025059, -6.8198035 34.0251501)",,
2285348846,2285348861,0,219374745,cycleway,False,23.15,"LINESTRING (-6.8198974 34.025059, -6.8200878 34.0249232)",,
2285348850,2285348881,0,219374749,cycleway,False,13.687,"LINESTRING (-6.8205787 34.0250857, -6.8204391 34.0251277)",yes,
2285348850,2285348880,0,219374749,cycleway,False,21.825,"LINESTRING (-6.8205787 34.0250857, -6.8208093 34.025041)",yes,
2285348851,2285348867,0,219374745,cycleway,False,33.195,"LINESTRING (-6.8194977 34.025657, -6.8194173 34.025948)",,
2285348851,2285348856,0,219374745,cycleway,False,33.74,"LINESTRING (-6.8194977 34.025657, -6.8196506 34.0253813)",,
2285348852,2285348862,0,219374749,cycleway,False,13.375,"LINESTRING (-6.8201951 34.0252644, -6.8200959 34.0253522)",yes,
2285348852,6956221425,0,219374749,cycleway,False,12.604,"LINESTRING (-6.8201951 34.0252644, -6.8203037 34.0251955)",yes,
2285348855,2285348867,0,219374745,cycleway,False,36.94,"LINESTRING (-6.8193893 34.0262794, -6.8194173 34.025948)",,
2285348855,2285348863,0,219374750,cycleway,False,33.919,"LINESTRING (-6.8193893 34.0262794, -6.8193636 34.0265837)",yes,
2285348856,2285348851,0,219374745,cycleway,False,33.74,"LINESTRING (-6.8196506 34.0253813, -6.8194977 34.025657)",,
2285348856,2285348860,0,219374745,cycleway,False,29.317,"LINESTRING (-6.8196506 34.0253813, -6.8198035 34.0251501)",,
2285348859,2285348861,0,219374745,cycleway,False,27.637,"LINESTRING (-6.820356 34.024812, -6.8200878 34.0249232)",,
2285348859,1884784811,0,219374745,cycleway,False,4.769,"LINESTRING (-6.820356 34.024812, -6.8204042 34.0248276)",,
2285348860,2285348856,0,219374745,cycleway,False,29.317,"LINESTRING (-6.8198035 34.0251501, -6.8196506 34.0253813)",,
2285348860,2285348846,0,219374745,cycleway,False,13.323,"LINESTRING (-6.8198035 34.0251501, -6.8198974 34.025059)",,
2285348861,2285348846,0,219374745,cycleway,False,23.15,"LINESTRING (-6.8200878 34.0249232, -6.8198974 34.025059)",,
2285348861,2285348859,0,219374745,cycleway,False,27.637,"LINESTRING (-6.8200878 34.0249232, -6.820356 34.024812)",,
2285348862,6956221415,0,219374749,cycleway,False,11.404,"LINESTRING (-6.8200959 34.0253522, -6.8200256 34.0254366)",yes,
2285348862,2285348852,0,219374749,cycleway,False,13.375,"LINESTRING (-6.8200959 34.0253522, -6.8201951 34.0252644)",yes,
2285348863,2285348855,0,219374750,cycleway,False,33.919,"LINESTRING (-6.8193636 34.0265837, -6.8193893 34.0262794)",yes,
2285348864,2285348883,0,219374749,cycleway,False,18.872,"LINESTRING (-6.8197539 34.0260236, -6.8197338 34.0261925)",yes,
2285348864,6956221424,0,219374749,cycleway,False,17.969,"LINESTRING (-6.8197539 34.0260236, -6.8197954 34.0258657)",yes,
2285348866,6956221423,0,219374749,cycleway,False,11.186,"LINESTRING (-6.8199624 34.0255196, -6.8199094 34.0256101)",yes,
2285348866,6956221415,0,219374749,cycleway,False,10.913,"LINESTRING (-6.8199624 34.0255196, -6.8200256 34.0254366)",yes,
2285348867,2285348855,0,219374745,cycleway,False,36.94,"LINESTRING (-6.8194173 34.025948, -6.8193893 34.0262794)",,
2285348867,2285348851,0,219374745,cycleway,False,33.195,"LINESTRING (-6.8194173 34.025948, -6.8194977 34.025657)",,
2285348874,6956221424,0,219374749,cycleway,False,18.372,"LINESTRING (-6.8198545 34.0257079, -6.8197954 34.0258657)",yes,
2285348874,6956221423,0,219374749,cycleway,False,11.994,"LINESTRING (-6.8198545 34.0257079, -6.8199094 34.0256101)",yes,
2285348878,2285348879,0,219374749,cycleway,False,22.288,"LINESTRING (-6.8214624 34.0251016, -6.8212251 34.0250629)",yes,
2285348878,1392032574,0,743137820,cycleway,False,22.407,"LINESTRING (-6.8214624 34.0251016, -6.8217007 34.0251416)",,
2285348879,2285348887,0,219374749,cycleway,False,20.509,"LINESTRING (-6.8212251 34.0250629, -6.8210038 34.0250434)",yes,
2285348879,2285348878,0,219374749,cycleway,False,22.288,"LINESTRING (-6.8212251 34.0250629, -6.8214624 34.0251016)",yes,
2285348880,2285348850,0,219374749,cycleway,False,21.825,"LINESTRING (-6.8208093 34.025041, -6.8205787 34.0250857)",yes,
2285348880,2285348887,0,219374749,cycleway,False,17.927,"LINESTRING (-6.8208093 34.025041, -6.8210038 34.0250434)",yes,
2285348881,6956221425,0,219374749,cycleway,False,14.579,"LINESTRING (-6.8204391 34.0251277, -6.8203037 34.0251955)",yes,
2285348881,2285348850,0,219374749,cycleway,False,13.687,"LINESTRING (-6.8204391 34.0251277, -6.8205787 34.0250857)",yes,
2285348883,2285348864,0,219374749,cycleway,False,18.872,"LINESTRING (-6.8197338 34.0261925, -6.8197539 34.0260236)",yes,
2285348887,2285348880,0,219374749,cycleway,False,17.927,"LINESTRING (-6.8210038 34.0250434, -6.8208093 34.025041)",yes,
2285348887,2285348879,0,219374749,cycleway,False,20.509,"LINESTRING (-6.8210038 34.0250434, -6.8212251 34.0250629)",yes,
4501113087,4501113088,0,453370652,cycleway,False,12.054,"LINESTRING (-6.8386392 34.012703, -6.8387657 34.0126755)",,
4501113088,4501113289,0,453370652,cycleway,False,12.926,"LINESTRING (-6.8387657 34.0126755, -6.8388946 34.0126297)",,
4501113088,4501113087,0,453370652,cycleway,False,12.054,"LINESTRING (-6.8387657 34.0126755, -6.8386392 34.012703)",,
4501113289,4501113290,0,453370652,cycleway,False,163.488,"LINESTRING (-6.8388946 34.0126297, -6.8405853 34.0121851)",,
4501113289,4501113088,0,453370652,cycleway,False,12.926,"LINESTRING (-6.8388946 34.0126297, -6.8387657 34.0126755)",,
4501113290,6034751504,0,453370652,cycleway,False,10.621,"LINESTRING (-6.8405853 34.0121851, -6.8406901 34.0121454)",,
4501113290,4501113289,0,453370652,cycleway,False,163.488,"LINESTRING (-6.8405853 34.0121851, -6.8388946 34.0126297)",,
4501113291,4501113292,0,453370652,cycleway,False,83.05,"LINESTRING (-6.8408289 34.0121173, -6.8416865 34.0118882)",,
4501113291,6034751504,0,453370652,cycleway,False,13.169,"LINESTRING (-6.8408289 34.0121173, -6.8406901 34.0121454)",,
4501113292,6034751516,0,453370652,cycleway,False,14.42,"LINESTRING (-6.8416865 34.0118882, -6.8418311 34.0118387)",,
4501113292,4501113291,0,453370652,cycleway,False,83.05,"LINESTRING (-6.8416865 34.0118882, -6.8408289 34.0121173)",,
4501113293,4501113294,0,453370652,cycleway,False,44.944,"LINESTRING (-6.8419629 34.0118254, -6.8424337 34.0117202)",,
4501113293,6034751516,0,453370652,cycleway,False,12.238,"LINESTRING (-6.8419629 34.0118254, -6.8418311 34.0118387)",,
