u,v,key,osmid,highway,oneway,length,bridge,geometry,name
1392032574,2285348883,0,"[743137820, 219374749]",cycleway,False,259.91100000000006,yes,"LINESTRING (-6.8217007 34.0251416, -6.8214624 34.0251016, -6.8212251 34.0250629, -6.8210038 34.0250434, -6.8208093 34.025041, -6.8205787 34.0250857, -6.8204391 34.0251277, -6.8203037 34.0251955, -6.8201951 34.0252644, -6.8200959 34.0253522, -6.8200256 34.0254366, -6.8199624 34.0255196, -6.8199094 34.0256101, -6.8198545 34.0257079, -6.8197954 34.0258657, -6.8197539 34.0260236, -6.8197338 34.0261925)",
1884784811,2285348863,0,"[219374745, 219374750]",cycleway,False,235.99,yes,"LINESTRING (-6.8204042 34.0248276, -6.820356 34.024812, -6.8200878 34.0249232, -6.8198974 34.025059, -6.8198035 34.0251501, -6.8196506 34.0253813, -6.8194977 34.025657, -6.8194173 34.025948, -6.8193893 34.0262794, -6.8193636 34.0265837)",
2285348863,1884784811,0,"[219374745, 219374750]",cycleway,False,235.99000000000004,yes,"LINESTRING (-6.8193636 34.0265837, -6.8193893 34.0262794, -6.8194173 34.025948, -6.8194977 34.025657, -6.8196506 34.0253813, -6.8198035 34.0251501, -6.8198974 34.025059, -6.8200878 34.0249232, -6.820356 34.024812, -6.8204042 34.0248276)",
2285348883,1392032574,0,"[743137820, 219374749]",cycleway,False,259.911,yes,"LINESTRING (-6.8197338 34.0261925, -6.8197539 34.0260236, -6.8197954 34.0258657, -6.8198545 34.0257079, -6.8199094 34.0256101, -6.8199624 34.0255196, -6.8200256 34.0254366, -6.8200959 34.0253522, -6.8201951 34.0252644, -6.8203037 34.0251955, -6.8204391 34.0251277, -6.8205787 34.0250857, -6.8208093 34.025041, -6.8210038 34.0250434, -6.8212251 34.0250629, -6.8214624 34.0251016, -6.8217007 34.0251416)",
4501113087,4501113305,0,453370652,cycleway,False,1206.339,,"LINESTRING (-6.8386392 34.012703, -6.8387657 34.0126755, -6.8388946 34.0126297, -6.8405853 34.0121851, -6.8406901 34.0121454, -6.8408289 34.0121173, -6.8416865 34.0118882, -6.8418311 34.0118387, -6.8419629 34.0118254, -6.8424337 34.0117202, -6.8426101 34.0116759, -6.8428922 34.0116049, -6.8435533 34.0114301, -6.843934 34.0113351, -6.844226 34.0112467, -6.8444314 34.0111943, -6.8454855 34.0109092, -6.8455731 34.0108895, -6.8460464 34.0107565, -6.8466376 34.0105959, -6.8467239 34.0105733, -6.8477465 34.0102992, -6.8479582 34.0102424, -6.8496792 34.009811, -6.850353 34.0096384, -6.8511206 34.0094568)",
4501113305,4501113087,0,453370652,cycleway,False,1206.3389999999997,,"LINESTRING (-6.8511206 34.0094568, -6.850353 34.0096384, -6.8496792 34.009811, -6.8479582 34.0102424, -6.8477465 34.0102992, -6.8467239 34.0105733, -6.8466376 34.0105959, -6.8460464 34.0107565, -6.8455731 34.0108895, -6.8454855 34.0109092, -6.8444314 34.0111943, -6.844226 34.0112467, -6.843934 34.0113351, -6.8435533 34.0114301, -6.8428922 34.0116049, -6.8426101 34.0116759, -6.8424337 34.0117202, -6.8419629 34.0118254, -6.8418311 34.0118387, -6.8416865 34.0118882, -6.8408289 34.0121173, -6.8406901 34.0121454, -6.8405853 34.0121851, -6.8388946 34.0126297, -6.8387657 34.0126755, -6.8386392 34.012703)",
4501113308,4501113320,0,453370653,cycleway,False,1177.295,,"LINESTRING (-6.8510138 34.0092918, -6.849584 34.0096498, -6.8490962 34.0097792, -6.8478946 34.0100732, -6.847647 34.0101236, -6.8463882 34.0104409, -6.8459524 34.0105552, -6.8452589 34.0107392, -6.8450291 34.0107972, -6.8444615 34.010943, -6.843496 34.0111909, -6.8429761 34.0113266, -6.8426424 34.0114185, -6.8422003 34.0115098, -6.8418297 34.0115991, -6.8413938 34.0117067, -6.8408011 34.0118587, -6.8404257 34.0119544, -6.8390031 34.0123209, -6.8387944 34.01237)",
4501113320,4501113308,0,453370653,cycleway,False,1177.295,,"LINESTRING (-6.8387944 34.01237, -6.8390031 34.0123209, -6.8404257 34.0119544, -6.8408011 34.0118587, -6.8413938 34.0117067, -6.8418297 34.0115991, -6.8422003 34.0115098, -6.8426424 34.0114185, -6.8429761 34.0113266, -6.843496 34.0111909, -6.8444615 34.010943, -6.8450291 34.0107972, -6.8452589 34.0107392, -6.8459524 34.0105552, -6.8463882 34.0104409, -6.847647 34.0101236, -6.8478946 34.0100732, -6.8490962 34.0097792, -6.849584 34.0096498, -6.8510138 34.0092918)",
516664623,516664625,0,41832734,path,False,39.771,,"LINESTRING (-6.8349204 34.0259308, -6.8346576 34.0256471)",
516664623,516664627,0,41832736,path,False,33.054,,"LINESTRING (-6.8349204 34.0259308, -6.8352039 34.0257487)",
