y,x,osmid,geometry
34.0251416,-6.8217007,1392032574,POINT (-6.8217007 34.0251416)
34.0248276,-6.8204042,1884784811,POINT (-6.8204042 34.0248276)
34.0265837,-6.8193636,2285348863,POINT (-6.8193636 34.0265837)
34.0261925,-6.8197338,2285348883,POINT (-6.8197338 34.0261925)
34.012703,-6.8386392,4501113087,POINT (-6.8386392 34.012703)
34.0094568,-6.8511206,4501113305,POINT (-6.8511206 34.0094568)
34.0092918,-6.8510138,4501113308,POINT (-6.8510138 34.0092918)
34.01237,-6.8387944,4501113320,POINT (-6.8387944 34.01237)
34.0259308,-6.8349204,516664623,POINT (-6.8349204 34.0259308)
34.0256471,-6.8346576,516664625,POINT (-6.8346576 34.0256471)
34.0257487,-6.8352039,516664627,POINT (-6.8352039 34.0257487)
34.0261681,-6.8351421,516664638,POINT (-6.8351421 34.0261681)
34.0264259,-6.8353939,896412276,POINT (-6.8353939 34.0264259)
34.0270266,-6.8350302,2610951213,POINT (-6.8350302 34.0270266)
