u,v,key,osmid,oneway,highway,maxspeed,service,length,geometry,lanes,access,name,width
21070189,2008210258,0,101917979,True,service,30,driveway,62.0,"LINESTRING (-6.8544981 34.0019657, -6.8549764 34.0023577)",,,,
21070193,2008210253,0,101917979,True,service,30,driveway,6.142,"LINESTRING (-6.8554094 34.0019637, -6.8553568 34.0019298)",,,,
405933226,6775201989,0,240002999,True,residential,30,,5.532,"LINESTRING (-6.8850785 33.957516, -6.8851284 33.9574884)",1,destination,,
410910139,6726933022,0,264036339,True,primary,20,,15.311,"LINESTRING (-6.8385782 34.0133528, -6.8385923 34.01349)",2,,Avenue Ibn Toumert شارع ابن تومرت,
486077520,6958844607,0,255405180,False,living_street,20,,16.293,"LINESTRING (-6.8352449 34.0274805, -6.8351631 34.0273506)",,,Rue Porte Maoun,
486077522,6958844609,0,255400674,False,living_street,20,,8.279,"LINESTRING (-6.8341943 34.0280699, -6.8342679 34.0281126)",,,Rue des Consuls شارع القناصل,
486077522,6958844610,0,279226506,False,living_street,20,,13.311,"LINESTRING (-6.8341943 34.0280699, -6.8340773 34.0279997)",,,Rue des Consuls شارع القناصل,
486077546,6958844598,0,324493907,False,living_street,20,,8.373,"LINESTRING (-6.8348847 34.0266957, -6.8348506 34.0266259)",,,Derb El Fassi,8
486077546,2610975349,0,324493907,False,living_street,20,,2.941,"LINESTRING (-6.8348847 34.0266957, -6.8348927 34.0267213)",,,Derb El Fassi,8
486077570,3314756726,0,324803741,False,living_street,20,,12.756,"LINESTRING (-6.8342054 34.0257142, -6.8342903 34.0258048)",,,Derb El Fassi,
486077574,2697105809,0,279226507,False,living_street,20,,41.065,"LINESTRING (-6.8327956 34.0268325, -6.8330957 34.0271055)",,,Rue des Consuls شارع القناصل,
516664660,896416651,0,255400674,False,living_street,20,,27.906,"LINESTRING (-6.8347447 34.0285905, -6.8345776 34.0283812)",,,Rue des Consuls شارع القناصل,
516664660,3314747532,0,255400674,False,living_street,20,,6.562,"LINESTRING (-6.8347447 34.0285905, -6.8347831 34.0286402)",,,Rue des Consuls شارع القناصل,
896412494,6958844591,0,324493907,False,living_street,20,,10.177,"LINESTRING (-6.8345214 34.0260585, -6.834584 34.0261339)",,,Derb El Fassi,8
896412494,3314756726,0,324803741,False,living_street,20,,35.347,"LINESTRING (-6.8345214 34.0260585, -6.8342903 34.0258048)",,,Derb El Fassi,
896413590,3314827261,0,324493907,False,living_street,20,,3.515,"LINESTRING (-6.8346581 34.0262481, -6.8346421 34.0262194)",,,Derb El Fassi,8
896413590,6958844594,0,324493907,False,living_street,20,,6.314,"LINESTRING (-6.8346581 34.0262481, -6.8346789 34.0263022)",,,Derb El Fassi,8
896416284,3312042370,0,324493907,False,living_street,20,,5.883,"LINESTRING (-6.8347651 34.0264904, -6.8347365 34.0264431)",,,Derb El Fassi,8
896416284,6958844598,0,324493907,False,living_street,20,,17.003,"LINESTRING (-6.8347651 34.0264904, -6.8348506 34.0266259)",,,Derb El Fassi,8
896416651,2610928465,0,255400674,False,living_street,20,,16.933,"LINESTRING (-6.8345776 34.0283812, -6.8344625 34.0282625)",,,Rue des Consuls شارع القناصل,
896416651,516664660,0,255400674,False,living_street,20,,27.906,"LINESTRING (-6.8345776 34.0283812, -6.8347447 34.0285905)",,,Rue des Consuls شارع القناصل,
896417752,896424072,0,75923998,False,pedestrian,20,,45.317,"LINESTRING (-6.8277314 34.0267733, -6.8281879 34.0266218)",,,Rue du Mellah زنقة الملاح,
896417755,896421759,0,75923998,False,pedestrian,20,,12.673,"LINESTRING (-6.8303337 34.0258778, -6.8302071 34.0259223)",,,Rue du Mellah زنقة الملاح,
896417755,6774211908,0,75923998,False,pedestrian,20,,13.679,"LINESTRING (-6.8303337 34.0258778, -6.8304685 34.0258263)",,,Rue du Mellah زنقة الملاح,
896420293,896422214,0,75923998,False,pedestrian,20,,7.609,"LINESTRING (-6.8309441 34.0256191, -6.8308833 34.0256654)",,,Rue du Mellah زنقة الملاح,
896420293,3315253096,0,75923998,False,pedestrian,20,,40.083,"LINESTRING (-6.8309441 34.0256191, -6.8312789 34.025389)",,,Rue du Mellah زنقة الملاح,
896421759,896422711,0,75923998,False,pedestrian,20,,15.304,"LINESTRING (-6.8302071 34.0259223, -6.8300542 34.025976)",,,Rue du Mellah زنقة الملاح,
896421759,896417755,0,75923998,False,pedestrian,20,,12.673,"LINESTRING (-6.8302071 34.0259223, -6.8303337 34.0258778)",,,Rue du Mellah زنقة الملاح,
896422133,6774211912,0,75923998,False,pedestrian,20,,14.611,"LINESTRING (-6.8306786 34.0258434, -6.8305503 34.0259206)",,,Rue du Mellah زنقة الملاح,
896422133,6958844685,0,75923998,False,pedestrian,20,,7.227,"LINESTRING (-6.8306786 34.0258434, -6.8307424 34.0258056)",,,Rue du Mellah زنقة الملاح,
896422214,6958844686,0,75923998,False,pedestrian,20,,8.335,"LINESTRING (-6.8308833 34.0256654, -6.8308286 34.0257251)",,,Rue du Mellah زنقة الملاح,
