y,x,osmid,highway,geometry
33.9596061,-6.826175,20961364,,POINT (-6.826175 33.9596061)
33.9857182,-6.8511752,20961373,,POINT (-6.8511752 33.9857182)
33.9935961,-6.8277179,20961382,,POINT (-6.8277179 33.9935961)
33.9932655,-6.8379698,20961383,,POINT (-6.8379698 33.9932655)
33.9635851,-6.8218298,20961716,,POINT (-6.8218298 33.9635851)
33.9639216,-6.8215569,20961717,traffic_signals,POINT (-6.8215569 33.9639216)
33.9646874,-6.821917,20961718,,POINT (-6.821917 33.9646874)
33.9600413,-6.8192293,20961720,traffic_signals,POINT (-6.8192293 33.9600413)
33.9932453,-6.8380987,20961737,,POINT (-6.8380987 33.9932453)
33.9931404,-6.8383454,20961738,,POINT (-6.8383454 33.9931404)
33.993402,-6.8374888,20961741,,POINT (-6.8374888 33.993402)
33.9928006,-6.8392309,20961743,,POINT (-6.8392309 33.9928006)
33.9926111,-6.8388621,20961754,,POINT (-6.8388621 33.9926111)
33.9921671,-6.8381943,20961756,,POINT (-6.8381943 33.9921671)
33.9913403,-6.8377273,20961759,,POINT (-6.8377273 33.9913403)
33.9926919,-6.8386515,20961762,,POINT (-6.8386515 33.9926919)
33.9925142,-6.8383437,20961766,,POINT (-6.8383437 33.9925142)
33.9580035,-6.8695998,20961784,,POINT (-6.8695998 33.9580035)
33.9589478,-6.8710533,20961785,,POINT (-6.8710533 33.9589478)
33.9605329,-6.8743347,20961786,,POINT (-6.8743347 33.9605329)
33.9923322,-6.845855,20961813,,POINT (-6.845855 33.9923322)
33.9931246,-6.8455153,20961814,,POINT (-6.8455153 33.9931246)
33.9919024,-6.8460569,20961833,,POINT (-6.8460569 33.9919024)
33.9863931,-6.8516303,20961848,,POINT (-6.8516303 33.9863931)
33.9860067,-6.851553,20961851,,POINT (-6.851553 33.9860067)
33.9858351,-6.8514018,20961852,,POINT (-6.8514018 33.9858351)
33.9731704,-6.8647841,20961861,,POINT (-6.8647841 33.9731704)
33.9727678,-6.8649369,20961862,,POINT (-6.8649369 33.9727678)
33.9725098,-6.8649906,20961863,,POINT (-6.8649906 33.9725098)
33.9723107,-6.8650107,20961864,,POINT (-6.8650107 33.9723107)
33.9716133,-6.8651676,20961865,,POINT (-6.8651676 33.9716133)
33.9710361,-6.8654828,20961866,,POINT (-6.8654828 33.9710361)
33.9704166,-6.8659951,20961867,,POINT (-6.8659951 33.9704166)
33.9609757,-6.875031,20961876,,POINT (-6.875031 33.9609757)
33.9712619,-6.8653353,20961917,,POINT (-6.8653353 33.9712619)
33.9707647,-6.8657014,20961918,,POINT (-6.8657014 33.9707647)
33.9718636,-6.8650845,20961919,,POINT (-6.8650845 33.9718636)
33.9714176,-6.8652481,20961920,,POINT (-6.8652481 33.9714176)
33.9833823,-6.8550225,20961931,,POINT (-6.8550225 33.9833823)
33.9845405,-6.853905,20961933,,POINT (-6.853905 33.9845405)
33.9852352,-6.853231,20961934,,POINT (-6.853231 33.9852352)
33.9858205,-6.8525693,20961937,,POINT (-6.8525693 33.9858205)
33.996052,-6.8424942,20961964,,POINT (-6.8424942 33.996052)
33.9932565,-6.8409379,20961967,,POINT (-6.8409379 33.9932565)
33.9988754,-6.8441164,20961978,,POINT (-6.8441164 33.9988754)
33.9707264,-6.8816639,20962026,,POINT (-6.8816639 33.9707264)
33.9709282,-6.8814915,20962027,,POINT (-6.8814915 33.9709282)
33.9719581,-6.880652,20962028,,POINT (-6.880652 33.9719581)
33.9723535,-6.8803556,20962029,,POINT (-6.8803556 33.9723535)
33.9867446,-6.8692406,20962037,,POINT (-6.8692406 33.9867446)
33.9900004,-6.8668158,20962038,,POINT (-6.8668158 33.9900004)
33.995957,-6.8625391,20962040,,POINT (-6.8625391 33.995957)
34.0081936,-6.8543609,20962049,,POINT (-6.8543609 34.0081936)
34.0088306,-6.8537935,20962050,,POINT (-6.8537935 34.0088306)
33.9449331,-6.8740645,20962570,,POINT (-6.8740645 33.9449331)
33.9445261,-6.8744868,20962571,,POINT (-6.8744868 33.9445261)
33.9474702,-6.8709491,20962585,,POINT (-6.8709491 33.9474702)
34.0027754,-6.847539,20962594,,POINT (-6.847539 34.0027754)
33.9931251,-6.8464257,20962641,,POINT (-6.8464257 33.9931251)
34.0060987,-6.8530058,20962660,,POINT (-6.8530058 34.0060987)
34.0081087,-6.8517255,20962664,,POINT (-6.8517255 34.0081087)
33.9936017,-6.8274741,20964946,,POINT (-6.8274741 33.9936017)
33.9733978,-6.8298195,20964968,traffic_signals,POINT (-6.8298195 33.9733978)
33.9992238,-6.8439767,20966431,,POINT (-6.8439767 33.9992238)
33.9582855,-6.8703498,20992643,,POINT (-6.8703498 33.9582855)
33.9533903,-6.8641363,20992648,,POINT (-6.8641363 33.9533903)
33.9509851,-6.8611832,20992650,,POINT (-6.8611832 33.9509851)
34.0019976,-6.8456224,20992654,,POINT (-6.8456224 34.0019976)
34.0032206,-6.8462124,20992655,,POINT (-6.8462124 34.0032206)
33.9893527,-6.8278057,20995412,,POINT (-6.8278057 33.9893527)
33.9885902,-6.8275897,20995414,,POINT (-6.8275897 33.9885902)
33.985816,-6.8275081,20995419,,POINT (-6.8275081 33.985816)
33.972145,-6.8244571,20995435,,POINT (-6.8244571 33.972145)
33.9989601,-6.8477467,20995441,,POINT (-6.8477467 33.9989601)
34.0029673,-6.8469338,20995443,,POINT (-6.8469338 34.0029673)
34.0021399,-6.8493203,20995448,,POINT (-6.8493203 34.0021399)
34.0046931,-6.8477923,20995543,,POINT (-6.8477923 34.0046931)
34.0042636,-6.8482677,20995544,,POINT (-6.8482677 34.0042636)
33.9923021,-6.839633,20995545,,POINT (-6.839633 33.9923021)
33.9855314,-6.8471834,20995559,,POINT (-6.8471834 33.9855314)
33.9849131,-6.8478835,20995562,,POINT (-6.8478835 33.9849131)
33.9380951,-6.811097,20995602,,POINT (-6.811097 33.9380951)
33.9360534,-6.8104425,20995605,,POINT (-6.8104425 33.9360534)
33.9923664,-6.8393332,20996870,,POINT (-6.8393332 33.9923664)
33.9725659,-6.8431199,20997142,,POINT (-6.8431199 33.9725659)
33.9832117,-6.8269663,20997165,traffic_signals,POINT (-6.8269663 33.9832117)
34.0060741,-6.8264853,20997188,,POINT (-6.8264853 34.0060741)
34.0097887,-6.822149,20997196,,POINT (-6.822149 34.0097887)
34.0109499,-6.8212129,20997197,,POINT (-6.8212129 34.0109499)
34.0119687,-6.8203332,20997199,,POINT (-6.8203332 34.0119687)
34.0131493,-6.8197981,20997200,,POINT (-6.8197981 34.0131493)
34.0134306,-6.8197176,20997201,,POINT (-6.8197176 34.0134306)
34.014391,-6.8197109,20997202,,POINT (-6.8197109 34.014391)
34.0150897,-6.8197699,20997203,,POINT (-6.8197699 34.0150897)
34.0154827,-6.820132,20997204,,POINT (-6.820132 34.0154827)
34.0161819,-6.821335,20997207,,POINT (-6.821335 34.0161819)
34.0171705,-6.8238015,20997214,,POINT (-6.8238015 34.0171705)
34.0173281,-6.823778,20997215,,POINT (-6.823778 34.0173281)
34.0174415,-6.8235708,20997217,,POINT (-6.8235708 34.0174415)
34.0195247,-6.8196771,20997232,,POINT (-6.8196771 34.0195247)
34.0194916,-6.8185347,20997238,,POINT (-6.8185347 34.0194916)
34.0182667,-6.8179587,20997244,,POINT (-6.8179587 34.0182667)
