u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,bridge,width,access,tunnel,ref
247287658,497353745,0,11490990,True,3,Lungotevere Aventino,primary,50,168.934,"LINESTRING (12.4764057 41.8833382, 12.4777572 41.8844765)",,,,,
247287659,924684060,0,11490990,True,3,Lungotevere Aventino,primary,50,42.398,"LINESTRING (12.4786857 41.8852149, 12.479016 41.8855063)",,,,,
247287660,247287661,0,11490990,True,3,Lungotevere Aventino,primary,50,73.358,"LINESTRING (12.4792694 41.8857929, 12.4797551 41.8863447)",,,,,
247287661,924684057,0,121996219,True,3,Lungotevere Aventino,primary,50,31.854,"LINESTRING (12.4797551 41.8863447, 12.4799259 41.8866014)",,,,,
247287662,6875008806,0,121996219,True,3,Lungotevere Aventino,primary,50,7.219,"LINESTRING (12.480262 41.8873314, 12.4802841 41.8873942)",,,,,
301673748,2746637417,0,120514954,False,4,Via Tuscolana,secondary,50,6.173,"LINESTRING (12.5260149 41.8766453, 12.5260681 41.8766064)",,,,,
301674275,801182863,0,65755038,False,4,Via Tuscolana,secondary,50,49.708,"LINESTRING (12.5275969 41.8755201, 12.5271591 41.875826)",,,,,
301674275,302177708,0,108734533,False,4,Via Tuscolana,secondary,50,18.564,"LINESTRING (12.5275969 41.8755201, 12.5277617 41.8754069)",,,,,
301674916,302177708,0,108734540,False,4,Via Tuscolana,secondary,50,27.374,"LINESTRING (12.5280084 41.875243, 12.5277617 41.8754069)",,,,,
301674916,1546283183,0,108734542,False,4,Via Tuscolana,secondary,50,8.341,"LINESTRING (12.5280084 41.875243, 12.5280819 41.8751917)",,,,,
301675840,302177698,0,100135478,False,4,Via Tuscolana,secondary,50,73.964,"LINESTRING (12.5292469 41.8743928, 12.5285856 41.87484)",,,,,
301675840,301680969,0,185334771,False,4,Via Tuscolana,secondary,50,35.949,"LINESTRING (12.5292469 41.8743928, 12.5295714 41.874178)",,,,,
301680969,301675840,0,185334771,False,4,Via Tuscolana,secondary,50,35.949,"LINESTRING (12.5295714 41.874178, 12.5292469 41.8743928)",,,,,
302177698,301675840,0,100135478,False,4,Via Tuscolana,secondary,50,73.964,"LINESTRING (12.5285856 41.87484, 12.5292469 41.8743928)",,,,,
302177698,5834922176,0,108734542,False,4,Via Tuscolana,secondary,50,11.95,"LINESTRING (12.5285856 41.87484, 12.5284803 41.8749135)",,,,,
302177708,301674275,0,108734533,False,4,Via Tuscolana,secondary,50,18.564,"LINESTRING (12.5277617 41.8754069, 12.5275969 41.8755201)",,,,,
302177708,301674916,0,108734540,False,4,Via Tuscolana,secondary,50,27.374,"LINESTRING (12.5277617 41.8754069, 12.5280084 41.875243)",,,,,
302178164,1275173424,0,120514954,False,4,Via Tuscolana,secondary,50,49.461,"LINESTRING (12.5265474 41.8762542, 12.5261224 41.8765668)",,,,,
462618016,247287658,0,200237030,True,3,Lungotevere Aventino,secondary,50,71.62,"LINESTRING (12.4757915 41.8828846, 12.4764057 41.8833382)",,,,,
497353741,6875008804,0,121996219,True,3,Lungotevere Aventino,primary,50,24.294,"LINESTRING (12.4800965 41.8869084, 12.480182 41.8871174)",,,,,
497353745,247287659,0,11490990,True,3,Lungotevere Aventino,primary,50,112.47,"LINESTRING (12.4777572 41.8844765, 12.4786857 41.8852149)",,,,,
667984647,667984646,0,52582206,False,,,footway,,7.772,"LINESTRING (12.4803713 41.8877526, 12.4804642 41.8877425)",,,,,
667984647,667984645,0,52582206,False,,,footway,,12.029,"LINESTRING (12.4803713 41.8877526, 12.4802275 41.8877682)",,,,,
801182863,301674275,0,65755038,False,4,Via Tuscolana,secondary,50,49.708,"LINESTRING (12.5271591 41.875826, 12.5275969 41.8755201)",,,,,
801182863,7117578572,0,112096465,False,4,Via Tuscolana,secondary,50,36.7,"LINESTRING (12.5271591 41.875826, 12.5268358 41.8760518)",,,,,
878676158,667984647,0,121996219,True,3,Lungotevere Aventino,primary,50,18.065,"LINESTRING (12.4803421 41.8875916, 12.4803713 41.8877526)",,,,,
924684057,497353741,0,121996219,True,3,Lungotevere Aventino,primary,50,36.943,"LINESTRING (12.4799259 41.8866014, 12.4800965 41.8869084)",,,,,
924684060,247287660,0,11490990,True,3,Lungotevere Aventino,primary,50,38.153,"LINESTRING (12.479016 41.8855063, 12.4792694 41.8857929)",,,,,
1275173424,302178164,0,120514954,False,4,Via Tuscolana,secondary,50,49.461,"LINESTRING (12.5261224 41.8765668, 12.5265474 41.8762542)",,,,,
1275173424,1817786073,0,120514954,False,4,Via Tuscolana,secondary,50,3.606,"LINESTRING (12.5261224 41.8765668, 12.5260913 41.8765895)",,,,,
1275173924,6547062098,0,112096465,False,4,Via Tuscolana,secondary,50,12.92,"LINESTRING (12.5265716 41.8762364, 12.5266854 41.8761569)",,,,,
1546283183,5834922176,0,108734542,False,4,Via Tuscolana,secondary,50,45.222,"LINESTRING (12.5280819 41.8751917, 12.5284803 41.8749135)",,,,,
1546283183,301674916,0,108734542,False,4,Via Tuscolana,secondary,50,8.341,"LINESTRING (12.5280819 41.8751917, 12.5280084 41.875243)",,,,,
1817786073,1275173424,0,120514954,False,4,Via Tuscolana,secondary,50,3.606,"LINESTRING (12.5260913 41.8765895, 12.5261224 41.8765668)",,,,,
1817786073,2746637417,0,120514954,False,4,Via Tuscolana,secondary,50,2.687,"LINESTRING (12.5260913 41.8765895, 12.5260681 41.8766064)",,,,,
2746637417,1817786073,0,120514954,False,4,Via Tuscolana,secondary,50,2.687,"LINESTRING (12.5260681 41.8766064, 12.5260913 41.8765895)",,,,,
2746637417,301673748,0,120514954,False,4,Via Tuscolana,secondary,50,6.173,"LINESTRING (12.5260681 41.8766064, 12.5260149 41.8766453)",,,,,
5834922176,302177698,0,108734542,False,4,Via Tuscolana,secondary,50,11.95,"LINESTRING (12.5284803 41.8749135, 12.5285856 41.87484)",,,,,
5834922176,1546283183,0,108734542,False,4,Via Tuscolana,secondary,50,45.222,"LINESTRING (12.5284803 41.8749135, 12.5280819 41.8751917)",,,,,
6547062098,7117578572,0,112096465,False,4,Via Tuscolana,secondary,50,17.077,"LINESTRING (12.5266854 41.8761569, 12.5268358 41.8760518)",,,,,
6547062098,1275173924,0,112096465,False,4,Via Tuscolana,secondary,50,12.92,"LINESTRING (12.5266854 41.8761569, 12.5265716 41.8762364)",,,,,
6875008804,6875008807,0,121996219,True,3,Lungotevere Aventino,primary,50,12.259,"LINESTRING (12.480182 41.8871174, 12.4802227 41.8872234)",,,,,
6875008805,878676158,0,121996219,True,3,Lungotevere Aventino,primary,50,15.064,"LINESTRING (12.4803048 41.887459, 12.4803421 41.8875916)",,,,,
6875008806,6875008805,0,121996219,True,3,Lungotevere Aventino,primary,50,7.406,"LINESTRING (12.4802841 41.8873942, 12.4803048 41.887459)",,,,,
6875008807,247287662,0,121996219,True,3,Lungotevere Aventino,primary,50,12.442,"LINESTRING (12.4802227 41.8872234, 12.480262 41.8873314)",,,,,
7117578572,801182863,0,112096465,False,4,Via Tuscolana,secondary,50,36.7,"LINESTRING (12.5268358 41.8760518, 12.5271591 41.875826)",,,,,
7117578572,6547062098,0,112096465,False,4,Via Tuscolana,secondary,50,17.077,"LINESTRING (12.5268358 41.8760518, 12.5266854 41.8761569)",,,,,
