u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,service,ref,bridge,access,width,tunnel,junction,area
21638011,370042353,0,5190200,2,Lungomare Duca degli Abruzzi,tertiary,30,False,136.743,"LINESTRING (12.264032 41.7337426, 12.2625256 41.7342412)",,,,,,,,
25388123,1180803327,0,4245352,4,Via dei Fori Imperiali,service,30,False,8.356,"LINESTRING (12.4873686 41.8931103, 12.4872859 41.8931534)",,,,,,,,
25388123,366569122,0,102290908,4,Via dei Fori Imperiali,service,30,False,13.139,"LINESTRING (12.4873686 41.8931103, 12.4874917 41.8930357)",,,,,,,,
25388124,356932030,0,203150441,6,Via dei Fori Imperiali,service,30,False,9.493,"LINESTRING (12.484127 41.8949372, 12.4840385 41.8949915)",,,,,,,,
25388124,266321663,0,203150441,6,Via dei Fori Imperiali,service,30,False,21.107,"LINESTRING (12.484127 41.8949372, 12.4843323 41.8948246)",,,,,,,,
25388406,1180803318,0,4245352,4,Via dei Fori Imperiali,service,30,False,37.235,"LINESTRING (12.4867867 41.8934422, 12.4871474 41.8932421)",,,,,,,,
25388406,1180803314,0,102290910,2,Via dei Fori Imperiali,service,30,True,9.7,"LINESTRING (12.4867867 41.8934422, 12.4867931 41.8933551)",,,,,,,,
25388406,385767730,0,102290915,6,Via dei Fori Imperiali,service,30,False,53.357,"LINESTRING (12.4867867 41.8934422, 12.4862721 41.8937312)",,,,,,,,
25388429,1774196314,0,203150441,6,Via dei Fori Imperiali,service,30,False,22.875,"LINESTRING (12.4838895 41.8951473, 12.4837173 41.8953082)",,,,,,,,
25388429,364857902,0,203150441,6,Via dei Fori Imperiali,service,30,False,14.631,"LINESTRING (12.4838895 41.8951473, 12.483978 41.8950334)",,,,,,,,
25418922,2141800773,0,23328037,2,Via di Santa Maria Maggiore,tertiary,30,False,21.472,"LINESTRING (12.4960073 41.8973743, 12.4957563 41.8973255)",,,,,,,,
25419073,364857869,0,22979103,2,Via del Corso,unclassified,30,False,9.905,"LINESTRING (12.4822238 41.8966841, 12.4821556 41.8967573)",,,,,,,,
25419080,1249896455,0,108565606,2,Via del Corso,unclassified,30,False,40.882,"LINESTRING (12.4812471 41.8989704, 12.4811137 41.8993244)",,,,,,,,
25419080,1257320703,0,108565606,2,Via del Corso,unclassified,30,False,4.816,"LINESTRING (12.4812471 41.8989704, 12.4812642 41.898929)",,,,,,,,
32630949,7807845514,0,203150441,6,Via dei Fori Imperiali,service,30,False,10.727,"LINESTRING (12.4835075 41.8954624, 12.4836053 41.8953991)",,,,,,,,
32633041,1397229759,0,28867489,1,Via delle Botteghe Oscure,tertiary,30,True,7.498,"LINESTRING (12.477426 41.8948629, 12.4775163 41.8948683)",,,,,,,,
32641659,2026351155,0,192078287,3,Viale San Paolo del Brasile,service,30,True,85.972,"LINESTRING (12.4859995 41.9116435, 12.4866631 41.9110486)",,,,,,,,
32641661,3832352342,0,25694084,2,Viale Fiorello la Guardia,service,30,False,25.054,"LINESTRING (12.4831333 41.9131897, 12.4833947 41.913076)",,,,,,,,
32641661,3152582661,0,25694084,2,Viale Fiorello la Guardia,service,30,False,19.388,"LINESTRING (12.4831333 41.9131897, 12.4829291 41.9132752)",,,,,,,,
32641662,819036585,0,25694084,2,Viale Fiorello la Guardia,service,30,False,21.719,"LINESTRING (12.482304 41.9134493, 12.4825559 41.9133944)",,,,,,,,
32641662,32641663,0,25694084,2,Viale Fiorello la Guardia,service,30,False,83.399,"LINESTRING (12.482304 41.9134493, 12.4813445 41.9136789)",,,,,,,,
32641663,32641662,0,25694084,2,Viale Fiorello la Guardia,service,30,False,83.399,"LINESTRING (12.4813445 41.9136789, 12.482304 41.9134493)",,,,,,,,
32641663,1424138531,0,25694084,2,Viale Fiorello la Guardia,service,30,False,6.764,"LINESTRING (12.4813445 41.9136789, 12.4812673 41.9136989)",,,,,,,,
32641664,2026432204,0,25694084,2,Viale Fiorello la Guardia,service,30,False,13.666,"LINESTRING (12.4803127 41.9137646, 12.4804775 41.9137727)",,,,,,,,
32641664,1191808033,0,25694088,,Piazzale del Fiocco,service,30,False,19.404,"LINESTRING (12.4803127 41.9137646, 12.4802988 41.9139388)",,,,,,,,
32641664,1791368214,0,122681315,2,Viale Giorgio Washington,service,30,False,11.286,"LINESTRING (12.4803127 41.9137646, 12.4801816 41.9137366)",,,,,,,,
32641665,1791368214,0,122681315,2,Viale Giorgio Washington,service,30,False,13.614,"LINESTRING (12.4800446 41.9136688, 12.4801816 41.9137366)",,,,,,,,
32641665,32641666,0,122681315,2,Viale Giorgio Washington,service,30,False,50.67,"LINESTRING (12.4800446 41.9136688, 12.4795229 41.9134302)",,,,,,,,
32641666,32641665,0,122681315,2,Viale Giorgio Washington,service,30,False,50.67,"LINESTRING (12.4795229 41.9134302, 12.4800446 41.9136688)",,,,,,,,
32641666,1420156840,0,122681315,2,Viale Giorgio Washington,service,30,False,56.512,"LINESTRING (12.4795229 41.9134302, 12.4789642 41.9131379)",,,,,,,,
32641667,1396502529,0,4951467,2,Viale Giorgio Washington,service,30,False,21.125,"LINESTRING (12.4767555 41.9120789, 12.4769772 41.9121731)",,,,,,,,
32641668,1420156836,0,122681315,2,Viale Giorgio Washington,service,30,False,21.933,"LINESTRING (12.4778452 41.9126029, 12.4780689 41.9127087)",,,,,,,,
32641668,257908518,0,122681315,2,Viale Giorgio Washington,service,30,False,52.255,"LINESTRING (12.4778452 41.9126029, 12.4773165 41.9123459)",,,,,,,,
32649899,305294852,0,190830802,,Vicolo Moroni,service,30,False,30.25,"LINESTRING (12.468657 41.8921554, 12.4683563 41.8920008)",alley,,,,,,,
32649899,7799198256,0,190830802,,Vicolo Moroni,service,30,False,20.445,"LINESTRING (12.468657 41.8921554, 12.4688883 41.8922199)",alley,,,,,,,
32649901,32649902,0,28214069,1,Via di Santa Dorotea,residential,30,True,39.131,"LINESTRING (12.4682193 41.8920152, 12.4677471 41.8919983)",,,,,,,,
32649902,3739059093,0,22951592,1,Via della Scala,residential,30,True,80.86,"LINESTRING (12.4677471 41.8919983, 12.4680897 41.8913173)",,,,,,,,
32649902,305290081,0,27350842,2,Via Garibaldi,residential,30,False,23.708,"LINESTRING (12.4677471 41.8919983, 12.4675024 41.8918875)",,,,,,,,
32649902,2141616620,0,204149302,1,Via di Porta Settimiana,residential,30,True,24.398,"LINESTRING (12.4677471 41.8919983, 12.4676289 41.8921993)",,,,,,,,
32649904,305291994,0,33654269,1,Via della Scala,residential,30,True,77.628,"LINESTRING (12.4682913 41.8910001, 12.4687216 41.8903798)",,,,,,,,
32649904,3739059087,0,297113979,1,Vicolo della Scala,residential,30,False,12.258,"LINESTRING (12.4682913 41.8910001, 12.4681695 41.8909374)",,,,,,,,
32649905,32649906,0,4951284,2,Piazza di Sant'Egidio,residential,30,False,52.244,"LINESTRING (12.4689986 41.8901893, 12.4691963 41.8897431)",,,,,,,,
32649905,2737611220,0,33654268,2,Piazza di Sant'Egidio,residential,30,False,3.96,"LINESTRING (12.4689986 41.8901893, 12.4690343 41.890213)",,,,,,,,
