u,v,key,osmid,bridge,oneway,name,highway,length,geometry,lanes,maxspeed,access,width
386226,6310096608,0,23393704,yes,True,Rosas,unclassified,63.271,"LINESTRING (-70.6598841 -33.4358919, -70.66056260000001 -33.4359483)",,,,
386236,5873611166,0,519185503,,True,Dieciocho,tertiary,18.328,"LINESTRING (-70.6584527 -33.4460314, -70.65850519999999 -33.4458725)",2,,,
386248,6285254259,0,92361438,,True,Curicó,primary,9.786,"LINESTRING (-70.63692829999999 -33.4445652, -70.6370232 -33.4446036)",4,,,
386248,6083958296,0,448515627,,False,Avenida Portugal,secondary,97.466,"LINESTRING (-70.63692829999999 -33.4445652, -70.6373947 -33.4437798)",4,,,
386248,223862191,0,448515627,,False,Avenida Portugal,secondary,77.335,"LINESTRING (-70.63692829999999 -33.4445652, -70.6365639 -33.4451907)",4,,,
386284,4519515711,0,447593876,,True,Teatinos,secondary,60.757,"LINESTRING (-70.65537569999999 -33.4389078, -70.6553049 -33.439451)",2,,,
386291,285738744,0,679129705,,True,Esmeralda,unclassified,44.946,"LINESTRING (-70.64893069999999 -33.4346183, -70.6494148 -33.434605)",2,,,
386301,605183940,0,7981160,,True,Rosas,residential,44.241,"LINESTRING (-70.65297219999999 -33.4352154, -70.653434 -33.4353143)",,,,
386310,7570208834,0,7981160,,True,Rosas,residential,11.098,"LINESTRING (-70.65160950000001 -33.4350397, -70.6517277 -33.4350549)",,,,
386323,386291,0,679129705,,True,Esmeralda,unclassified,130.941,"LINESTRING (-70.6475197 -33.4346317, -70.64893069999999 -33.4346183)",2,,,
386326,3458712206,0,448373171,,True,Teatinos,secondary,130.759,"LINESTRING (-70.6559374 -33.4344265, -70.65582070000001 -33.4355984)",2,,,
386345,7631077947,0,447593876,,True,Teatinos,secondary,7.63,"LINESTRING (-70.6551955 -33.4400617, -70.6551807 -33.4401292)",2,,,
386348,386284,0,448373171,,True,Teatinos,secondary,122.551,"LINESTRING (-70.65552460000001 -33.4378127, -70.65537569999999 -33.4389078)",2,,,
386413,605183943,0,679131338,,True,Rosas,unclassified,62.278,"LINESTRING (-70.6572024 -33.4357152, -70.6578708 -33.4357659)",1,,,
386414,386226,0,33648939,,True,Mario Kreutzberger,unclassified,120.877,"LINESTRING (-70.6585843 -33.43582, -70.6598841 -33.4358919)",1,,,
388724,5726852202,0,519185503,,True,Dieciocho,tertiary,103.462,"LINESTRING (-70.65794270000001 -33.4483334, -70.6581194 -33.4474147)",2,,,
388726,4924753746,0,92361438,,True,Curicó,primary,58.733,"LINESTRING (-70.6370478 -33.4446155, -70.6376635 -33.4447382)",4,,,
388727,252524631,0,92361438,,True,Curicó,primary,45.439,"LINESTRING (-70.64070479999999 -33.4454092, -70.6411212 -33.4456243)",4,,,
13877045,141061165,0,208159321,,True,Gorbea,secondary,110.827,"LINESTRING (-70.6605459 -33.4519295, -70.6617086 -33.4521582)",2,,,
13879272,252524625,0,23404793,,True,Eleuterio Ramírez,tertiary,207.1,"LINESTRING (-70.644876 -33.4480743, -70.6470427 -33.4485221)",2,,,
13879281,1262408087,0,293727760,,True,Arturo Prat,tertiary,9.685,"LINESTRING (-70.6472694 -33.4592977, -70.6472572 -33.4593842)",,60,,
13884916,4399676362,0,32840233,,True,,secondary,2.689,"LINESTRING (-70.6593977 -33.4526146, -70.6594262 -33.4526102)",2,,,
13884917,369953000,0,32840233,,True,,secondary,5.609,"LINESTRING (-70.6595868 -33.4525507, -70.65963189999999 -33.4525171)",2,,,
13884918,4399676359,0,32840233,,True,,secondary,5.675,"LINESTRING (-70.6597209 -33.4524215, -70.6597453 -33.4523747)",2,,,
14528418,906408622,0,208159321,,True,Gorbea,secondary,144.347,"LINESTRING (-70.6692499 -33.4538087, -70.67075850000001 -33.4541264)",2,,,
14760674,13877045,0,208159321,,True,Gorbea,secondary,46.441,"LINESTRING (-70.66005869999999 -33.4518336, -70.6605459 -33.4519295)",2,,,
14760683,6809887195,0,447781291,,True,Avenida Brasil,secondary,8.242,"LINESTRING (-70.6649839 -33.4421651, -70.66498900000001 -33.4420911)",2,,,
15092710,4455574694,0,596638044,,True,Avenida Almirante Blanco Encalada,primary,183.091,"LINESTRING (-70.66835140000001 -33.4576606, -70.670282 -33.4580025)",3,60,,
15092711,15092710,0,596638044,,True,Avenida Almirante Blanco Encalada,primary,171.746,"LINESTRING (-70.6665406 -33.4573392, -70.66835140000001 -33.4576606)",3,60,,
15092712,3301526707,0,106288154,,True,Avenida Almirante Blanco Encalada,primary,35.45,"LINESTRING (-70.66600889999999 -33.4572478, -70.66638380000001 -33.4573095)",3,60,,
15379894,609297818,0,208159321,,True,Gorbea,secondary,63.449,"LINESTRING (-70.67241079999999 -33.454481, -70.6730767 -33.4546111)",2,,,
15754775,5726852197,0,366862512,,True,Marín,tertiary,123.733,"LINESTRING (-70.64233609999999 -33.4475484, -70.6436374 -33.4477919)",2,,,
15754778,7622691301,0,92361438,,True,Curicó,primary,14.639,"LINESTRING (-70.6426357 -33.4461641, -70.64279209999999 -33.4461467)",4,,,
130018934,6285254258,0,92361438,,True,Curicó,primary,3.209,"LINESTRING (-70.6445492 -33.4461801, -70.6445837 -33.4461781)",4,,,
130116982,4392826080,0,92361438,,True,Curicó,primary,5.168,"LINESTRING (-70.64040249999999 -33.4452892, -70.6404553 -33.445304)",4,,,
