u,v,key,osmid,oneway,lanes,name,highway,length,geometry,maxspeed,access,bridge,width
386248,7622691300,0,92361438,True,4,Curicó,primary,559.273,"LINESTRING (-70.63692829999999 -33.4445652, -70.6370232 -33.4446036, -70.6370478 -33.4446155, -70.6376635 -33.4447382, -70.63904700000001 -33.4450173, -70.6394227 -33.4450928, -70.64030529999999 -33.4452702, -70.64040249999999 -33.4452892, -70.6404553 -33.445304, -70.6405331 -33.4453298, -70.6406176 -33.4453645, -70.64070479999999 -33.4454092, -70.6411212 -33.4456243, -70.6415075 -33.4458363, -70.6416409 -33.4458949, -70.6418395 -33.4459754, -70.6419885 -33.4460287, -70.642016 -33.4460355, -70.6421488 -33.4460681, -70.6423369 -33.4461053, -70.6425916 -33.4461538)",,,,
386248,5664289140,0,448515627,False,4,Avenida Portugal,secondary,588.901,"LINESTRING (-70.63692829999999 -33.4445652, -70.6373947 -33.4437798, -70.6375407 -33.4435479, -70.6377165 -33.4431573, -70.6378211 -33.4430267, -70.63790830000001 -33.4429241, -70.6388962 -33.4419105, -70.6389465 -33.441858, -70.6390141 -33.4417899, -70.6398403 -33.4409108, -70.6403138 -33.4403789, -70.6405518 -33.440295)",,,,
386248,130334653,0,448515627,False,4,Avenida Portugal,secondary,196.379,"LINESTRING (-70.63692829999999 -33.4445652, -70.6365639 -33.4451907, -70.63599139999999 -33.4461488)",,,,
130334544,386248,0,92361438,True,4,Curicó,primary,340.813,"LINESTRING (-70.6335661 -33.4433323, -70.63435459999999 -33.4436064, -70.6354947 -33.4440362, -70.6357785 -33.444128, -70.63605560000001 -33.4442306, -70.63692829999999 -33.4445652)",,,,
130334653,7086673173,0,366862512,True,2,Marín,tertiary,606.8340000000001,"LINESTRING (-70.63599139999999 -33.4461488, -70.6374837 -33.4464772, -70.6380923 -33.4466368, -70.6384858 -33.4467284, -70.6385859 -33.4467509, -70.6398003 -33.4470318, -70.6399869 -33.4470739, -70.64012870000001 -33.4471067, -70.6405481 -33.4472035, -70.64106700000001 -33.4473159, -70.64231169999999 -33.447547)",,,,
130334653,388715,0,41764798,False,4,Avenida Portugal,secondary,236.66899999999998,"LINESTRING (-70.63599139999999 -33.4461488, -70.63559650000001 -33.4472039, -70.63540450000001 -33.447912, -70.6353257 -33.4482017)",,,,
130334653,386248,0,448515627,False,4,Avenida Portugal,secondary,196.379,"LINESTRING (-70.63599139999999 -33.4461488, -70.6365639 -33.4451907, -70.63692829999999 -33.4445652)",,,,
227925875,253281806,0,92360510,True,2,Avenida Brasil,secondary,179.126,"LINESTRING (-70.66492239999999 -33.4347701, -70.6648448 -33.4360532, -70.664793 -33.4360823, -70.66475010000001 -33.4361067, -70.6647151 -33.4361302, -70.6646841 -33.4361509, -70.6646631 -33.4361658, -70.6646375 -33.4361866, -70.6646049 -33.4362128, -70.6645568 -33.4362696)",,,,
252524630,253348600,0,"[23400632, 477783978]",True,2,"['Rosales', 'Eleuterio Ramírez']",tertiary,779.8420000000001,"LINESTRING (-70.6493768 -33.4490102, -70.6507878 -33.4493522, -70.6514765 -33.4495139, -70.65190010000001 -33.4496146, -70.65213730000001 -33.4496735, -70.65230510000001 -33.4497135, -70.6525563 -33.4497783, -70.65324099999999 -33.4499577, -70.6546397 -33.4503462, -70.6564997 -33.4506268, -70.65662570000001 -33.4506207, -70.656909 -33.4505871, -70.65700560000001 -33.4505752, -70.657098 -33.4505706, -70.6571794 -33.450573, -70.65725519999999 -33.450584, -70.6575041 -33.4506189)",,,,
252524630,253351461,0,518091963,True,2,Arturo Prat,residential,282.381,"LINESTRING (-70.6493768 -33.4490102, -70.6491146 -33.4502614, -70.6488648 -33.4515135)",,,,
253281806,4978288358,0,92360510,True,2,Avenida Brasil,secondary,398.398,"LINESTRING (-70.6645568 -33.4362696, -70.6645461 -33.4363407, -70.66453799999999 -33.4364264, -70.664402 -33.43761, -70.66440420000001 -33.437647, -70.66442549999999 -33.4377427, -70.66461580000001 -33.4387707, -70.6647344 -33.4393304, -70.6648297 -33.4397883, -70.6648356 -33.4398164)",,,,
253281806,254343740,0,"[262442723, 238513077]",True,,Rosas,residential,572.2679999999999,"LINESTRING (-70.6645568 -33.4362696, -70.6648692 -33.4363108, -70.666214 -33.4364344, -70.66720599999999 -33.4365157, -70.6686972 -33.4366456, -70.6688248 -33.4366544, -70.6698762 -33.4367265, -70.6706925 -33.4367815)",,,,
253348600,5292080454,0,"[482134480, 519185503]",True,2,Dieciocho,tertiary,565.013,"LINESTRING (-70.6575041 -33.4506189, -70.6576472 -33.4498624, -70.6577431 -33.4493169, -70.65794270000001 -33.4483334, -70.6581194 -33.4474147, -70.65815739999999 -33.4472171, -70.65820189999999 -33.4470204, -70.6582806 -33.4466897, -70.6584264 -33.4460939, -70.6584527 -33.4460314, -70.65850519999999 -33.4458725, -70.6585924 -33.4456234)",,,,
253348601,253354815,0,482780287,True,2,Dieciocho,secondary,29.71,"LINESTRING (-70.6569271 -33.453202, -70.65695150000001 -33.4530909, -70.65698620000001 -33.4529394)",60,,,
253348601,253351461,0,"[156898441, 649268044, 338566197, 627916822, 108852603]",True,3,Santa Isabel,secondary,773.2810000000001,"LINESTRING (-70.6569271 -33.453202, -70.6559219 -33.4531203, -70.65559399999999 -33.4530884, -70.6553838 -33.4530661, -70.6552425 -33.4530494, -70.655113 -33.4530318, -70.6547321 -33.4529633, -70.6542695 -33.4528587, -70.6535619 -33.4526828, -70.652844 -33.4525132, -70.6515888 -33.4521947, -70.65147210000001 -33.4521659, -70.6509391 -33.4520323, -70.6505039 -33.4519213, -70.65039760000001 -33.4518944, -70.6502763 -33.4518663, -70.64986589999999 -33.4517659, -70.6488648 -33.4515135)",60,,,
253351461,1070152542,0,"[653482738, 518091963]",True,2,Arturo Prat,residential,861.722,"LINESTRING (-70.6488648 -33.4515135, -70.648667 -33.4524665, -70.64835549999999 -33.4539739, -70.6483432 -33.4540641, -70.64811210000001 -33.4552275, -70.6478144 -33.4566279, -70.6475717 -33.4577804, -70.6473149 -33.4590661, -70.64729749999999 -33.4591518)",60,,,
253351461,7086673171,0,"[242669435, 448217172, 448217173, 627916822]",True,3,Santa Isabel,secondary,705.183,"LINESTRING (-70.6488648 -33.4515135, -70.64810629999999 -33.4512839, -70.647468 -33.4510823, -70.6468765 -33.4509141, -70.6467257 -33.450885, -70.64527940000001 -33.4506545, -70.6444381 -33.4505204, -70.6439505 -33.4504505, -70.64298839999999 -33.4503022, -70.6415889 -33.4498818, -70.64154859999999 -33.4498712)",,,,
253354815,13884915,0,"[8000329, 447770575]",True,,Santa Isabel,secondary,152.29999999999998,"LINESTRING (-70.65698620000001 -33.4529394, -70.65702589999999 -33.4528799, -70.65706040000001 -33.4528505, -70.6570986 -33.4528186, -70.6571818 -33.452752, -70.6573784 -33.4526146, -70.65745699999999 -33.4525621, -70.657537 -33.4525179, -70.6576034 -33.4524882, -70.6576702 -33.452464, -70.65774399999999 -33.452437, -70.657803 -33.4524193, -70.6578895 -33.452402, -70.6579327 -33.4523966, -70.65798890000001 -33.4523924, -70.6580503 -33.4523909, -70.65810140000001 -33.4523934, -70.6581851 -33.4523992, -70.6582607 -33.4524085, -70.65831780000001 -33.4524184, -70.65839099999999 -33.4524366)",,,,
253354815,253348600,0,769739557,True,2,Dieciocho,tertiary,262.465,"LINESTRING (-70.65698620000001 -33.4529394, -70.6570478 -33.4526704, -70.6575041 -33.4506189)",60,,,
254343740,7787943387,0,223877454,True,2,General Bulnes,tertiary,318.395,"LINESTRING (-70.6706925 -33.4367815, -70.6709455 -33.4349731, -70.67108380000001 -33.4339368)",,,,
