u,v,key,osmid,bridge,oneway,name,highway,length,geometry,lanes,maxspeed,access,width,junction,tunnel,ref
386226,6310096608,0,23393704,yes,True,Rosas,unclassified,63.271,"LINESTRING (-70.6598841 -33.4358919, -70.66056260000001 -33.4359483)",,,,,,,
386226,3577095642,0,453310653,,True,Avenida Manuel Rodríguez Norte,primary,129.165,"LINESTRING (-70.6598841 -33.4358919, -70.6600431 -33.4347379)",3,,,,,,
386236,5873611166,0,519185503,,True,Dieciocho,tertiary,18.328,"LINESTRING (-70.6584527 -33.4460314, -70.65850519999999 -33.4458725)",2,,,,,,
386236,386235,0,300267261,,True,Avenida Libertador Bernardo O'Higgins,primary,112.855,"LINESTRING (-70.6584527 -33.4460314, -70.65728470000001 -33.4457481)",4,,,,,,
386248,6285254259,0,92361438,,True,Curicó,primary,9.786,"LINESTRING (-70.63692829999999 -33.4445652, -70.6370232 -33.4446036)",4,,,,,,
386248,6083958296,0,448515627,,False,Avenida Portugal,secondary,97.466,"LINESTRING (-70.63692829999999 -33.4445652, -70.6373947 -33.4437798)",4,,,,,,
386248,223862191,0,448515627,,False,Avenida Portugal,secondary,77.335,"LINESTRING (-70.63692829999999 -33.4445652, -70.6365639 -33.4451907)",4,,,,,,
386284,4519515711,0,447593876,,True,Teatinos,secondary,60.757,"LINESTRING (-70.65537569999999 -33.4389078, -70.6553049 -33.439451)",2,,,,,,
386284,619984866,0,447593877,,True,Compañía de Jesús,tertiary,73.531,"LINESTRING (-70.65537569999999 -33.4389078, -70.6545874 -33.4388402)",1,,,,,,
386291,285738744,0,679129705,,True,Esmeralda,unclassified,44.946,"LINESTRING (-70.64893069999999 -33.4346183, -70.6494148 -33.434605)",2,,,,,,
386291,83325724,0,679129707,,True,San Antonio,secondary,146.765,"LINESTRING (-70.64893069999999 -33.4346183, -70.64872250000001 -33.4359267)",2,,,,,,
386301,605183940,0,7981160,,True,Rosas,residential,44.241,"LINESTRING (-70.65297219999999 -33.4352154, -70.653434 -33.4353143)",,,,,,,
386301,253280887,0,679129713,,True,Bandera,residential,99.378,"LINESTRING (-70.65297219999999 -33.4352154, -70.6531232 -33.4343306)",2,,,,,,
386310,7570208834,0,7981160,,True,Rosas,residential,11.098,"LINESTRING (-70.65160950000001 -33.4350397, -70.6517277 -33.4350549)",,,,,,,
386323,386291,0,679129705,,True,Esmeralda,unclassified,130.941,"LINESTRING (-70.6475197 -33.4346317, -70.64893069999999 -33.4346183)",2,,,,,,
386323,6214648424,0,679129703,,True,Enrique Mac Iver,secondary,41.326,"LINESTRING (-70.6475197 -33.4346317, -70.647628 -33.4342712)",2,,,,,,
386326,3458712206,0,448373171,,True,Teatinos,secondary,130.759,"LINESTRING (-70.6559374 -33.4344265, -70.65582070000001 -33.4355984)",2,,,,,,
386326,4452182496,0,448373174,,True,San Pablo,unclassified,95.991,"LINESTRING (-70.6559374 -33.4344265, -70.65490389999999 -33.4343896)",2,,,,,,
386344,6725270233,0,175111023,,True,Agustinas,secondary,8.327,"LINESTRING (-70.6591324 -33.4415942, -70.6590427 -33.4415919)",3,,,,,,
386345,7631077947,0,447593876,,True,Teatinos,secondary,7.63,"LINESTRING (-70.6551955 -33.4400617, -70.6551807 -33.4401292)",2,,,,,,
386345,5247229967,0,532294030,,True,Huérfanos,unclassified,47.015,"LINESTRING (-70.6551955 -33.4400617, -70.65569840000001 -33.4401133)",,,,,,,
