u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,junction,access,service
15092712,5523273652,0,8000969,2,Echaurren,residential,30,False,63.419,"LINESTRING (-70.66600889999999 -33.4572478, -70.6660502 -33.4566785)",,,
130019129,1841288591,0,518061195,2,José Victorino Lastarria,residential,30,True,14.849,"LINESTRING (-70.6411379 -33.4390202, -70.6411342 -33.4388867)",,,
130019545,130019135,0,518061195,2,José Victorino Lastarria,residential,30,True,35.995,"LINESTRING (-70.64108640000001 -33.4382161, -70.6410558 -33.4378934)",,,
141061381,609286319,0,14421616,2,Domeyko,residential,30,False,43.384,"LINESTRING (-70.66496770000001 -33.4564229, -70.66542629999999 -33.4564993)",,,
149809200,6097109338,0,399499076,2,Lord Cochrane,tertiary,30,True,31.293,"LINESTRING (-70.6540844 -33.4544336, -70.6541206 -33.4541538)",,,
253282017,265688239,0,726515491,2,Avenida Ricardo Cumming,primary,30,True,77.462,"LINESTRING (-70.66769480000001 -33.4451832, -70.6677519 -33.4444882)",,,
253282023,6809887189,0,726515491,2,Avenida Ricardo Cumming,primary,30,True,131.618,"LINESTRING (-70.66779459999999 -33.4437754, -70.6678879 -33.4425943)",,,
253282032,605144029,0,726515491,2,Avenida Ricardo Cumming,primary,30,True,91.05,"LINESTRING (-70.6675852 -33.4463578, -70.66766079999999 -33.4455414)",,,
253348617,6214699479,0,399499076,2,Lord Cochrane,tertiary,30,True,166.838,"LINESTRING (-70.65518849999999 -33.4468621, -70.65545849999999 -33.4453787)",,,
253348621,253348617,0,399499076,2,Lord Cochrane,tertiary,30,True,124.479,"LINESTRING (-70.6550144 -33.4479721, -70.65518849999999 -33.4468621)",,,
253348622,253348621,0,399499076,2,Lord Cochrane,tertiary,30,True,112.459,"LINESTRING (-70.6548597 -33.4489752, -70.6550144 -33.4479721)",,,
253348623,253348622,0,399499076,2,Lord Cochrane,tertiary,30,True,153.809,"LINESTRING (-70.6546397 -33.4503462, -70.6548597 -33.4489752)",,,
253348624,253348623,0,399499076,2,Lord Cochrane,tertiary,30,True,88.78,"LINESTRING (-70.6545053 -33.4511367, -70.6546397 -33.4503462)",,,
253348626,512785349,0,399499076,2,Lord Cochrane,tertiary,30,True,32.295,"LINESTRING (-70.6542695 -33.4528587, -70.6542974 -33.4525692)",,,
253348627,253348626,0,399499076,2,Lord Cochrane,tertiary,30,True,77.271,"LINESTRING (-70.6541907 -33.4535505, -70.6542695 -33.4528587)",,,
253348628,6040575536,0,399499076,2,Lord Cochrane,tertiary,30,True,64.611,"LINESTRING (-70.653907 -33.4559615, -70.6539748 -33.4553832)",,,
253348629,4473692856,0,399499076,2,Lord Cochrane,tertiary,30,True,96.542,"LINESTRING (-70.65370609999999 -33.4576332, -70.65379969999999 -33.4567685)",,,
253348630,253348629,0,399499076,2,Lord Cochrane,tertiary,30,True,117.211,"LINESTRING (-70.6535921 -33.458683, -70.65370609999999 -33.4576332)",,,
253348631,253348630,0,399499076,2,Lord Cochrane,tertiary,30,True,146.477,"LINESTRING (-70.6534089 -33.4599914, -70.6535921 -33.458683)",,,
