y,x,osmid,highway,ref,geometry
-33.4572478,-70.6660089,15092712,,,POINT (-70.66600889999999 -33.4572478)
-33.4390202,-70.6411379,130019129,,,POINT (-70.6411379 -33.4390202)
-33.4378934,-70.6410558,130019135,crossing,,POINT (-70.6410558 -33.4378934)
-33.4382161,-70.6410864,130019545,,,POINT (-70.64108640000001 -33.4382161)
-33.4378241,-70.644221,130334912,,,POINT (-70.644221 -33.4378241)
-33.4564229,-70.6649677,141061381,,,POINT (-70.66496770000001 -33.4564229)
-33.4544336,-70.6540844,149809200,traffic_signals,,POINT (-70.6540844 -33.4544336)
-33.4451832,-70.6676948,253282017,,,POINT (-70.66769480000001 -33.4451832)
-33.4437754,-70.6677946,253282023,traffic_signals,,POINT (-70.66779459999999 -33.4437754)
-33.4463578,-70.6675852,253282032,,,POINT (-70.6675852 -33.4463578)
-33.4468621,-70.6551885,253348617,traffic_signals,,POINT (-70.65518849999999 -33.4468621)
-33.4479721,-70.6550144,253348621,traffic_signals,,POINT (-70.6550144 -33.4479721)
-33.4489752,-70.6548597,253348622,traffic_signals,,POINT (-70.6548597 -33.4489752)
-33.4503462,-70.6546397,253348623,traffic_signals,,POINT (-70.6546397 -33.4503462)
-33.4511367,-70.6545053,253348624,,,POINT (-70.6545053 -33.4511367)
-33.4528587,-70.6542695,253348626,traffic_signals,,POINT (-70.6542695 -33.4528587)
-33.4535505,-70.6541907,253348627,,,POINT (-70.6541907 -33.4535505)
-33.4559615,-70.653907,253348628,traffic_signals,,POINT (-70.653907 -33.4559615)
-33.4576332,-70.6537061,253348629,,,POINT (-70.65370609999999 -33.4576332)
-33.458683,-70.6535921,253348630,,,POINT (-70.6535921 -33.458683)
-33.4599914,-70.6534089,253348631,traffic_signals,,POINT (-70.6534089 -33.4599914)
-33.4601773,-70.6533808,253359489,traffic_signals,,POINT (-70.65338079999999 -33.4601773)
-33.4613148,-70.6532533,253359492,,,POINT (-70.6532533 -33.4613148)
-33.4626091,-70.6531006,253359495,,,POINT (-70.6531006 -33.4626091)
-33.4425626,-70.6678926,253411536,traffic_signals,,POINT (-70.6678926 -33.4425626)
-33.4414455,-70.6681349,253411539,,,POINT (-70.6681349 -33.4414455)
-33.439157,-70.6684713,254346560,traffic_signals,,POINT (-70.66847129999999 -33.439157)
-33.4380209,-70.6685711,254346563,,,POINT (-70.66857109999999 -33.4380209)
-33.4366456,-70.6686972,254346565,traffic_signals,,POINT (-70.6686972 -33.4366456)
-33.4349228,-70.6688545,254346567,traffic_signals,,POINT (-70.66885449999999 -33.4349228)
-33.4313953,-70.6691946,254346570,,,POINT (-70.6691946 -33.4313953)
-33.4299937,-70.6693341,254346572,,,POINT (-70.6693341 -33.4299937)
-33.4376382,-70.6686116,254346688,,,POINT (-70.66861160000001 -33.4376382)
-33.4321334,-70.6691208,254346739,traffic_signals,,POINT (-70.6691208 -33.4321334)
-33.4338032,-70.6689686,254346794,,,POINT (-70.6689686 -33.4338032)
-33.4291312,-70.6694445,264246720,traffic_signals,,POINT (-70.6694445 -33.4291312)
-33.4317042,-70.6691681,264246765,,,POINT (-70.66916809999999 -33.4317042)
-33.4310327,-70.669233,264248193,,,POINT (-70.66923300000001 -33.4310327)
-33.4306717,-70.6692657,264248197,,,POINT (-70.6692657 -33.4306717)
-33.430357,-70.6692958,264248234,,,POINT (-70.6692958 -33.430357)
-33.4701705,-70.6521766,265665161,,,POINT (-70.6521766 -33.4701705)
-33.464201,-70.6528843,265668129,,,POINT (-70.6528843 -33.464201)
-33.4665245,-70.6525876,265668365,,,POINT (-70.6525876 -33.4665245)
-33.4690434,-70.6522916,265679605,,,POINT (-70.6522916 -33.4690434)
-33.4444882,-70.6677519,265688239,,,POINT (-70.6677519 -33.4444882)
-33.448066,-70.66797,265688323,,,POINT (-70.66797 -33.448066)
-33.4397761,-70.6411954,457453515,,,POINT (-70.6411954 -33.4397761)
-33.4396789,-70.6412038,457453516,,,POINT (-70.6412038 -33.4396789)
-33.4519714,-70.6543822,512785100,crossing,,POINT (-70.6543822 -33.4519714)
-33.4522429,-70.6543417,512785188,crossing,,POINT (-70.6543417 -33.4522429)
-33.4525692,-70.6542974,512785349,crossing,,POINT (-70.6542974 -33.4525692)
-33.4761737,-70.6552167,560073671,,,POINT (-70.6552167 -33.4761737)
-33.4762871,-70.6554641,560073672,,,POINT (-70.6554641 -33.4762871)
-33.4762719,-70.6559452,560073673,,,POINT (-70.65594520000001 -33.4762719)
-33.4761877,-70.6565636,560073675,,,POINT (-70.6565636 -33.4761877)
-33.4759243,-70.6592798,560073677,,,POINT (-70.65927979999999 -33.4759243)
-33.4757148,-70.6616691,560073678,,,POINT (-70.6616691 -33.4757148)
-33.4757093,-70.6618443,560073680,,,POINT (-70.6618443 -33.4757093)
-33.4757378,-70.6636651,560073681,,,POINT (-70.6636651 -33.4757378)
-33.4455414,-70.6676608,605144029,,,POINT (-70.66766079999999 -33.4455414)
-33.4335416,-70.6689937,605145758,,,POINT (-70.6689937 -33.4335416)
-33.4543316,-70.6642879,609286193,,,POINT (-70.66428790000001 -33.4543316)
-33.454369,-70.6650157,609286195,,,POINT (-70.6650157 -33.454369)
-33.4571772,-70.6656278,609286248,,,POINT (-70.6656278 -33.4571772)
-33.4565641,-70.665776,609286250,,,POINT (-70.66577599999999 -33.4565641)
-33.4571152,-70.6652911,609286270,,,POINT (-70.6652911 -33.4571152)
-33.4564993,-70.6654263,609286319,,,POINT (-70.66542629999999 -33.4564993)
-33.4585436,-70.6638563,609289215,,,POINT (-70.66385630000001 -33.4585436)
-33.458495,-70.6638808,609289233,,,POINT (-70.6638808 -33.458495)
-33.4584778,-70.6639064,609289235,,,POINT (-70.6639064 -33.4584778)
-33.458516,-70.6640456,609289244,,,POINT (-70.66404559999999 -33.458516)
-33.4585595,-70.6640535,609289246,,,POINT (-70.66405349999999 -33.4585595)
-33.4393839,-70.6411704,612588146,,,POINT (-70.64117039999999 -33.4393839)
-33.4685793,-70.652349,663087894,,,POINT (-70.652349 -33.4685793)
-33.454813,-70.6540391,663092761,,,POINT (-70.65403910000001 -33.454813)
-33.4552627,-70.653988,663092766,,,POINT (-70.653988 -33.4552627)
-33.4449464,-70.6556101,1071220646,,,POINT (-70.6556101 -33.4449464)
-33.4365955,-70.6443705,1279505078,,,POINT (-70.64437049999999 -33.4365955)
-33.4388109,-70.6432079,1390397208,,,POINT (-70.64320789999999 -33.4388109)
-33.439002,-70.6432325,1390397213,,,POINT (-70.6432325 -33.439002)
-33.4409199,-70.6429997,1390397215,,,POINT (-70.6429997 -33.4409199)
-33.4410081,-70.6445181,1390397216,,,POINT (-70.6445181 -33.4410081)
-33.4406715,-70.6428844,1390397219,,,POINT (-70.6428844 -33.4406715)
-33.4399083,-70.6427099,1390397220,,,POINT (-70.6427099 -33.4399083)
-33.4387878,-70.6433756,1390397222,,,POINT (-70.6433756 -33.4387878)
