u,v,key,osmid,oneway,name,highway,length,geometry,lanes,access,maxspeed,bridge,tunnel,ref,junction
386138,14805063,0,121815664,True,Enrique Mac Iver,primary,16.056,"LINESTRING (-70.64625409999999 -33.4429009, -70.6462763 -33.4427577)",,,,,,,
386138,500862146,0,121815695,True,Avenida Libertador Bernardo O'Higgins,primary,45.325,"LINESTRING (-70.64625409999999 -33.4429009, -70.64578419999999 -33.4427895)",4,,,,,,
386139,386138,0,223300795,True,Avenida Libertador Bernardo O'Higgins,primary,100.015,"LINESTRING (-70.64729370000001 -33.4431386, -70.64625409999999 -33.4429009)",4,,,,,,
386139,14805040,0,23321898,True,San Francisco,secondary,267.227,"LINESTRING (-70.64729370000001 -33.4431386, -70.6471521 -33.4432284, -70.64713159999999 -33.443285, -70.6471252 -33.4433437, -70.6471095 -33.44454, -70.6471066 -33.4445968, -70.64708950000001 -33.4454802)",2,,,,,,
386140,500862085,0,407593364,True,San Antonio,secondary,16.457,"LINESTRING (-70.6476437 -33.4430569, -70.64761849999999 -33.4432034)",,,,,,,
386140,386145,0,407593363,True,Avenida Libertador Bernardo O'Higgins,primary,129.472,"LINESTRING (-70.6476437 -33.4430569, -70.64827510000001 -33.4432253, -70.64891950000001 -33.443375, -70.6489801 -33.4433912)",3,,,,,,
386145,646864662,0,448518898,False,,primary_link,15.173,"LINESTRING (-70.6489801 -33.4433912, -70.6489608 -33.4435267)",,,,,,,
386145,386400,0,407593363,True,Avenida Libertador Bernardo O'Higgins,primary,384.15700000000004,"LINESTRING (-70.6489801 -33.4433912, -70.6491044 -33.4434222, -70.6496812 -33.4435408, -70.65023119999999 -33.4436905, -70.6503924 -33.443728, -70.6504594 -33.4437436, -70.6509221 -33.4438524, -70.6510577 -33.4438838, -70.6511623 -33.4439088, -70.6512767 -33.4439324, -70.6514614 -33.4439675, -70.65154459999999 -33.4439797, -70.6516268 -33.4439858, -70.6517535 -33.4439939, -70.65190509999999 -33.4440003, -70.6520203 -33.4440117, -70.652145 -33.4440309, -70.65232880000001 -33.4440722, -70.6529886 -33.4442245)",3,,,,,,
386157,5420440454,0,453310654,True,San Martín,tertiary,124.985,"LINESTRING (-70.6584247 -33.4369946, -70.65826509999999 -33.4381107)",2,designated,,,,,
386157,386418,0,453310655,True,Santo Domingo,unclassified,122.605,"LINESTRING (-70.6584247 -33.4369946, -70.6597373 -33.4371209)",2,,,,,,
386225,386417,0,39333617,True,San Pablo,unclassified,122.487,"LINESTRING (-70.6600681 -33.4345751, -70.658749 -33.4345346)",2,,,,,,
386225,386416,0,299493684,True,Manuel Rodríguez Norte,primary,141.716,"LINESTRING (-70.6600681 -33.4345751, -70.66013150000001 -33.4341759, -70.6601762 -33.4338577, -70.6601915 -33.4337428, -70.6602712 -33.4333121)",2,,40,,,,
386226,6310096608,0,23393704,True,Rosas,unclassified,63.271,"LINESTRING (-70.6598841 -33.4358919, -70.66056260000001 -33.4359483)",,,,yes,,,
386226,3577095642,0,453310653,True,Avenida Manuel Rodríguez Norte,primary,129.165,"LINESTRING (-70.6598841 -33.4358919, -70.6600431 -33.4347379)",3,,,,,,
386227,386418,0,448370087,True,Avenida Manuel Rodríguez Norte,primary,128.039,"LINESTRING (-70.6595772 -33.4382646, -70.6597373 -33.4371209)",3,,,,,,
386227,254346507,0,"[48331960, 679129712, 679129711]",True,Catedral,secondary,63.596000000000004,"LINESTRING (-70.6595772 -33.4382646, -70.6596306 -33.438269, -70.6602053 -33.4383295, -70.6602575 -33.4383339)",2,,,yes,,,
386229,927292072,0,21189483,True,Compañía de Jesús,tertiary,61.762,"LINESTRING (-70.65943179999999 -33.4393341, -70.6587701 -33.4392739)",1,,,,,,
386229,386227,0,278765387,True,Avenida Manuel Rodríguez Norte,primary,119.68700000000001,"LINESTRING (-70.65943179999999 -33.4393341, -70.6595117 -33.4387345, -70.6595772 -33.4382646)",3,,,,,,
386234,3903526592,0,355547660,True,Avenida Libertador Bernardo O'Higgins,primary,124.3,"LINESTRING (-70.65734639999999 -33.4452231, -70.6586386 -33.4455181)",3,,,,,,
386234,386235,0,448388092,True,San Martín,tertiary,58.666,"LINESTRING (-70.65734639999999 -33.4452231, -70.6572984 -33.4455913, -70.65728470000001 -33.4457481)",3,designated,,,,,
386235,253352517,0,44061475,True,San Ignacio,tertiary,149.629,"LINESTRING (-70.65728470000001 -33.4457481, -70.65709 -33.4470839)",2,,,,,,
386235,5300155267,0,300267261,True,Avenida Libertador Bernardo O'Higgins,primary,174.167,"LINESTRING (-70.65728470000001 -33.4457481, -70.6563465 -33.4455258, -70.655485 -33.4453032)",4,,,,,,
386236,386235,0,300267261,True,Avenida Libertador Bernardo O'Higgins,primary,112.855,"LINESTRING (-70.6584527 -33.4460314, -70.65728470000001 -33.4457481)",4,,,,,,
386236,3903526592,0,519185503,True,Dieciocho,tertiary,59.653,"LINESTRING (-70.6584527 -33.4460314, -70.65850519999999 -33.4458725, -70.6585924 -33.4456234, -70.6586386 -33.4455181)",2,,,,,,
386244,224458301,0,448515627,False,Avenida Portugal,secondary,166.736,"LINESTRING (-70.6378211 -33.4430267, -70.63790830000001 -33.4429241, -70.6388962 -33.4419105, -70.6389465 -33.441858)",4,,,,,,
386244,386248,0,448515627,False,Avenida Portugal,secondary,190.45600000000002,"LINESTRING (-70.6378211 -33.4430267, -70.6377165 -33.4431573, -70.6375407 -33.4435479, -70.6373947 -33.4437798, -70.63692829999999 -33.4445652)",4,,,,,,
386244,586807299,0,645780839,True,Diagonal Paraguay,primary,135.13,"LINESTRING (-70.6378211 -33.4430267, -70.636872 -33.4427458, -70.63644770000001 -33.4426224)",4,,,,,,
386248,223862191,0,448515627,False,Avenida Portugal,secondary,77.335,"LINESTRING (-70.63692829999999 -33.4445652, -70.6365639 -33.4451907)",4,,,,,,
386248,130116982,0,92361438,True,Curicó,primary,332.57099999999997,"LINESTRING (-70.63692829999999 -33.4445652, -70.6370232 -33.4446036, -70.6370478 -33.4446155, -70.6376635 -33.4447382, -70.63904700000001 -33.4450173, -70.6394227 -33.4450928, -70.64030529999999 -33.4452702, -70.64040249999999 -33.4452892)",4,,,,,,
386248,386244,0,448515627,False,Avenida Portugal,secondary,190.45600000000002,"LINESTRING (-70.63692829999999 -33.4445652, -70.6373947 -33.4437798, -70.6375407 -33.4435479, -70.6377165 -33.4431573, -70.6378211 -33.4430267)",4,,,,,,
386259,102385322,0,628446440,True,Miraflores,unclassified,90.596,"LINESTRING (-70.6452989 -33.4403463, -70.6453618 -33.4400045, -70.6454246 -33.4395385)",2,,,,,,
386259,5272846298,0,"[679088048, 628446442]",True,Agustinas,secondary,62.814,"LINESTRING (-70.6452989 -33.4403463, -70.6449758 -33.4403201, -70.644749 -33.4403017, -70.64468890000001 -33.440299, -70.6446277 -33.4403154)",3,,,,,,
386261,3686116667,0,450504413,True,Merced,tertiary,14.428,"LINESTRING (-70.6433894 -33.4377417, -70.6432375 -33.437714)",1,,,,,,
386261,4456568203,0,11490172,True,Santa Lucía,primary,42.025999999999996,"LINESTRING (-70.6433894 -33.4377417, -70.6433906 -33.4379092, -70.64342790000001 -33.4379682, -70.6434929 -33.4381013)",4,,,,,,
386272,386261,0,663964323,True,José Miguel de la Barra,primary,137.904,"LINESTRING (-70.64351449999999 -33.4365059, -70.6433894 -33.4377417)",4,,,,,,
386272,1279505078,0,663964325,True,Monjitas,secondary,80.052,"LINESTRING (-70.64351449999999 -33.4365059, -70.64437049999999 -33.4365955)",2,,,,,,
386274,4441179104,0,562125765,True,Monjitas,secondary,64.146,"LINESTRING (-70.6457609 -33.436741, -70.646446 -33.436818)",2,,,,,,
386274,83325726,0,562125766,True,Miraflores,unclassified,123.994,"LINESTRING (-70.6457609 -33.436741, -70.6459207 -33.4356339)",2,,,,,,
386283,386330,0,443083829,True,Morandé,tertiary,125.554,"LINESTRING (-70.6538492 -33.4387771, -70.6539531 -33.4381364, -70.6540226 -33.4376573)",2,yes,,,,,
386283,4464991880,0,447593878,True,Compañía de Jesús,tertiary,127.337,"LINESTRING (-70.6538492 -33.4387771, -70.6537945 -33.4387712, -70.6525415 -33.4386362, -70.6524881 -33.438631)",1,,,,,,
