y,x,osmid,highway,ref,geometry
-23.5451407,-46.6433097,60685758,,,POINT (-46.6433097 -23.5451407)
-23.5800823,-46.5018695,155386496,,,POINT (-46.5018695 -23.5800823)
-23.5795219,-46.5017454,155386498,,,POINT (-46.5017454 -23.5795219)
-23.578126,-46.5020418,155386499,,,POINT (-46.5020418 -23.578126)
-23.5767338,-46.5023615,155386500,,,POINT (-46.5023615 -23.5767338)
-23.5588119,-46.6991167,292425250,,,POINT (-46.6991167 -23.5588119)
-23.5837863,-46.611065,413363252,traffic_signals,,POINT (-46.611065 -23.5837863)
-23.5846557,-46.6110077,413363307,,,POINT (-46.6110077 -23.5846557)
-23.5599053,-46.6990916,465878666,,,POINT (-46.6990916 -23.5599053)
-23.8395352,-46.7385659,615537872,,,POINT (-46.7385659 -23.8395352)
-23.838455,-46.733112,615537878,,,POINT (-46.733112 -23.838455)
-23.8379453,-46.7325869,615537879,,,POINT (-46.7325869 -23.8379453)
-23.8366005,-46.7309977,615537881,,,POINT (-46.7309977 -23.8366005)
-23.8349484,-46.7305188,615537884,,,POINT (-46.7305188 -23.8349484)
-23.5789679,-46.5018495,663049751,,,POINT (-46.5018495 -23.5789679)
-23.57841,-46.5019771,663049753,,,POINT (-46.5019771 -23.57841)
-23.5051579,-46.4763605,1205973841,,,POINT (-46.4763605 -23.5051579)
-23.5056041,-46.4766144,1205974017,,,POINT (-46.4766144 -23.5056041)
-23.5052212,-46.4763861,1205974108,,,POINT (-46.4763861 -23.5052212)
-23.5030596,-46.4774607,1205974133,,,POINT (-46.4774607 -23.5030596)
-23.5056853,-46.4766529,1205974248,,,POINT (-46.4766529 -23.5056853)
-23.501767,-46.4779156,1205974330,,,POINT (-46.4779156 -23.501767)
-23.5053173,-46.4764343,1205974433,,,POINT (-46.4764343 -23.5053173)
-23.5040963,-46.4767015,1205974596,,,POINT (-46.4767015 -23.5040963)
-23.5019228,-46.4779179,1205974692,,,POINT (-46.4779179 -23.5019228)
-23.5044224,-46.4764779,1205975033,,,POINT (-46.4764779 -23.5044224)
-23.5003803,-46.4783793,1205975631,traffic_signals,,POINT (-46.4783793 -23.5003803)
-23.5059685,-46.4766362,1205975635,,,POINT (-46.4766362 -23.5059685)
-23.5025156,-46.4777989,1205975921,,,POINT (-46.4777989 -23.5025156)
-23.506149,-46.4765587,1205975925,traffic_signals,,POINT (-46.4765587 -23.506149)
