u,v,key,osmid,oneway,name,highway,length,geometry,lanes,maxspeed,est_width,bridge,access,width,tunnel,service,ref,junction
60685758,7289052106,0,8579917,True,Avenida São Luís,secondary,8.92,"LINESTRING (-46.6433097 -23.5451407, -46.6432638 -23.545209)",,,,,,,,,,
413363252,4117027015,0,"[227330867, 236562332]",True,Avenida Nazaré,secondary,194.793,"LINESTRING (-46.611065 -23.5837863, -46.6110592 -23.5838739, -46.6110077 -23.5846557, -46.6110016 -23.5847502, -46.6109793 -23.5849852, -46.6109272 -23.5855334)",2,50,,,,,,,,
465878666,1837170043,0,39046012,True,Rua Natingui,residential,110.816,"LINESTRING (-46.6990916 -23.5599053, -46.6990905 -23.5598578, -46.6990715 -23.5590112, -46.69908 -23.5589092)",,,,,,,,,,
1205975631,1205975925,0,577571449,True,Rua Professor Antônio de Castro Lopes,residential,702.1079999999998,"LINESTRING (-46.4783793 -23.5003803, -46.4782712 -23.5006679, -46.4779961 -23.501443, -46.4779422 -23.5016167, -46.4779156 -23.501767, -46.4779179 -23.5019228, -46.4779179 -23.5019884, -46.4778975 -23.5022207, -46.4778687 -23.5023493, -46.4777989 -23.5025156, -46.4777569 -23.5026159, -46.4775288 -23.5029665, -46.4774607 -23.5030596, -46.4768804 -23.503852, -46.4767015 -23.5040963, -46.4764779 -23.5044224, -46.4763973 -23.5045732, -46.4763549 -23.5047299, -46.4763214 -23.5049944, -46.4763415 -23.5050978, -46.4763605 -23.5051579, -46.4763861 -23.5052212, -46.4764343 -23.5053173, -46.4765528 -23.5055056, -46.4766144 -23.5056041, -46.4766529 -23.5056853, -46.4766632 -23.5057631, -46.476667 -23.5057922, -46.4766362 -23.5059685, -46.4765803 -23.5060987, -46.4765587 -23.506149)",,,,,,,,,,
1205975631,1205974103,0,496706473,False,Rua João Antônio Andrade,residential,147.19600000000003,"LINESTRING (-46.4783793 -23.5003803, -46.478541 -23.5004571, -46.4789882 -23.5006391, -46.4792872 -23.5008236, -46.4794549 -23.5009492, -46.4796038 -23.501065)",,30,,,,,,,,
1608559852,1608559896,0,154953585,True,Avenida Waldemar Roberto,residential,92.41499999999999,"LINESTRING (-46.7605924 -23.5730978, -46.7604525 -23.5732597, -46.7603576 -23.5733645, -46.7601774 -23.573552, -46.7600032 -23.5737292)",,,,,,,,,,
1608559852,1585214820,0,154953580,False,Avenida Waldemar Roberto,secondary,46.288000000000004,"LINESTRING (-46.7605924 -23.5730978, -46.7606272 -23.5730318, -46.7606562 -23.5729769, -46.7606965 -23.5728839, -46.7607489 -23.5727836, -46.7607881 -23.5727227)",,,,,,,,,,
1608559896,1608559912,0,154953585,True,Avenida Waldemar Roberto,residential,95.815,"LINESTRING (-46.7600032 -23.5737292, -46.7594135 -23.5744003)",,,,,,,,,,
1608559896,2363155312,0,227667204,False,Rua Cornélia Vallim Fagundes,residential,62.613,"LINESTRING (-46.7600032 -23.5737292, -46.7600969 -23.5739374, -46.7602308 -23.5742522)",,30,,,,,,,,
1608559912,1608559932,0,154953585,True,Avenida Waldemar Roberto,residential,23.177,"LINESTRING (-46.7594135 -23.5744003, -46.7592786 -23.5745681)",,,,,,,,,,
1608559912,7291476598,0,227667016,True,Rua Ladislau Baena,residential,17.859,"LINESTRING (-46.7594135 -23.5744003, -46.7594453 -23.5744411, -46.7594815 -23.5744694, -46.7595164 -23.5744816, -46.7595508 -23.57449)",,30,,,,,,,,
