y,x,osmid,highway,ref,geometry
-23.5451407,-46.6433097,60685758,,,POINT (-46.6433097 -23.5451407)
-23.5588119,-46.6991167,292425250,,,POINT (-46.6991167 -23.5588119)
-23.5837863,-46.611065,413363252,traffic_signals,,POINT (-46.611065 -23.5837863)
-23.5599053,-46.6990916,465878666,,,POINT (-46.6990916 -23.5599053)
-23.5003803,-46.4783793,1205975631,traffic_signals,,POINT (-46.4783793 -23.5003803)
-23.506149,-46.4765587,1205975925,traffic_signals,,POINT (-46.4765587 -23.506149)
-23.5730978,-46.7605924,1608559852,,,POINT (-46.7605924 -23.5730978)
-23.5737292,-46.7600032,1608559896,,,POINT (-46.7600032 -23.5737292)
-23.5744003,-46.7594135,1608559912,,,POINT (-46.7594135 -23.5744003)
-23.5745681,-46.7592786,1608559932,,,POINT (-46.7592786 -23.5745681)
-23.575834,-46.7585449,1608560057,,,POINT (-46.7585449 -23.575834)
-23.5137262,-46.5445773,1664231986,traffic_signals,,POINT (-46.5445773 -23.5137262)
-23.514443,-46.5484069,1664232024,,,POINT (-46.5484069 -23.514443)
-23.5589092,-46.69908,1837170043,,,POINT (-46.69908 -23.5589092)
-23.5764663,-46.5022197,1984335344,traffic_signals,,POINT (-46.5022197 -23.5764663)
-23.8284524,-46.7311542,2329803034,,,POINT (-46.7311542 -23.8284524)
-23.5855334,-46.6109272,4117027015,,,POINT (-46.6109272 -23.5855334)
-23.8290855,-46.7310717,5052297961,,,POINT (-46.7310717 -23.8290855)
-23.545209,-46.6432638,7289052106,,,POINT (-46.6432638 -23.545209)
-23.8406774,-46.7392608,7333070550,,,POINT (-46.7392608 -23.8406774)
-23.8308027,-46.7310581,7333070587,,,POINT (-46.7310581 -23.8308027)
-23.8292379,-46.7310179,7333070592,,,POINT (-46.7310179 -23.8292379)
-23.5446995,-46.6386448,60641571,,,POINT (-46.6386448 -23.5446995)
-23.5417514,-46.6367783,60685633,traffic_signals,,POINT (-46.6367783 -23.5417514)
-23.5231002,-46.6554634,151268804,traffic_signals,,POINT (-46.6554634 -23.5231002)
-23.5186896,-46.655629,158837600,,,POINT (-46.655629 -23.5186896)
-23.5662549,-46.684367,167403202,traffic_signals,,POINT (-46.684367 -23.5662549)
-23.5681223,-46.6909684,173361745,traffic_signals,,POINT (-46.6909684 -23.5681223)
-23.5257367,-46.6553689,248817178,,,POINT (-46.6553689 -23.5257367)
-23.5248286,-46.6553959,445160725,,,POINT (-46.6553959 -23.5248286)
