u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,service,access,width,ref,bridge,junction,tunnel
597283,4617456376,0,37916481,True,Rua da Figueira,residential,20,14.463,"LINESTRING (-46.625258 -23.553308, -46.6252106 -23.5531854)",,,,,,,,
597440,1707696298,0,38306330,False,Rua Manuel de Abreu,residential,30,15.937,"LINESTRING (-46.6020276 -23.5246015, -46.6021206 -23.5247167)",1,,,,,,,
25718073,1111669076,0,760437723,False,Avenida Nova Independência,residential,30,44.574,"LINESTRING (-46.687043 -23.5989334, -46.6873294 -23.5992364)",2,,,,,,,
25719024,301650840,0,27467673,False,Rua Porto Martins,residential,30,50.254,"LINESTRING (-46.686058 -23.5994386, -46.6863818 -23.5997795)",2,,,,,,,
25781621,4929729264,0,502515908,True,Drive-Thru Burger King,service,10,46.703,"LINESTRING (-46.5560938 -23.5220896, -46.5557113 -23.5223207)",,drive-through,,,,,,
25783247,5517518813,0,49733647,True,,service,20,19.608,"LINESTRING (-46.622584 -23.5185001, -46.6227757 -23.518486)",,driveway,private,,,,,
25927014,1203308514,0,804468955,False,Rua Francisco Borges,residential,30,114.979,"LINESTRING (-46.6312275 -23.5254031, -46.6322984 -23.5250789)",,,,,,,,
26218439,1077926532,0,8035413,True,Praça Comandante Eduardo de Oliveira,tertiary,30,13.674,"LINESTRING (-46.5648688 -23.4773978, -46.5647415 -23.4774364)",2,,,,,,,
26218453,3457886059,0,843710337,True,Praça Comandante Eduardo de Oliveira,tertiary,30,10.348,"LINESTRING (-46.5645608 -23.4764236, -46.5646622 -23.4764204)",2,,,,,,,
26218465,1077926538,0,8035413,True,Praça Comandante Eduardo de Oliveira,tertiary,30,13.778,"LINESTRING (-46.5641321 -23.4771669, -46.5640855 -23.4770506)",2,,,,,,,
26592027,468002759,0,39124698,True,,primary_link,20,20.877,"LINESTRING (-46.6280313 -23.6189349, -46.6279749 -23.6191154)",2,,,,,,,
28800606,4470722556,0,229619289,False,,living_street,20,39.395,"LINESTRING (-46.6838855 -23.5555227, -46.6835597 -23.5553321)",,,permissive,2.5,,,,
29691778,2537960203,0,252621545,False,Rua Professor Paulo Mangabeira Albernaz,tertiary,30,7.845,"LINESTRING (-46.655543 -23.6665698, -46.6555779 -23.6666327)",,,,,,,,
29693314,2587755460,0,616419569,True,Corredor ABD,service,30,6.983,"LINESTRING (-46.6406458 -23.6461321, -46.6406092 -23.646079)",2,,no,,,,,
29777038,2540705185,0,760830640,True,Rua dos Jequitibás,tertiary,30,9.87,"LINESTRING (-46.6402764 -23.6472775, -46.6403733 -23.6472779)",2,,,,,,,
29777211,5809473232,0,116688653,False,Rua Vidual,residential,30,6.364,"LINESTRING (-46.6372596 -23.6667372, -46.6373024 -23.6667789)",,,,,,,,
29778772,431339600,0,37089323,True,,primary_link,30,19.826,"LINESTRING (-46.6412358 -23.6279476, -46.6411545 -23.6277856)",1,,,,,,,
30469537,1600503426,0,153729592,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,3.61,"LINESTRING (-46.7672139 -23.5896643, -46.7672184 -23.5896965)",2,,,,,,,
30469537,1647549749,0,153729592,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,35.234,"LINESTRING (-46.7672139 -23.5896643, -46.7671843 -23.5893486)",2,,,,,,,
30469538,1603934342,0,153729592,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,25.093,"LINESTRING (-46.7673788 -23.5901171, -46.7675721 -23.5902569)",2,,,,,,,
30469538,30469573,0,153729592,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,21.33,"LINESTRING (-46.7673788 -23.5901171, -46.767259 -23.5899598)",2,,,,,,,
30469539,1584902952,0,153729592,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,22.923,"LINESTRING (-46.7678247 -23.5903204, -46.7680455 -23.590281)",2,,,,,,,
30469539,6146527980,0,153729592,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,6.711,"LINESTRING (-46.7678247 -23.5903204, -46.7677589 -23.590323)",2,,,,,,,
30469540,1645629070,0,312903276,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,16.199,"LINESTRING (-46.7688471 -23.5896403, -46.7689846 -23.5895672)",2,,,,,,,
30469540,1573225608,0,312903276,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,22.149,"LINESTRING (-46.7688471 -23.5896403, -46.7686852 -23.5897732)",2,,,,,,,
30469541,2540158113,0,312903276,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,14.5,"LINESTRING (-46.7691049 -23.5895155, -46.7692438 -23.5894872)",2,,,,,,,
30469541,1645629070,0,312903276,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,13.54,"LINESTRING (-46.7691049 -23.5895155, -46.7689846 -23.5895672)",2,,,,,,,
30469543,2540158119,0,415667137,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,13.734,"LINESTRING (-46.7704157 -23.5898725, -46.7705453 -23.5899064)",2,,,,,,,
30469543,1600625902,0,415667137,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,19.89,"LINESTRING (-46.7704157 -23.5898725, -46.7702401 -23.5897944)",2,,,,,,,
30469546,1647549778,0,153729593,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,5.064,"LINESTRING (-46.7710075 -23.5898626, -46.7710531 -23.5898445)",2,,,,,,,
30469546,1583334160,0,153729593,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,32.653,"LINESTRING (-46.7710075 -23.5898626, -46.7706903 -23.5899042)",2,,,,,,,
30469547,30469548,0,154421015,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,24.558,"LINESTRING (-46.7721759 -23.5894439, -46.7724012 -23.5895223)",2,,,,,,,
30469547,1573180166,0,154421015,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,28.289,"LINESTRING (-46.7721759 -23.5894439, -46.7719108 -23.5895194)",2,,,,,,,
30469548,1647549769,0,154421015,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,20.266,"LINESTRING (-46.7724012 -23.5895223, -46.7725568 -23.5896358)",2,,,,,,,
30469548,30469547,0,154421015,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,24.558,"LINESTRING (-46.7724012 -23.5895223, -46.7721759 -23.5894439)",2,,,,,,,
30469549,1645629087,0,154421015,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,26.487,"LINESTRING (-46.7732019 -23.5907251, -46.7733477 -23.5909223)",2,,,,,,,
30469549,1647549776,0,154421015,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,118.577,"LINESTRING (-46.7732019 -23.5907251, -46.7726763 -23.5897737)",2,,,,,,,
30469550,30469551,0,154421015,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,90.832,"LINESTRING (-46.7736441 -23.5911035, -46.7743965 -23.5915415)",2,,,,,,,
30469550,1645629087,0,154421015,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,36.307,"LINESTRING (-46.7736441 -23.5911035, -46.7733477 -23.5909223)",2,,,,,,,
30469551,1645629092,0,154421015,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,23.027,"LINESTRING (-46.7743965 -23.5915415, -46.7745948 -23.5916408)",2,,,,,,,
30469551,30469550,0,154421015,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,90.832,"LINESTRING (-46.7743965 -23.5915415, -46.7736441 -23.5911035)",2,,,,,,,
30469556,30469557,0,154421015,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,69.053,"LINESTRING (-46.7768889 -23.5940913, -46.7773166 -23.594573)",2,,,,,,,
30469556,1648445751,0,154421015,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,39.228,"LINESTRING (-46.7768889 -23.5940913, -46.7766452 -23.5938182)",2,,,,,,,
30469557,30469556,0,154421015,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,69.053,"LINESTRING (-46.7773166 -23.594573, -46.7768889 -23.5940913)",2,,,,,,,
30469557,1597995517,0,195294105,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,43.817,"LINESTRING (-46.7773166 -23.594573, -46.7777296 -23.5946827)",2,,,,,,,
30469558,30469559,0,195294105,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,53.98,"LINESTRING (-46.7788549 -23.5948544, -46.7793617 -23.5949957)",2,,,,,,,
30469558,1606341592,0,195294105,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,77.094,"LINESTRING (-46.7788549 -23.5948544, -46.778108 -23.5947439)",2,,,,,,,
30469559,30469578,0,195294105,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,36.941,"LINESTRING (-46.7793617 -23.5949957, -46.7796344 -23.5952146)",2,,,,,,,
30469559,30469558,0,195294105,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,53.98,"LINESTRING (-46.7793617 -23.5949957, -46.7788549 -23.5948544)",2,,,,,,,
30469560,1645629116,0,195294105,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,40.439,"LINESTRING (-46.7803966 -23.5961685, -46.7806264 -23.596465)",2,,,,,,,
30469560,1645629113,0,195294105,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,73.994,"LINESTRING (-46.7803966 -23.5961685, -46.7799845 -23.5956206)",2,,,,,,,
30469561,1645629120,0,195294105,False,Avenida Engenheiro Heitor Antônio Eiras Garcia,secondary,30,48.681,"LINESTRING (-46.7809342 -23.5966793, -46.7813508 -23.5968936)",2,,,,,,,
