y,x,osmid,highway,ref,geometry
-23.6190469,-46.6277061,597247,traffic_signals,,POINT (-46.6277061 -23.6190469)
-23.553308,-46.625258,597283,traffic_signals,,POINT (-46.625258 -23.553308)
-23.5246015,-46.6020276,597440,,,POINT (-46.6020276 -23.5246015)
-23.6042432,-46.6798414,25717002,traffic_signals,,POINT (-46.6798414 -23.6042432)
-23.5989334,-46.687043,25718073,,,POINT (-46.687043 -23.5989334)
-23.5994386,-46.686058,25719024,,,POINT (-46.686058 -23.5994386)
-23.5220896,-46.5560938,25781621,,,POINT (-46.5560938 -23.5220896)
-23.5185001,-46.622584,25783247,,,POINT (-46.622584 -23.5185001)
-23.5254031,-46.6312275,25927014,,,POINT (-46.6312275 -23.5254031)
-23.3591069,-46.5499903,26217109,,,POINT (-46.5499903 -23.3591069)
-23.4773978,-46.5648688,26218439,,,POINT (-46.5648688 -23.4773978)
-23.4764236,-46.5645608,26218453,,,POINT (-46.5645608 -23.4764236)
-23.4771669,-46.5641321,26218465,,,POINT (-46.5641321 -23.4771669)
-23.6189349,-46.6280313,26592027,,,POINT (-46.6280313 -23.6189349)
-23.599575,-46.6907144,27867712,,,POINT (-46.6907144 -23.599575)
-23.5555227,-46.6838855,28800606,,,POINT (-46.6838855 -23.5555227)
-23.6665698,-46.655543,29691778,traffic_signals,,POINT (-46.655543 -23.6665698)
-23.6461321,-46.6406458,29693314,traffic_signals,,POINT (-46.6406458 -23.6461321)
-23.6472775,-46.6402764,29777038,traffic_signals,,POINT (-46.6402764 -23.6472775)
-23.6667372,-46.6372596,29777211,,,POINT (-46.6372596 -23.6667372)
-23.6279476,-46.6412358,29778772,,,POINT (-46.6412358 -23.6279476)
-23.6218297,-46.6884697,30196414,,,POINT (-46.6884697 -23.6218297)
-23.6224469,-46.6874022,30196416,,,POINT (-46.6874022 -23.6224469)
-23.5896643,-46.7672139,30469537,,,POINT (-46.7672139 -23.5896643)
-23.5901171,-46.7673788,30469538,,,POINT (-46.7673788 -23.5901171)
-23.5903204,-46.7678247,30469539,,,POINT (-46.7678247 -23.5903204)
-23.5896403,-46.7688471,30469540,,,POINT (-46.7688471 -23.5896403)
-23.5895155,-46.7691049,30469541,,,POINT (-46.7691049 -23.5895155)
