u,v,key,osmid,oneway,name,highway,length,geometry,bridge,tunnel,service,maxspeed,lanes,ref
142382885,1722810086,0,297010921,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,79.491,"LINESTRING (101.5504647 3.0739786, 101.5511468 3.0741957)",,,,,,
249398997,4897863479,0,498339308,False,,cycleway,5.248,"LINESTRING (101.5184749 3.0642259, 101.5185057 3.0642617)",,,,,,
276683133,4897863509,0,498339311,True,,cycleway,13.339,"LINESTRING (101.5022697 3.0618034, 101.5021596 3.0617554)",,,,,,
299422017,7185279088,0,27277796,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,30.858,"LINESTRING (101.5560133 3.0743466, 101.5557392 3.0743008)",,,,,,
299422024,5716934455,0,162530603,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,18.217,"LINESTRING (101.5541836 3.0740375, 101.5540197 3.0740449)",,,,,,
299422027,299422029,0,162530603,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,10.694,"LINESTRING (101.5538852 3.0740887, 101.5538025 3.074138)",,,,,,
299422029,299422032,0,162530603,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,12.015,"LINESTRING (101.5538025 3.074138, 101.5536972 3.0741629)",,,,,,
299422032,299422035,0,162530603,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,9.122,"LINESTRING (101.5536972 3.0741629, 101.5536159 3.0741747)",,,,,,
299422035,299422042,0,162530603,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,26.979,"LINESTRING (101.5536159 3.0741747, 101.5533739 3.074153)",,,,,,
299422042,4562907263,0,162530603,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,29.242,"LINESTRING (101.5533739 3.074153, 101.5531146 3.074107)",,,,,,
299422045,4897545158,0,162530603,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,20.754,"LINESTRING (101.5520524 3.0740212, 101.5518675 3.0739939)",,,,,,
299422048,4897545155,0,27277796,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,12.401,"LINESTRING (101.5562101 3.0744454, 101.5561144 3.0743879)",,,,,,
299422050,299422048,0,27277796,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,18.045,"LINESTRING (101.5563222 3.0745629, 101.5562101 3.0744454)",,,,,,
299422053,299422050,0,27277796,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,26.141,"LINESTRING (101.5564804 3.074737, 101.5563222 3.0745629)",,,,,,
299422055,299422053,0,27277796,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,12.736,"LINESTRING (101.5565611 3.0748184, 101.5564804 3.074737)",,,,,,
299422062,299422055,0,27277796,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,11.48,"LINESTRING (101.5566437 3.0748805, 101.5565611 3.0748184)",,,,,,
299422065,299422062,0,27277796,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,69.383,"LINESTRING (101.5571915 3.0751807, 101.5566437 3.0748805)",,,,,,
299422067,299422065,0,27277796,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,53.257,"LINESTRING (101.5576203 3.0753953, 101.5571915 3.0751807)",,,,,,
299422070,4897545153,0,27277796,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,9.987,"LINESTRING (101.5587549 3.0758156, 101.5586703 3.0757851)",,,,,,
299422071,299422070,0,27277796,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,135.301,"LINESTRING (101.5599034 3.0762222, 101.5587549 3.0758156)",,,,,,
299422072,299422073,0,27277797,True,,cycleway,5.279,"LINESTRING (101.553741 3.0744335, 101.5537384 3.0743861)",,,,,,
299422073,4562907264,0,27277797,True,,cycleway,7.367,"LINESTRING (101.5537384 3.0743861, 101.5537107 3.0743259)",,,,,,
664908083,5359377008,0,555494606,True,,cycleway,45.291,"LINESTRING (101.5803322 3.0834779, 101.5807289 3.0833831)",,,,,,
1694461442,4749608588,0,482083998,True,,cycleway,28.445,"LINESTRING (101.506022 2.9864385, 101.5062536 2.9865478)",,,,,,
1722810060,3008484597,0,297010920,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,75.979,"LINESTRING (101.553939 3.0755133, 101.5545958 3.075705)",yes,,,,,
1722810063,5267950165,0,160219261,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,56.072,"LINESTRING (101.5576895 3.0759647, 101.5581857 3.0760584)",,,,,,
1722810064,4896261337,0,498140283,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,36.195,"LINESTRING (101.561745 3.0772931, 101.5620518 3.0774031)",,,,,,
1722810074,1722810090,0,297010921,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,14.674,"LINESTRING (101.5533463 3.0749643, 101.5534468 3.07505)",,,,,,
1722810076,1722810084,0,160219261,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,95.124,"LINESTRING (101.556105 3.0759409, 101.5569617 3.0759435)",,,,,,
1722810078,1722810091,0,297010921,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,55.644,"LINESTRING (101.5525336 3.0746456, 101.5530082 3.0748063)",,,,,,
1722810080,4897863949,0,297010921,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,20.261,"LINESTRING (101.5535274 3.0751531, 101.5536158 3.0753125)",,,,,,
1722810081,1722810076,0,160219261,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,42.348,"LINESTRING (101.555726 3.0758983, 101.556105 3.0759409)",,,,,,
1722810082,5267950164,0,160219261,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,55.029,"LINESTRING (101.5595 3.0764468, 101.5599643 3.0766199)",,,,,,
1722810083,1722810082,0,160219261,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,95.024,"LINESTRING (101.5586873 3.076179, 101.5595 3.0764468)",,,,,,
1722810084,1722810088,0,160219261,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,41.215,"LINESTRING (101.5569617 3.0759435, 101.5573328 3.0759352)",,,,,,
1722810085,4897863952,0,160219261,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,29.68,"LINESTRING (101.5609757 3.0770501, 101.5612271 3.0771408)",,,,,,
1722810086,1722810078,0,297010921,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,161.906,"LINESTRING (101.5511468 3.0741957, 101.5525336 3.0746456)",,,,,,
1722810087,1722810081,0,160219264,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,62.387,"LINESTRING (101.5551685 3.0758285, 101.555726 3.0758983)",,yes,,,,
1722810088,4896261363,0,160219261,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,10.16,"LINESTRING (101.5573328 3.0759352, 101.5574243 3.0759345)",,,,,,
1722810090,1722810080,0,297010921,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,14.544,"LINESTRING (101.5534468 3.07505, 101.5535274 3.0751531)",,,,,,
1722810091,4898439111,0,297010921,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,25.697,"LINESTRING (101.5530082 3.0748063, 101.5532245 3.0748885)",,,,,,
1722811434,4897863950,0,160219265,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,14.425,"LINESTRING (101.5547636 3.0757371, 101.5548896 3.0757687)",,,,,,
1743954050,4562907262,0,162530603,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,35.346,"LINESTRING (101.5526272 3.0740317, 101.552309 3.0740225)",,,,,,
1743954051,299422024,0,162530577,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,91.328,"LINESTRING (101.5549955 3.074169, 101.5541836 3.0740375)",yes,,,,,
1743954074,299422067,0,27277796,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,69.615,"LINESTRING (101.5582138 3.0755971, 101.5576203 3.0753953)",,,,,,
1749436758,4025322492,0,399859266,True,,cycleway,15.624,"LINESTRING (101.5276752 3.0046228, 101.5277976 3.0046921)",,,,,,
2006090460,5314180225,0,27277796,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,13.153,"LINESTRING (101.571972 3.0809259, 101.5718737 3.0808599)",,,,,,
2099492850,2099492896,0,199965445,False,,cycleway,26.374,"LINESTRING (101.486927 3.0628004, 101.4871536 3.0628715)",,,,,,
2099492850,5267845046,0,199965445,False,,cycleway,3.913,"LINESTRING (101.486927 3.0628004, 101.4869162 3.0628339)",,,,,,
2099492875,4023868908,0,460285029,False,,cycleway,30.64,"LINESTRING (101.4873048 3.0624024, 101.4875667 3.0624892)",,,,,,
2099492875,2099492896,0,460285030,False,,cycleway,54.797,"LINESTRING (101.4873048 3.0624024, 101.4871536 3.0628715)",yes,,,,,
2099492896,2099492850,0,199965445,False,,cycleway,26.374,"LINESTRING (101.4871536 3.0628715, 101.486927 3.0628004)",,,,,,
2099492896,2099492875,0,460285030,False,,cycleway,54.797,"LINESTRING (101.4871536 3.0628715, 101.4873048 3.0624024)",yes,,,,,
2110016829,4897863478,0,498339307,True,,cycleway,14.741,"LINESTRING (101.5185125 3.0643558, 101.5183847 3.0643199)",,,,,,
2688375579,4081079379,0,405978140,False,,cycleway,4.613,"LINESTRING (101.5566429 3.0620116, 101.5566014 3.0620136)",,,,,,
3008484597,1722811434,0,160219265,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,18.97,"LINESTRING (101.5545958 3.075705, 101.5547636 3.0757371)",,,,,,
3328158791,4025322387,0,399859259,True,,cycleway,16.087,"LINESTRING (101.5370103 3.014709, 101.5368915 3.0146262)",,,,,,
4023868908,5267845043,0,460285029,False,,cycleway,4.592,"LINESTRING (101.4875667 3.0624892, 101.4875797 3.06245)",,,,,,
4023868908,2099492875,0,460285029,False,,cycleway,30.64,"LINESTRING (101.4875667 3.0624892, 101.4873048 3.0624024)",,,,,,
4025322300,4025322301,0,399859239,True,,cycleway,12.34,"LINESTRING (101.538266 3.0172089, 101.5382932 3.0173165)",,,,,,
4025322301,4025322302,0,399859239,True,,cycleway,22.415,"LINESTRING (101.5382932 3.0173165, 101.5383868 3.0174951)",,,,,,
4025322302,4025322303,0,399859239,True,,cycleway,34.458,"LINESTRING (101.5383868 3.0174951, 101.5385465 3.0177608)",,,,,,
4025322303,4025322355,0,399859239,True,,cycleway,9.375,"LINESTRING (101.5385465 3.0177608, 101.5385864 3.0178351)",,,,,,
4025322304,4025322305,0,399859239,True,,cycleway,55.838,"LINESTRING (101.5389254 3.0184666, 101.5391426 3.0189195)",,,,,,
4025322305,4025322306,0,399859239,True,,cycleway,73.359,"LINESTRING (101.5391426 3.0189195, 101.5394406 3.0195083)",,,,,,
4025322306,4025322307,0,399859239,True,,cycleway,64.087,"LINESTRING (101.5394406 3.0195083, 101.5396876 3.0200292)",,,,,,
4025322307,4025322308,0,399859239,True,,cycleway,86.505,"LINESTRING (101.5396876 3.0200292, 101.5400537 3.0207159)",,,,,,
4025322308,4025322309,0,399859239,True,,cycleway,89.053,"LINESTRING (101.5400537 3.0207159, 101.5404327 3.0214217)",,,,,,
4025322309,4025322310,0,399859239,True,,cycleway,64.034,"LINESTRING (101.5404327 3.0214217, 101.5407158 3.0219234)",,,,,,
4025322310,4749608591,0,399859239,True,,cycleway,40.279,"LINESTRING (101.5407158 3.0219234, 101.5408758 3.0222485)",,,,,,
4025322311,4123778655,0,410573250,True,,cycleway,25.508,"LINESTRING (101.5415305 3.0231222, 101.5416903 3.023287)",yes,,,,,
4025322315,4025322316,0,399859242,True,,cycleway,98.649,"LINESTRING (101.5343441 3.0122845, 101.534904 3.0129733)",,,,,,
4025322316,4025322317,0,399859242,True,,cycleway,73.096,"LINESTRING (101.534904 3.0129733, 101.5353191 3.0134835)",,,,,,
4025322317,4025322318,0,399859242,True,,cycleway,33.265,"LINESTRING (101.5353191 3.0134835, 101.5355086 3.0137152)",,,,,,
4025322317,4025322319,0,399859243,True,,cycleway,19.663,"LINESTRING (101.5353191 3.0134835, 101.5354 3.0136408)",,,,,,
4025322318,1555735677,0,399859242,True,,cycleway,8.894,"LINESTRING (101.5355086 3.0137152, 101.5355703 3.0137662)",,,,,,
4025322319,4025322320,0,399859243,True,,cycleway,20.767,"LINESTRING (101.5354 3.0136408, 101.5354724 3.013813)",,,,,,
4025322320,4025322321,0,399859243,True,,cycleway,22.348,"LINESTRING (101.5354724 3.013813, 101.5355086 3.0140107)",,,,,,
4025322321,4025322322,0,399859243,True,,cycleway,17.065,"LINESTRING (101.5355086 3.0140107, 101.5355192 3.0141638)",,,,,,
4025322322,4025322323,0,399859243,True,,cycleway,15.744,"LINESTRING (101.5355192 3.0141638, 101.5355001 3.0143041)",,,,,,
4025322323,4025322324,0,399859243,True,,cycleway,10.327,"LINESTRING (101.5355001 3.0143041, 101.5354681 3.0143913)",,,,,,
4025322324,4025322325,0,399859243,True,,cycleway,41.429,"LINESTRING (101.5354681 3.0143913, 101.5352787 3.0147123)",,,,,,
4025322325,4025322326,0,399859243,True,,cycleway,44.398,"LINESTRING (101.5352787 3.0147123, 101.5350764 3.0150567)",,,,,,
4025322326,4025322327,0,399859243,True,,cycleway,48.377,"LINESTRING (101.5350764 3.0150567, 101.5348614 3.0154351)",,,,,,
4025322327,4025322328,0,399859243,True,,cycleway,21.143,"LINESTRING (101.5348614 3.0154351, 101.5347763 3.0156052)",,,,,,
4025322328,4025322329,0,399859243,True,,cycleway,4.127,"LINESTRING (101.5347763 3.0156052, 101.5347614 3.0156392)",,,,,,
4025322329,4025322330,0,399859243,True,,cycleway,4.982,"LINESTRING (101.5347614 3.0156392, 101.5347571 3.0156838)",,,,,,
4025322330,4025322331,0,399859243,True,,cycleway,4.658,"LINESTRING (101.5347571 3.0156838, 101.5347741 3.0157221)",,,,,,
4025322331,4025322332,0,399859243,True,,cycleway,23.451,"LINESTRING (101.5347741 3.0157221, 101.5349019 3.01589)",,,,,,
4025322332,4025322333,0,399859243,True,,cycleway,8.358,"LINESTRING (101.5349019 3.01589, 101.5349381 3.0159559)",,,,,,
4025322333,4025322334,0,399859243,True,,cycleway,14.049,"LINESTRING (101.5349381 3.0159559, 101.5349657 3.0160792)",,,,,,
4025322334,4025322335,0,399859243,True,,cycleway,22.029,"LINESTRING (101.5349657 3.0160792, 101.5349785 3.0162769)",,,,,,
4025322335,4025322336,0,399859243,True,,cycleway,11.159,"LINESTRING (101.5349785 3.0162769, 101.534987 3.0163769)",,,,,,
4025322336,4025322337,0,399859243,True,,cycleway,11.919,"LINESTRING (101.534987 3.0163769, 101.5350126 3.016481)",,,,,,
4025322337,4025322338,0,399859243,True,,cycleway,12.391,"LINESTRING (101.5350126 3.016481, 101.5350573 3.0165831)",,,,,,
4025322338,4025322339,0,399859243,True,,cycleway,28.442,"LINESTRING (101.5350573 3.0165831, 101.5351658 3.0168148)",,,,,,
4025322339,4025322340,0,399859243,True,,cycleway,22.827,"LINESTRING (101.5351658 3.0168148, 101.5352744 3.0169891)",,,,,,
4025322340,4025322341,0,399859243,True,,cycleway,9.632,"LINESTRING (101.5352744 3.0169891, 101.5353149 3.0170657)",,,,,,
4025322341,4025322342,0,399859243,True,,cycleway,19.461,"LINESTRING (101.5353149 3.0170657, 101.5354 3.0172187)",,,,,,
4025322342,4025322343,0,399859243,True,,cycleway,13.377,"LINESTRING (101.5354 3.0172187, 101.5354873 3.0173016)",,,,,,
4025322343,4025322344,0,399859243,True,,cycleway,11.677,"LINESTRING (101.5354873 3.0173016, 101.5355767 3.0173569)",,,,,,
4025322344,4025322345,0,399859243,True,,cycleway,13.253,"LINESTRING (101.5355767 3.0173569, 101.5356917 3.0173888)",,,,,,
4025322345,4025322346,0,399859243,True,,cycleway,11.593,"LINESTRING (101.5356917 3.0173888, 101.5357939 3.0174101)",,,,,,
4025322346,4025322347,0,399859243,True,,cycleway,17.617,"LINESTRING (101.5357939 3.0174101, 101.5359514 3.0174292)",,,,,,
4025322347,4025322348,0,399859243,True,,cycleway,23.426,"LINESTRING (101.5359514 3.0174292, 101.5361622 3.0174377)",,,,,,
4025322348,4025322349,0,399859243,True,,cycleway,47.52,"LINESTRING (101.5361622 3.0174377, 101.5365901 3.0174313)",,,,,,
4025322348,4025322356,0,399859244,True,,cycleway,38.906,"LINESTRING (101.5361622 3.0174377, 101.5365113 3.0174079)",,,,,,
4025322349,4025322350,0,399859243,True,,cycleway,60.051,"LINESTRING (101.5365901 3.0174313, 101.5371308 3.0174207)",,,,,,
4025322350,4025322351,0,399859243,True,,cycleway,68.319,"LINESTRING (101.5371308 3.0174207, 101.537746 3.0174122)",,,,,,
4025322351,4025322352,0,399859243,True,,cycleway,30.769,"LINESTRING (101.537746 3.0174122, 101.5380228 3.0174249)",,,,,,
4025322352,4025322353,0,399859243,True,,cycleway,21.779,"LINESTRING (101.5380228 3.0174249, 101.5382059 3.0174951)",,,,,,
4025322353,4025322354,0,399859243,True,,cycleway,33.113,"LINESTRING (101.5382059 3.0174951, 101.5384379 3.0176822)",,,,,,
4025322354,4025322355,0,399859243,True,,cycleway,23.685,"LINESTRING (101.5384379 3.0176822, 101.5385864 3.0178351)",,,,,,
4025322355,4025322304,0,399859239,True,,cycleway,79.673,"LINESTRING (101.5385864 3.0178351, 101.5389254 3.0184666)",,,,,,
4025322356,4025322357,0,399859244,True,,cycleway,24.819,"LINESTRING (101.5365113 3.0174079, 101.5367348 3.0174058)",,,,,,
4025322357,4025322358,0,399859244,True,,cycleway,7.698,"LINESTRING (101.5367348 3.0174058, 101.5368008 3.0173846)",,,,,,
4025322358,4025322359,0,399859244,True,,cycleway,11.352,"LINESTRING (101.5368008 3.0173846, 101.5368838 3.017325)",,,,,,
4025322359,4025322360,0,399859244,True,,cycleway,12.916,"LINESTRING (101.5368838 3.017325, 101.5369307 3.0172187)",,,,,,
4025322360,4025322361,0,399859244,True,,cycleway,5.484,"LINESTRING (101.5369307 3.0172187, 101.5369371 3.0171698)",,,,,,
4025322361,4025322362,0,399859244,True,,cycleway,6.764,"LINESTRING (101.5369371 3.0171698, 101.5369115 3.0171146)",,,,,,
4025322362,4025322363,0,399859245,True,,cycleway,49.107,"LINESTRING (101.5369115 3.0171146, 101.5366667 3.0167468)",,yes,,,,
4025322363,4025322364,0,399859246,True,,cycleway,98.25,"LINESTRING (101.5366667 3.0167468, 101.5361962 3.0159985)",,,,,,
4025322364,4025322365,0,399859246,True,,cycleway,7.207,"LINESTRING (101.5361962 3.0159985, 101.5361707 3.0159389)",,,,,,
4025322365,4025322366,0,399859246,True,,cycleway,8.829,"LINESTRING (101.5361707 3.0159389, 101.5361494 3.0158624)",,,,,,
4025322366,4025322367,0,399859246,True,,cycleway,7.362,"LINESTRING (101.5361494 3.0158624, 101.536143 3.0157965)",,,,,,
4025322367,4025322368,0,399859246,True,,cycleway,7.331,"LINESTRING (101.536143 3.0157965, 101.5361451 3.0157306)",,,,,,
4025322368,4025322369,0,399859246,True,,cycleway,8.604,"LINESTRING (101.5361451 3.0157306, 101.5361664 3.0156562)",,,,,,
4025322369,4025322370,0,399859246,True,,cycleway,7.775,"LINESTRING (101.5361664 3.0156562, 101.5361898 3.0155903)",,,,,,
4025322370,4025322371,0,399859246,True,,cycleway,9.25,"LINESTRING (101.5361898 3.0155903, 101.5362345 3.0155201)",,,,,,
4025322371,4025322372,0,399859246,True,,cycleway,10.879,"LINESTRING (101.5362345 3.0155201, 101.5363005 3.0154478)",,,,,,
4025322372,4025322373,0,399859246,True,,cycleway,8.755,"LINESTRING (101.5363005 3.0154478, 101.5363623 3.0153989)",,,,,,
4025322373,4025322374,0,399859246,True,,cycleway,8.664,"LINESTRING (101.5363623 3.0153989, 101.5364325 3.0153649)",,,,,,
4025322374,4025322375,0,399859246,True,,cycleway,10.623,"LINESTRING (101.5364325 3.0153649, 101.5365219 3.0153309)",,,,,,
4025322375,4025322376,0,399859246,True,,cycleway,9.011,"LINESTRING (101.5365219 3.0153309, 101.5366028 3.0153245)",,,,,,
4025322376,4025322377,0,399859246,True,,cycleway,9.033,"LINESTRING (101.5366028 3.0153245, 101.5366837 3.015333)",,,,,,
4025322377,4025322378,0,399859246,True,,cycleway,8.78,"LINESTRING (101.5366837 3.015333, 101.5367604 3.0153522)",,,,,,
4025322378,4025322379,0,399859246,True,,cycleway,8.691,"LINESTRING (101.5367604 3.0153522, 101.5368328 3.0153819)",,,,,,
4025322379,4025322380,0,399859246,True,,cycleway,9.773,"LINESTRING (101.5368328 3.0153819, 101.5369073 3.0154287)",,,,,,
4025322380,4025322381,0,399859246,True,,cycleway,9.524,"LINESTRING (101.5369073 3.0154287, 101.536969 3.0154882)",,,,,,
4025322381,4025322382,0,399859246,True,,cycleway,14.047,"LINESTRING (101.536969 3.0154882, 101.5370435 3.0155903)",,,,,,
4025322382,4025322383,0,399859246,True,,cycleway,13.741,"LINESTRING (101.5370435 3.0155903, 101.5370989 3.0157008)",,,,,,
