y,x,osmid,geometry
3.0739786,101.5504647,142382885,POINT (101.5504647 3.0739786)
3.0642259,101.5184749,249398997,POINT (101.5184749 3.0642259)
3.0631356,101.4998682,269289825,POINT (101.4998682 3.0631356)
3.0618034,101.5022697,276683133,POINT (101.5022697 3.0618034)
3.0160218,101.5371798,281136604,POINT (101.5371798 3.0160218)
3.0743466,101.5560133,299422017,POINT (101.5560133 3.0743466)
3.0740375,101.5541836,299422024,POINT (101.5541836 3.0740375)
3.0740887,101.5538852,299422027,POINT (101.5538852 3.0740887)
3.074138,101.5538025,299422029,POINT (101.5538025 3.074138)
3.0741629,101.5536972,299422032,POINT (101.5536972 3.0741629)
3.0741747,101.5536159,299422035,POINT (101.5536159 3.0741747)
3.074153,101.5533739,299422042,POINT (101.5533739 3.074153)
3.0740212,101.5520524,299422045,POINT (101.5520524 3.0740212)
3.0744454,101.5562101,299422048,POINT (101.5562101 3.0744454)
3.0745629,101.5563222,299422050,POINT (101.5563222 3.0745629)
3.074737,101.5564804,299422053,POINT (101.5564804 3.074737)
3.0748184,101.5565611,299422055,POINT (101.5565611 3.0748184)
3.0748805,101.5566437,299422062,POINT (101.5566437 3.0748805)
3.0751807,101.5571915,299422065,POINT (101.5571915 3.0751807)
3.0753953,101.5576203,299422067,POINT (101.5576203 3.0753953)
3.0758156,101.5587549,299422070,POINT (101.5587549 3.0758156)
3.0762222,101.5599034,299422071,POINT (101.5599034 3.0762222)
3.0744335,101.553741,299422072,POINT (101.553741 3.0744335)
3.0743861,101.5537384,299422073,POINT (101.5537384 3.0743861)
3.0834779,101.5803322,664908083,POINT (101.5803322 3.0834779)
3.0137662,101.5355703,1555735677,POINT (101.5355703 3.0137662)
2.9864385,101.506022,1694461442,POINT (101.506022 2.9864385)
3.0755133,101.553939,1722810060,POINT (101.553939 3.0755133)
3.0759647,101.5576895,1722810063,POINT (101.5576895 3.0759647)
3.0772931,101.561745,1722810064,POINT (101.561745 3.0772931)
3.0749643,101.5533463,1722810074,POINT (101.5533463 3.0749643)
3.0759409,101.556105,1722810076,POINT (101.556105 3.0759409)
3.0746456,101.5525336,1722810078,POINT (101.5525336 3.0746456)
3.0751531,101.5535274,1722810080,POINT (101.5535274 3.0751531)
3.0758983,101.555726,1722810081,POINT (101.555726 3.0758983)
3.0764468,101.5595,1722810082,POINT (101.5595 3.0764468)
3.076179,101.5586873,1722810083,POINT (101.5586873 3.076179)
3.0759435,101.5569617,1722810084,POINT (101.5569617 3.0759435)
3.0770501,101.5609757,1722810085,POINT (101.5609757 3.0770501)
3.0741957,101.5511468,1722810086,POINT (101.5511468 3.0741957)
3.0758285,101.5551685,1722810087,POINT (101.5551685 3.0758285)
3.0759352,101.5573328,1722810088,POINT (101.5573328 3.0759352)
3.07505,101.5534468,1722810090,POINT (101.5534468 3.07505)
3.0748063,101.5530082,1722810091,POINT (101.5530082 3.0748063)
3.0757371,101.5547636,1722811434,POINT (101.5547636 3.0757371)
3.0740317,101.5526272,1743954050,POINT (101.5526272 3.0740317)
3.074169,101.5549955,1743954051,POINT (101.5549955 3.074169)
3.0755971,101.5582138,1743954074,POINT (101.5582138 3.0755971)
3.0046228,101.5276752,1749436758,POINT (101.5276752 3.0046228)
3.003521,101.5268447,1749436830,POINT (101.5268447 3.003521)
3.06094,101.48288,1791362530,POINT (101.48288 3.06094)
3.0809259,101.571972,2006090460,POINT (101.571972 3.0809259)
3.0817834,101.5736929,2006090537,POINT (101.5736929 3.0817834)
3.0628004,101.486927,2099492850,POINT (101.486927 3.0628004)
3.0624024,101.4873048,2099492875,POINT (101.4873048 3.0624024)
3.0628715,101.4871536,2099492896,POINT (101.4871536 3.0628715)
3.0643558,101.5185125,2110016829,POINT (101.5185125 3.0643558)
3.0122489,101.5354473,2165320803,POINT (101.5354473 3.0122489)
3.0620116,101.5566429,2688375579,POINT (101.5566429 3.0620116)
3.075705,101.5545958,3008484597,POINT (101.5545958 3.075705)
