u,v,key,osmid,oneway,lanes,highway,maxspeed,length,geometry,ref,name,bridge,service,tunnel
32531491,7266860377,0,778605693,True,3,trunk_link,20,14.592,"LINESTRING (101.5553977 3.0754557, 101.5555251 3.0754879)",,,,,
33248100,33248101,0,769751581,True,3,trunk_link,20,14.75,"LINESTRING (101.5556087 3.0748042, 101.5554793 3.0747742)",,,,,
33248101,7185279087,0,765566480,True,3,trunk_link,20,47.638,"LINESTRING (101.5554793 3.0747742, 101.5550626 3.0746722)",,,,,
33345472,33345505,0,27276032,True,2,primary,20,60.526,"LINESTRING (101.5567864 3.0595871, 101.5567281 3.0590459)",MBSA 17,Persiaran Jubli Perak,,,
34009159,32531462,0,30166966,True,2,primary,20,17.98,"LINESTRING (101.5534461 3.0878535, 101.553313 3.0877614)",B9,Jalan Montfort,,,
35457805,35457828,0,26818415,True,3,trunk_link,20,65.828,"LINESTRING (101.5567505 3.075129, 101.5561846 3.0749525)",,,,,
35457828,33248100,0,777833336,True,3,trunk_link,20,66.037,"LINESTRING (101.5561846 3.0749525, 101.5556087 3.0748042)",,,,,
35457930,35457931,0,769751583,True,3,trunk_link,20,15.687,"LINESTRING (101.5549406 3.0746325, 101.5548041 3.0745961)",,,,,
35457931,5716934445,0,297010919,True,3,trunk_link,20,43.642,"LINESTRING (101.5548041 3.0745961, 101.5544233 3.0744989)",,,yes,,
38028878,7259549875,0,27276052,True,3,primary_link,20,4.356,"LINESTRING (101.5548679 3.0809991, 101.5549048 3.0809858)",,,,,
143454412,32531491,0,843253168,True,3,trunk_link,20,57.165,"LINESTRING (101.5548967 3.0753373, 101.5553977 3.0754557)",,,,,
214625795,243649737,0,601446168,True,,service,10,16.52,"LINESTRING (101.5120486 3.0845633, 101.5121643 3.0844699)",,,,,
243649737,5735569727,0,601446168,True,,service,10,11.942,"LINESTRING (101.5121643 3.0844699, 101.5122441 3.0843979)",,,,,
248497013,276683184,0,25800283,False,,secondary,20,21.508,"LINESTRING (101.5544776 3.0553449, 101.5543639 3.0555015)",3214,Jalan Batu Tiga Lama,,,
248607225,248607230,0,23043126,False,,service,10,7.552,"LINESTRING (101.5159827 3.0824049, 101.5160507 3.0824036)",,,,,
248607225,5735502278,0,23043126,False,,service,10,48.891,"LINESTRING (101.5159827 3.0824049, 101.5155439 3.0824415)",,,,,
248607225,5716394159,0,23043151,True,,service,10,11.806,"LINESTRING (101.5159827 3.0824049, 101.5160248 3.0825024)",,,,,
248607230,248607225,0,23043126,False,,service,10,7.552,"LINESTRING (101.5160507 3.0824036, 101.5159827 3.0824049)",,,,,
248607230,248607251,0,23780857,True,,service,10,44.775,"LINESTRING (101.5160507 3.0824036, 101.5160433 3.082001)",,,,,
248607246,248607225,0,23043151,True,,service,10,44.805,"LINESTRING (101.5159551 3.0820029, 101.5159827 3.0824049)",,,,,
248612823,5716394225,0,601446168,True,,service,10,11.184,"LINESTRING (101.5128626 3.0838231, 101.5129186 3.0837395)",,,,,
248612824,310834510,0,601446153,False,,service,10,13.996,"LINESTRING (101.5138705 3.0834386, 101.5137456 3.0834556)",,,,,
248612824,7053259702,0,601446154,True,,service,10,27.27,"LINESTRING (101.5138705 3.0834386, 101.5141158 3.0834265)",,,,,
248612825,5735502278,0,23043126,False,,service,10,55.878,"LINESTRING (101.5150424 3.0824834, 101.5155439 3.0824415)",,,,,
248612825,7053259697,0,23043126,False,,service,10,12.219,"LINESTRING (101.5150424 3.0824834, 101.5149325 3.082489)",,,,,
248613117,7847811228,0,23043153,True,,service,10,9.272,"LINESTRING (101.5145921 3.0834818, 101.5145398 3.0834168)",,,,,
248613117,310834542,0,755056109,False,,service,10,10.842,"LINESTRING (101.5145921 3.0834818, 101.514652 3.0835588)",,,,,
248613133,7053259698,0,23043126,False,,service,10,9.137,"LINESTRING (101.5147866 3.0825504, 101.5148561 3.0825064)",,,,,
248613133,5716394197,0,601446152,True,,service,10,18.482,"LINESTRING (101.5147866 3.0825504, 101.5146637 3.0826625)",,,,,
248613134,7053861328,0,601446153,False,,service,10,13.746,"LINESTRING (101.5132918 3.0835574, 101.513413 3.0835322)",,,,,
248613134,7053861329,0,601446153,False,,service,10,7.213,"LINESTRING (101.5132918 3.0835574, 101.5132293 3.0835751)",,,,,
248613135,248613134,0,841077746,True,,service,10,36.298,"LINESTRING (101.5133377 3.0838806, 101.5132918 3.0835574)",,,,,
248613147,4559961711,0,23043154,False,,service,10,8.73,"LINESTRING (101.5141598 3.0846614, 101.5142355 3.0846826)",,,,,
248613147,7053259706,0,23043154,False,,service,10,8.295,"LINESTRING (101.5141598 3.0846614, 101.514097 3.084621)",,,,,
248613148,4559961712,0,23043154,False,,service,10,11.752,"LINESTRING (101.5143075 3.0846833, 101.5144097 3.0846558)",,,,,
248613148,4559961711,0,23043154,False,,service,10,7.995,"LINESTRING (101.5143075 3.0846833, 101.5142355 3.0846826)",,,,,
248613149,310834543,0,23043150,False,,service,10,42.257,"LINESTRING (101.5150993 3.0839665, 101.5153802 3.0842229)",,,,,
248613149,310834542,0,23043150,False,,service,10,67.245,"LINESTRING (101.5150993 3.0839665, 101.514652 3.0835588)",,,,,
248613149,7053259705,0,23043154,False,,service,10,100.898,"LINESTRING (101.5150993 3.0839665, 101.5144671 3.0846183)",,,,,
248783844,143454412,0,23055500,True,3,trunk_link,20,23.734,"LINESTRING (101.554693 3.0752726, 101.5548967 3.0753373)",,,,,
268492807,268492803,0,30158575,True,4,primary,20,10.057,"LINESTRING (101.5548972 3.0823789, 101.5549062 3.0822889)",3214,Jalan Subang,,,
270207872,5797995817,0,30275748,True,,primary_link,20,7.183,"LINESTRING (101.5150957 3.0444502, 101.5151008 3.0443858)",,,,,
270207884,210278255,0,845420487,True,,secondary,20,37.109,"LINESTRING (101.5151464 3.0441472, 101.5148754 3.0439519)",,,,,
276683184,248497013,0,25800283,False,,secondary,20,21.508,"LINESTRING (101.5543639 3.0555015, 101.5544776 3.0553449)",3214,Jalan Batu Tiga Lama,,,
276683184,7656453615,0,760120877,True,,secondary,20,11.062,"LINESTRING (101.5543639 3.0555015, 101.5543842 3.0555989)",3214,Jalan Batu Tiga Lama,,,
280164801,5772630869,0,27276030,True,,primary,20,9.952,"LINESTRING (101.5546923 3.0557141, 101.5546171 3.0556654)",MBSA 17,Persiaran Jubli Perak,,,
