y,x,osmid,highway,geometry
3.0877614,101.553313,32531462,traffic_signals,POINT (101.553313 3.0877614)
3.0754557,101.5553977,32531491,traffic_signals,POINT (101.5553977 3.0754557)
3.0748042,101.5556087,33248100,traffic_signals,POINT (101.5556087 3.0748042)
3.0747742,101.5554793,33248101,traffic_signals,POINT (101.5554793 3.0747742)
3.0595871,101.5567864,33345472,,POINT (101.5567864 3.0595871)
3.0590459,101.5567281,33345505,traffic_signals,POINT (101.5567281 3.0590459)
3.0708423,101.5559793,33350037,traffic_signals,POINT (101.5559793 3.0708423)
3.0878535,101.5534461,34009159,traffic_signals,POINT (101.5534461 3.0878535)
3.075129,101.5567505,35457805,,POINT (101.5567505 3.075129)
3.0749525,101.5561846,35457828,,POINT (101.5561846 3.0749525)
3.0746325,101.5549406,35457930,,POINT (101.5549406 3.0746325)
3.0745961,101.5548041,35457931,,POINT (101.5548041 3.0745961)
3.0809991,101.5548679,38028878,traffic_signals,POINT (101.5548679 3.0809991)
3.0807942,101.555037,38029560,,POINT (101.555037 3.0807942)
3.0808934,101.5548788,38030503,traffic_signals,POINT (101.5548788 3.0808934)
3.0753373,101.5548967,143454412,,POINT (101.5548967 3.0753373)
3.0562696,101.5564691,206089466,,POINT (101.5564691 3.0562696)
3.0439519,101.5148754,210278255,,POINT (101.5148754 3.0439519)
3.0845633,101.5120486,214625795,,POINT (101.5120486 3.0845633)
3.0844699,101.5121643,243649737,,POINT (101.5121643 3.0844699)
3.0553449,101.5544776,248497013,,POINT (101.5544776 3.0553449)
3.0824049,101.5159827,248607225,,POINT (101.5159827 3.0824049)
3.0824036,101.5160507,248607230,,POINT (101.5160507 3.0824036)
3.0820029,101.5159551,248607246,,POINT (101.5159551 3.0820029)
3.082001,101.5160433,248607251,,POINT (101.5160433 3.082001)
3.0838231,101.5128626,248612823,,POINT (101.5128626 3.0838231)
3.0834386,101.5138705,248612824,,POINT (101.5138705 3.0834386)
3.0824834,101.5150424,248612825,,POINT (101.5150424 3.0824834)
3.0834818,101.5145921,248613117,,POINT (101.5145921 3.0834818)
3.0825504,101.5147866,248613133,,POINT (101.5147866 3.0825504)
3.0835574,101.5132918,248613134,,POINT (101.5132918 3.0835574)
3.0838806,101.5133377,248613135,,POINT (101.5133377 3.0838806)
3.0846614,101.5141598,248613147,,POINT (101.5141598 3.0846614)
3.0846833,101.5143075,248613148,,POINT (101.5143075 3.0846833)
3.0839665,101.5150993,248613149,,POINT (101.5150993 3.0839665)
3.0752726,101.554693,248783844,,POINT (101.554693 3.0752726)
3.0822889,101.5549062,268492803,traffic_signals,POINT (101.5549062 3.0822889)
3.0823789,101.5548972,268492807,traffic_signals,POINT (101.5548972 3.0823789)
3.0558737,101.5546377,269286257,,POINT (101.5546377 3.0558737)
3.0444502,101.5150957,270207872,,POINT (101.5150957 3.0444502)
3.0441472,101.5151464,270207884,traffic_signals,POINT (101.5151464 3.0441472)
3.0555015,101.5543639,276683184,traffic_signals,POINT (101.5543639 3.0555015)
3.0557141,101.5546923,280164801,,POINT (101.5546923 3.0557141)
3.071555,101.555918,280164817,,POINT (101.555918 3.071555)
3.0748003,101.4958098,297595927,,POINT (101.4958098 3.0748003)
