y,x,osmid,highway,ref,geometry
3.1003135,101.5576689,32456741,,,POINT (101.5576689 3.1003135)
3.0521068,101.5435172,32480213,,,POINT (101.5435172 3.0521068)
3.0522657,101.5432392,32480214,,,POINT (101.5432392 3.0522657)
3.0527408,101.5430694,32480215,,,POINT (101.5430694 3.0527408)
3.0530363,101.5431814,32480216,,,POINT (101.5431814 3.0530363)
3.0532621,101.5438146,32480218,,,POINT (101.5438146 3.0532621)
3.0582817,101.556771,32480797,,,POINT (101.556771 3.0582817)
3.0486601,101.5540751,32481228,,,POINT (101.5540751 3.0486601)
3.0452382,101.5505571,32481466,,,POINT (101.5505571 3.0452382)
3.0653788,101.5406476,32481928,,,POINT (101.5406476 3.0653788)
3.064822,101.5407491,32481930,,,POINT (101.5407491 3.064822)
3.0645823,101.5403013,32481931,,,POINT (101.5403013 3.0645823)
3.0646091,101.5401857,32481932,,,POINT (101.5401857 3.0646091)
3.0650793,101.539891,32481933,,,POINT (101.539891 3.0650793)
3.0653091,101.5399797,32481935,,,POINT (101.5399797 3.0653091)
3.0654894,101.5403986,32481936,,,POINT (101.5403986 3.0654894)
3.0552606,101.5429202,32482691,,,POINT (101.5429202 3.0552606)
3.0535047,101.5431337,32483324,,,POINT (101.5431337 3.0535047)
3.0697801,101.5380558,32485350,,,POINT (101.5380558 3.0697801)
3.0701291,101.5387607,32485352,,,POINT (101.5387607 3.0701291)
3.0699929,101.5390918,32485353,,,POINT (101.5390918 3.0699929)
3.0686372,101.5395757,32485354,,,POINT (101.5395757 3.0686372)
3.0684719,101.5395045,32485355,,,POINT (101.5395045 3.0684719)
3.0681738,101.5387817,32485356,,,POINT (101.5387817 3.0681738)
3.0682351,101.5386037,32485357,,,POINT (101.5386037 3.0682351)
3.0695338,101.5379796,32485358,,,POINT (101.5379796 3.0695338)
3.0739572,101.5335691,32485957,,,POINT (101.5335691 3.0739572)
3.0731641,101.5385568,32486148,traffic_signals,,POINT (101.5385568 3.0731641)
3.0787373,101.541215,32486723,,,POINT (101.541215 3.0787373)
3.078305,101.5411657,32486724,,,POINT (101.5411657 3.078305)
3.0781564,101.5409629,32486725,,,POINT (101.5409629 3.0781564)
3.0781917,101.540601,32486727,,,POINT (101.540601 3.0781917)
3.0789047,101.5405565,32486729,,,POINT (101.5405565 3.0789047)
3.0745835,101.5335785,32486906,traffic_signals,,POINT (101.5335785 3.0745835)
3.0747095,101.5332578,32486949,,,POINT (101.5332578 3.0747095)
3.0738425,101.5333181,32486950,,,POINT (101.5333181 3.0738425)
3.073936,101.5329989,32486951,traffic_signals,,POINT (101.5329989 3.073936)
3.0742352,101.5328381,32486952,,,POINT (101.5328381 3.0742352)
3.0745679,101.53295,32486953,,,POINT (101.53295 3.0745679)
3.078634,101.5403942,32487052,,,POINT (101.5403942 3.078634)
3.0530975,101.5440954,32487714,,,POINT (101.5440954 3.0530975)
3.0498756,101.5444276,32530337,,,POINT (101.5444276 3.0498756)
3.1218197,101.5247263,32530845,,,POINT (101.5247263 3.1218197)
3.1222531,101.5245233,32530846,,,POINT (101.5245233 3.1222531)
3.1191352,101.5270404,32530853,,,POINT (101.5270404 3.1191352)
3.1153591,101.5279336,32530931,,,POINT (101.5279336 3.1153591)
3.1152297,101.5279294,32530932,,,POINT (101.5279294 3.1152297)
3.1151629,101.5277457,32530933,,,POINT (101.5277457 3.1151629)
3.1170491,101.5293035,32530970,,,POINT (101.5293035 3.1170491)
3.1175806,101.5306143,32530971,,,POINT (101.5306143 3.1175806)
3.1169542,101.5294004,32530974,,,POINT (101.5294004 3.1169542)
3.1176681,101.5310609,32530979,traffic_signals,,POINT (101.5310609 3.1176681)
3.1162379,101.5306371,32530987,,,POINT (101.5306371 3.1162379)
3.1132982,101.5322119,32531013,motorway_junction,3506,POINT (101.5322119 3.1132982)
3.108473,101.5357711,32531058,motorway_junction,3507,POINT (101.5357711 3.108473)
3.1129268,101.532572,32531061,,,POINT (101.532572 3.1129268)
3.1040693,101.5443844,32531119,motorway_junction,3508,POINT (101.5443844 3.1040693)
3.0962858,101.5488357,32531412,motorway_junction,3508,POINT (101.5488357 3.0962858)
3.0877614,101.553313,32531462,traffic_signals,,POINT (101.553313 3.0877614)
3.0754557,101.5553977,32531491,traffic_signals,,POINT (101.5553977 3.0754557)
3.0732248,101.5385092,32531843,traffic_signals,,POINT (101.5385092 3.0732248)
3.0778426,101.5378449,32531849,,,POINT (101.5378449 3.0778426)
3.0873764,101.5457613,32531963,,,POINT (101.5457613 3.0873764)
3.0873726,101.5414516,32532051,traffic_signals,,POINT (101.5414516 3.0873726)
3.0873728,101.5413293,32532053,traffic_signals,,POINT (101.5413293 3.0873728)
3.0910977,101.5450847,32532112,,,POINT (101.5450847 3.0910977)
3.0886901,101.545218,32532377,,,POINT (101.545218 3.0886901)
3.0886885,101.5450612,32532439,,,POINT (101.5450612 3.0886885)
3.0898215,101.5450722,32532441,,,POINT (101.5450722 3.0898215)
3.089817,101.5452163,32532444,,,POINT (101.5452163 3.089817)
3.0789292,101.5410481,32532446,,,POINT (101.5410481 3.0789292)
3.0901301,101.5419649,32532582,,,POINT (101.5419649 3.0901301)
3.0895985,101.5416423,32532583,,,POINT (101.5416423 3.0895985)
3.0912508,101.5452141,32532590,,,POINT (101.5452141 3.0912508)
3.0859036,101.5504686,32532608,,,POINT (101.5504686 3.0859036)
3.0853776,101.4975489,32638939,,,POINT (101.4975489 3.0853776)
3.0886607,101.5002807,32638941,,,POINT (101.5002807 3.0886607)
3.0893718,101.502623,32638944,,,POINT (101.502623 3.0893718)
3.0888525,101.5046738,32638945,,,POINT (101.5046738 3.0888525)
3.0882879,101.5140931,32638947,,,POINT (101.5140931 3.0882879)
3.0755628,101.4897127,32638956,,,POINT (101.4897127 3.0755628)
3.0741028,101.4924124,32638957,traffic_signals,,POINT (101.4924124 3.0741028)
3.0526684,101.5442611,32639339,,,POINT (101.5442611 3.0526684)
3.0721135,101.5401343,32684434,,,POINT (101.5401343 3.0721135)
3.0808075,101.5543883,32684551,,,POINT (101.5543883 3.0808075)
3.0802227,101.5512351,32684553,traffic_signals,,POINT (101.5512351 3.0802227)
3.0784657,101.5499756,32684557,,,POINT (101.5499756 3.0784657)
3.0393958,101.5477534,32852501,,,POINT (101.5477534 3.0393958)
3.0401976,101.547009,32852502,,,POINT (101.547009 3.0401976)
3.040232,101.5482425,32852548,,,POINT (101.5482425 3.040232)
3.0499059,101.5445886,32852557,,,POINT (101.5445886 3.0499059)
3.0536518,101.5435753,32852563,,,POINT (101.5435753 3.0536518)
3.0571226,101.5419203,32852599,,,POINT (101.5419203 3.0571226)
3.0756999,101.5308419,33241862,,,POINT (101.5308419 3.0756999)
3.073333,101.527368,33241896,,,POINT (101.527368 3.073333)
3.0685781,101.5285424,33241904,,,POINT (101.5285424 3.0685781)
3.0782329,101.5496767,33241983,,,POINT (101.5496767 3.0782329)
3.0748042,101.5556087,33248100,traffic_signals,,POINT (101.5556087 3.0748042)
3.0747742,101.5554793,33248101,traffic_signals,,POINT (101.5554793 3.0747742)
3.0484114,101.5362437,33345429,,,POINT (101.5362437 3.0484114)
3.0573673,101.5561275,33345474,,,POINT (101.5561275 3.0573673)
3.0590459,101.5567281,33345505,traffic_signals,,POINT (101.5567281 3.0590459)
3.0592371,101.5566314,33345508,,,POINT (101.5566314 3.0592371)
3.0708791,101.55584,33350036,,,POINT (101.55584 3.0708791)
3.0708423,101.5559793,33350037,traffic_signals,,POINT (101.5559793 3.0708423)
3.0628792,101.4955986,33350206,,,POINT (101.4955986 3.0628792)
3.0727853,101.5471186,33350214,,,POINT (101.5471186 3.0727853)
3.0665456,101.5222259,33350272,motorway_junction,,POINT (101.5222259 3.0665456)
3.0607861,101.4815997,33350283,,,POINT (101.4815997 3.0607861)
3.0503262,101.5387364,33350285,,,POINT (101.5387364 3.0503262)
3.0522078,101.534804,33350294,,,POINT (101.534804 3.0522078)
3.0484255,101.5359518,33350295,traffic_signals,,POINT (101.5359518 3.0484255)
3.0483412,101.5356,33350313,,,POINT (101.5356 3.0483412)
3.0508833,101.540224,33350323,,,POINT (101.540224 3.0508833)
3.0530991,101.537654,33350326,,,POINT (101.537654 3.0530991)
3.0473907,101.525972,33350349,,,POINT (101.525972 3.0473907)
3.0468883,101.526173,33350350,,,POINT (101.526173 3.0468883)
3.0466321,101.5260858,33350351,,,POINT (101.5260858 3.0466321)
3.0463886,101.5253888,33350352,,,POINT (101.5253888 3.0463886)
3.04652,101.5251754,33350353,,,POINT (101.5251754 3.04652)
3.0469441,101.5249943,33350354,,,POINT (101.5249943 3.0469441)
3.0472189,101.5250454,33350362,,,POINT (101.5250454 3.0472189)
3.065367,101.5167916,33350405,motorway_junction,,POINT (101.5167916 3.065367)
3.0404578,101.5248872,33350442,,,POINT (101.5248872 3.0404578)
3.0432136,101.5187257,33350805,traffic_signals,,POINT (101.5187257 3.0432136)
3.0431268,101.5188887,33350806,traffic_signals,,POINT (101.5188887 3.0431268)
3.0391099,101.5474543,33352018,traffic_signals,,POINT (101.5474543 3.0391099)
3.032239,101.5525544,33352103,motorway_junction,507,POINT (101.5525544 3.032239)
3.0552258,101.5427253,33352926,,,POINT (101.5427253 3.0552258)
3.090923,101.5442725,33353180,,,POINT (101.5442725 3.090923)
3.0875925,101.544279,33353185,,,POINT (101.544279 3.0875925)
3.0892572,101.5442758,33353186,,,POINT (101.5442758 3.0892572)
3.0892532,101.5449075,33353187,,,POINT (101.5449075 3.0892532)
3.0892541,101.5450667,33353188,,,POINT (101.5450667 3.0892541)
3.0874456,101.5452199,33353482,,,POINT (101.5452199 3.0874456)
3.0874272,101.5443171,33353483,,,POINT (101.5443171 3.0874272)
3.0873722,101.5440688,33353490,,,POINT (101.5440688 3.0873722)
3.0874445,101.545049,33353502,,,POINT (101.545049 3.0874445)
3.0291,101.5704926,33353593,traffic_signals,,POINT (101.5704926 3.0291)
3.1025158,101.5467694,33372385,,,POINT (101.5467694 3.1025158)
3.0752908,101.4777645,33376680,,,POINT (101.4777645 3.0752908)
3.0961541,101.5561725,33376914,traffic_signals,,POINT (101.5561725 3.0961541)
3.0974489,101.5526781,33376933,,,POINT (101.5526781 3.0974489)
3.0976148,101.552736,33376948,,,POINT (101.552736 3.0976148)
3.0995739,101.5534727,33376949,,,POINT (101.5534727 3.0995739)
3.0992677,101.5527626,33376964,,,POINT (101.5527626 3.0992677)
3.0997424,101.5515437,33376971,,,POINT (101.5515437 3.0997424)
3.0982471,101.5523721,33376974,,,POINT (101.5523721 3.0982471)
3.0992228,101.5513474,33376988,,,POINT (101.5513474 3.0992228)
3.0444118,101.514976,33498235,,,POINT (101.514976 3.0444118)
3.0462758,101.5132011,33498272,,,POINT (101.5132011 3.0462758)
3.0467109,101.5124251,33498275,,,POINT (101.5124251 3.0467109)
