y,x,osmid,highway,ref,geometry
48.7775263,9.1640012,7914214,,,POINT (9.1640012 48.7775263)
48.821754,9.2460091,28839660,,,POINT (9.2460091 48.821754)
48.7834071,9.2493313,242600036,,,POINT (9.2493313 48.7834071)
48.7819654,9.2497227,242600047,,,POINT (9.2497227 48.7819654)
48.7815861,9.2497178,242600050,,,POINT (9.249717800000001 48.7815861)
48.7813912,9.2498015,242600052,,,POINT (9.2498015 48.7813912)
48.8006258,9.219408,244401284,,,POINT (9.219408 48.8006258)
48.7843625,9.2490092,245777491,,,POINT (9.2490092 48.7843625)
48.7820689,9.2497191,245777510,,,POINT (9.2497191 48.7820689)
48.8010259,9.0987317,252753260,,,POINT (9.0987317 48.8010259)
48.8021802,9.0999027,254680674,,,POINT (9.099902699999999 48.8021802)
48.8008892,9.0985877,254680712,,,POINT (9.0985877 48.8008892)
48.8017041,9.099435,254680721,,,POINT (9.099435 48.8017041)
48.8007792,9.0984765,254682421,,,POINT (9.0984765 48.8007792)
48.8026652,9.1003987,254684929,crossing,,POINT (9.1003987 48.8026652)
48.80249,9.1002207,257078510,,,POINT (9.100220699999999 48.80249)
48.7536816,9.2663873,260351707,traffic_signals,,POINT (9.2663873 48.7536816)
48.8011061,9.2199202,264029559,,,POINT (9.219920200000001 48.8011061)
48.8187744,9.2139401,267273583,,,POINT (9.2139401 48.8187744)
48.8186796,9.2141299,267273584,,,POINT (9.2141299 48.8186796)
48.8210344,9.2454006,268860263,,,POINT (9.2454006 48.8210344)
48.7832547,9.2493741,269244170,,,POINT (9.249374100000001 48.7832547)
48.8189674,9.2135402,496372450,crossing,,POINT (9.213540200000001 48.8189674)
48.8011283,9.2199353,559421515,crossing,,POINT (9.2199353 48.8011283)
48.7810531,9.2499823,1048704352,,,POINT (9.249982299999999 48.7810531)
48.7824829,9.2496055,1048704385,,,POINT (9.249605499999999 48.7824829)
48.7841158,9.2491147,1048704416,,,POINT (9.2491147 48.7841158)
48.781217,9.2498861,1335326185,,,POINT (9.249886099999999 48.781217)
