u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,ref,tunnel,width,bridge,est_width,access
7914214,1746675042,0,343957118,2,Silberburgstraße,residential,30,False,17.734,"LINESTRING (9.1640012 48.7775263, 9.1641329 48.7773925)",,,,,,
28839660,2179822660,0,567589859,2,Schmidener Straße,secondary,70,False,8.161,"LINESTRING (9.2460091 48.821754, 9.246069 48.8218159)",K 9512,,,,,
28839660,5498172323,0,572271451,2,Schmidener Straße,secondary,50,False,26.598,"LINESTRING (9.2460091 48.821754, 9.245819900000001 48.8215498)",K 9512,,,,,
242600036,269244170,0,237278432,2,Augsburger Straße,secondary,50,False,17.234,"LINESTRING (9.2493313 48.7834071, 9.249374100000001 48.7832547)",L 1198,,,,,
242600036,1697448402,0,237278432,2,Augsburger Straße,secondary,50,False,52.0,"LINESTRING (9.2493313 48.7834071, 9.2491994 48.7838666)",L 1198,,,,,
242600047,245777510,0,549148827,3,Augsburger Straße,secondary,50,False,11.512,"LINESTRING (9.2497227 48.7819654, 9.2497191 48.7820689)",L 1198,,,,,
242600047,2387475716,0,549148828,2,Arlbergstraße,secondary,50,False,6.467,"LINESTRING (9.2497227 48.7819654, 9.249716100000001 48.7819074)",L 1198,,,,,
242600050,242600052,0,23163014,2,Arlbergstraße,secondary,50,False,22.523,"LINESTRING (9.249717800000001 48.7815861, 9.2498015 48.7813912)",L 1198,,,,,
242600050,1335326186,0,549148828,2,Arlbergstraße,secondary,50,False,15.411,"LINESTRING (9.249717800000001 48.7815861, 9.249704100000001 48.7817244)",L 1198,,,,,
242600052,1335326185,0,23163014,2,Arlbergstraße,secondary,50,False,20.338,"LINESTRING (9.2498015 48.7813912, 9.249886099999999 48.781217)",L 1198,,,,,
242600052,242600050,0,23163014,2,Arlbergstraße,secondary,50,False,22.523,"LINESTRING (9.2498015 48.7813912, 9.249717800000001 48.7815861)",L 1198,,,,,
245777491,1048704416,0,237278432,2,Augsburger Straße,secondary,50,False,28.5,"LINESTRING (9.2490092 48.7843625, 9.2491147 48.7841158)",L 1198,,,,,
245777510,242600047,0,549148827,3,Augsburger Straße,secondary,50,False,11.512,"LINESTRING (9.2497191 48.7820689, 9.2497227 48.7819654)",L 1198,,,,,
245777510,1335536407,0,549148827,3,Augsburger Straße,secondary,50,False,10.34,"LINESTRING (9.2497191 48.7820689, 9.2496986 48.7821609)",L 1198,,,,,
252753260,3141301485,0,24483134,2,Solitudestraße,tertiary,50,False,8.941,"LINESTRING (9.0987317 48.8010259, 9.0986609 48.8009604)",K 9503,,,,,
252753260,4461260236,0,356218775,2,Solitudestraße,tertiary,50,False,36.992,"LINESTRING (9.0987317 48.8010259, 9.099016600000001 48.8013006)",K 9503,,,,,
254680674,257078510,0,356218775,2,Solitudestraße,tertiary,50,False,41.583,"LINESTRING (9.099902699999999 48.8021802, 9.100220699999999 48.80249)",K 9503,,,,,
254680674,254680721,0,356218775,2,Solitudestraße,tertiary,50,False,63.056,"LINESTRING (9.099902699999999 48.8021802, 9.099435 48.8017041)",K 9503,,,,,
254680712,3141301485,0,24483134,2,Solitudestraße,tertiary,50,False,9.562,"LINESTRING (9.0985877 48.8008892, 9.0986609 48.8009604)",K 9503,,,,,
254680712,254682421,0,24483134,2,Solitudestraße,tertiary,50,False,14.695,"LINESTRING (9.0985877 48.8008892, 9.0984765 48.8007792)",K 9503,,,,,
254680721,254680674,0,356218775,2,Solitudestraße,tertiary,50,False,63.056,"LINESTRING (9.099435 48.8017041, 9.099902699999999 48.8021802)",K 9503,,,,,
254680721,4461260236,0,356218775,2,Solitudestraße,tertiary,50,False,54.333,"LINESTRING (9.099435 48.8017041, 9.099016600000001 48.8013006)",K 9503,,,,,
254682421,254680712,0,24483134,2,Solitudestraße,tertiary,50,False,14.695,"LINESTRING (9.0984765 48.8007792, 9.0985877 48.8008892)",K 9503,,,,,
254682421,1177112034,0,308837520,,,cycleway,,False,16.34,"LINESTRING (9.0984765 48.8007792, 9.0982881 48.8007005)",,,,,,
254684929,257078510,0,356218775,2,Solitudestraße,tertiary,50,False,23.441,"LINESTRING (9.1003987 48.8026652, 9.100220699999999 48.80249)",K 9503,,,,,
257078510,254684929,0,356218775,2,Solitudestraße,tertiary,50,False,23.441,"LINESTRING (9.100220699999999 48.80249, 9.1003987 48.8026652)",K 9503,,,,,
257078510,254680674,0,356218775,2,Solitudestraße,tertiary,50,False,41.583,"LINESTRING (9.100220699999999 48.80249, 9.099902699999999 48.8021802)",K 9503,,,,,
264029559,244401284,0,24338491,,Elwertstraße,residential,30,True,65.266,"LINESTRING (9.219920200000001 48.8011061, 9.219408 48.8006258)",,yes,,,,
267273583,267273584,0,389820847,,Bottroper Straße,residential,50,False,17.442,"LINESTRING (9.2139401 48.8187744, 9.2141299 48.8186796)",,,6,,,
267273583,5728733084,0,389820847,,Bottroper Straße,residential,50,False,23.751,"LINESTRING (9.2139401 48.8187744, 9.2136683 48.818891)",,,6,,,
267273584,267273583,0,389820847,,Bottroper Straße,residential,50,False,17.442,"LINESTRING (9.2141299 48.8186796, 9.2139401 48.8187744)",,,6,,,
