y,x,osmid,highway,ref,geometry
48.7775263,9.1640012,7914214,,,POINT (9.1640012 48.7775263)
48.7834071,9.2493313,242600036,,,POINT (9.2493313 48.7834071)
48.7819654,9.2497227,242600047,,,POINT (9.2497227 48.7819654)
48.8006258,9.219408,244401284,,,POINT (9.219408 48.8006258)
48.7843625,9.2490092,245777491,,,POINT (9.2490092 48.7843625)
48.7820689,9.2497191,245777510,,,POINT (9.2497191 48.7820689)
48.8010259,9.0987317,252753260,,,POINT (9.0987317 48.8010259)
48.8021802,9.0999027,254680674,,,POINT (9.099902699999999 48.8021802)
48.8008892,9.0985877,254680712,,,POINT (9.0985877 48.8008892)
48.8007792,9.0984765,254682421,,,POINT (9.0984765 48.8007792)
48.8186796,9.2141299,267273584,,,POINT (9.2141299 48.8186796)
48.8210344,9.2454006,268860263,,,POINT (9.2454006 48.8210344)
48.7832547,9.2493741,269244170,,,POINT (9.249374100000001 48.7832547)
48.8011283,9.2199353,559421515,crossing,,POINT (9.2199353 48.8011283)
48.7773925,9.1641329,1746675042,,,POINT (9.1641329 48.7773925)
48.8218159,9.246069,2179822660,,,POINT (9.246069 48.8218159)
48.8143247,9.1604365,54829170,,,POINT (9.160436499999999 48.8143247)
48.7285227,9.1303438,551563,,,POINT (9.1303438 48.7285227)
48.7717825,9.1358357,643066,,,POINT (9.135835699999999 48.7717825)
48.7746963,9.1447932,643083,,,POINT (9.144793200000001 48.7746963)
48.7739729,9.1361784,682085,,,POINT (9.1361784 48.7739729)
48.7830686,9.177412,12620668,,,POINT (9.177412 48.7830686)
48.8221861,9.1732261,12620828,,,POINT (9.173226100000001 48.8221861)
48.8081581,9.2052514,13887933,,,POINT (9.2052514 48.8081581)
48.8090156,9.21491,13887988,,,POINT (9.21491 48.8090156)
48.7753341,9.1714766,18240910,crossing,,POINT (9.1714766 48.7753341)
48.782097,9.1847831,20276225,,,POINT (9.184783100000001 48.782097)
48.7861831,9.1894212,20956175,,,POINT (9.1894212 48.7861831)
48.7760825,9.1700037,20958585,,,POINT (9.170003700000001 48.7760825)
48.7884598,9.1904546,20966637,,,POINT (9.190454600000001 48.7884598)
48.7974607,9.2073281,21097750,,,POINT (9.2073281 48.7974607)
48.7973097,9.2066888,21097754,,,POINT (9.2066888 48.7973097)
48.7298373,9.1128148,21451986,crossing,,POINT (9.112814800000001 48.7298373)
48.7841114,9.1469483,31231176,,,POINT (9.1469483 48.7841114)
48.8082885,9.2047755,35627616,,,POINT (9.2047755 48.8082885)
48.8364528,9.1679852,36743151,,,POINT (9.1679852 48.8364528)
48.819502,9.1680182,36763846,,,POINT (9.168018200000001 48.819502)
48.8179928,9.2034953,38690543,,,POINT (9.2034953 48.8179928)
48.8108426,9.1492136,54875512,,,POINT (9.1492136 48.8108426)
48.7213117,9.1297963,59647122,,,POINT (9.129796300000001 48.7213117)
48.8045457,9.2113922,59720818,crossing,,POINT (9.211392200000001 48.8045457)
48.8046988,9.2117764,59720819,crossing,,POINT (9.2117764 48.8046988)
48.8260164,9.2137275,59720930,,,POINT (9.213727499999999 48.8260164)
48.8201449,9.1051069,59848091,,,POINT (9.105106899999999 48.8201449)
48.7285747,9.1310073,60015144,,,POINT (9.1310073 48.7285747)
48.7829892,9.1776329,71711299,,,POINT (9.177632900000001 48.7829892)
48.7719661,9.171625,71746026,,,POINT (9.171625000000001 48.7719661)
48.7759864,9.182961,73801828,,,POINT (9.182961000000001 48.7759864)
48.7758864,9.1832204,73801853,crossing,,POINT (9.1832204 48.7758864)
48.7275063,9.2050156,117791242,,,POINT (9.205015599999999 48.7275063)
