y,x,osmid,highway,ref,geometry
48.7293683,9.1503585,483836,,,POINT (9.150358499999999 48.7293683)
48.7299028,9.1504702,483837,,,POINT (9.150470200000001 48.7299028)
48.7403984,9.1528348,483859,,,POINT (9.152834800000001 48.7403984)
48.7256072,9.176026,490535,,,POINT (9.176026 48.7256072)
48.7495007,9.1508784,490557,,,POINT (9.1508784 48.7495007)
48.7569974,9.1462695,490637,,,POINT (9.146269500000001 48.7569974)
48.7586279,9.1508029,490641,,,POINT (9.1508029 48.7586279)
48.7590926,9.1519579,490642,,,POINT (9.151957899999999 48.7590926)
48.7597369,9.1538086,490643,crossing,,POINT (9.1538086 48.7597369)
48.7600635,9.1566605,490651,,,POINT (9.156660499999999 48.7600635)
48.7602625,9.1581267,490652,,,POINT (9.1581267 48.7602625)
48.7656801,9.1606559,490690,,,POINT (9.1606559 48.7656801)
48.7660001,9.1612592,490691,,,POINT (9.1612592 48.7660001)
48.7652814,9.1597051,490692,,,POINT (9.1597051 48.7652814)
48.7713949,9.1612556,490704,,,POINT (9.1612556 48.7713949)
48.7649927,9.1592639,490707,,,POINT (9.159263899999999 48.7649927)
48.7637909,9.1592076,490709,,,POINT (9.1592076 48.7637909)
48.7664468,9.148718,490726,,,POINT (9.148718000000001 48.7664468)
48.7719326,9.1632922,490813,,,POINT (9.163292200000001 48.7719326)
48.7299831,9.1029865,498352,traffic_signals,,POINT (9.1029865 48.7299831)
48.7303311,9.1007202,498353,,,POINT (9.1007202 48.7303311)
48.7306652,9.0954372,498357,,,POINT (9.095437199999999 48.7306652)
48.7298197,9.1235729,551514,,,POINT (9.123572899999999 48.7298197)
48.7289696,9.1155881,551515,,,POINT (9.1155881 48.7289696)
48.728975,9.1126747,551516,,,POINT (9.112674699999999 48.728975)
48.728982,9.1097394,551536,,,POINT (9.1097394 48.728982)
48.7296547,9.118413,551565,,,POINT (9.118413 48.7296547)
48.7299017,9.118765,551575,,,POINT (9.118765 48.7299017)
48.7502474,9.1728638,589757,,,POINT (9.1728638 48.7502474)
48.7306093,9.155379,589793,,,POINT (9.155379 48.7306093)
48.7290623,9.1529462,589796,,,POINT (9.152946200000001 48.7290623)
48.7262205,9.1481752,589810,,,POINT (9.148175200000001 48.7262205)
48.7256182,9.1465474,589815,traffic_signals,,POINT (9.146547399999999 48.7256182)
48.7249232,9.146564,589816,,,POINT (9.146564 48.7249232)
48.7244904,9.1465639,589817,,,POINT (9.1465639 48.7244904)
48.7237136,9.1464705,589818,,,POINT (9.1464705 48.7237136)
48.7218263,9.1453307,589821,,,POINT (9.145330700000001 48.7218263)
48.7208814,9.1447599,589823,,,POINT (9.1447599 48.7208814)
48.7178263,9.1434181,589830,crossing,,POINT (9.1434181 48.7178263)
48.7175955,9.1434791,589831,,,POINT (9.1434791 48.7175955)
48.717598,9.1438872,589832,,,POINT (9.1438872 48.717598)
48.7177065,9.1441848,589833,,,POINT (9.1441848 48.7177065)
48.7179132,9.1445013,589834,,,POINT (9.1445013 48.7179132)
48.7179651,9.1448618,589835,,,POINT (9.144861799999999 48.7179651)
