y,x,osmid,geometry
41.3607385,69.1995602,1624992401,POINT (69.19956019999999 41.3607385)
41.3608403,69.1987963,1624992428,POINT (69.1987963 41.3608403)
41.3602158,69.1986383,1624992469,POINT (69.1986383 41.3602158)
41.3601077,69.1994039,1624992471,POINT (69.19940389999999 41.3601077)
41.3082442,69.2963009,3885854119,POINT (69.29630090000001 41.3082442)
41.308242,69.2961532,3885854120,POINT (69.29615320000001 41.308242)
41.3082926,69.296049,3885854121,POINT (69.296049 41.3082926)
41.3084983,69.2958653,3885854122,POINT (69.2958653 41.3084983)
41.3086511,69.2957108,5719666378,POINT (69.29571079999999 41.3086511)
41.3088343,69.2951018,5719666379,POINT (69.2951018 41.3088343)
41.3089076,69.2948986,5719666380,POINT (69.2948986 41.3089076)
41.3090572,69.2946756,5719666381,POINT (69.29467560000001 41.3090572)
41.3092116,69.2945222,5719666382,POINT (69.2945222 41.3092116)
41.3093345,69.2944798,5719666383,POINT (69.2944798 41.3093345)
41.3095242,69.2945036,5719666384,POINT (69.2945036 41.3095242)
41.310409,69.2946948,5719666385,POINT (69.2946948 41.310409)
41.3106089,69.2946846,5719666386,POINT (69.2946846 41.3106089)
41.3106947,69.2946611,5719666387,POINT (69.2946611 41.3106947)
41.3109512,69.2945518,5719666388,POINT (69.29455179999999 41.3109512)
41.3112155,69.2944162,5719666389,POINT (69.2944162 41.3112155)
41.3114843,69.2942973,5719666390,POINT (69.2942973 41.3114843)
41.3116405,69.294395,5719666391,POINT (69.29439499999999 41.3116405)
41.31185,69.294497,5719666392,POINT (69.29449700000001 41.31185)
41.3119533,69.2946323,5719666393,POINT (69.2946323 41.3119533)
41.311816,69.2951378,5719731346,POINT (69.29513780000001 41.311816)
41.3112656,69.2957257,5719731347,POINT (69.29572570000001 41.3112656)
41.3111981,69.2957568,5719731348,POINT (69.29575680000001 41.3111981)
41.3107244,69.2956939,5719731349,POINT (69.2956939 41.3107244)
41.3099544,69.2956867,5719731350,POINT (69.2956867 41.3099544)
41.3099542,69.2958356,5719731351,POINT (69.2958356 41.3099542)
41.3082722,69.2963784,5719731352,POINT (69.29637839999999 41.3082722)
41.3083238,69.2964215,5719731353,POINT (69.29642149999999 41.3083238)
41.3084578,69.2964755,5719731354,POINT (69.2964755 41.3084578)
41.3086692,69.2965201,5719731355,POINT (69.2965201 41.3086692)
41.3087352,69.2966022,5719731356,POINT (69.2966022 41.3087352)
41.3088219,69.2966524,5719731357,POINT (69.2966524 41.3088219)
41.3089235,69.2966722,5719731358,POINT (69.2966722 41.3089235)
41.3090294,69.2966597,5719731359,POINT (69.29665970000001 41.3090294)
41.3092455,69.2965506,5719731360,POINT (69.2965506 41.3092455)
41.3094471,69.2964207,5719731361,POINT (69.2964207 41.3094471)
41.3096055,69.2962696,5719731362,POINT (69.2962696 41.3096055)
41.3097853,69.2960559,5719731363,POINT (69.2960559 41.3097853)
41.3098582,69.2960501,5719731364,POINT (69.2960501 41.3098582)
41.3099452,69.2959604,5719731365,POINT (69.2959604 41.3099452)
41.3603698,69.1999039,5776368531,POINT (69.1999039 41.3603698)
41.3605756,69.1983213,5776368532,POINT (69.1983213 41.3605756)
41.360783,69.198503,5776368533,POINT (69.198503 41.360783)
41.3603596,69.198376,5776368534,POINT (69.198376 41.3603596)
41.3605974,69.1998301,5776368535,POINT (69.1998301 41.3605974)
41.360155,69.1997097,5776368536,POINT (69.1997097 41.360155)
41.3606824,69.1997067,5776368537,POINT (69.19970669999999 41.3606824)
41.3604851,69.1998978,5776368538,POINT (69.1998978 41.3604851)
41.3602393,69.1998337,5776368539,POINT (69.1998337 41.3602393)
41.360114,69.1995606,5776368540,POINT (69.1995606 41.360114)
41.3608261,69.1986439,5776368541,POINT (69.19864389999999 41.3608261)
41.3606995,69.1983833,5776368542,POINT (69.1983833 41.3606995)
41.3604633,69.1983237,5776368543,POINT (69.1983237 41.3604633)
41.3602704,69.1984879,5776368544,POINT (69.1984879 41.3602704)
41.3608384,69.1987159,5776368545,POINT (69.1987159 41.3608384)
