y,x,osmid,geometry
41.3607385,69.1995602,1624992401,POINT (69.19956019999999 41.3607385)
41.3608403,69.1987963,1624992428,POINT (69.1987963 41.3608403)
41.3602158,69.1986383,1624992469,POINT (69.1986383 41.3602158)
41.3601077,69.1994039,1624992471,POINT (69.19940389999999 41.3601077)
41.3119533,69.2946323,5719666393,POINT (69.2946323 41.3119533)
41.311816,69.2951378,5719731346,POINT (69.29513780000001 41.311816)
41.3603698,69.1999039,5776368531,POINT (69.1999039 41.3603698)
41.3605756,69.1983213,5776368532,POINT (69.1983213 41.3605756)
41.360783,69.198503,5776368533,POINT (69.198503 41.360783)
41.3603596,69.198376,5776368534,POINT (69.198376 41.3603596)
41.3605974,69.1998301,5776368535,POINT (69.1998301 41.3605974)
41.360155,69.1997097,5776368536,POINT (69.1997097 41.360155)
41.3606824,69.1997067,5776368537,POINT (69.19970669999999 41.3606824)
41.3604851,69.1998978,5776368538,POINT (69.1998978 41.3604851)
41.3602393,69.1998337,5776368539,POINT (69.1998337 41.3602393)
41.360114,69.1995606,5776368540,POINT (69.1995606 41.360114)
41.3608261,69.1986439,5776368541,POINT (69.19864389999999 41.3608261)
41.3606995,69.1983833,5776368542,POINT (69.1983833 41.3606995)
41.3604633,69.1983237,5776368543,POINT (69.1983237 41.3604633)
41.3602704,69.1984879,5776368544,POINT (69.1984879 41.3602704)
41.3608384,69.1987159,5776368545,POINT (69.1987159 41.3608384)
41.3608087,69.1985707,5776368546,POINT (69.1985707 41.3608087)
41.3607464,69.1984363,5776368547,POINT (69.1984363 41.3607464)
41.3606396,69.1983441,5776368548,POINT (69.1983441 41.3606396)
41.3605194,69.1983142,5776368549,POINT (69.1983142 41.3605194)
41.3604104,69.1983415,5776368550,POINT (69.1983415 41.3604104)
41.3603129,69.1984251,5776368551,POINT (69.19842509999999 41.3603129)
41.36024,69.198559,5776368552,POINT (69.198559 41.36024)
41.3601046,69.1994823,5776368553,POINT (69.1994823 41.3601046)
41.3601283,69.1996421,5776368554,POINT (69.19964210000001 41.3601283)
41.3601941,69.1997772,5776368555,POINT (69.1997772 41.3601941)
41.3603025,69.1998771,5776368556,POINT (69.19987709999999 41.3603025)
41.3604275,69.1999091,5776368557,POINT (69.1999091 41.3604275)
41.3605454,69.1998681,5776368558,POINT (69.1998681 41.3605454)
41.360643,69.1997767,5776368559,POINT (69.1997767 41.360643)
41.3607135,69.1996334,5776368560,POINT (69.1996334 41.3607135)
41.3604092,69.1995897,5776368561,POINT (69.1995897 41.3604092)
41.3605303,69.1991322,5776368599,POINT (69.19913219999999 41.3605303)
41.3604604,69.1992053,5776368637,POINT (69.1992053 41.3604604)
41.3607439,69.1991784,5776368638,POINT (69.19917839999999 41.3607439)
41.3601992,69.1990583,5776368639,POINT (69.1990583 41.3601992)
41.3604057,69.1991038,5776368640,POINT (69.1991038 41.3604057)
41.3604825,69.19904,5776368642,POINT (69.19904 41.3604825)
41.3606037,69.1981006,5776368681,POINT (69.1981006 41.3606037)
41.3602218,69.1988628,5776424736,POINT (69.1988628 41.3602218)
41.3607666,69.1989932,5776424737,POINT (69.1989932 41.3607666)
41.3604971,69.1989287,5776424738,POINT (69.1989287 41.3604971)
41.3659554,69.3060698,5858443885,POINT (69.3060698 41.3659554)
41.3659831,69.3059835,5858443886,POINT (69.3059835 41.3659831)
41.365886,69.3058356,5858443887,POINT (69.30583559999999 41.365886)
41.3657426,69.3057001,5858443888,POINT (69.3057001 41.3657426)
41.3655762,69.3055029,5858443889,POINT (69.30550289999999 41.3655762)
41.3653588,69.3053488,5858443890,POINT (69.3053488 41.3653588)
41.3651414,69.3055152,5858443891,POINT (69.3055152 41.3651414)
41.3650166,69.3056631,5858443892,POINT (69.3056631 41.3650166)
41.3649333,69.3058418,5858443893,POINT (69.3058418 41.3649333)
41.3649657,69.3060267,5858443894,POINT (69.3060267 41.3649657)
41.3651091,69.3062362,5858443895,POINT (69.3062362 41.3651091)
41.3652293,69.3062731,5858443896,POINT (69.3062731 41.3652293)
41.3653634,69.3061314,5858443897,POINT (69.3061314 41.3653634)
