u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,service,bridge,access,ref,tunnel
245421851,245421853,0,674895546,True,Amir Temur shoh ko'chasi,primary,30,74.368,"LINESTRING (69.2892796 41.3608816, 69.2893175 41.3602134)",,,,,,
245421853,1828791168,0,674895546,True,Amir Temur shoh ko'chasi,primary,30,16.389,"LINESTRING (69.2893175 41.3602134, 69.2892926 41.3600672)",,,,,,
355884019,4972005514,0,507752311,False,Яккачинор улица,service,30,66.29,"LINESTRING (69.2786071 41.3034779, 69.27936750000001 41.3036485)",,,,,,
359385559,1150604624,0,32028242,False,Salarbo'yi ko'chasi,residential,30,14.719,"LINESTRING (69.31219280000001 41.3318337, 69.3123681 41.3318197)",2,,,,,
359385869,1904021729,0,32028242,False,Salarbo'yi ko'chasi,residential,30,6.491,"LINESTRING (69.312556 41.3317028, 69.3125249 41.3317563)",2,,,,,
359385869,3121789622,0,32028242,False,Salarbo'yi ko'chasi,residential,30,32.807,"LINESTRING (69.312556 41.3317028, 69.3127027 41.3314291)",2,,,,,
359385870,1150588113,0,32028242,False,Salarbo'yi ko'chasi,residential,30,26.73,"LINESTRING (69.31367539999999 41.3295627, 69.3135645 41.3297882)",2,,,,,
359385870,359385872,0,32028242,False,Salarbo'yi ko'chasi,residential,30,46.603,"LINESTRING (69.31367539999999 41.3295627, 69.3138531 41.3291654)",2,,,,,
359385872,359385870,0,32028242,False,Salarbo'yi ko'chasi,residential,30,46.603,"LINESTRING (69.3138531 41.3291654, 69.31367539999999 41.3295627)",2,,,,,
359385872,1150588089,0,32028242,False,Salarbo'yi ko'chasi,residential,30,31.201,"LINESTRING (69.3138531 41.3291654, 69.3139219 41.3288896)",2,,,,,
359385874,359385944,0,32028242,False,Salarbo'yi ko'chasi,residential,30,55.701,"LINESTRING (69.3140255 41.3280964, 69.3139949 41.3285968)",2,,,,,
359385874,5849507613,0,32028242,False,Salarbo'yi ko'chasi,residential,30,11.064,"LINESTRING (69.3140255 41.3280964, 69.3140171 41.3279971)",2,,,,,
359385875,5849507613,0,32028242,False,Salarbo'yi ko'chasi,residential,30,16.892,"LINESTRING (69.3140042 41.3278455, 69.3140171 41.3279971)",2,,,,,
359385875,5849507612,0,32028242,False,Salarbo'yi ko'chasi,residential,30,35.475,"LINESTRING (69.3140042 41.3278455, 69.313942 41.3275299)",2,,,,,
