u,v,key,osmid,oneway,name,highway,length,geometry,bridge,width,access,tunnel,lanes,maxspeed
1571763771,1571764197,0,143623364,True,מנשה בן ישראל,residential,71.648,"LINESTRING (34.7777702 32.0556124, 34.7776245 32.05498)",,,,,,
1571763960,4253794363,0,143623364,True,מנשה בן ישראל,residential,78.194,"LINESTRING (34.7780577 32.0568595, 34.7778994 32.0561692)",,,,,,
1571764197,1571764066,0,143623364,True,מנשה בן ישראל,residential,59.301,"LINESTRING (34.7776245 32.05498, 34.7775038 32.0544566)",,,,,,
2390930286,1571763771,0,143623364,True,מנשה בן ישראל,residential,8.214,"LINESTRING (34.7777869 32.0556849, 34.7777702 32.0556124)",,,,,,
4253794363,2390930286,0,143623364,True,מנשה בן ישראל,residential,54.886,"LINESTRING (34.7778994 32.0561692, 34.7777869 32.0556849)",,,,,,
35288618,3709346598,0,212770528,True,שדרות נורדאו,tertiary,7.613,"LINESTRING (34.7828736 32.0916012, 34.7829536 32.0916109)",,,,,,
290612973,6301371519,0,228774302,True,שדרות נורדאו,tertiary,7.628,"LINESTRING (34.7733032 32.0927712, 34.773328 32.0927059)",,,,,,
331214989,331214990,0,228774297,False,,cycleway,142.922,"LINESTRING (34.774769 32.0925735, 34.7762737 32.0924091)",,,,,,
331214989,5081781153,0,228774297,False,,cycleway,8.554,"LINESTRING (34.774769 32.0925735, 34.7746795 32.0925865)",,,,,,
331214990,2469720115,0,228774297,False,,cycleway,8.075,"LINESTRING (34.7762737 32.0924091, 34.7763587 32.0923997)",,,,,,
331214990,331214989,0,228774297,False,,cycleway,142.922,"LINESTRING (34.7762737 32.0924091, 34.774769 32.0925735)",,,,,,
331214991,6290878649,0,228774297,False,,cycleway,54.503,"LINESTRING (34.7782621 32.0921894, 34.7788358 32.092126)",,,,,,
331214991,7315346212,0,228774297,False,,cycleway,4.475,"LINESTRING (34.7782621 32.0921894, 34.778215 32.0921946)",,,,,,
331214992,2072034655,0,228774297,False,,cycleway,143.14,"LINESTRING (34.7813292 32.0918505, 34.7828359 32.091684)",,,,,,
331214992,6290878653,0,228774297,False,,cycleway,176.465,"LINESTRING (34.7813292 32.0918505, 34.7794717 32.0920557)",,,,,,
331214993,2072034655,0,228774297,False,,cycleway,5.054,"LINESTRING (34.7828891 32.0916781, 34.7828359 32.091684)",,,,,,
332203124,592090169,0,161433884,False,,path,55.42,"LINESTRING (34.781504 32.1013953, 34.7817194 32.1009315)",,,,,,
332203124,1758359859,0,161433884,False,,path,26.356,"LINESTRING (34.781504 32.1013953, 34.7815002 32.1016323)",,,,,,
340378133,340378134,0,30780582,False,,cycleway,26.772,"LINESTRING (34.7931963 32.0980593, 34.7929237 32.0979912)",,,,,,
340378133,4755318781,0,33636757,False,,path,4.912,"LINESTRING (34.7931963 32.0980593, 34.7932348 32.0980295)",,,,,,
340378133,4755318748,0,33636757,False,,path,35.721,"LINESTRING (34.7931963 32.0980593, 34.7932369 32.0983787)",,,,,,
340378134,340378135,0,30780582,False,,cycleway,106.394,"LINESTRING (34.7929237 32.0979912, 34.7918204 32.0977864)",,,,,,
340378134,340378133,0,30780582,False,,cycleway,26.772,"LINESTRING (34.7929237 32.0979912, 34.7931963 32.0980593)",,,,,,
340378135,340378136,0,30780582,False,,cycleway,139.491,"LINESTRING (34.7918204 32.0977864, 34.7903956 32.0974446)",,,,,,
340378135,340378134,0,30780582,False,,cycleway,106.394,"LINESTRING (34.7918204 32.0977864, 34.7929237 32.0979912)",,,,,,
340378136,3907732378,0,30780582,False,,cycleway,87.727,"LINESTRING (34.7903956 32.0974446, 34.7894715 32.0973467)",,,,,,
340378136,340378135,0,30780582,False,,cycleway,139.491,"LINESTRING (34.7903956 32.0974446, 34.7918204 32.0977864)",,,,,,
340378223,340378253,0,60954179,False,,path,65.595,"LINESTRING (34.7835335 32.0967573, 34.7842268 32.0968124)",,,,,,
340378223,6055082268,0,60954179,False,,path,11.066,"LINESTRING (34.7835335 32.0967573, 34.7834974 32.0966626)",,,,,,
340378227,6055082267,0,60954179,False,,path,11.637,"LINESTRING (34.7833213 32.096556, 34.7834274 32.0966096)",,,,,,
340378227,340378228,0,60954179,False,,path,23.569,"LINESTRING (34.7833213 32.096556, 34.7830711 32.0965552)",,,,,,
340378228,340378227,0,60954179,False,,path,23.569,"LINESTRING (34.7830711 32.0965552, 34.7833213 32.096556)",,,,,,
340378228,340378229,0,60954179,False,,path,33.409,"LINESTRING (34.7830711 32.0965552, 34.7830539 32.0968553)",,,,,,
